team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
8,Paly Robotics,3,5.31,-1,0.22,-0.08,0.14,0,8.48,0.14,-1,-1,2.83,13.71,0.37,1.64,0.51,0.35,0.36,0.55,0.23,53.66,4.16,-1,-1,87.59,-0.06,0.09,0.64,33.42,0.88,-1,-1,0.03,0.23,0.29,-0.05,-0.34,0.12,-7.09,2.69,62.14,1.48,4.3,-1,-1,0.44,104,127.18,-0.01,8.68,1453,,,,,
16,Bomb Squad,3,4.15,-0.72,4.55,4.34,0.25,0,14.97,0.25,-1,-1,4.99,23.45,1,10.6,3.54,0.33,0.33,0.49,0.06,38.72,2.74,-1,-1,88.87,0.45,0.32,0.17,46.62,0.88,-1,-1,0.01,0.06,0.02,0.38,-0.32,-0.02,-7.93,1.35,53.68,1.22,2.99,-1,-1,7.87,113.67,119.94,0.21,26.8,1646,,,,,
60,Bionic Bulldogs,3,4.93,0.33,0,0.1,0.3,0.02,18.67,0.31,-1,-1,6.22,23.7,-0.48,1.07,0.1,0.33,0.33,0.37,0.03,30.17,2,-1,-1,65.07,0.19,0.21,0.3,34.8,1,-1,-1,0.03,0.03,0.03,0.35,0.08,0.18,2.27,6.37,48.84,1.07,2.32,-1,-1,0.2,95.13,98.53,0.15,-11.06,1566,,,,,
79,Team Krunch,3,4.16,0.51,2.29,2.44,-0.13,0,-8.06,-0.13,-1,-1,-2.69,-1.46,0.16,3.73,1.24,0.33,0.38,0.35,0.09,51.21,2.81,-1,-1,92.01,0.27,-0.03,0.55,39.56,0.76,-1,-1,0.02,0.09,0.02,-0.05,-0.1,-0.03,-2.35,-0.99,43.15,1.15,2.67,-1,-1,3.67,89.56,98.79,0.21,29.15,1526,,,,,
86,Team Resistance,3,5.19,-0.53,8.39,8.24,0.12,0,7.16,0.12,-1,-1,2.39,20.58,1.27,4.52,1.41,0.33,0.37,0.27,-0.03,32.9,1.53,-1,-1,84.18,0.35,0.32,0.34,49.87,1,-1,-1,0,-0.03,0.08,-0.1,0.32,0.46,8.32,11.1,40.06,0.94,1.65,-1,-1,9.65,115.86,113.03,0.45,47.26,1589,,,,,
108,SigmaC@T Robotic Team,3,5,0.07,-0.11,-0.09,0.26,0,15.56,0.26,-1,-1,5.19,20.46,-0.14,0.86,0.22,0.34,0.23,0.18,-0.03,18.58,0.74,-1,-1,55.19,0.33,0.18,0.22,36.39,0.76,-1,-1,0,-0.03,0.03,-0.11,-0.09,0.57,-1.98,13.66,34.14,0.72,0.99,-1,-1,0.13,89.31,86.02,0.18,34.41,1538,,,,,
114,Eagle Strike,3,4.76,-0.53,-2.16,-2.33,0.43,0,25.9,0.43,-1,-1,8.63,28.33,-1.18,9.02,2.93,0.31,0.3,0.5,0.04,28.72,2.36,-1,-1,67.72,0.49,0.21,0.02,36.07,0.5,-1,-1,0.02,0.04,0.09,-0.21,0.32,0.12,8.38,1.94,54.62,1.15,2.79,-1,-1,0.6,97.99,101.94,0.44,33.72,1490,,,,,
115,MVRT,3,4.78,0.23,-0.47,-0.4,0.32,0,19.15,0.32,-1,-1,6.38,23.52,0.77,-0.56,-0.08,0.35,0.37,0.36,0.17,37.03,2.88,-1,-1,65.57,0.4,0.22,-0.05,28.62,0.86,-1,-1,0,0.17,-0.04,0.21,-0.03,0.77,-1.04,20.33,56.18,1.24,3.2,-1,-1,-0.48,109.41,126.1,0.13,1.68,1484,,,,,
118,Robonauts,3,5.31,-0.91,23.39,23.11,0.29,0.22,30.53,0.51,-1,-1,10.18,58.95,0.18,80.2,26.49,0.33,0.33,0.36,0,20.72,1.6,-1,-1,97.3,0.24,0.53,0.23,50.09,0.88,-1,-1,0.91,0,0.04,0.39,0,-0.14,0.15,-1.5,51.25,1.03,2.1,-1,-1,49.59,154.75,172.82,0.36,59.17,1768,,,,,
120,Cleveland's Team,3,4.69,-0.16,-1.22,-1.26,0.2,0,11.95,0.2,-1,-1,3.98,15.39,1.17,3.4,1.07,0.33,0.34,0.07,0.07,24.77,1.2,-1,-1,60.72,0.21,0.26,0.23,34.88,0.44,-1,-1,-0.01,0.07,-0.09,-0.13,-0.25,0.15,-6.74,3.2,36.72,0.82,1.4,-1,-1,-0.19,79.31,86.1,0.17,16.75,1468,,,,,
175,Buzz Robotics,3,4.24,0.01,1.51,1.51,0.16,0,9.58,0.16,-1,-1,3.19,15.34,-0.44,1.94,0.52,0.33,0.33,0.43,0.05,39.32,2.51,-1,-1,72.04,0.22,0.41,0.02,32.2,0.87,-1,-1,0,0.05,-0.07,0.54,-0.06,0.11,-1.83,5.36,48.91,1.14,2.67,-1,-1,2.03,92.74,97.56,0.33,38.63,1572,,,,,
179,Children of the Swamp,3,5.63,0.13,3.51,3.54,0.12,0,7.01,0.12,-1,-1,2.34,16.18,-1.47,13.83,4.36,0.33,0.4,0.3,0.07,39.73,2.33,-1,-1,86.02,0.42,0.06,0.36,41.94,0.82,-1,-1,0.01,0.07,-0.06,-0.08,-0.06,0.13,-1.78,2.95,46.74,1.11,2.44,-1,-1,7.9,105.15,112.3,0.3,41.58,1616,,,,,
180,S.P.A.M.,3,5.45,0.2,-0.06,-0.07,0.69,0,41.5,0.69,-1,-1,13.83,46.88,9.51,0.3,1.13,0.33,0.39,0.72,0.07,32.69,3.37,-1,-1,74.45,0.23,0.49,0.09,40.62,0.88,-1,-1,-0.01,0.07,0.26,0,0.21,0.26,6.56,6.4,74.2,1.51,4.06,-1,-1,1.06,127.72,134.34,0.52,77.68,1669,,,,,
192,GRT,3,4.27,-0.32,2.14,2.06,0.32,0,19.45,0.32,-1,-1,6.48,25.78,-0.87,-0.14,-0.13,0.31,0.31,0.22,0.07,23.47,1.58,-1,-1,75.37,0.14,0.5,0.4,52.04,0.79,-1,-1,0.02,0.07,-0.11,-0.01,1.27,0.32,31.14,7.92,42.91,0.91,1.9,-1,-1,1.93,109.08,116.39,0.21,-14.88,1506,,,,,
199,Deep Blue,3,4.81,-0.76,0.42,0.18,0.22,0,13.47,0.22,-1,-1,4.49,18.47,-0.22,0.41,0.13,0.34,0.35,-0.07,-0.01,15.67,0.17,-1,-1,51.46,0.32,0.32,0.07,35.65,0.78,-1,-1,0.02,-0.01,-0.05,0.31,0.4,0.18,9.68,6.02,29.15,0.62,0.4,-1,-1,0.32,75.95,75.77,-0.17,-69.75,1361,,,,,
281,The GreenVillains,3,3.33,-0.03,1.97,1.97,0.11,0,6.62,0.11,-1,-1,2.21,11.92,0.2,-0.32,-0.07,0.33,0.2,0.29,-0.04,26.87,1.21,-1,-1,97.43,0.71,0.5,0.21,70.63,1,-1,-1,0,-0.04,0.1,0.36,0.15,0.09,4.16,4.12,33.48,0.78,1.32,-1,-1,1.9,113.46,109.56,0.25,56.03,1559,,,,,
283,The Generals,3,5.75,0.03,0.33,0.33,0.42,0,24.98,0.42,-1,-1,8.33,31.06,-0.26,-1.03,-0.56,0.33,0.33,0.68,0,37.42,3,-1,-1,83.38,0.2,0.44,0.29,46.52,1,-1,-1,0,0,0.21,0.12,-0.23,0.73,-4.6,18.76,62.4,1.35,3.41,-1,-1,-0.23,133.2,133.51,0.35,55.89,1575,,,,,
330,The Beach Bots,3,4.5,0,14.43,14.43,0.01,0,0.32,0.01,-1,-1,0.11,19.25,-0.8,29.28,9.44,0.33,0.38,0.5,0.19,55.98,3.9,-1,-1,101.38,0.46,0.09,0.16,35.95,0.83,-1,-1,0.37,0.19,0.17,-0.08,0.09,-0.11,3.08,-3.21,56.3,1.4,3.9,-1,-1,23.88,117.42,143.94,0.44,65.19,1698,,,,,
365,Miracle Workerz,3,4.37,0,3.8,3.8,0.44,0,25.99,0.43,-1,-1,8.66,34.17,0.09,4.08,1.03,0.33,0.33,0.33,0.22,31.44,2.88,-1,-1,83.45,0.45,0.07,0.49,50.98,1,-1,-1,0.01,0.22,0.08,0.04,-0.06,0.05,-1.13,1.44,57.43,1.22,3.31,-1,-1,4.83,119.05,141.21,0.29,16.21,1599,,,,,
386,Team Voltage,3,4.33,-0.34,0.88,0.79,0.54,0,32.35,0.54,-1,-1,10.78,37.47,1.8,0.94,0.55,0.33,0.42,0.4,-0.02,23.76,1.75,-1,-1,54.99,0.16,0.32,0.14,30.68,0.8,-1,-1,0,-0.02,0.13,0.06,-0.07,0.5,-1.06,12.75,56.11,1.13,2.28,-1,-1,1.34,105.2,103.56,0.3,44.17,1581,,,,,
399,Eagle Robotics,3,4.2,3.52,-0.62,0.46,0.08,0.09,10.63,0.18,-1,-1,3.54,15.3,14.02,1.83,2.04,0.33,0.33,0.37,0.03,35.39,2.12,-1,-1,73.05,0.3,0.04,0.37,35.63,0.84,-1,-1,0.01,0.03,-0.12,0.12,-0.04,0.64,-1.73,16.57,46.02,1.06,2.3,-1,-1,2.5,104.93,107.89,0.36,42.58,1645,,,,,
418,Purple Haze,3,5.8,0,0.07,0.07,0.35,0,21.09,0.35,-1,-1,7.03,26.96,-0.37,-0.48,-0.19,0.33,0.38,0.59,0.04,39.82,3.01,-1,-1,80.68,0.16,0.36,0.3,41.05,0.77,-1,-1,0,0.04,0.37,-0.12,0.12,-0.06,4.96,-2.22,60.91,1.35,3.36,-1,-1,-0.12,105.42,109.67,0.13,1.86,1483,,,,,
435,Robodogs,3,4.66,-0.01,0.88,0.88,0.51,0,30.82,0.51,-1,-1,10.27,36.35,0.02,1.38,0.44,0.33,0.33,0.31,0.22,27.27,2.71,-1,-1,71.06,0.32,0.24,0.31,43.34,0.76,-1,-1,0.04,0.22,-0.1,-0.01,0.25,0.08,5.74,2.02,58.09,1.2,3.22,-1,-1,1.32,109.43,132.35,0.47,34.55,1545,,,,,
585,Cyber Penguins,3,5.38,0.17,1.47,1.55,-0.14,0,-8.49,-0.14,-1,-1,-2.83,-1.55,-0.18,3.66,1.2,0.33,0.33,-0.22,-0.08,20.21,-0.57,-1,-1,61.17,0.35,0.2,0.25,39.76,0.44,-1,-1,0.1,-0.08,0.4,-0.02,0.13,-0.04,5.21,-1.02,11.73,0.36,-0.71,-1,-1,2.75,58.6,52.29,-0.04,-36.46,1358,,,,,
587,Hedgehogs,3,4.9,-0.02,0.6,0.6,0.4,0,23.93,0.4,-1,-1,7.98,29.44,0.15,1.5,0.45,0.33,0.33,0.39,0.25,36.33,3.32,-1,-1,91.06,0.18,0.36,0.54,54.27,0.94,-1,-1,0.01,0.25,0.01,-0.02,-0.2,0.16,-5.07,3.97,60.26,1.31,3.72,-1,-1,1.05,124.46,149.39,0.17,33.65,1607,,,,,
589,Falkon Robotics,3,5.07,0,-0.83,-0.83,0.16,0,9.88,0.16,-1,-1,3.29,14.11,0.44,-1.81,-0.55,0.33,0.35,0.32,0.04,35,2.03,-1,-1,10.18,0,-0.37,-0.12,-24.26,0.2,-1,-1,-0.01,0.04,0.08,-0.1,0.18,0.35,4.92,8.32,44.88,1.04,2.2,-1,-1,-1.38,32.62,36.1,-0.04,-24.92,1398,,,,,
599,Robodox,3,5.98,0,-0.68,-0.68,0.59,0,35.67,0.59,-1,-1,11.89,40.97,-0.76,1.23,0.42,0.33,0.37,0.45,0.03,23.68,2.15,-1,-1,65.06,0.39,-0.08,0.5,40.96,0.72,-1,-1,-0.01,0.03,0.02,0.17,0.48,0.25,12.12,7,59.35,1.19,2.74,-1,-1,-0.26,113.04,116.4,0.28,46.39,1570,,,,,
604,Quixilver,3,6.1,0.01,1.79,1.79,0.22,0,13.19,0.22,-1,-1,4.4,21.07,2.3,-5.39,-1.58,0.33,0.33,0.5,0.39,53.08,4.77,-1,-1,86.99,0.34,0.29,0.09,35.48,0.87,-1,-1,0.02,0.39,-0.03,0.02,-0.28,0.4,-7.18,10.01,66.27,1.55,4.99,-1,-1,0.21,118.08,157.24,0.48,73.97,1677,,,,,
624,CRyptonite,3,4.52,0,1.41,1.41,0.49,0,29.21,0.49,-1,-1,9.74,35.14,-0.01,8.39,2.61,0.33,0.33,0.45,0.04,26.87,2.23,-1,-1,69.74,0.34,0.14,0.32,40.27,0.75,-1,-1,-0.01,0.04,0.14,0.4,0.37,-0.12,9.92,-1,56.08,1.16,2.72,-1,-1,4.02,103.88,107.88,0.22,20.91,1573,,,,,
662,Rocky Mountain Robotics,3,4.66,-0.19,-0.32,-0.38,0.02,0,1.2,0.02,-1,-1,0.4,5.48,-0.76,-0.18,-0.14,0.33,0.37,-0.03,0,25.96,0.58,-1,-1,77.55,0.26,0.37,0.41,51.72,0.69,-1,-1,-0.01,0,-0.01,0.33,-0.06,0.09,-1.48,4.01,27.16,0.67,0.6,-1,-1,-0.51,87.04,86.9,0.35,42.84,1582,,,,,
696,Circuit Breakers,3,5.46,0,-0.28,-0.28,0.65,0,38.95,0.65,-1,-1,12.98,44.14,0.03,-1.3,-0.46,0.33,0.38,0.43,0.08,22.7,2.28,-1,-1,61.7,0.37,0.21,0.21,39.45,0.81,-1,-1,-0.02,0.08,-0.18,0.03,0.2,0.13,4.2,3.29,61.65,1.22,2.92,-1,-1,-0.73,109.13,116.42,-0.02,4.63,1546,,,,,
701,RoboVikes,3,4.8,-0.22,1,0.93,0.44,0.08,30.82,0.51,-1,-1,10.27,36.55,-0.24,-0.9,-0.35,0.33,0.33,0.44,0.14,29.33,2.76,-1,-1,81.44,0.28,0.4,0.38,52.46,0.69,-1,-1,0.02,0.14,-0.02,0.2,0.15,0.23,3.67,6.82,60.16,1.25,3.27,-1,-1,0.58,124.81,139.28,0.4,42.7,1543,,,,,
704,Warriors,3,5.27,0,0.14,0.14,0.48,0,28.85,0.48,-1,-1,9.62,34.26,-0.15,-0.76,-0.34,0.33,0.34,0.29,-0.05,17.63,1.09,-1,-1,47.57,0.3,0.22,0.09,30.27,0.83,-1,-1,0,-0.05,0.05,-0.03,0.1,0.94,2.87,23.42,46.47,0.92,1.57,-1,-1,-0.2,105.25,100.23,0.53,45.31,1577,,,,,
744,Shark Attack,3,4.56,-0.02,-0.04,-0.05,0.61,0,36.57,0.61,-1,-1,12.19,41.08,-0.41,5.48,1.67,0.35,0.3,0.52,0,22.52,2.09,-1,-1,57.91,0.12,0.12,0.43,33.72,0.72,-1,-1,0,0,0.1,0.07,-0.03,0.09,-0.34,2.5,59.09,1.17,2.7,-1,-1,1.62,101.5,101.29,0.25,25.29,1578,,,,,
900,♞The Zebracorns♞,3,4.28,-0.02,13.15,13.15,0.29,0,17.37,0.29,-1,-1,5.79,34.8,-0.2,81.04,26.73,0.33,0.33,0.07,-0.12,13.06,-0.06,-1,-1,87.95,0.35,0.19,0.42,48.17,0.79,-1,-1,0.67,-0.12,-0.08,0.07,0.17,0.07,3.8,2.14,30.43,0.62,0.23,-1,-1,39.88,124.89,126.43,0.39,45.92,1522,,,,,
932,Circuit Chargers,3,2.53,0,-0.06,-0.06,0.52,0,31.15,0.52,-1,-1,10.38,33.62,-0.2,-0.12,-0.03,0.33,0.29,0.34,0,17.93,1.45,-1,-1,58.03,0.67,0.11,0.03,40.13,0.69,-1,-1,0,0,0.03,0.2,-0.04,0.06,-0.73,2.58,49.07,0.97,1.97,-1,-1,-0.1,94.23,94.23,0.1,20.16,1515,,,,,
968,RAWC (Robotics Alliance Of West Covina),3,4.7,0.05,-0.79,-0.78,0.01,0.01,1.19,0.02,-1,-1,0.4,5.12,0.23,-2.68,-0.86,0.33,0.33,0.39,-0.04,39.68,1.95,-1,-1,51.2,0.21,-0.1,0.15,12.38,0.59,-1,-1,-0.02,-0.04,-0.04,0.02,-0.03,0.01,-0.96,0.34,40.87,1.01,1.97,-1,-1,-1.64,56.67,52.14,0.07,-41.68,1466,,,,,
971,Spartan Robotics,3,3.65,-0.89,26.29,26.02,-0.23,0,-13.77,-0.23,-1,-1,-4.59,15.9,3.4,46.19,15.58,0.36,0.39,0.3,-0.09,47.6,1.7,-1,-1,115.11,0.14,0.35,0.55,51.92,0.92,-1,-1,0.89,-0.09,-0.15,-0.11,0.34,0.76,7.83,18.5,33.83,0.96,1.47,-1,-1,41.6,149.51,158.51,0.49,76.99,1690,,,,,
973,Greybots,3,4.46,-0.22,5.55,5.49,0.4,0,23.82,0.4,-1,-1,7.94,33.77,0.1,84.21,27.75,0.33,0.26,0,0,7.97,0.13,-1,-1,78.49,0.26,0.51,0.08,42.77,0.67,-1,-1,0.44,0,-0.23,-0.08,-0.08,-0.11,-3.08,-3.25,31.79,0.6,0.52,-1,-1,33.24,109.01,117.88,0.4,52.32,1659,,,,,
987,HIGHROLLERS,3,5.77,-0.75,10.97,10.74,0.26,0.01,16.27,0.27,-1,-1,5.42,32.78,-0.3,58.95,19.41,0.33,0.33,0.22,0.27,35.08,2.85,-1,-1,103.04,0.26,0.52,0.19,48.54,0.75,-1,-1,0.31,0.27,0.2,-0.05,-0.11,0.02,-1.83,0.18,51.36,1.15,3.13,-1,-1,30.15,135.99,168.91,0.43,32.16,1722,,,,,
1002,The CircuitRunners,3,4.91,0.78,-0.4,-0.18,0.27,0,16.11,0.27,-1,-1,5.37,20.84,-0.04,0,-0.01,0.33,0.33,0.35,0.05,31.83,2.11,-1,-1,79.01,0.35,0.14,0.45,47.19,0.67,-1,-1,0,0.05,-0.06,0.15,0.06,0.07,1.28,2.46,47.95,1.06,2.38,-1,-1,-0.19,102.31,107.68,0.43,35.03,1553,,,,,
1011,CRUSH,3,4.45,0.42,-1.55,-1.46,0.23,0,13.6,0.23,-1,-1,4.53,16.58,0.05,5.76,1.98,0.33,0.28,0.59,0,39.16,2.77,-1,-1,80.29,0.21,0.36,0.22,39.15,0.41,-1,-1,0.03,0,0.2,0.33,-0.11,0,-1.66,1.73,52.76,1.21,2.99,-1,-1,0.52,98.61,98.87,0.25,21.73,1588,,,,,
1156,Under Control,3,4.88,-0.7,3.07,2.87,0.31,0,18.82,0.31,-1,-1,6.27,26.57,-0.73,0.84,0.05,0.33,0.38,0.32,0.07,31.45,2.13,-1,-1,81.37,0.39,0.2,0.41,49.87,0.83,-1,-1,0,0.07,0.79,-0.03,0.3,0.14,11.37,3.44,50.28,1.1,2.45,-1,-1,2.92,111.39,118.07,0.37,28.44,1490,,,,,
1255,Blarglefish,3,5.81,0,0.43,0.43,0.47,0,27.98,0.47,-1,-1,9.33,34.22,0.01,-1.46,-0.45,0.33,0.33,0.46,0.06,28.66,2.38,-1,-1,87.51,0.26,0.56,0.37,59.3,0.78,-1,-1,0,0.06,-0.15,0.72,0.17,-0.09,3.62,1.3,56.64,1.18,2.85,-1,-1,-0.02,123.03,128.85,0.65,89.78,1650,,,,,
1266,The Devil Duckies,3,5.26,-0.89,-3.29,-3.56,0.39,-0.02,22.23,0.37,-1,-1,7.41,23.94,-0.24,2.85,0.95,0.33,0.33,0.31,0.01,24.66,1.6,-1,-1,74.03,0.44,0.06,0.47,48.43,0.78,-1,-1,-0.02,0.01,-0.12,0.02,0.4,0.29,9.44,7.38,46.89,0.99,1.97,-1,-1,-2.61,105.35,105.85,-0.04,-7.6,1432,,,,,
1287,Aluminum Assault,3,5.14,0.01,-0.11,-0.1,0.27,0,15.98,0.27,-1,-1,5.33,21.01,-0.4,0.97,0.27,0.33,0.36,0.22,-0.03,24.31,1.14,-1,-1,71.62,0.41,0.27,0.26,47.04,1,-1,-1,0,-0.03,0.13,0.33,0.03,0.16,1.44,5.57,40.29,0.87,1.41,-1,-1,0.17,98.21,95.38,0.61,24.38,1542,,,,,
