number,actualNumRPs,actualSeed,allRotorsAbility,autoShootingPositions,avgAgility,avgBallControl,avgDefense,avgDrivingAbility,avgGearControl,avgGearGroundIntakesTele,avgGearLoaderIntakesTele,avgGearsEjectedTele,avgGearsFumbledTele,avgGearsPlacedAuto,avgGearsPlacedByLiftAuto,avgGearsPlacedByLiftTele,avgGearsPlacedTele,avgHighShotsAuto,avgHighShotsTele,avgHopperShotTime,avgHoppersOpenedAuto,avgHoppersOpenedTele,avgKeyShotTime,avgLiftoffTime,avgLowShotsAuto,avgLowShotsTele,avgSpeed,disabledPercentage,disfunctionalPercentage,firstPickAbility,firstPickRotorBonusChance,gearAbility,gearScoringPositionsAuto,incapacitatedPercentage,lfmAvgAgility,lfmAvgBallControl,lfmAvgDefense,lfmAvgGearControl,lfmAvgGearLoaderIntakesTele,lfmAvgGearsPlacedTele,lfmAvgHighShotsAuto,lfmAvgHighShotsTele,lfmAvgKeyShotTime,lfmAvgLiftoffTime,lfmAvgLowShotsAuto,lfmAvgLowShotsTele,lfmAvgSpeed,lfmBaselineReachedPercentage,lfmDisabledPercentage,lfmIncapacitatedPercentage,lfmLiftoffPercentage,liftoffAbility,liftoffPercentage,lmfAvgGearsPlacedAuto,numMatchesPlayed,pitAvailableWeight,pitCheesecake,pitDriveTrain,pitProgrammingLanguage,predictedNumRPs,predictedSeed,RScoreAgility,RScoreBallControl,RScoreDefense,RScoreDrivingAbility,RScoreGearControl,RScoreSpeed,sdGearsPlacedAuto,sdGearsPlacedTele,sdHighShotsAuto,sdHighShotsTele,sdLiftoffAbility,sdLowShotsAuto,sdLowShotsTele
988,0.77,38,84.92585785924308,,1.6,0.0,3.0,-1.137918267220563,1.5,0.0,1.25,0.0,0.6,0.0,"{'lift1': 0.0, 'lift2': 0.0, 'lift3': 0.0}","{'lift1': 0.1, 'lift2': 0.8, 'lift3': 0.8}",1.7,0.0,0.0,,0.0,0.2,,8.595,0.0,0.0,1.2,0.0,0.0,11.2,0.0,1.7,,0.0,1.75,0.0,3.0,1.5,1.625,2.0,0.0,0.0,,8.595,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.1,0.0,0,,,Mecanum,C++,0.7,40,-0.8516969959404798,-0.5289252355124537,2.0041469095713365,-1.2102436553386422,-1.1029716779353114,-1.6764857146591234,0.0,1.268857754044952,0.0,0.0,15.0,0.0,0.0
2485,0.77,39,191.03033284824625,"[None, 'Other  ', 'Key']",2.111111111111111,0.0,,0.5322264504793197,2.111111111111111,3.518518518518518,0.0,0.0,0.8888888888888888,0.6666666666666666,"{'lift1': 0.4444444444444444, 'lift2': 0.0, 'lift3': 0.2222222222222222}","{'lift1': 0.8888888888888888, 'lift2': 0.7777777777777778, 'lift3': 0.6296296296296295}",2.296296296296296,0.0,0.0,,0.0,0.1111111111111111,8.666666666666666,7.792888888888888,0.0,0.0,2.4444444444444446,0.0,0.0,55.13228563831851,0.0,14.57673008276296,"['lift1', 'lift3']",0.0,2.0,0.0,,2.25,0.0,2.25,0.0,0.0,8.666666666666666,10.857666666666667,0.0,0.0,2.5,1.0,0.0,0.0,0.75,22.22222222222222,0.4444444444444444,0.5,0,,,Tank Drive,Java,0.7777777777777778,39,0.337817800715411,-0.5289252355124537,-0.8283092974071978,0.5660544376964041,0.35767472957635804,1.0165325343386267,0.4714045207910317,0.6372092790401945,0.0,0.0,24.845199749997665,0.0,0.0
2637,1.33,15,225.90258837106796,"['Alliance Wall', 'Other  ', 'Other', 'Key']",2.2222222222222223,0.3333333333333333,,0.9041245621986953,2.4444444444444446,0.0,3.074074074074074,0.0,0.3333333333333333,0.4444444444444444,"{'lift1': 0.4444444444444444, 'lift2': 0.0, 'lift3': 0.0}","{'lift1': 1.5, 'lift2': 0.3333333333333333, 'lift3': 1.1111111111111112}",2.9444444444444446,0.6731967048422745,3.3250452079566006,5.75,0.0,0.4444444444444444,8.666666666666666,5.6743958333333335,0.0,0.0,2.5555555555555554,0.0,0.0,70.69072318736114,0.0,11.131400302088888,['lift1'],0.0,2.5,0.75,,2.75,3.5,3.625,0.7646925858951176,7.481351717902351,8.666666666666666,5.466875,0.0,0.0,2.5,1.0,0.0,0.0,1.0,44.44444444444444,0.8888888888888888,0.75,0,,,Tank Drive,C++,1.5555555555555556,12,0.5964079739014744,0.264462617756227,-0.8283092974071978,0.9615901656183772,1.1543909518554507,1.2569805922848534,0.4969039949999533,1.3005222123021805,0.6703281723665948,6.181465472447073,15.713484026367722,0.0,0.0
981,0.77,40,54.783841952504694,,1.3333333333333333,0.0,,-1.3293233994991964,1.4444444444444444,0.0,0.5555555555555556,0.0,0.4444444444444444,0.0,"{'lift1': 0.0, 'lift2': 0.0, 'lift3': 0.0}","{'lift1': 0.0, 'lift2': 0.5555555555555556, 'lift3': 0.4444444444444444}",1.0,0.0,0.0,,0.1111111111111111,0.0,,9.268222222222223,0.0,0.0,1.4444444444444444,0.0,0.1111111111111111,22.666666666666668,0.0,1.0,,0.1111111111111111,1.5,0.0,,1.25,0.25,0.75,0.0,0.0,,11.424,0.0,0.0,1.25,1.0,0.0,0.25,0.25,16.666666666666668,0.3333333333333333,0.0,0,,,Other,Java,1.0,30,-1.472313411587032,-0.5289252355124537,-0.8283092974071978,-1.4138143805940522,-1.2357577149818268,-1.1474999871774227,0.0,0.9428090415820634,0.0,0.0,23.570226039551585,0.0,0.0
987,2.0,5,142.51549216214312,"[None, 'Hopper']",2.7777777777777777,1.5555555555555556,,1.4337482825629198,2.2222222222222223,0.6666666666666666,0.7777777777777778,0.1111111111111111,0.0,0.2222222222222222,"{'lift1': 0.0, 'lift2': 0.0, 'lift3': 0.2222222222222222}","{'lift1': 0.1111111111111111, 'lift2': 0.4444444444444444, 'lift3': 0.5925925925925926}",1.148148148148148,5.960325646013907,120.37009561195367,11.166666666666668,0.7777777777777778,1.2222222222222223,13.9,2.7785555555555557,0.0,0.0,2.5555555555555554,0.0,0.0,94.10309470474661,0.0,5.241626076970371,['lift3'],0.0,3.0,3.0,,1.75,0.0,0.0,6.707556127255855,121.45454481811709,13.98611111111111,2.68675,0.0,0.0,2.75,1.0,0.0,0.0,0.5,33.333333333333336,0.6666666666666666,0.0,0,,,Tank Drive,C++,1.8888888888888888,7,1.8893588398317902,3.1735514130747235,-0.8283092974071978,1.524876445267678,0.623246803669389,1.2569805922848534,0.41573970964154905,1.5243789353523463,6.02371579625462,80.17347052621535,23.570226039551585,0.0,0.0
60,0.88,35,232.58517851673355,"[None, 'Other  ', 'Other', 'Hopper', 'Key']",2.6666666666666665,0.5555555555555556,2.0,1.304453195969888,2.2222222222222223,0.5185185185185186,1.8888888888888888,0.1111111111111111,0.7777777777777778,0.5555555555555556,"{'lift1': 0.3333333333333333, 'lift2': 0.0, 'lift3': 0.2222222222222222}","{'lift1': 1.1111111111111112, 'lift2': 0.3333333333333333, 'lift3': 1.2222222222222223}",2.6666666666666665,0.0,1.1068057625434673,4.0,0.0,0.0,2.5,7.173041666666667,0.0,0.0,2.5555555555555554,0.0,0.0,78.82485229845894,0.0,12.900361488722222,"['lift1', 'lift3']",0.0,2.5,1.0,3.0,1.75,2.0,3.25,0.0,2.25,2.5,5.78625,0.0,0.0,2.5,0.75,0.0,0.0,1.0,50.0,1.0,0.5,0,,,Tank Drive,Labview,0.8888888888888888,33,1.6307686666457268,0.7933878532686809,1.0599948405784918,1.3873634421607977,0.623246803669389,1.2569805922848534,0.4969039949999533,0.9428090415820634,0.0,2.7992712407290505,0.0,0.0,0.0
585,0.55,45,69.86831946914498,,1.4444444444444444,0.0,,-1.334679225356052,1.4444444444444444,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,"{'lift1': 0.0, 'lift2': 0.0, 'lift3': 0.0}","{'lift1': 0.5555555555555556, 'lift2': 0.2222222222222222, 'lift3': 0.3333333333333333}",1.1111111111111112,0.0,0.0,,0.0,0.1111111111111111,,6.832333333333334,0.0,0.0,1.2222222222222223,0.0,0.0,28.333333333333332,0.0,1.1111111111111112,,0.0,1.75,0.0,,1.5,0.0,1.0,0.0,0.0,,6.668,0.0,0.0,1.25,1.0,0.0,0.0,0.5,22.22222222222222,0.4444444444444444,0.0,0,,,Other,Labview,0.4444444444444444,47,-1.2137232384009686,-0.5289252355124537,-0.8283092974071978,-1.4195106194620601,-1.2357577149818268,-1.6283961030698777,0.0,0.9938079899999066,0.0,0.0,24.845199749997665,0.0,0.0
4470,1.22,23,144.7703831111309,"[None, 'Alliance Wall', 'Key']",2.0,0.0,3.0,0.3089071078879133,2.4444444444444446,0.0,2.0,0.0,0.4444444444444444,0.0,"{'lift1': 0.0, 'lift2': 0.0, 'lift3': 0.0}","{'lift1': 0.3333333333333333, 'lift2': 0.6666666666666666, 'lift3': 1.2407407407407407}",2.240740740740741,0.0,0.0,,0.0,0.0,7.533333333333333,11.105166666666667,17.030303030303028,0.0,2.0,0.0,0.0,32.36195286195286,0.0,2.240740740740741,,0.0,1.75,0.0,3.0,2.25,2.0,2.75,0.0,0.0,7.416666666666666,13.427,12.0,0.0,2.0,0.5,0.0,0.0,0.5,22.22222222222222,0.4444444444444444,0.0,0,,,Tank Drive,C++,1.2222222222222223,22,0.07922762752934767,-0.5289252355124537,2.0041469095713365,0.3285410544673963,1.1543909518554507,0.05474030255371561,0.0,0.75812924038736,0.0,0.0,24.845199749997665,12.594181465868473,0.0
4201,0.88,33,128.58029469943062,"[None, 'Key']",1.6666666666666667,0.2222222222222222,,-0.3304807769420025,2.2222222222222223,1.2222222222222223,0.16666666666666666,0.1111111111111111,0.2777777777777778,0.0,"{'lift1': 0.0, 'lift2': 0.0, 'lift3': 0.0}","{'lift1': 0.3333333333333333, 'lift2': 0.8888888888888888, 'lift3': 0.6111111111111112}",1.8333333333333333,0.3333333333333333,11.333333333333334,2.6666666666666665,0.0,0.3333333333333333,7.583333333333334,6.312238095238095,0.0,0.0,1.7777777777777777,0.0,0.0,49.83333333333333,0.0,1.8333333333333333,,0.0,1.75,0.5,,2.5,0.25,2.25,0.0,15.75,7.583333333333334,4.170333333333334,0.0,0.0,2.0,1.0,0.0,0.0,0.75,38.888888888888886,0.7777777777777778,0.0,0,,,Tank Drive,Labview,0.8888888888888888,34,-0.6965428920288419,6.60628096617611e-17,-0.8283092974071978,-0.3514859327132314,0.623246803669389,-0.42615581333873986,0.0,1.2018504251546631,0.9428090415820634,21.94437412084372,20.78698548207745,0.0,0.0
3045,0.88,34,95.66869229369357,,1.4,0.0,1.0,-1.3180661524175998,1.6,0.0,1.15,0.1,0.85,0.0,"{'lift1': 0.0, 'lift2': 0.0, 'lift3': 0.0}","{'lift1': 0.4, 'lift2': 0.7, 'lift3': 0.25}",1.35,0.0,0.0,,0.0,0.0,,4.325574074074074,0.0,0.0,1.2,0.0,0.0,51.35,0.0,1.35,,0.0,1.5,0.0,1.0,1.75,1.5,1.5,0.0,0.0,,4.740833333333334,0.0,0.0,1.25,1.0,0.0,0.0,1.0,45.0,0.9,0.0,0,,,Tank Drive,C++,0.8,37,-1.317159307675394,-0.5289252355124537,0.11584277158564693,-1.4018416297827314,-0.8639568112515834,-1.6764857146591234,0.0,0.55,0.0,0.0,15.0,0.0,0.0
