teamNumber,matchNumber,avgHopperShotTime,avgKeyShotTime,didBecomeIncapacitated,didLiftoff,didStartDisabled,disfunctionalPercentage,drivingAbility,liftoffAbility,liftoffTime,lowShotTimesForBoilerAuto,lowShotTimesForBoilerTele,numGearsEjectedTele,numGearsFumbledTele,numGearsPlacedAuto,numGearsPlacedTele,numGroundGearIntakesTele,numHighShotsAuto,numHighShotsTele,numHoppersUsedAuto,numHoppersUsedTele,numHumanGearIntakesTele,numLowShotsAuto,numLowShotsTele,numRPs,rankAgility,rankBallControl,rankDefense,rankGearControl,rankSpeed,scoutName,superNotes,wasDisfunctional
1836,55,,6.6,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,0,3,3,9.01155327342747,34.139922978177154,0,0,0,0.0,0.0,0,1,0,0,2,1,"['Noemi', 'Justin', 'Kate']",did not climbed,False
3495,2,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1.6666666666666667,0,1,0,0.0,0.0,0,0,0,0.0,0.0,0,1,0,0,3,3,"['Calvin', 'Ellie', 'Jack']",latched,False
9482,50,,,False,True,False,0.0,,50,7.933333333333334,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,3,0,0.0,0.0,0,0,3,0.0,0.0,3,2,0,0,2,3,"['Ellie', 'Lasthenia', 'Louise']",climbed,False
8971,7,4.666666666666666,7.611111111111111,False,False,False,0.0,,0,,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,2,1.0,0,0,0,0,0,0,0,0,1,0,0,1,3,"['Jack', 'Alex', 'Noah']",,False
1323,28,,,False,True,False,,,,2.7106666666666666,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,,,3,,,0,3,0,,,,,,,,,"['Nick', 'Noah', 'Zoravar']",,
4171,59,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,2,0,2,0,0.30985915492957744,0.0,0,0,2,0.0,0.0,0,3,0,0,3,2,"['Michael', 'Ellie', 'Aidan']",didn't climb because their battery fell out,False
4171,54,,,False,True,False,0.0,,50,6.189333333333334,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,0,1,0,0,0,0,0,2,0,0,1,2,0,0,2,1,"['Lasthenia', 'Caroline', 'Jack']",climbed,False
4171,50,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,3,1,"['Tim', 'Teo', 'Caroline']","didn't climb
super slow",False
9482,5,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,0,3,0,0.0,0.0,0,0,2,0.0,0.0,2,1,0,0,2,3,"['Kate', 'Michael', 'Zoravar']",did not attach,False
1678,35,5.333333333333334,5.575757575757576,False,True,False,0.0,,50,3.6553333333333335,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,1,1,15.925925925925927,81.22222222222223,1,2,0,0.0,0.0,3,3,3,0,2,3,"['Zoravar', 'Noah', 'Nick']",climbed,False
