number,0,1,2,3,4,5,6,7,8
1323,True,True,True,True,False,True,True,True,True
5012,True,True,True,True,False,False,True,False,False
199,True,True,True,False,True,True,True,True,True
3615,False,False,False,False,False,False,False,False,False
3598,True,True,True,False,False,True,True,False,False
701,False,True,True,True,False,False,False,True,True
5507,False,False,True,True,True,False,False,True,False
100,True,True,True,False,False,True,True,False,False
2473,False,False,True,False,False,True,True,True,True
5496,True,False,False,False,True,True,True,False,True
3257,True,False,False,True,False,False,False,True,False
6174,True,False,True,False,True,False,False,False,False
692,True,False,False,False,False,False,True,False,False
3128,False,True,True,True,True,False,True,True,True
973,True,False,True,True,False,False,True,True,True
1056,True,True,False,False,False,True,True,True,True
4171,True,False,True,False,True,True,False,False,True
3250,True,True,False,False,False,True,True,True,True
4698,True,False,True,False,False,True,False,False,True
3013,False,False,False,False,False,False,False,False,False
1072,True,True,True,False,True,False,True,True,True
6474,False,False,True,True,True,True,True,False,True
1678,True,True,True,False,True,True,True,True,True
5905,False,False,True,False,True,True,False,False,False
2073,True,True,True,True,True,True,True,False,True
3189,False,True,True,True,False,False,True,True,False
3859,True,True,True,True,True,True,False,True,False
2543,True,False,True,True,True,False,False,True,True
585,True,False,False,False,True,False,True,False,True
1351,True,False,True,False,True,True,True,True,True
3501,True,False,True,True,True,True,True,False,True
3669,True,False,False,True,True,True,True,True,False
6305,False,True,True,True,False,True,True,True,True
5458,True,False,True,True,False,True,True,True,False
2085,True,True,True,True,False,True,True,False,True
2204,True,False,False,False,False,False,True,True,False
4543,False,False,True,True,True,False,True,True,True
5480,True,False,True,True,True,True,False,True,False
1700,True,False,True,True,True,True,True,True,True
2551,True,False,True,True,True,True,True,True,False
4669,True,True,True,True,True,False,False,False,True
6612,False,True,False,False,False,False,True,False,False
4643,True,False,False,True,True,True,False,True,True
4135,True,False,True,False,False,False,True,True,True
1671,True,False,True,True,True,True,False,True,False
6644,False,False,False,False,False,True,True,False,False
1388,True,False,True,False,True,False,False,True,True
5274,True,False,True,True,False,False,False,False,True
2141,False,True,True,False,True,False,True,True,True
5875,False,False,False,False,False,True,False,False,True
649,True,True,False,True,True,True,True,False,False
2102,False,False,False,True,False,False,True,False,True
295,True,False,True,True,True,True,True,True,False
1458,True,True,False,False,True,True,True,False,True
1662,False,False,False,True,True,True,True,True,True
6665,False,False,False,True,True,False,True,True,True
