Alamo,txsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
231,High Voltage,3,4.12,0.00,-1.23,-1.23,0.37,0.00,21.97,0.37,-1.00,-1.00,7.32,24.87,0.01,-0.44,-0.10,0.33,0.33,0.43,0.10,33.35,2.64,-1.00,-1.00,49.72,0.00,-0.00,0.33,16.47,0.38,-1.00,-1.00,-0.01,0.10,-0.05,-0.05,0.11,0.07,2.51,1.45,55.33,1.20,3.00,-1.00,-1.00,-1.33,76.04,85.88,0.06,-13.69,1456,,,,,
457,Grease Monkeys,3,4.70,0.00,1.33,1.33,0.18,0.00,10.74,0.18,-1.00,-1.00,3.58,16.77,-1.80,-5.82,-2.10,0.33,0.12,0.06,0.00,13.81,0.35,-1.00,-1.00,11.39,-0.03,0.02,0.01,-0.32,0.50,-1.00,-1.00,0.01,0.00,-0.13,-0.12,-0.06,-0.05,-2.12,-1.83,24.55,0.52,0.52,-1.00,-1.00,-0.78,26.33,26.80,-0.21,-67.36,1345,,,,,
653,NOSIDE,2,3.08,-0.14,-0.28,-0.27,-0.00,0.00,-0.28,-0.00,-1.00,-1.00,-0.09,3.56,-0.56,-1.02,-0.33,0.31,0.21,-0.01,-0.01,18.89,0.40,-1.00,-1.00,31.25,0.02,0.02,0.02,8.74,-1.00,-1.00,-1.00,-0.01,-0.01,0.21,-0.03,0.23,-0.05,6.30,-0.86,23.74,0.57,0.48,-1.00,-1.00,-0.39,41.45,41.39,0.06,-18.04,1379,,,,,
2158,ausTIN CANs,3,5.52,-0.07,0.36,0.35,0.11,0.00,6.50,0.11,-1.00,-1.00,2.17,12.37,0.41,-0.93,-0.33,0.33,0.28,0.07,-0.01,22.56,0.76,-1.00,-1.00,35.94,0.07,0.14,0.06,13.71,0.18,-1.00,-1.00,-0.02,-0.01,-0.02,-0.18,-0.21,0.09,-5.39,1.24,29.06,0.67,0.87,-1.00,-1.00,0.01,49.55,48.58,0.22,10.82,1495,,,,,
2190,Team Hero,2,3.01,-0.16,-0.32,-0.32,-0.01,0.00,-0.81,-0.01,-1.00,-1.00,-0.27,3.00,-0.65,-1.23,-0.40,0.31,0.21,-0.02,-0.01,18.34,0.36,-1.00,-1.00,30.11,0.01,0.01,0.01,7.84,-1.00,-1.00,-1.00,-0.01,-0.01,0.22,-0.05,0.25,-0.06,6.65,-1.21,23.15,0.56,0.44,-1.00,-1.00,-0.48,40.14,40.06,0.05,-19.81,1469,,,,,
2969,Hurricane Robotics,2,2.77,-0.21,-0.45,-0.45,-0.04,0.00,-2.42,-0.04,-1.00,-1.00,-0.81,1.33,-0.91,-1.84,-0.60,0.31,0.19,-0.04,-0.02,16.69,0.24,-1.00,-1.00,26.71,-0.02,-0.02,-0.02,5.13,-1.00,-1.00,-1.00,-0.01,-0.02,0.25,-0.08,0.29,-0.10,7.70,-2.26,21.39,0.52,0.31,-1.00,-1.00,-0.75,36.22,36.09,0.02,-25.10,1423,,,,,
3029,T-STEM Titans,2,2.60,-0.25,-0.55,-0.55,-0.06,0.00,-3.64,-0.06,-1.00,-1.00,-1.21,0.07,-1.11,-2.30,-0.75,0.30,0.17,-0.06,-0.02,15.44,0.15,-1.00,-1.00,24.13,-0.04,-0.04,-0.04,3.08,-1.00,-1.00,-1.00,-0.01,-0.02,0.28,-0.11,0.32,-0.13,8.50,-3.05,20.06,0.49,0.22,-1.00,-1.00,-0.95,33.26,33.09,0.00,-29.11,1402,,,,,
3035,Droid Rage,2,2.81,-0.21,-0.43,-0.43,-0.04,0.00,-2.19,-0.04,-1.00,-1.00,-0.73,1.57,-0.87,-1.75,-0.57,0.31,0.19,-0.04,-0.01,16.92,0.26,-1.00,-1.00,27.19,-0.01,-0.01,-0.02,5.52,-1.00,-1.00,-1.00,-0.01,-0.01,0.25,-0.08,0.28,-0.10,7.55,-2.11,21.64,0.52,0.33,-1.00,-1.00,-0.71,36.78,36.66,0.03,-24.35,1425,,,,,
3103,Iron Plaid,3,3.79,0.00,-0.95,-0.95,0.01,0.00,0.59,0.01,-1.00,-1.00,0.20,3.44,-0.01,-0.65,-0.20,0.33,0.33,0.23,-0.09,31.62,1.00,-1.00,-1.00,72.73,0.16,0.24,0.43,41.31,0.81,-1.00,-1.00,-0.01,-0.09,-0.12,-0.07,0.35,0.03,8.13,0.44,32.21,0.80,1.01,-1.00,-1.00,-1.15,76.60,67.17,0.20,5.37,1479,,,,,
