ArizonaNorth,azfl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
60,Bionic Bulldogs,5.75,-0.00,-0.35,-0.35,0.30,0.00,18.10,0.30,-1.00,-1.00,6.03,23.50,0.99,-1.23,-0.30,0.33,0.38,0.06,0.00,19.10,0.72,-1.00,-1.00,51.02,0.35,0.33,-0.03,32.22,0.84,-1.00,-1.00,0.00,0.00,-0.06,0.06,0.03,0.63,0.54,16.02,37.20,0.78,1.02,-1.00,-1.00,-0.65,90.54,90.54,0.49,60.93,1603,,,,,
115,MVRT,2.01,0.01,-0.14,-0.14,0.08,0.00,4.70,0.08,-1.00,-1.00,1.57,6.58,0.72,-0.25,0.01,0.33,0.33,0.12,0.00,28.33,1.07,-1.00,-1.00,81.75,0.49,0.32,0.25,53.40,1.00,-1.00,-1.00,0.00,0.00,-0.11,0.18,-0.05,0.10,-1.80,3.40,33.04,0.79,1.15,-1.00,-1.00,-0.13,91.72,91.72,0.14,27.91,1517,,,,,
192,GRT,4.79,0.01,2.29,2.29,0.09,0.00,5.67,0.09,-1.00,-1.00,1.89,12.76,-0.16,-1.98,-0.63,0.33,0.36,0.17,0.00,30.94,1.32,-1.00,-1.00,81.58,0.39,0.10,0.53,51.27,0.72,-1.00,-1.00,0.00,0.00,0.21,-0.04,0.24,0.71,6.94,17.45,36.61,0.87,1.42,-1.00,-1.00,1.66,111.79,111.79,0.54,43.75,1594,,,,,
498,The Cobra Commanders,5.36,-0.00,0.60,0.60,0.28,0.00,16.67,0.28,-1.00,-1.00,5.56,22.63,-0.08,0.26,0.10,0.33,0.44,0.26,0.00,30.21,1.64,-1.00,-1.00,65.97,0.32,0.30,0.10,35.67,0.77,-1.00,-1.00,0.00,0.00,-0.14,0.08,0.11,-0.00,1.94,0.35,46.88,1.03,1.92,-1.00,-1.00,0.69,88.95,88.95,0.49,49.89,1588,,,,,
842,Falcon Robotics,5.22,-0.01,1.42,1.42,0.42,0.00,25.29,0.42,-1.00,-1.00,8.43,31.93,0.11,6.49,2.08,0.33,0.31,0.22,0.00,17.62,1.08,-1.00,-1.00,49.06,0.24,0.03,0.32,29.36,0.47,-1.00,-1.00,0.00,0.00,0.07,0.14,0.25,-0.05,6.48,-0.49,42.91,0.86,1.50,-1.00,-1.00,3.50,80.50,80.50,0.41,18.36,1561,,,,,
991,BroncoBotics,4.10,-0.00,-0.12,-0.12,0.14,0.00,8.44,0.14,-1.00,-1.00,2.81,12.43,-0.29,1.01,0.33,0.33,0.35,0.21,0.00,29.81,1.38,-1.00,-1.00,54.00,0.25,-0.03,0.25,23.86,0.69,-1.00,-1.00,0.00,0.00,0.32,0.30,-0.20,0.29,-3.44,8.69,38.25,0.89,1.52,-1.00,-1.00,0.21,75.12,75.12,0.30,42.80,1517,,,,,
996,Mecha Knights,5.28,0.00,-0.33,-0.33,0.20,0.00,11.76,0.20,-1.00,-1.00,3.92,16.71,0.18,0.16,0.06,0.33,0.32,0.33,0.00,31.57,1.78,-1.00,-1.00,63.59,0.02,0.19,0.43,31.97,0.43,-1.00,-1.00,0.00,0.00,0.19,0.13,-0.24,-0.02,-5.05,0.08,43.32,0.99,1.97,-1.00,-1.00,-0.27,80.38,80.38,0.43,47.53,1496,,,,,
1011,CRUSH,5.71,-0.00,0.11,0.11,0.17,0.00,10.00,0.17,-1.00,-1.00,3.33,15.82,-0.50,1.40,0.33,0.33,0.42,0.50,0.00,43.56,2.68,-1.00,-1.00,66.22,0.12,0.30,0.02,22.33,0.53,-1.00,-1.00,0.00,0.00,0.22,0.31,-0.18,0.64,-3.52,17.55,53.56,1.26,2.85,-1.00,-1.00,0.44,99.59,99.59,0.52,74.70,1611,,,,,
1160,Titanium,4.34,0.08,0.02,0.02,0.09,0.00,5.63,0.09,-1.00,-1.00,1.88,9.98,-0.47,4.69,1.49,0.33,0.39,-0.20,0.00,17.10,-0.12,-1.00,-1.00,62.03,0.36,0.35,0.16,43.44,0.60,-1.00,-1.00,0.00,0.00,-0.32,0.43,-0.25,-0.10,-7.88,-0.30,22.73,0.52,-0.02,-1.00,-1.00,1.51,71.72,71.72,0.23,5.22,1456,,,,,
1165,Team Paradise,5.23,-0.00,0.18,0.18,0.20,0.00,11.73,0.20,-1.00,-1.00,3.91,17.14,1.77,0.47,0.30,0.33,0.41,0.23,0.00,31.32,1.56,-1.00,-1.00,44.79,0.18,0.09,-0.00,13.18,0.27,-1.00,-1.00,0.00,0.00,-0.15,0.28,0.14,-0.25,2.83,-4.83,43.06,0.98,1.75,-1.00,-1.00,0.48,57.11,57.11,0.01,-17.89,1479,,,,,
1197,TorBots,5.55,0.09,1.10,1.10,0.02,0.00,1.05,0.02,-1.00,-1.00,0.35,7.70,-0.06,1.14,0.28,0.33,0.30,0.05,0.00,26.97,0.81,-1.00,-1.00,66.78,0.32,0.09,0.38,39.53,0.86,-1.00,-1.00,0.00,0.00,0.48,0.36,-0.01,0.26,2.05,8.34,28.02,0.69,0.83,-1.00,-1.00,1.38,82.82,82.82,0.32,12.63,1491,,,,,
