ArizonaWest,azpx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
330,The Beach Bots,3,4.04,-0.00,10.53,10.53,0.22,0.00,13.03,0.22,-1.00,-1.00,4.34,27.60,0.12,30.10,9.82,0.33,0.35,0.64,0.00,44.27,3.07,-1.00,-1.00,79.47,0.25,0.20,0.05,25.39,0.88,-1.00,-1.00,0.23,0.00,-0.09,-0.11,0.09,0.01,1.78,-0.23,57.30,1.32,3.29,-1.00,-1.00,20.35,106.84,111.84,0.40,32.89,1699,,,,,
498,The Cobra Commanders,3,5.36,-0.00,0.60,0.60,0.28,0.00,16.67,0.28,-1.00,-1.00,5.56,22.63,-0.08,0.26,0.10,0.33,0.44,0.26,0.00,30.21,1.64,-1.00,-1.00,65.97,0.32,0.30,0.10,35.67,0.77,-1.00,-1.00,0.00,0.00,-0.14,0.08,0.11,-0.00,1.94,0.35,46.88,1.03,1.92,-1.00,-1.00,0.69,88.95,88.95,0.49,49.89,1588,,,,,
696,Circuit Breakers,3,4.44,-0.02,-0.09,-0.10,0.19,0.00,11.60,0.19,-1.00,-1.00,3.87,15.95,1.72,-4.31,-1.16,0.33,0.34,0.34,0.09,36.44,2.38,-1.00,-1.00,30.40,-0.14,-0.06,0.10,-4.88,0.59,-1.00,-1.00,-0.04,0.09,0.15,-0.15,-0.21,0.82,-4.43,19.75,48.04,1.10,2.57,-1.00,-1.00,-1.26,66.09,74.48,0.61,59.10,1623,,,,,
698,Hamilton Microbots,2,3.27,-0.10,-0.18,-0.17,0.02,0.00,1.04,0.02,-1.00,-1.00,0.35,4.92,-0.35,-0.52,-0.17,0.32,0.23,0.01,-0.01,20.24,0.50,-1.00,-1.00,34.02,0.04,0.05,0.04,10.95,-1.00,-1.00,-1.00,-0.00,-0.01,0.18,-0.01,0.20,-0.02,5.45,0.00,25.17,0.60,0.58,-1.00,-1.00,-0.17,44.65,44.63,0.09,-13.73,1462,,,,,
991,BroncoBotics,3,4.10,-0.00,-0.12,-0.12,0.14,0.00,8.44,0.14,-1.00,-1.00,2.81,12.43,-0.29,1.01,0.33,0.33,0.35,0.21,0.00,29.81,1.38,-1.00,-1.00,54.00,0.25,-0.03,0.25,23.86,0.69,-1.00,-1.00,0.00,0.00,0.32,0.30,-0.20,0.29,-3.44,8.69,38.25,0.89,1.52,-1.00,-1.00,0.21,75.12,75.12,0.30,42.80,1517,,,,,
1165,Team Paradise,3,5.23,-0.00,0.18,0.18,0.20,0.00,11.73,0.20,-1.00,-1.00,3.91,17.14,1.77,0.47,0.30,0.33,0.41,0.23,0.00,31.32,1.56,-1.00,-1.00,44.79,0.18,0.09,-0.00,13.18,0.27,-1.00,-1.00,0.00,0.00,-0.15,0.28,0.14,-0.25,2.83,-4.83,43.06,0.98,1.75,-1.00,-1.00,0.48,57.11,57.11,0.01,-17.89,1479,,,,,
1212,Sentinels,2,3.79,0.01,0.11,0.11,0.08,0.00,4.56,0.08,-1.00,-1.00,1.52,8.58,0.23,0.82,0.27,0.33,0.28,0.07,-0.00,23.86,0.77,-1.00,-1.00,41.48,0.11,0.11,0.11,16.88,-1.00,-1.00,-1.00,-0.00,-0.00,0.10,0.07,0.11,0.08,3.15,2.30,29.03,0.68,0.85,-1.00,-1.00,0.41,53.25,53.34,0.15,-2.13,1415,,,,,
1290,Robowolves,2,3.40,-0.07,-0.11,-0.10,0.03,0.00,1.88,0.03,-1.00,-1.00,0.63,5.80,-0.21,-0.20,-0.06,0.32,0.24,0.03,-0.01,21.11,0.57,-1.00,-1.00,35.81,0.06,0.06,0.06,12.37,-1.00,-1.00,-1.00,-0.00,-0.01,0.16,0.01,0.18,0.01,4.89,0.55,26.10,0.62,0.65,-1.00,-1.00,-0.03,46.71,46.72,0.10,-10.95,1374,,,,,
1492,Team CAUTION,3,2.58,-0.01,1.09,1.09,0.01,0.00,0.71,0.01,-1.00,-1.00,0.24,4.38,-0.97,3.07,0.85,0.33,0.40,0.34,0.00,42.38,2.14,-1.00,-1.00,84.43,0.27,0.39,0.17,41.20,0.79,-1.00,-1.00,0.00,0.00,-0.31,0.02,-0.07,-0.05,-3.41,-1.17,43.09,1.07,2.16,-1.00,-1.00,1.94,87.63,87.63,0.19,28.39,1540,,,,,
1633,RoboBuffs,2,2.14,-0.35,-0.80,-0.80,-0.11,0.00,-6.78,-0.11,-1.00,-1.00,-2.26,-3.20,-1.62,-3.50,-1.15,0.29,0.13,-0.11,-0.02,12.20,-0.09,-1.00,-1.00,17.47,-0.10,-0.10,-0.10,-2.21,-1.00,-1.00,-1.00,-0.01,-0.02,0.35,-0.18,0.40,-0.22,10.55,-5.11,16.61,0.41,-0.03,-1.00,-1.00,-1.47,25.58,25.31,-0.06,-39.47,1358,,,,,
1726,N.E.R.D.S. (Nifty Engineering Robotics Design Squad),3,5.54,-0.01,-1.50,-1.50,-0.03,0.00,-1.65,-0.03,-1.00,-1.00,-0.55,2.39,-0.48,-2.13,-0.68,0.36,0.46,-0.04,0.00,32.02,0.80,-1.00,-1.00,71.14,0.21,0.46,0.12,39.80,0.69,-1.00,-1.00,-0.04,0.00,0.27,-0.10,-0.08,0.30,-0.61,6.97,30.37,0.77,0.78,-1.00,-1.00,-2.18,80.50,79.64,0.44,41.59,1540,,,,,
