ArkansasRockCity,arli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
16,Bomb Squad,3.00,0.01,5.16,5.16,0.16,0.00,9.88,0.16,-1.00,-1.00,3.29,18.05,0.03,4.03,1.25,0.35,0.30,0.36,0.00,33.74,1.89,-1.00,-1.00,94.56,0.25,0.35,0.60,59.57,0.88,-1.00,-1.00,0.00,0.00,-0.00,-0.10,0.18,0.02,4.37,-0.04,43.62,1.01,2.05,-1.00,-1.00,6.42,112.57,112.57,0.45,72.94,1693,,,,,
141,WOBOT,4.43,-0.02,-0.07,-0.07,0.25,0.00,14.86,0.25,-1.00,-1.00,4.95,19.21,-0.36,0.78,0.17,0.31,0.36,0.20,0.00,24.51,1.21,-1.00,-1.00,50.69,0.26,-0.00,0.26,26.02,0.67,-1.00,-1.00,0.00,0.00,0.28,0.07,-0.03,0.42,0.56,10.92,39.36,0.86,1.46,-1.00,-1.00,0.09,80.83,80.83,0.27,18.06,1506,,,,,
364,Team Fusion,5.90,-0.00,0.15,0.15,0.20,0.00,11.82,0.20,-1.00,-1.00,3.94,17.87,-0.15,-0.67,-0.22,0.37,0.29,-0.19,0.00,10.88,-0.36,-1.00,-1.00,17.68,-0.02,0.24,-0.09,7.02,0.27,-1.00,-1.00,0.00,0.00,-0.05,0.03,0.31,0.35,7.47,8.85,22.69,0.47,-0.16,-1.00,-1.00,-0.06,44.41,44.41,0.03,-56.64,1466,,,,,
938,Team Botman,6.36,0.01,-0.32,-0.32,0.16,0.00,9.84,0.16,-1.00,-1.00,3.28,15.88,0.80,-1.46,-0.37,0.34,0.25,0.21,0.00,25.50,1.18,-1.00,-1.00,14.60,-0.18,-0.15,0.11,-10.53,0.11,-1.00,-1.00,0.00,0.00,-0.11,0.32,0.05,-0.24,0.69,-4.47,35.34,0.80,1.34,-1.00,-1.00,-0.69,26.02,26.02,-0.10,-39.19,1338,,,,,
1421,Team Chaos,5.77,-0.01,-0.29,-0.29,0.15,0.00,9.01,0.15,-1.00,-1.00,3.00,14.48,0.87,-2.42,-0.67,0.22,0.33,-0.05,0.00,13.84,0.17,-1.00,-1.00,27.88,0.11,0.05,0.14,14.71,0.45,-1.00,-1.00,0.00,0.00,0.21,0.04,-0.31,0.39,-6.60,10.01,22.85,0.50,0.32,-1.00,-1.00,-0.96,52.37,52.37,-0.03,-9.75,1497,,,,,
1764,Liberty Robotics,3.61,-0.02,1.41,1.41,0.30,0.00,18.29,0.30,-1.00,-1.00,6.10,23.32,-1.13,2.66,0.76,0.32,0.38,0.02,0.00,16.60,0.53,-1.00,-1.00,31.84,-0.03,0.13,0.18,14.48,0.22,-1.00,-1.00,0.00,0.00,0.28,0.17,0.61,0.08,16.73,2.74,34.90,0.72,0.84,-1.00,-1.00,2.17,57.90,57.90,-0.02,-59.16,1348,,,,,
1775,Tigerbytes,3.33,0.02,-0.33,-0.33,0.07,0.00,3.98,0.07,-1.00,-1.00,1.33,6.99,-0.01,12.12,3.81,0.36,0.13,0.11,0.00,21.69,0.67,-1.00,-1.00,66.50,0.60,0.05,0.16,40.99,0.91,-1.00,-1.00,0.00,0.00,0.21,0.24,-0.14,0.08,-2.55,3.29,25.67,0.61,0.74,-1.00,-1.00,3.48,76.77,76.77,0.25,26.14,1524,,,,,
1912,Team Combustion,2.55,-0.01,0.51,0.51,0.18,0.00,11.09,0.18,-1.00,-1.00,3.70,14.15,-0.69,0.05,-0.03,0.35,0.35,0.06,0.00,22.74,0.78,-1.00,-1.00,34.20,0.18,-0.02,0.07,11.49,0.22,-1.00,-1.00,0.00,0.00,-0.05,-0.15,0.14,0.25,3.27,5.56,33.84,0.75,0.97,-1.00,-1.00,0.48,53.91,53.91,0.19,4.04,1469,,,,,
2004,Thunderducks,1.11,0.00,1.48,1.48,0.32,0.00,19.24,0.32,-1.00,-1.00,6.41,21.83,-0.34,-1.36,-0.39,0.33,0.05,0.12,0.00,7.04,0.49,-1.00,-1.00,10.04,-0.07,-0.05,0.19,3.40,0.22,-1.00,-1.00,0.00,0.00,0.01,0.30,0.56,-0.16,14.14,-2.59,26.28,0.50,0.81,-1.00,-1.00,1.09,29.29,29.29,-0.06,-62.99,1368,,,,,
