Bayou,lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
281,The GreenVillains,3.33,-0.03,1.97,1.97,0.11,0.00,6.62,0.11,-1.00,-1.00,2.21,11.92,0.20,-0.32,-0.07,0.33,0.20,0.29,-0.04,26.87,1.21,-1.00,-1.00,97.43,0.71,0.50,0.21,70.63,1.00,-1.00,-1.00,0.00,-0.04,0.10,0.36,0.15,0.09,4.16,4.12,33.48,0.78,1.32,-1.00,-1.00,1.90,113.46,109.56,0.25,56.03,1559,,,,,
283,The Generals,5.75,0.03,0.33,0.33,0.42,0.00,24.98,0.42,-1.00,-1.00,8.33,31.06,-0.26,-1.03,-0.56,0.33,0.33,0.68,0.00,37.42,3.00,-1.00,-1.00,83.38,0.20,0.44,0.29,46.52,1.00,-1.00,-1.00,0.00,0.00,0.21,0.12,-0.23,0.73,-4.60,18.76,62.40,1.35,3.41,-1.00,-1.00,-0.23,133.20,133.51,0.35,55.89,1575,,,,,
364,Team Fusion,3.22,-0.03,-0.27,-0.27,0.09,0.00,5.54,0.09,-1.00,-1.00,1.85,8.48,-0.77,-0.38,-0.27,0.33,0.43,0.56,0.00,49.56,3.03,-1.00,-1.00,96.16,-0.02,0.48,0.48,46.86,0.70,-1.00,-1.00,0.00,0.00,0.10,-0.19,-0.07,-0.02,-1.25,-1.53,55.10,1.33,3.13,-1.00,-1.00,-0.54,103.11,103.21,0.46,2.16,1483,,,,,
456,Siege Robotics,3.73,0.02,0.06,0.06,0.24,0.00,14.37,0.24,-1.00,-1.00,4.79,18.16,-0.89,-0.77,-0.29,0.33,0.38,0.19,0.25,36.44,2.77,-1.00,-1.00,76.66,0.02,0.24,0.54,40.51,0.90,-1.00,-1.00,0.00,0.25,0.16,-0.05,0.29,0.10,8.11,2.35,50.81,1.15,3.01,-1.00,-1.00,-0.23,97.18,121.90,0.03,8.30,1557,,,,,
590,Chahta Warriors,2.20,0.12,-0.70,-0.70,0.04,0.00,2.15,0.04,-1.00,-1.00,0.72,3.66,9.37,-4.27,-0.55,0.33,0.27,0.05,-0.03,23.70,0.55,-1.00,-1.00,15.11,0.01,-0.09,-0.08,-8.04,0.00,-1.00,-1.00,0.00,-0.03,-0.10,-0.07,-0.16,0.22,-4.43,5.02,25.85,0.63,0.58,-1.00,-1.00,-1.24,23.78,20.98,0.32,5.44,1358,,,,,
1421,Team Chaos,4.45,0.00,-0.00,-0.00,-0.11,0.00,-6.84,-0.11,-1.00,-1.00,-2.28,-2.39,-0.59,0.90,0.22,0.33,0.21,0.18,-0.01,33.05,1.18,-1.00,-1.00,94.14,0.47,0.46,0.29,60.87,1.00,-1.00,-1.00,0.00,-0.01,-0.01,0.24,0.32,-0.21,7.95,-4.14,26.22,0.71,1.07,-1.00,-1.00,0.22,87.61,86.56,0.28,1.30,1480,,,,,
1730,Team Driven,3.63,-0.00,0.14,0.14,0.53,0.00,31.90,0.53,-1.00,-1.00,10.63,35.67,-0.00,1.85,0.63,0.33,0.33,0.38,0.12,25.19,2.35,-1.00,-1.00,60.01,-0.11,0.36,0.43,34.20,0.75,-1.00,-1.00,0.00,0.12,-0.06,0.09,0.20,0.73,4.64,18.72,57.08,1.16,2.89,-1.00,-1.00,0.77,114.40,125.96,0.46,47.15,1667,,,,,
1818,Team Talos,4.00,0.00,0.16,0.16,-0.03,0.00,-1.53,-0.03,-1.00,-1.00,-0.51,2.63,0.04,0.04,0.05,0.33,0.39,0.05,0.00,32.20,1.04,-1.00,-1.00,34.80,-0.16,-0.09,0.29,2.55,0.38,-1.00,-1.00,0.00,0.00,0.26,0.20,-0.03,0.41,0.65,11.25,30.66,0.78,1.01,-1.00,-1.00,0.21,48.67,49.09,0.14,-16.08,1439,,,,,
1902,Exploding Bacon,4.53,-0.02,-0.09,-0.09,-0.15,0.00,-8.76,-0.15,-1.00,-1.00,-2.92,-4.32,0.09,-0.18,-0.03,0.33,0.39,0.32,0.05,49.11,2.46,-1.00,-1.00,80.40,0.20,0.19,0.23,31.32,0.63,-1.00,-1.00,0.00,0.05,-0.36,-0.23,0.21,0.30,3.43,6.39,40.34,1.08,2.31,-1.00,-1.00,-0.12,82.46,87.03,-0.05,-25.76,1447,,,,,
