BrazosValley,txwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
418,Purple Haze,5.80,0.00,0.07,0.07,0.35,0.00,21.09,0.35,-1.00,-1.00,7.03,26.96,-0.37,-0.48,-0.19,0.33,0.38,0.59,0.04,39.82,3.01,-1.00,-1.00,80.68,0.16,0.36,0.30,41.05,0.77,-1.00,-1.00,0.00,0.04,0.37,-0.12,0.12,-0.06,4.96,-2.22,60.91,1.35,3.36,-1.00,-1.00,-0.12,105.42,109.67,0.13,1.86,1483,,,,,
647,Cyberwolves ,3.52,0.00,-0.15,-0.15,0.29,0.00,17.14,0.29,-1.00,-1.00,5.71,20.51,-0.00,-1.44,-0.44,0.33,0.26,0.23,-0.06,19.34,0.83,-1.00,-1.00,32.30,0.11,0.26,-0.10,13.40,0.36,-1.00,-1.00,0.00,-0.06,0.04,-0.06,0.05,0.03,1.40,0.34,36.48,0.77,1.11,-1.00,-1.00,-0.59,53.14,47.32,-0.04,-53.76,1306,,,,,
704,Warriors,5.27,0.00,0.14,0.14,0.48,0.00,28.85,0.48,-1.00,-1.00,9.62,34.26,-0.15,-0.76,-0.34,0.33,0.34,0.29,-0.05,17.63,1.09,-1.00,-1.00,47.57,0.30,0.22,0.09,30.27,0.83,-1.00,-1.00,0.00,-0.05,0.05,-0.03,0.10,0.94,2.87,23.42,46.47,0.92,1.57,-1.00,-1.00,-0.20,105.25,100.23,0.53,45.31,1577,,,,,
1296,Full Metal Jackets,5.72,0.00,-0.19,-0.19,0.49,0.00,29.33,0.49,-1.00,-1.00,9.78,34.87,-0.13,-0.49,-0.15,0.33,0.43,0.31,0.25,33.51,3.10,-1.00,-1.00,69.14,0.10,0.47,0.15,35.78,0.87,-1.00,-1.00,0.00,0.25,-0.02,0.22,-0.20,0.00,-5.05,1.21,62.84,1.33,3.58,-1.00,-1.00,-0.34,105.22,130.56,0.37,45.51,1584,,,,,
1642,Techno-Cats,3.13,0.00,-0.33,-0.33,0.04,0.00,2.18,0.04,-1.00,-1.00,0.73,4.98,0.14,-1.49,-0.49,0.33,0.25,0.02,-0.03,21.20,0.33,-1.00,-1.00,16.19,0.06,-0.03,-0.12,-4.53,0.18,-1.00,-1.00,0.00,-0.03,-0.05,-0.02,-0.02,0.37,-0.85,9.14,23.39,0.57,0.37,-1.00,-1.00,-0.81,30.32,26.88,0.10,-17.36,1358,,,,,
1817,Llano Estacado RoboRaiders,5.38,0.00,1.02,1.02,0.01,0.00,0.67,0.01,-1.00,-1.00,0.22,7.07,-0.20,-0.78,-0.32,0.33,0.36,0.06,0.06,32.24,1.30,-1.00,-1.00,56.87,0.13,0.26,0.11,24.95,0.50,-1.00,-1.00,0.00,0.06,0.16,0.15,-0.05,-0.32,-0.48,-7.13,32.91,0.82,1.31,-1.00,-1.00,0.70,56.81,62.35,-0.04,-17.98,1533,,,,,
2333,S.C.R.E.E.C.H.,5.28,0.00,-0.19,-0.19,0.12,0.00,7.40,0.12,-1.00,-1.00,2.47,12.49,0.05,0.23,0.08,0.33,0.34,0.49,0.16,47.81,3.45,-1.00,-1.00,81.01,0.09,0.25,0.32,33.12,0.78,-1.00,-1.00,0.00,0.16,-0.02,0.43,0.11,-0.17,2.74,-2.23,55.21,1.32,3.57,-1.00,-1.00,-0.11,91.28,106.82,0.07,6.02,1473,,,,,
2721,Blue mite,1.21,0.00,0.09,0.09,0.13,0.00,7.75,0.13,-1.00,-1.00,2.58,9.05,-0.35,0.52,0.13,0.33,0.01,-0.05,-0.01,6.03,-0.30,-1.00,-1.00,21.10,-0.20,0.17,0.33,14.94,0.36,-1.00,-1.00,0.00,-0.01,0.04,0.29,0.46,0.13,11.64,4.58,13.78,0.28,-0.18,-1.00,-1.00,0.22,34.73,33.63,-0.00,-65.26,1293,,,,,
2805,Ghost in the Machine,3.26,0.00,0.28,0.28,-0.06,0.00,-3.73,-0.06,-1.00,-1.00,-1.24,-0.19,0.01,-0.26,-0.07,0.33,0.28,-0.05,-0.04,23.37,0.18,-1.00,-1.00,44.02,0.05,0.20,0.16,20.72,0.45,-1.00,-1.00,0.00,-0.04,0.48,0.04,-0.16,-0.34,-1.51,-8.22,19.65,0.52,0.12,-1.00,-1.00,0.21,35.60,31.56,-0.04,-54.54,1380,,,,,
