Buckeye,ohcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
120,Cleveland's Team,4.69,-0.16,-1.22,-1.26,0.20,0.00,11.95,0.20,-1.00,-1.00,3.98,15.39,1.17,3.40,1.07,0.33,0.34,0.07,0.07,24.77,1.20,-1.00,-1.00,60.72,0.21,0.26,0.23,34.88,0.44,-1.00,-1.00,-0.01,0.07,-0.09,-0.13,-0.25,0.15,-6.74,3.20,36.72,0.82,1.40,-1.00,-1.00,-0.19,79.31,86.10,0.17,16.75,1468,,,,,
128,The Botcats,5.81,0.07,0.08,0.07,-0.03,0.00,-1.93,-0.03,-1.00,-1.00,-0.64,3.95,-0.29,-2.42,-0.84,0.33,0.36,-0.08,0.06,28.37,0.82,-1.00,-1.00,14.81,-0.13,0.05,-0.17,-12.73,0.11,-1.00,-1.00,-0.01,0.06,0.10,0.05,0.12,-0.14,3.39,-3.19,26.44,0.68,0.79,-1.00,-1.00,-0.76,15.58,21.74,-0.30,-115.06,1300,,,,,
156,RPM  - Robotics Plus Mayhem ,4.61,-0.02,-0.73,-0.73,0.06,0.00,3.39,0.06,-1.00,-1.00,1.13,7.27,2.57,0.44,0.35,0.33,0.32,0.23,-0.03,31.91,1.32,-1.00,-1.00,72.39,0.24,0.20,0.36,40.13,0.81,-1.00,-1.00,-0.01,-0.03,0.00,0.29,-0.15,0.12,-3.83,4.33,35.29,0.85,1.38,-1.00,-1.00,-0.38,83.98,80.79,0.28,14.33,1515,,,,,
174,Arctic Warriors,3.91,0.75,-0.09,0.14,0.35,0.00,20.79,0.35,-1.00,-1.00,6.93,24.84,-0.08,1.75,0.48,0.33,0.36,0.32,-0.03,25.40,1.48,-1.00,-1.00,75.32,0.22,0.35,0.42,49.44,1.00,-1.00,-1.00,0.01,-0.03,0.04,-0.07,0.22,-0.21,5.63,-5.51,46.19,0.98,1.83,-1.00,-1.00,0.62,94.65,92.13,0.41,33.33,1484,,,,,
291,CIA - Creativity In Action,4.95,0.09,0.25,0.28,-0.14,0.00,-8.67,-0.14,-1.00,-1.00,-2.89,-3.43,-0.31,4.12,1.19,0.33,0.35,0.57,-0.05,53.94,2.83,-1.00,-1.00,111.99,0.30,0.56,0.27,56.85,0.93,-1.00,-1.00,0.06,-0.05,-0.11,-0.04,0.29,0.18,6.67,4.32,45.28,1.20,2.69,-1.00,-1.00,1.48,112.87,109.19,0.44,26.65,1495,,,,,
340,G.R.R. (Greater Rochester Robotics),5.12,-0.15,-0.76,-0.79,0.42,0.00,24.97,0.42,-1.00,-1.00,8.32,29.30,-0.09,-2.61,-0.76,0.33,0.33,0.41,0.46,44.75,4.65,-1.00,-1.00,81.38,0.23,0.11,0.41,37.39,1.00,-1.00,-1.00,-0.01,0.46,0.34,0.14,-0.08,0.19,-0.38,5.46,69.72,1.53,5.07,-1.00,-1.00,-1.55,116.14,161.86,0.11,49.97,1618,,,,,
378,The Circuit Stompers,5.16,0.15,-0.36,-0.30,0.19,0.00,11.16,0.19,-1.00,-1.00,3.72,16.01,0.09,-0.83,-0.26,0.33,0.32,0.43,-0.01,35.63,2.13,-1.00,-1.00,67.06,0.30,0.04,0.30,31.69,0.67,-1.00,-1.00,0.02,-0.01,0.17,0.00,0.03,-0.18,1.70,-4.41,46.78,1.08,2.32,-1.00,-1.00,-0.56,78.66,78.25,0.00,-33.57,1435,,,,,
379,RoboCats,4.78,-0.20,1.06,0.99,0.38,0.00,22.72,0.38,-1.00,-1.00,7.57,28.49,0.01,3.08,0.99,0.33,0.35,0.35,0.03,27.48,1.91,-1.00,-1.00,75.51,0.35,0.57,0.02,47.05,1.00,-1.00,-1.00,0.06,0.03,0.50,0.33,-0.25,0.06,-3.85,3.24,50.20,1.07,2.29,-1.00,-1.00,1.98,107.25,111.62,0.53,57.88,1612,,,,,
451,The Cat Attack,4.13,0.50,-1.14,-1.05,0.22,0.00,13.44,0.22,-1.00,-1.00,4.48,16.52,0.51,-4.28,-1.34,0.33,0.33,0.15,-0.04,22.14,0.80,-1.00,-1.00,53.05,0.34,0.19,0.12,32.25,0.56,-1.00,-1.00,-0.04,-0.04,0.18,-0.05,-0.35,0.10,-7.75,2.26,35.58,0.78,1.02,-1.00,-1.00,-2.39,71.84,66.67,0.13,2.19,1450,,,,,
