CHSCentralMaryland,mdedg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
449,The Blair Robot Project,3.82,0.02,-0.00,-0.00,0.25,0.00,15.07,0.25,-1.00,-1.00,5.02,18.89,0.25,0.07,0.00,0.34,0.29,0.13,0.00,20.30,0.84,-1.00,-1.00,42.85,0.10,0.24,0.11,22.55,0.70,-1.00,-1.00,0.00,0.00,0.10,0.08,0.49,-0.08,12.86,-1.67,35.37,0.76,1.09,-1.00,-1.00,-0.00,60.07,60.07,0.02,-25.67,1402,,,,,
619,Cavalier Robotics,4.54,0.06,-0.01,0.01,0.02,0.00,1.17,0.02,-1.00,-1.00,0.39,5.72,0.70,-0.08,0.09,0.34,0.38,0.32,0.00,40.89,2.03,-1.00,-1.00,88.26,0.23,0.45,0.27,47.29,0.86,-1.00,-1.00,0.00,0.00,0.10,-0.14,-0.12,0.54,-2.43,12.85,42.06,1.04,2.05,-1.00,-1.00,0.09,106.83,106.83,0.37,29.54,1469,,,,,
686,Bovine Intervention,3.80,-0.09,-0.00,-0.04,0.16,0.00,9.42,0.16,-1.00,-1.00,3.14,13.19,-0.40,-0.01,-0.02,0.35,0.23,0.23,0.00,26.02,1.21,-1.00,-1.00,42.34,0.04,0.16,0.12,16.35,0.82,-1.00,-1.00,0.00,0.00,0.01,0.19,0.05,-0.21,1.24,-4.22,35.44,0.81,1.37,-1.00,-1.00,-0.06,51.31,51.31,0.18,-2.93,1455,,,,,
1123,AIM Robotics,4.78,0.19,0.01,0.05,0.14,0.00,8.36,0.14,-1.00,-1.00,2.79,13.18,-0.13,-0.02,-0.04,0.35,0.28,0.54,0.00,41.03,2.58,-1.00,-1.00,74.38,0.24,0.14,0.29,33.39,0.59,-1.00,-1.00,0.00,0.00,0.25,0.09,-0.01,0.55,0.89,14.14,49.39,1.17,2.72,-1.00,-1.00,0.01,101.70,101.70,0.42,41.88,1490,,,,,
1389,The Body Electric ,5.38,-0.24,-0.01,-0.06,-0.01,0.00,-0.75,-0.01,-1.00,-1.00,-0.25,4.56,0.39,-0.03,0.06,0.33,0.39,0.39,0.00,44.81,2.32,-1.00,-1.00,68.62,0.36,-0.09,0.21,23.75,0.79,-1.00,-1.00,0.00,0.00,-0.20,-0.10,0.32,0.16,6.90,3.41,44.05,1.11,2.31,-1.00,-1.00,-0.01,76.59,76.59,0.24,15.32,1468,,,,,
1446,Robo Knights,-0.78,0.04,-0.01,0.04,0.17,0.00,10.14,0.17,-1.00,-1.00,3.38,9.40,0.40,-0.03,-0.02,0.33,0.27,-0.08,0.00,14.08,0.06,-1.00,-1.00,45.42,0.23,0.38,0.02,31.36,0.42,-1.00,-1.00,0.00,0.00,-0.21,-0.06,0.15,0.32,2.64,7.81,24.22,0.52,0.23,-1.00,-1.00,0.02,62.63,62.63,0.22,25.14,1422,,,,,
1727,Rex,5.80,0.29,0.00,0.12,0.40,0.00,24.12,0.40,-1.00,-1.00,8.04,30.05,0.36,0.01,-0.01,0.34,0.29,0.34,0.00,22.72,1.54,-1.00,-1.00,56.57,0.26,0.22,0.19,33.87,0.71,-1.00,-1.00,0.00,0.00,0.37,-0.10,-0.06,0.71,0.38,17.36,46.84,0.97,1.94,-1.00,-1.00,0.11,103.97,103.97,0.24,35.39,1472,,,,,
1915,MTHS Firebird Robotics,3.66,-0.17,-0.00,-0.06,-0.02,0.00,-0.90,-0.02,-1.00,-1.00,-0.30,2.69,0.76,-0.01,-0.04,0.35,0.21,-0.01,0.00,22.82,0.42,-1.00,-1.00,30.70,0.24,-0.00,-0.08,7.92,0.42,-1.00,-1.00,0.00,0.00,0.52,-0.02,0.32,0.09,10.67,2.17,21.92,0.56,0.41,-1.00,-1.00,-0.11,35.56,35.56,-0.02,-46.08,1320,,,,,
2068,Metal Jackets,2.23,0.07,-0.00,0.02,-0.06,0.00,-3.44,-0.06,-1.00,-1.00,-1.15,-1.19,0.82,-0.05,0.04,0.25,0.30,-0.07,0.00,21.55,0.30,-1.00,-1.00,15.07,-0.03,-0.15,0.04,-6.52,0.08,-1.00,-1.00,0.00,0.00,0.29,-0.09,-0.14,0.23,-1.98,5.22,18.11,0.48,0.24,-1.00,-1.00,0.07,19.11,19.11,-0.01,-10.43,1321,,,,,
