CHSCentralValley,vagle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
346,RoboHawks,3.02,-0.28,1.29,1.22,0.32,0.00,19.42,0.32,-1.00,-1.00,6.47,23.65,-0.25,43.07,14.12,0.33,0.19,-0.03,-0.01,6.35,-0.06,-1.00,-1.00,54.85,0.41,0.11,0.16,34.38,0.76,-1.00,-1.00,0.00,-0.01,-0.10,-0.08,0.07,-0.12,1.34,-3.53,25.76,0.48,0.26,-1.00,-1.00,15.34,74.97,73.47,0.21,-6.13,1483,,,,,
384,Sparky 384,4.63,-0.25,-0.10,-0.21,0.15,0.00,9.18,0.15,-1.00,-1.00,3.06,13.60,0.59,-1.36,-0.45,0.33,0.37,0.69,0.15,55.49,4.21,-1.00,-1.00,97.15,0.37,0.40,0.07,42.11,0.95,-1.00,-1.00,0.00,0.15,-0.01,0.06,-0.11,0.32,-2.84,8.33,64.67,1.54,4.36,-1.00,-1.00,-0.66,119.08,133.78,0.30,43.78,1605,,,,,
422,Mech Tech Dragons 	,4.45,-0.05,0.18,0.17,0.31,0.00,18.33,0.31,-1.00,-1.00,6.11,22.94,-0.66,6.39,2.05,0.33,0.34,0.13,-0.01,19.22,0.80,-1.00,-1.00,61.08,0.25,0.33,0.21,39.81,0.79,-1.00,-1.00,0.00,-0.01,-0.08,0.18,0.08,-0.06,1.67,-0.55,37.54,0.79,1.11,-1.00,-1.00,2.22,83.47,82.18,-0.02,-0.85,1467,,,,,
539,Titan Robotics,3.83,-0.38,0.08,-0.01,0.17,0.00,10.05,0.17,-1.00,-1.00,3.35,13.87,-0.81,3.22,0.94,0.33,0.09,0.00,-0.02,9.43,-0.02,-1.00,-1.00,20.11,-0.01,0.17,0.04,9.74,0.08,-1.00,-1.00,0.00,-0.02,0.16,-0.03,-0.01,-0.05,0.49,-1.35,19.47,0.40,0.14,-1.00,-1.00,0.93,32.63,30.77,-0.14,-66.82,1299,,,,,
540,TALON 540 Godwin Robotics,5.26,-0.44,0.16,0.01,0.41,0.00,24.82,0.41,-1.00,-1.00,8.27,30.09,1.73,5.04,1.76,0.33,0.38,0.08,-0.03,13.81,0.46,-1.00,-1.00,34.31,0.14,0.13,0.11,18.74,0.56,-1.00,-1.00,0.00,-0.03,0.07,-0.09,-0.12,0.01,-2.69,-0.16,38.63,0.76,0.88,-1.00,-1.00,1.77,64.24,61.53,0.08,7.33,1492,,,,,
617,Enginerds,4.29,0.41,0.09,0.14,0.08,0.00,5.05,0.08,-1.00,-1.00,1.68,9.48,0.81,-0.92,-0.18,0.33,0.35,-0.10,-0.02,18.96,0.09,-1.00,-1.00,47.37,0.36,-0.11,0.32,28.60,0.42,-1.00,-1.00,0.00,-0.02,-0.10,0.01,-0.09,-0.11,-2.81,-2.66,24.00,0.56,0.17,-1.00,-1.00,-0.04,54.19,52.50,0.27,-18.56,1361,,,,,
977,Cometbots,5.27,-0.44,-0.23,-0.38,0.22,0.00,13.44,0.22,-1.00,-1.00,4.48,18.33,0.08,-2.09,-0.64,0.33,0.34,0.20,-0.02,25.31,1.13,-1.00,-1.00,66.53,0.44,0.28,0.12,41.87,0.80,-1.00,-1.00,0.00,-0.02,-0.05,0.08,-0.07,-0.07,-2.02,-1.33,38.75,0.86,1.35,-1.00,-1.00,-1.02,83.54,81.45,0.29,41.44,1491,,,,,
1080,Resurgence Robotics,4.14,0.10,0.10,0.10,0.34,0.00,20.65,0.34,-1.00,-1.00,6.88,24.89,-0.16,1.80,0.45,0.33,0.34,0.40,-0.03,28.18,1.78,-1.00,-1.00,67.37,0.36,0.22,0.20,38.73,0.76,-1.00,-1.00,0.00,-0.03,-0.03,0.40,0.06,0.04,1.29,3.02,48.83,1.05,2.13,-1.00,-1.00,0.55,95.28,92.76,0.11,5.04,1465,,,,,
1086,Blue Cheese,5.52,0.38,-0.06,0.06,0.04,0.00,2.50,0.04,-1.00,-1.00,0.83,8.08,2.28,-1.12,-0.21,0.33,0.38,0.22,-0.01,35.31,1.53,-1.00,-1.00,67.56,0.54,0.17,-0.06,32.45,0.79,-1.00,-1.00,0.00,-0.01,-0.11,-0.13,-0.01,-0.09,-0.72,-2.91,37.81,0.92,1.57,-1.00,-1.00,-0.15,72.73,71.99,0.16,-7.27,1453,,,,,
