CHSChampionship,chcmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
346,RoboHawks,3,3.02,-0.28,1.29,1.22,0.32,0.00,19.42,0.32,-1.00,-1.00,6.47,23.65,-0.25,43.07,14.12,0.33,0.19,-0.03,-0.01,6.35,-0.06,-1.00,-1.00,54.85,0.41,0.11,0.16,34.38,0.76,-1.00,-1.00,0.00,-0.01,-0.10,-0.08,0.07,-0.12,1.34,-3.53,25.76,0.48,0.26,-1.00,-1.00,15.34,74.97,73.47,0.21,-6.13,1483,,,,,
384,Sparky 384,3,4.63,-0.25,-0.10,-0.21,0.15,0.00,9.18,0.15,-1.00,-1.00,3.06,13.60,0.59,-1.36,-0.45,0.33,0.37,0.69,0.15,55.49,4.21,-1.00,-1.00,97.15,0.37,0.40,0.07,42.11,0.95,-1.00,-1.00,0.00,0.15,-0.01,0.06,-0.11,0.32,-2.84,8.33,64.67,1.54,4.36,-1.00,-1.00,-0.66,119.08,133.78,0.30,43.78,1605,,,,,
401,Copperhead Robotics,3,5.19,-0.05,-0.02,-0.03,0.46,0.00,27.74,0.46,-1.00,-1.00,9.25,32.89,-0.08,0.06,0.02,0.33,0.29,0.08,0.00,9.62,0.51,-1.00,-1.00,45.12,0.18,-0.01,0.53,35.48,0.44,-1.00,-1.00,0.00,0.00,-0.03,0.22,0.22,0.29,5.31,8.26,37.36,0.70,0.98,-1.00,-1.00,-0.02,86.27,86.27,0.41,25.78,1502,,,,,
422,Mech Tech Dragons 	,3,4.45,-0.05,0.18,0.17,0.31,0.00,18.33,0.31,-1.00,-1.00,6.11,22.94,-0.66,6.39,2.05,0.33,0.34,0.13,-0.01,19.22,0.80,-1.00,-1.00,61.08,0.25,0.33,0.21,39.81,0.79,-1.00,-1.00,0.00,-0.01,-0.08,0.18,0.08,-0.06,1.67,-0.55,37.54,0.79,1.11,-1.00,-1.00,2.22,83.47,82.18,-0.02,-0.85,1467,,,,,
449,The Blair Robot Project,3,3.82,0.02,-0.00,-0.00,0.25,0.00,15.07,0.25,-1.00,-1.00,5.02,18.89,0.25,0.07,0.00,0.34,0.29,0.13,0.00,20.30,0.84,-1.00,-1.00,42.85,0.10,0.24,0.11,22.55,0.70,-1.00,-1.00,0.00,0.00,0.10,0.08,0.49,-0.08,12.86,-1.67,35.37,0.76,1.09,-1.00,-1.00,-0.00,60.07,60.07,0.02,-25.67,1402,,,,,
540,TALON 540 Godwin Robotics,3,5.26,-0.44,0.16,0.01,0.41,0.00,24.82,0.41,-1.00,-1.00,8.27,30.09,1.73,5.04,1.76,0.33,0.38,0.08,-0.03,13.81,0.46,-1.00,-1.00,34.31,0.14,0.13,0.11,18.74,0.56,-1.00,-1.00,0.00,-0.03,0.07,-0.09,-0.12,0.01,-2.69,-0.16,38.63,0.76,0.88,-1.00,-1.00,1.77,64.24,61.53,0.08,7.33,1492,,,,,
612,Chantilly Robotics,3,3.79,-0.01,0.01,0.01,0.06,0.00,3.70,0.06,-1.00,-1.00,1.23,7.50,-0.57,0.41,0.04,0.33,0.12,-0.07,0.01,12.86,-0.08,-1.00,-1.00,28.62,-0.08,0.16,0.23,15.71,0.48,-1.00,-1.00,0.00,0.01,0.07,0.17,0.07,-0.12,2.19,-2.13,16.56,0.38,-0.02,-1.00,-1.00,0.06,33.99,34.76,0.10,-4.19,1414,,,,,
619,Cavalier Robotics,3,4.54,0.06,-0.01,0.01,0.02,0.00,1.17,0.02,-1.00,-1.00,0.39,5.72,0.70,-0.08,0.09,0.34,0.38,0.32,0.00,40.89,2.03,-1.00,-1.00,88.26,0.23,0.45,0.27,47.29,0.86,-1.00,-1.00,0.00,0.00,0.10,-0.14,-0.12,0.54,-2.43,12.85,42.06,1.04,2.05,-1.00,-1.00,0.09,106.83,106.83,0.37,29.54,1469,,,,,
620,Warbots,3,4.11,-0.06,-0.03,-0.04,0.31,0.00,18.77,0.31,-1.00,-1.00,6.26,22.84,-0.47,-0.08,-0.07,0.33,0.37,0.38,0.00,30.92,1.94,-1.00,-1.00,61.11,0.08,0.27,0.25,30.26,0.57,-1.00,-1.00,0.00,0.00,0.04,0.03,-0.16,-0.15,-3.73,-3.57,49.69,1.09,2.25,-1.00,-1.00,-0.11,80.38,80.38,0.24,9.43,1504,,,,,
