CHSGreaterDC,mdbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
102,The Gearheads,3.04,0.00,0.00,0.00,-0.11,0.00,-6.49,-0.11,-1.00,-1.00,-2.16,-3.45,-0.01,0.08,-0.01,0.33,0.35,0.17,0.00,38.57,1.46,-1.00,-1.00,36.22,-0.02,-0.05,0.02,-2.33,0.32,-1.00,-1.00,0.00,0.00,0.02,-0.01,0.48,0.40,12.20,9.84,32.08,0.86,1.35,-1.00,-1.00,-0.01,42.61,42.61,-0.01,-36.67,1435,,,,,
422,Mech Tech Dragons 	,3.39,0.00,0.00,0.00,0.18,0.00,10.67,0.18,-1.00,-1.00,3.56,14.06,-0.03,-0.02,-0.03,0.33,0.19,-0.09,0.00,10.24,-0.15,-1.00,-1.00,35.78,0.30,0.12,0.08,25.57,0.44,-1.00,-1.00,0.00,0.00,0.51,0.10,-0.04,-0.21,1.55,-4.70,20.91,0.43,0.03,-1.00,-1.00,-0.03,45.14,45.14,0.19,-3.50,1463,,,,,
449,The Blair Robot Project,5.79,0.00,0.00,0.00,-0.13,0.00,-7.86,-0.13,-1.00,-1.00,-2.62,-2.07,-0.01,0.01,0.02,0.33,0.11,-0.05,0.00,21.25,0.23,-1.00,-1.00,44.78,0.19,0.20,0.08,23.51,0.60,-1.00,-1.00,0.00,0.00,0.21,0.22,0.20,0.03,6.00,1.87,13.40,0.40,0.10,-1.00,-1.00,0.02,44.58,44.58,-0.02,-26.40,1409,,,,,
614,Night Hawks,3.02,0.00,0.00,0.00,0.09,0.00,5.42,0.09,-1.00,-1.00,1.81,8.44,-0.04,-0.15,-0.02,0.33,0.41,0.19,0.00,33.81,1.49,-1.00,-1.00,78.43,0.10,0.60,0.19,44.63,0.80,-1.00,-1.00,0.00,0.00,-0.02,-0.08,-0.02,-0.09,-0.68,-2.57,39.23,0.94,1.58,-1.00,-1.00,-0.02,84.29,84.29,0.02,14.33,1450,,,,,
888,Robotiators,4.91,0.00,0.00,0.00,0.04,0.00,2.11,0.04,-1.00,-1.00,0.70,7.03,-0.01,0.15,0.02,0.33,0.16,-0.15,0.00,12.34,-0.24,-1.00,-1.00,20.72,0.09,0.15,-0.08,8.36,0.17,-1.00,-1.00,0.00,0.00,-0.09,0.03,-0.11,0.61,-3.12,15.33,14.45,0.34,-0.20,-1.00,-1.00,0.02,43.07,43.07,0.01,-3.00,1471,,,,,
1111,The Power Hawks Robotics Team,4.44,0.00,0.00,0.00,0.18,0.00,10.59,0.18,-1.00,-1.00,3.53,15.03,-0.04,0.03,0.00,0.33,0.36,0.34,0.00,34.11,1.97,-1.00,-1.00,70.88,0.07,0.13,0.53,36.77,0.76,-1.00,-1.00,0.00,0.00,-0.03,0.17,0.15,0.75,3.60,19.48,44.71,1.03,2.14,-1.00,-1.00,0.00,105.40,105.40,0.29,62.65,1580,,,,,
1389,The Body Electric ,4.47,0.00,0.00,0.00,-0.19,0.00,-11.31,-0.19,-1.00,-1.00,-3.77,-6.83,0.09,0.08,0.06,0.33,0.07,-0.08,0.00,20.70,0.03,-1.00,-1.00,49.86,0.48,-0.17,0.28,29.11,0.63,-1.00,-1.00,0.00,0.00,-0.16,0.06,0.26,-0.22,5.64,-5.17,9.39,0.33,-0.16,-1.00,-1.00,0.06,37.86,37.86,0.19,-18.11,1448,,,,,
1446,Robo Knights,-0.22,0.00,0.00,0.00,0.02,0.00,1.05,0.02,-1.00,-1.00,0.35,0.83,0.17,0.01,-0.00,0.33,0.27,-0.06,0.00,21.23,0.28,-1.00,-1.00,22.10,0.03,0.03,-0.04,0.87,0.08,-1.00,-1.00,0.00,0.00,-0.05,0.20,0.17,0.16,3.90,4.92,22.27,0.55,0.30,-1.00,-1.00,-0.00,27.85,27.85,-0.21,-47.44,1327,,,,,
1719,The Umbrella Corporation,5.06,0.00,0.00,0.00,0.06,0.00,3.62,0.06,-1.00,-1.00,1.21,8.68,0.17,-0.09,-0.00,0.33,0.27,-0.09,0.00,18.10,0.09,-1.00,-1.00,34.83,0.13,-0.02,0.22,16.74,0.41,-1.00,-1.00,0.00,0.00,0.01,0.15,-0.21,0.10,-5.20,3.24,21.72,0.51,0.15,-1.00,-1.00,-0.00,46.75,46.75,0.19,-21.48,1409,,,,,
