CHSHamptonRoads,vapor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
401,Copperhead Robotics,5.19,-0.05,-0.02,-0.03,0.46,0.00,27.74,0.46,-1.00,-1.00,9.25,32.89,-0.08,0.06,0.02,0.33,0.29,0.08,0.00,9.62,0.51,-1.00,-1.00,45.12,0.18,-0.01,0.53,35.48,0.44,-1.00,-1.00,0.00,0.00,-0.03,0.22,0.22,0.29,5.31,8.26,37.36,0.70,0.98,-1.00,-1.00,-0.02,86.27,86.27,0.41,25.78,1502,,,,,
435,Robodogs,4.07,0.29,-0.01,0.06,0.57,0.00,34.20,0.57,-1.00,-1.00,11.40,38.33,-0.34,-0.01,-0.06,0.33,0.38,0.30,0.00,17.73,1.40,-1.00,-1.00,57.87,0.23,0.11,0.47,40.20,0.72,-1.00,-1.00,0.00,0.00,-0.10,0.04,0.08,0.32,1.61,8.12,51.93,1.01,1.97,-1.00,-1.00,-0.00,104.32,104.32,0.49,62.01,1576,,,,,
617,Enginerds,4.66,0.28,-0.00,0.07,0.00,0.00,0.09,0.00,-1.00,-1.00,0.03,4.82,-0.56,-0.02,-0.06,0.33,0.28,-0.04,0.00,22.97,0.38,-1.00,-1.00,52.93,0.26,0.17,0.16,30.02,0.50,-1.00,-1.00,0.00,0.00,-0.05,0.35,0.58,0.04,14.26,2.64,23.06,0.58,0.38,-1.00,-1.00,0.01,60.39,60.39,0.15,3.94,1375,,,,,
620,Warbots,4.11,-0.06,-0.03,-0.04,0.31,0.00,18.77,0.31,-1.00,-1.00,6.26,22.84,-0.47,-0.08,-0.07,0.33,0.37,0.38,0.00,30.92,1.94,-1.00,-1.00,61.11,0.08,0.27,0.25,30.26,0.57,-1.00,-1.00,0.00,0.00,0.04,0.03,-0.16,-0.15,-3.73,-3.57,49.69,1.09,2.25,-1.00,-1.00,-0.11,80.38,80.38,0.24,9.43,1504,,,,,
1137,Rocket Sauce,4.49,-0.08,-0.00,-0.02,-0.17,0.00,-9.96,-0.17,-1.00,-1.00,-3.32,-5.48,0.31,-0.03,0.04,0.33,0.38,0.13,0.00,40.49,1.43,-1.00,-1.00,76.04,0.11,0.23,0.37,35.51,0.86,-1.00,-1.00,0.00,0.00,-0.01,0.23,-0.14,0.27,-3.58,7.89,30.54,0.85,1.27,-1.00,-1.00,0.02,78.45,78.45,0.42,24.99,1503,,,,,
1413,Skrappy 1413,4.84,0.41,0.05,0.14,0.19,0.00,11.23,0.19,-1.00,-1.00,3.74,16.20,-0.62,-0.10,-0.07,0.33,0.37,0.09,0.00,24.49,0.93,-1.00,-1.00,87.27,0.33,0.37,0.56,62.85,0.80,-1.00,-1.00,0.00,0.00,-0.07,0.20,-0.14,-0.01,-3.82,0.70,35.72,0.80,1.11,-1.00,-1.00,0.07,104.17,104.17,0.27,52.87,1523,,,,,
1522,DOTM - Defenders of the Multiverse,4.64,-0.10,-0.01,-0.03,0.06,0.00,3.79,0.06,-1.00,-1.00,1.26,8.40,0.51,0.09,0.05,0.33,0.27,0.21,0.00,30.20,1.33,-1.00,-1.00,36.94,0.13,-0.06,0.07,6.68,0.25,-1.00,-1.00,0.00,0.00,0.13,0.09,-0.03,0.35,-0.01,9.11,33.99,0.82,1.39,-1.00,-1.00,0.02,54.45,54.45,0.21,7.34,1494,,,,,
1610,Blackwater Robotics,4.80,-0.06,-0.03,-0.04,0.38,0.00,22.81,0.38,-1.00,-1.00,7.60,27.56,0.34,-0.07,0.03,0.33,0.36,0.40,0.00,28.70,1.93,-1.00,-1.00,64.63,0.28,0.35,0.09,35.89,0.83,-1.00,-1.00,0.00,0.00,0.09,0.09,-0.04,0.25,-0.60,6.76,51.50,1.10,2.31,-1.00,-1.00,-0.01,98.95,98.95,0.36,56.04,1562,,,,,
1793,The Pilots,4.54,-0.20,-0.04,-0.09,0.06,0.00,3.75,0.06,-1.00,-1.00,1.25,8.20,1.30,0.50,0.18,0.33,0.17,-0.19,0.00,10.02,-0.39,-1.00,-1.00,23.78,0.09,0.37,-0.19,13.58,0.56,-1.00,-1.00,0.00,0.00,-0.14,-0.20,0.15,0.03,3.01,-0.36,13.77,0.31,-0.33,-1.00,-1.00,0.09,31.62,31.62,-0.09,-27.75,1423,,,,,
