CHSNorthernMaryland,mdowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
116,Epsilon Delta,4.61,-0.02,-0.06,-0.06,0.30,0.00,18.19,0.30,-1.00,-1.00,6.06,22.74,-0.78,0.10,-0.06,0.33,0.37,0.44,0.08,36.48,2.65,-1.00,-1.00,71.16,-0.08,0.28,0.49,34.74,0.79,-1.00,-1.00,0.00,0.08,0.08,-0.11,0.28,0.03,7.36,0.24,54.66,1.22,2.95,-1.00,-1.00,-0.13,94.13,101.78,0.24,18.86,1511,,,,,
339,Kilroy Robotics,3.86,0.00,0.00,0.00,0.00,0.00,0.22,0.00,-1.00,-1.00,0.07,4.09,0.11,-0.04,0.04,0.33,0.37,0.24,-0.01,37.05,1.61,-1.00,-1.00,44.63,0.01,0.10,0.04,7.54,0.42,-1.00,-1.00,0.00,-0.01,0.10,-0.08,0.05,0.69,1.72,16.73,37.27,0.93,1.61,-1.00,-1.00,0.04,65.45,63.97,0.11,3.92,1383,,,,,
611,Saxons,5.07,0.01,0.41,0.41,0.20,0.00,12.03,0.20,-1.00,-1.00,4.01,17.51,0.13,-0.09,-0.03,0.33,0.27,0.02,-0.01,16.42,0.35,-1.00,-1.00,44.73,-0.00,0.15,0.42,28.34,0.36,-1.00,-1.00,0.00,-0.01,0.10,0.23,0.10,0.55,2.92,14.89,28.44,0.61,0.55,-1.00,-1.00,0.38,77.13,75.96,0.27,24.81,1436,,,,,
612,Chantilly Robotics,3.79,-0.01,0.01,0.01,0.06,0.00,3.70,0.06,-1.00,-1.00,1.23,7.50,-0.57,0.41,0.04,0.33,0.12,-0.07,0.01,12.86,-0.08,-1.00,-1.00,28.62,-0.08,0.16,0.23,15.71,0.48,-1.00,-1.00,0.00,0.01,0.07,0.17,0.07,-0.12,2.19,-2.13,16.56,0.38,-0.02,-1.00,-1.00,0.06,33.99,34.76,0.10,-4.19,1414,,,,,
614,Night Hawks,4.73,0.01,-0.00,-0.00,0.24,0.00,14.53,0.24,-1.00,-1.00,4.84,19.26,-0.38,-0.01,-0.04,0.33,0.39,0.24,0.08,31.74,1.95,-1.00,-1.00,83.24,0.10,0.47,0.46,51.55,0.86,-1.00,-1.00,0.00,0.08,-0.18,0.16,0.16,-0.21,3.23,-4.37,46.27,1.04,2.19,-1.00,-1.00,-0.04,98.13,105.75,0.30,46.60,1530,,,,,
623,Cougar Robotics,4.82,-0.01,-0.06,-0.06,0.12,0.00,6.96,0.12,-1.00,-1.00,2.32,11.71,0.94,0.37,0.15,0.33,0.36,0.49,-0.02,42.02,2.46,-1.00,-1.00,63.94,0.15,0.05,0.23,21.76,0.75,-1.00,-1.00,0.00,-0.02,0.13,-0.17,-0.08,-0.11,-1.40,-3.53,48.98,1.17,2.58,-1.00,-1.00,0.08,72.12,70.38,-0.03,-37.88,1431,,,,,
836,The RoboBees,5.15,-0.01,0.58,0.58,-0.07,0.00,-4.25,-0.07,-1.00,-1.00,-1.42,1.48,0.32,0.17,0.03,0.33,0.37,0.47,0.08,52.96,3.17,-1.00,-1.00,84.19,0.56,-0.05,0.11,31.21,0.65,-1.00,-1.00,0.00,0.08,0.08,0.12,-0.23,0.11,-5.40,3.45,48.71,1.25,3.10,-1.00,-1.00,0.61,89.13,96.87,0.48,62.60,1578,,,,,
888,Robotiators,4.20,0.01,0.40,0.40,0.16,0.00,9.46,0.16,-1.00,-1.00,3.15,14.06,0.47,-0.04,0.07,0.33,0.30,0.06,0.00,21.49,0.70,-1.00,-1.00,34.85,0.19,0.16,-0.08,13.29,0.41,-1.00,-1.00,0.00,0.00,-0.09,-0.09,0.37,0.07,8.87,1.21,30.95,0.69,0.86,-1.00,-1.00,0.47,50.11,50.36,0.24,-15.65,1416,,,,,
1111,The Power Hawks Robotics Team,6.30,0.01,-0.07,-0.07,0.23,0.00,13.97,0.23,-1.00,-1.00,4.66,20.20,-1.09,0.05,-0.04,0.33,0.41,0.46,0.01,39.39,2.49,-1.00,-1.00,77.38,0.30,0.28,0.18,38.03,0.76,-1.00,-1.00,0.00,0.01,-0.06,0.11,-0.38,0.41,-9.83,10.74,53.36,1.22,2.73,-1.00,-1.00,-0.11,108.31,108.99,0.47,67.81,1601,,,,,
