CHSNorthernVirginia,vahay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
116,Epsilon Delta,5.85,0.31,-0.44,-0.39,0.10,0.00,5.80,0.10,-1.00,-1.00,1.93,11.26,0.07,-1.01,-0.41,0.33,0.30,-0.02,-0.01,20.28,0.36,-1.00,-1.00,39.51,0.09,0.13,0.17,19.65,0.57,-1.00,-1.00,-0.00,-0.01,-0.02,0.15,-0.19,0.12,-4.83,3.75,26.07,0.60,0.46,-1.00,-1.00,-0.80,54.52,53.69,0.17,16.24,1458,,,,,
346,RoboHawks,1.05,0.54,3.76,3.92,-0.19,0.00,-11.56,-0.19,-1.00,-1.00,-3.85,-6.59,0.07,44.13,14.57,0.33,0.43,0.07,-0.00,41.21,1.34,-1.00,-1.00,87.20,0.17,0.29,0.17,31.42,0.69,-1.00,-1.00,0.08,-0.00,0.11,-0.06,0.10,0.04,3.11,0.76,29.65,0.84,1.15,-1.00,-1.00,18.48,81.37,82.95,0.19,11.98,1533,,,,,
384,Sparky 384,4.39,0.52,-0.55,-0.40,0.47,0.00,28.15,0.47,-1.00,-1.00,9.38,32.14,-0.21,1.15,0.37,0.33,0.32,0.44,0.08,27.96,2.40,-1.00,-1.00,62.76,0.09,0.30,0.30,34.42,0.89,-1.00,-1.00,-0.01,0.08,-0.22,-0.05,0.21,-0.26,4.04,-6.78,56.11,1.17,2.87,-1.00,-1.00,-0.03,88.12,96.09,0.35,43.08,1564,,,,,
611,Saxons,4.31,0.03,-0.38,-0.42,-0.05,0.00,-2.86,-0.05,-1.00,-1.00,-0.95,1.03,-0.59,3.00,1.02,0.33,0.21,-0.02,-0.01,22.68,0.35,-1.00,-1.00,33.67,0.03,0.21,-0.04,9.96,0.17,-1.00,-1.00,-0.01,-0.01,-0.17,-0.12,-0.11,0.16,-3.59,3.46,19.82,0.52,0.30,-1.00,-1.00,0.60,38.16,36.95,0.17,-10.86,1412,,,,,
612,Chantilly Robotics,5.55,0.00,0.14,0.14,0.09,0.00,5.57,0.09,-1.00,-1.00,1.86,11.26,-0.36,3.47,1.00,0.33,0.25,0.04,0.00,21.55,0.60,-1.00,-1.00,39.72,-0.24,0.15,0.43,17.17,0.25,-1.00,-1.00,0.01,0.00,0.29,0.31,0.07,0.19,3.07,6.30,27.12,0.63,0.69,-1.00,-1.00,1.14,57.27,57.87,0.15,12.66,1469,,,,,
615,Knights,1.95,0.04,0.35,0.36,0.10,0.00,5.75,0.10,-1.00,-1.00,1.92,8.06,-0.01,2.32,0.55,0.33,0.31,-0.10,-0.00,17.62,0.10,-1.00,-1.00,16.94,-0.07,0.04,0.00,-1.23,0.00,-1.00,-1.00,-0.01,-0.00,0.32,-0.02,0.08,0.06,3.63,1.45,23.38,0.54,0.20,-1.00,-1.00,0.92,26.45,25.95,-0.02,-47.73,1325,,,,,
620,Warbots,4.66,0.03,-0.08,-0.06,0.35,0.00,21.08,0.35,-1.00,-1.00,7.03,25.68,0.76,1.16,0.39,0.33,0.44,0.07,0.00,19.55,0.80,-1.00,-1.00,39.16,-0.01,0.20,0.20,19.21,0.53,-1.00,-1.00,-0.00,0.00,0.31,-0.21,0.39,0.44,11.35,9.82,40.63,0.84,1.15,-1.00,-1.00,0.33,74.66,74.79,0.21,8.41,1459,,,,,
623,Cougar Robotics,3.51,-0.13,-0.36,-0.39,0.15,0.00,9.02,0.15,-1.00,-1.00,3.01,12.14,-0.87,-4.83,-1.60,0.33,0.41,0.18,-0.00,31.01,1.39,-1.00,-1.00,67.30,0.22,0.49,0.04,37.89,0.50,-1.00,-1.00,-0.00,-0.00,0.03,0.07,-0.15,0.08,-3.48,2.35,40.02,0.93,1.54,-1.00,-1.00,-1.99,81.79,81.56,0.37,41.97,1536,,,,,
686,Bovine Intervention,3.88,-0.23,0.93,0.87,0.05,0.00,3.09,0.05,-1.00,-1.00,1.03,7.83,0.44,3.01,1.06,0.33,0.42,0.12,-0.01,32.27,1.18,-1.00,-1.00,28.71,-0.12,0.05,-0.02,-4.61,0.00,-1.00,-1.00,0.08,-0.01,0.21,0.14,0.18,-0.04,5.46,-0.26,35.36,0.86,1.23,-1.00,-1.00,1.93,36.29,36.62,0.00,-16.24,1424,,,,,
