CHSSouthwestVirginia,vabla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
223,Xtreme Heat,3.75,0.02,-0.06,-0.06,-0.17,0.00,-10.48,-0.17,-1.00,-1.00,-3.49,-6.78,-0.61,4.45,1.22,0.33,0.46,0.00,0.00,38.28,1.04,-1.00,-1.00,35.47,0.03,-0.14,0.03,-4.02,0.30,-1.00,-1.00,0.00,0.00,0.04,0.35,-0.13,-0.33,-2.96,-6.46,27.80,0.78,0.87,-1.00,-1.00,1.16,22.23,22.23,0.12,-1.49,1445,,,,,
339,Kilroy Robotics,3.91,-0.02,-0.01,-0.01,0.07,0.00,4.44,0.07,-1.00,-1.00,1.48,8.35,-0.92,4.18,1.25,0.34,0.31,-0.06,0.00,20.20,0.25,-1.00,-1.00,24.44,-0.03,-0.12,0.21,2.99,0.10,-1.00,-1.00,0.00,0.00,-0.01,0.14,0.30,-0.09,7.44,-1.56,24.64,0.58,0.32,-1.00,-1.00,1.24,31.22,31.22,0.11,-24.26,1397,,,,,
401,Copperhead Robotics,4.11,0.08,-0.00,-0.00,0.31,0.00,18.37,0.31,-1.00,-1.00,6.12,22.48,-1.39,0.80,-0.06,0.35,0.17,-0.15,0.00,2.55,-0.46,-1.00,-1.00,25.08,0.12,0.11,0.22,22.60,0.25,-1.00,-1.00,0.00,0.00,0.17,0.24,0.10,0.41,3.37,11.33,20.92,0.37,-0.16,-1.00,-1.00,-0.07,58.89,58.89,0.27,19.42,1528,,,,,
540,TALON 540 Godwin Robotics,3.64,0.00,-0.06,-0.06,0.18,0.00,10.80,0.18,-1.00,-1.00,3.60,14.38,0.17,-0.41,-0.03,0.35,0.51,0.30,0.00,39.39,2.03,-1.00,-1.00,73.09,0.46,0.06,0.16,33.73,0.58,-1.00,-1.00,0.00,0.00,0.05,0.33,-0.03,0.00,-0.59,1.79,50.19,1.16,2.21,-1.00,-1.00,-0.09,89.26,89.26,0.55,48.54,1552,,,,,
587,Hedgehogs,1.76,-0.03,-0.07,-0.07,0.01,0.00,0.70,0.01,-1.00,-1.00,0.23,2.39,0.33,-0.09,0.03,0.33,0.52,0.30,0.00,45.76,2.19,-1.00,-1.00,68.42,0.12,0.25,0.08,22.63,0.50,-1.00,-1.00,0.00,0.00,-0.19,-0.01,-0.04,0.57,-1.93,14.11,46.46,1.16,2.20,-1.00,-1.00,-0.04,84.92,84.92,0.43,44.63,1522,,,,,
619,Cavalier Robotics,2.93,-0.06,0.01,0.01,0.06,0.00,3.89,0.06,-1.00,-1.00,1.30,6.83,3.38,0.55,0.32,0.30,0.16,-0.00,0.00,15.89,0.18,-1.00,-1.00,35.36,0.18,0.03,0.18,19.15,0.57,-1.00,-1.00,0.00,0.00,0.15,-0.12,0.64,0.42,16.67,9.84,19.78,0.46,0.25,-1.00,-1.00,0.33,52.02,52.02,-0.05,-16.04,1449,,,,,
836,The RoboBees,2.19,-0.03,-0.06,-0.06,-0.25,0.00,-14.82,-0.25,-1.00,-1.00,-4.94,-12.69,-0.06,0.53,0.04,0.24,0.38,0.05,0.00,36.78,1.11,-1.00,-1.00,93.88,0.39,0.39,0.36,57.06,0.80,-1.00,-1.00,0.00,0.00,0.13,-0.13,-0.33,-0.21,-7.65,-6.03,21.96,0.67,0.87,-1.00,-1.00,-0.02,75.15,75.15,0.44,36.58,1516,,,,,
900,♞The Zebracorns♞,3.26,0.03,0.31,0.31,-0.03,0.00,-1.97,-0.03,-1.00,-1.00,-0.66,1.60,0.06,19.59,6.21,0.35,0.19,-0.02,0.00,22.09,0.35,-1.00,-1.00,25.99,0.12,-0.01,-0.16,-2.31,0.20,-1.00,-1.00,0.00,0.00,0.04,-0.09,0.13,0.34,3.49,8.11,20.12,0.52,0.31,-1.00,-1.00,6.52,35.69,35.69,0.09,-3.46,1487,,,,,
977,Cometbots,1.47,-0.00,0.00,0.00,0.31,0.00,18.32,0.31,-1.00,-1.00,6.11,19.79,0.56,2.22,0.64,0.35,0.31,-0.11,0.00,9.80,0.01,-1.00,-1.00,12.29,0.02,0.09,-0.08,1.86,0.00,-1.00,-1.00,0.00,0.00,-0.03,-0.06,0.49,0.28,12.14,6.74,28.12,0.55,0.31,-1.00,-1.00,0.64,38.83,38.83,-0.22,-46.49,1367,,,,,
1086,Blue Cheese,3.81,0.00,-0.03,-0.03,0.08,0.00,4.89,0.08,-1.00,-1.00,1.63,8.68,-0.74,-1.68,-0.67,0.37,0.38,-0.15,0.00,20.85,0.12,-1.00,-1.00,44.76,-0.02,0.18,0.33,24.57,0.67,-1.00,-1.00,0.00,0.00,-0.03,0.32,0.28,-0.10,6.81,-0.82,25.75,0.60,0.21,-1.00,-1.00,-0.70,52.61,52.61,0.25,6.44,1520,,,,,
1225,The Gorillas,3.25,0.18,0.02,0.02,0.21,0.00,12.54,0.21,-1.00,-1.00,4.18,15.81,0.12,-0.79,-0.25,0.34,0.20,-0.13,0.00,8.29,-0.34,-1.00,-1.00,-10.03,-0.27,-0.10,0.00,-18.07,0.00,-1.00,-1.00,0.00,0.00,-0.14,-0.09,0.35,-0.33,8.16,-8.58,20.83,0.42,-0.13,-1.00,-1.00,-0.23,-2.80,-2.80,-0.15,-75.88,1304,,,,,
1262,the STAGS,5.26,-0.07,0.00,0.00,0.28,0.00,17.03,0.28,-1.00,-1.00,5.68,22.30,0.25,-0.51,-0.15,0.32,0.35,0.22,0.00,24.24,1.26,-1.00,-1.00,51.44,0.22,0.12,0.21,27.35,0.77,-1.00,-1.00,0.00,0.00,-0.11,0.00,0.20,-0.12,4.35,-3.00,41.26,0.89,1.55,-1.00,-1.00,-0.15,70.74,70.74,0.16,30.11,1498,,,,,
1413,Skrappy 1413,3.85,0.02,0.04,0.04,-0.08,0.00,-4.65,-0.08,-1.00,-1.00,-1.55,-0.76,-0.85,-0.28,-0.24,0.35,0.44,0.14,0.00,40.06,1.46,-1.00,-1.00,57.49,0.32,-0.00,0.04,17.68,0.40,-1.00,-1.00,0.00,0.00,0.07,-0.14,0.09,-0.03,2.70,-1.38,35.40,0.92,1.39,-1.00,-1.00,-0.20,55.35,55.35,0.21,18.61,1516,,,,,
