CentralIllinois,ilpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
81,MetalHeads,3.24,0.64,-1.36,-1.17,0.10,0.00,6.22,0.10,-1.00,-1.00,2.07,8.30,-0.86,2.34,0.68,0.33,0.31,0.04,0.00,23.05,0.66,-1.00,-1.00,29.03,-0.11,0.12,0.09,5.30,0.20,-1.00,-1.00,-0.07,0.00,0.24,-0.11,0.33,0.15,9.49,3.25,29.27,0.68,0.77,-1.00,-1.00,-0.49,40.58,39.26,0.03,-44.06,1387,,,,,
111,WildStang,2.62,0.55,-1.18,-1.02,-0.01,0.00,-0.81,-0.01,-1.00,-1.00,-0.27,0.80,-0.69,-0.10,-0.16,0.33,0.36,0.45,0.00,46.07,2.51,-1.00,-1.00,83.90,0.37,0.33,0.07,37.98,0.50,-1.00,-1.00,-0.06,0.00,-0.04,0.69,0.20,-0.02,4.88,2.95,45.27,1.14,2.50,-1.00,-1.00,-1.17,87.65,86.36,0.31,26.79,1577,,,,,
171,Cheese Curd Herd,2.41,0.38,-0.66,-0.55,0.23,0.00,13.61,0.23,-1.00,-1.00,4.54,15.47,-1.32,-2.40,-0.97,0.33,0.38,0.21,0.00,28.17,1.39,-1.00,-1.00,57.88,0.13,0.22,0.27,30.68,0.45,-1.00,-1.00,-0.05,0.00,-0.24,0.02,0.48,-0.08,10.91,-1.97,41.78,0.93,1.62,-1.00,-1.00,-1.52,71.38,70.42,0.08,-24.07,1494,,,,,
706,Cyberhawks,4.93,0.36,-1.20,-1.09,-0.02,0.00,-1.29,-0.02,-1.00,-1.00,-0.43,2.54,-0.74,-3.14,-1.10,0.33,0.39,0.38,0.00,44.66,2.30,-1.00,-1.00,91.50,0.44,0.31,0.20,47.94,0.77,-1.00,-1.00,-0.03,0.00,0.08,-0.10,0.20,-0.14,5.41,-4.09,43.37,1.09,2.27,-1.00,-1.00,-2.20,89.95,89.28,0.31,28.58,1537,,,,,
1329,ROBOREBELS,4.18,-0.01,-0.84,-0.85,-0.09,0.00,-5.50,-0.09,-1.00,-1.00,-1.83,-2.16,0.92,-1.46,-0.40,0.33,0.35,0.21,0.00,39.32,1.63,-1.00,-1.00,55.67,0.22,0.06,0.05,16.75,0.30,-1.00,-1.00,-0.06,0.00,0.10,0.28,-0.09,0.42,-1.72,11.84,33.82,0.89,1.54,-1.00,-1.00,-1.24,65.34,64.11,-0.04,-15.48,1471,,,,,
1625,Winnovation,5.70,6.89,1.15,3.24,0.19,0.00,11.60,0.19,-1.00,-1.00,3.87,20.55,4.24,1.54,1.01,0.33,0.28,0.26,0.00,27.58,1.44,-1.00,-1.00,58.78,0.32,0.12,0.16,30.19,0.79,-1.00,-1.00,0.05,0.00,-0.09,0.24,0.72,0.42,17.67,11.67,39.18,0.88,1.63,-1.00,-1.00,4.26,91.00,92.08,0.46,25.55,1520,,,,,
1736,Robot Casserole,3.93,0.59,0.44,0.62,0.18,0.00,10.76,0.18,-1.00,-1.00,3.59,15.31,-0.53,0.90,0.29,0.33,0.37,0.21,0.00,29.21,1.38,-1.00,-1.00,52.60,0.01,0.19,0.26,23.10,0.86,-1.00,-1.00,0.06,0.00,0.31,0.04,0.67,-0.06,18.20,-1.33,39.97,0.91,1.56,-1.00,-1.00,0.91,66.58,67.77,-0.02,-19.56,1552,,,,,
1756,Argos,4.70,-0.76,-0.08,-0.31,0.16,0.00,9.49,0.16,-1.00,-1.00,3.16,13.88,-0.11,-1.32,-0.53,0.33,0.36,-0.09,0.00,17.90,0.20,-1.00,-1.00,58.13,0.40,0.00,0.41,40.76,0.85,-1.00,-1.00,-0.03,0.00,0.02,-0.23,0.03,0.25,0.84,5.08,27.39,0.61,0.36,-1.00,-1.00,-0.85,77.08,76.48,0.01,13.84,1546,,,,,
2022,Titan Robotics,5.10,0.15,-1.36,-1.31,0.22,0.00,13.14,0.22,-1.00,-1.00,4.38,16.93,-0.01,-3.05,-0.92,0.33,0.38,0.19,0.00,27.66,1.32,-1.00,-1.00,49.48,0.22,0.28,-0.04,22.74,0.70,-1.00,-1.00,-0.04,0.00,0.03,-0.07,0.11,0.08,3.03,1.64,40.79,0.91,1.54,-1.00,-1.00,-2.23,68.05,67.22,0.08,1.94,1503,,,,,
2039,Rockford Robotics Incorp,3.16,0.22,-0.15,-0.09,-0.09,0.00,-5.68,-0.09,-1.00,-1.00,-1.89,-2.60,5.27,-0.62,0.46,0.33,0.28,0.13,0.00,33.45,1.17,-1.00,-1.00,32.35,-0.08,-0.12,0.17,-1.56,0.30,-1.00,-1.00,0.00,0.00,-0.11,-0.09,0.06,-0.01,1.00,-0.66,27.77,0.74,1.08,-1.00,-1.00,0.37,29.09,29.18,0.06,-12.80,1454,,,,,
2040,DERT - Dunlap Eagles Robotics Team,1.87,0.33,-0.25,-0.16,-0.16,0.00,-9.76,-0.16,-1.00,-1.00,-3.25,-8.04,0.08,1.09,0.24,0.33,0.15,0.07,0.00,28.66,0.74,-1.00,-1.00,49.50,0.12,0.25,0.04,20.61,0.40,-1.00,-1.00,0.00,0.00,0.20,0.44,0.14,-0.12,4.45,-0.83,18.90,0.55,0.58,-1.00,-1.00,0.08,40.63,40.72,0.04,-27.90,1444,,,,,
2081,Icarus,6.12,-0.10,0.10,0.07,0.09,0.00,5.56,0.09,-1.00,-1.00,1.85,11.75,-0.06,2.98,0.80,0.33,0.40,0.40,0.00,41.85,2.32,-1.00,-1.00,70.07,0.17,0.01,0.37,27.42,0.75,-1.00,-1.00,0.00,0.00,0.00,-0.05,-0.05,0.38,-1.25,9.22,47.42,1.14,2.41,-1.00,-1.00,0.87,91.05,91.11,0.39,31.11,1512,,,,,
2169,KING TeC,5.39,-0.89,-0.70,-0.97,-0.01,0.00,-0.52,-0.01,-1.00,-1.00,-0.17,3.90,-1.19,-0.18,-0.16,0.33,0.41,0.60,0.00,54.03,3.23,-1.00,-1.00,108.60,0.28,0.29,0.53,54.73,0.88,-1.00,-1.00,0.02,0.00,0.10,-0.18,-0.07,0.28,-1.32,6.01,53.51,1.34,3.22,-1.00,-1.00,-1.13,118.52,118.87,0.41,42.56,1589,,,,,
2220,Blue Twilight ,3.37,-0.14,1.96,1.92,0.27,0.00,16.28,0.27,-1.00,-1.00,5.43,21.57,1.53,7.84,2.59,0.33,0.18,0.25,0.00,19.54,1.08,-1.00,-1.00,20.85,-0.07,0.13,-0.08,-1.28,0.56,-1.00,-1.00,0.01,0.00,0.14,0.17,0.15,0.33,4.46,9.07,35.82,0.76,1.35,-1.00,-1.00,4.51,51.49,51.78,0.12,-11.26,1413,,,,,
2338,Gear It Forward,4.66,0.43,-0.25,-0.12,-0.05,0.00,-3.28,-0.05,-1.00,-1.00,-1.09,1.26,-1.25,-1.31,-0.66,0.33,0.16,-0.00,0.00,21.99,0.37,-1.00,-1.00,61.27,0.23,0.33,0.24,39.94,0.67,-1.00,-1.00,-0.04,0.00,0.42,-0.02,0.07,-0.13,3.77,-3.36,18.71,0.50,0.32,-1.00,-1.00,-0.79,59.17,58.36,-0.07,-24.83,1499,,,,,
2358,Bearbotics,0.92,0.23,-0.36,-0.26,0.05,0.00,3.17,0.05,-1.00,-1.00,1.06,3.83,2.04,-1.57,-0.31,0.33,0.15,0.11,0.00,21.76,0.69,-1.00,-1.00,6.31,-0.11,-0.16,-0.03,-15.13,0.10,-1.00,-1.00,-0.00,0.00,0.20,-0.17,-0.09,-0.06,-1.27,-2.45,24.94,0.60,0.75,-1.00,-1.00,-0.58,7.69,7.64,-0.18,-88.66,1375,,,,,
2481,Roboteers,5.20,-0.86,19.42,19.16,0.22,0.00,13.21,0.22,-1.00,-1.00,4.40,37.57,-1.07,21.24,6.72,0.33,0.34,0.54,0.00,39.62,2.61,-1.00,-1.00,98.18,0.44,0.15,0.44,51.83,0.81,-1.00,-1.00,0.50,0.00,-0.01,0.55,-0.21,-0.05,-5.22,1.58,52.83,1.21,2.83,-1.00,-1.00,25.89,137.33,147.25,0.63,87.56,1781,,,,,
2704,Roaring Robotics,4.85,0.05,-0.58,-0.56,0.16,0.00,9.51,0.16,-1.00,-1.00,3.17,13.80,-1.27,-1.55,-0.72,0.33,0.38,0.18,0.00,29.61,1.34,-1.00,-1.00,59.31,0.35,0.10,0.15,30.42,0.80,-1.00,-1.00,-0.05,0.00,-0.25,-0.19,0.05,0.16,-0.04,3.07,39.12,0.90,1.50,-1.00,-1.00,-1.29,76.17,75.22,0.07,-4.50,1447,,,,,
2709,Iron Wolves,1.01,-0.85,1.12,0.86,0.07,0.00,4.10,0.07,-1.00,-1.00,1.37,5.97,-0.45,0.91,0.20,0.33,0.27,0.00,0.00,21.53,0.48,-1.00,-1.00,21.54,-0.14,0.16,-0.02,-0.19,0.10,-1.00,-1.00,0.06,0.00,-0.08,0.29,0.26,0.06,6.21,2.89,25.64,0.61,0.55,-1.00,-1.00,1.06,30.40,31.63,-0.07,-50.27,1350,,,,,
2826,Wave Robotics,4.17,0.21,1.30,1.36,-0.12,0.00,-7.25,-0.12,-1.00,-1.00,-2.42,-1.72,-0.20,4.12,1.32,0.33,0.37,0.22,0.00,41.96,1.75,-1.00,-1.00,64.08,-0.15,0.55,0.03,20.80,0.54,-1.00,-1.00,0.07,0.00,0.08,0.03,0.06,-0.04,1.86,-0.83,34.71,0.93,1.63,-1.00,-1.00,2.68,61.54,62.98,0.17,28.08,1555,,,,,
3184,Blaze Robotics,2.96,0.37,1.81,1.91,0.11,0.00,6.68,0.11,-1.00,-1.00,2.23,11.56,-1.23,1.58,0.39,0.33,0.35,0.40,0.00,39.09,2.20,-1.00,-1.00,54.66,-0.05,0.07,0.28,15.18,0.47,-1.00,-1.00,0.06,0.00,0.05,-0.07,-0.33,0.04,-8.13,0.58,45.77,1.09,2.31,-1.00,-1.00,2.31,66.79,67.92,0.42,5.39,1493,,,,,
3352,Flaming Monkeys 4-H Robotics Club,0.52,0.09,0.78,0.81,-0.12,0.00,-7.47,-0.12,-1.00,-1.00,-2.49,-6.14,2.56,0.74,0.25,0.33,0.23,-0.15,0.00,21.54,-0.02,-1.00,-1.00,46.18,0.24,0.10,0.15,24.38,0.79,-1.00,-1.00,0.01,0.00,0.18,0.20,-0.09,-0.09,-1.33,-1.26,14.07,0.41,-0.14,-1.00,-1.00,1.06,38.77,39.05,0.01,-30.14,1463,,,,,
3692,Rock N' Robotics,3.06,-0.75,-0.57,-0.79,-0.05,0.00,-3.19,-0.05,-1.00,-1.00,-1.06,-0.92,-0.27,-2.13,-0.67,0.33,0.17,0.08,0.00,25.41,0.71,-1.00,-1.00,36.39,0.14,0.12,-0.02,11.65,0.10,-1.00,-1.00,-0.02,0.00,0.25,0.37,-0.13,0.36,-2.03,10.91,22.21,0.58,0.66,-1.00,-1.00,-1.46,46.37,45.88,0.05,-24.79,1395,,,,,
3695,Foximus Prime,4.64,0.00,0.35,0.35,0.06,0.00,3.38,0.06,-1.00,-1.00,1.13,8.37,-0.18,0.30,0.11,0.33,0.24,0.15,0.00,27.01,1.05,-1.00,-1.00,69.79,0.44,0.11,0.30,42.67,0.77,-1.00,-1.00,-0.00,0.00,-0.11,0.40,-0.03,0.09,-1.16,4.17,30.39,0.73,1.11,-1.00,-1.00,0.46,82.33,82.28,0.21,22.53,1463,,,,,
4096,Ctrl-Z,4.92,-0.14,0.95,0.90,0.03,0.00,1.69,0.03,-1.00,-1.00,0.56,7.52,0.11,4.31,1.34,0.33,0.28,-0.19,0.00,15.59,-0.24,-1.00,-1.00,68.95,0.46,0.42,0.16,52.03,0.73,-1.00,-1.00,-0.00,0.00,0.11,-0.04,0.18,-0.09,5.10,-2.43,17.28,0.42,-0.22,-1.00,-1.00,2.25,74.04,73.97,0.14,-6.53,1498,,,,,
4143,MARS/ WARS,3.10,-0.00,4.13,4.13,0.54,0.00,32.48,0.54,-1.00,-1.00,10.83,39.71,-0.37,-0.90,-0.37,0.33,0.28,0.43,0.00,20.41,1.76,-1.00,-1.00,81.33,0.46,0.33,0.43,61.29,1.00,-1.00,-1.00,-0.01,0.00,0.22,0.25,0.01,-0.15,1.46,-2.51,52.89,1.05,2.31,-1.00,-1.00,3.76,118.53,118.37,0.65,75.69,1701,,,,,
4156,Ninjaneers,5.10,0.11,-0.48,-0.44,0.04,0.00,2.42,0.04,-1.00,-1.00,0.81,7.07,-0.51,-1.21,-0.40,0.33,0.40,-0.13,0.00,22.70,0.26,-1.00,-1.00,43.88,0.05,0.06,0.32,21.58,0.40,-1.00,-1.00,0.00,0.00,0.56,-0.11,0.03,-0.10,3.61,-3.11,25.11,0.61,0.30,-1.00,-1.00,-0.84,47.84,47.87,-0.01,-14.98,1481,,,,,
4212,Techno Ferrets,3.62,0.20,-0.96,-0.87,-0.19,0.00,-11.67,-0.19,-1.00,-1.00,-3.89,-8.93,-0.63,-2.02,-0.70,0.33,0.36,0.20,0.00,43.52,1.71,-1.00,-1.00,70.49,0.10,0.41,0.05,27.67,0.40,-1.00,-1.00,-0.05,0.00,0.33,0.10,0.38,-0.07,11.14,-1.27,31.85,0.89,1.51,-1.00,-1.00,-1.57,60.29,59.32,0.03,-37.14,1446,,,,,
