CentralValley,cama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
294,Beach Cities Robotics,4.79,0.00,0.99,0.99,0.40,0.00,24.23,0.40,-1.00,-1.00,8.08,30.01,-1.36,0.79,0.01,0.36,0.42,0.23,0.00,24.34,1.39,-1.00,-1.00,42.00,0.04,0.03,0.28,17.64,0.36,-1.00,-1.00,0.03,0.00,0.16,0.09,0.09,0.02,3.14,1.02,48.57,1.01,1.79,-1.00,-1.00,1.00,73.02,73.59,0.11,4.72,1595,,,,,
670,Homestead Robotics,4.99,0.00,0.67,0.67,0.18,0.00,10.61,0.18,-1.00,-1.00,3.54,16.26,21.48,-6.49,0.05,0.36,0.31,0.01,0.00,20.47,0.53,-1.00,-1.00,23.01,-0.11,0.02,0.14,2.50,0.33,-1.00,-1.00,-0.03,0.00,0.14,-0.24,0.40,-0.03,10.79,-1.99,31.08,0.69,0.70,-1.00,-1.00,0.71,37.28,36.71,0.19,-15.65,1441,,,,,
687,The Nerd Herd,4.29,0.00,-0.63,-0.63,-0.05,0.00,-3.10,-0.05,-1.00,-1.00,-1.03,0.56,1.15,-3.40,-0.94,0.33,0.09,0.13,0.00,24.20,0.76,-1.00,-1.00,39.88,0.03,0.32,-0.02,16.62,0.33,-1.00,-1.00,-0.02,0.00,0.01,0.64,-0.11,0.31,-2.73,11.03,21.10,0.55,0.71,-1.00,-1.00,-1.57,51.47,51.17,0.10,-20.45,1393,,,,,
751,barn2robotics,5.80,0.00,-2.65,-2.65,0.17,0.00,10.01,0.17,-1.00,-1.00,3.34,13.16,9.27,8.27,3.76,0.35,0.37,0.21,0.00,30.55,1.43,-1.00,-1.00,77.28,0.46,0.31,0.10,42.97,0.77,-1.00,-1.00,-0.04,0.00,-0.00,0.25,0.26,0.14,6.42,4.62,40.56,0.93,1.60,-1.00,-1.00,1.11,95.05,94.35,0.49,61.03,1565,,,,,
852,The Athenian Robotics Collective,5.33,0.00,0.43,0.43,0.06,0.00,3.41,0.06,-1.00,-1.00,1.14,9.16,-0.42,-1.64,-0.61,0.36,0.45,-0.03,0.00,28.86,0.74,-1.00,-1.00,79.55,0.34,0.39,0.30,51.30,0.67,-1.00,-1.00,-0.01,0.00,0.36,-0.12,0.06,0.13,3.23,2.63,32.26,0.78,0.80,-1.00,-1.00,-0.18,91.34,91.20,0.21,13.49,1468,,,,,
972,Iron Claw,5.35,0.00,0.61,0.61,-0.03,0.00,-2.01,-0.03,-1.00,-1.00,-0.67,3.96,-3.19,-2.39,-1.02,0.32,0.36,0.13,0.00,33.93,1.27,-1.00,-1.00,41.96,-0.01,0.11,0.09,9.05,0.22,-1.00,-1.00,-0.02,0.00,-0.06,0.17,-0.06,-0.28,-1.69,-6.12,31.93,0.81,1.24,-1.00,-1.00,-0.41,39.80,39.40,0.11,-1.31,1384,,,,,
973,Greybots,6.60,0.00,4.74,4.74,0.22,0.00,13.49,0.22,-1.00,-1.00,4.50,24.83,-4.83,18.51,5.58,0.35,0.35,0.58,0.00,42.29,2.82,-1.00,-1.00,96.24,0.50,0.05,0.41,48.38,0.62,-1.00,-1.00,0.11,0.00,-0.15,-0.11,-0.00,0.07,-0.77,1.18,55.77,1.28,3.05,-1.00,-1.00,10.32,122.25,124.41,0.32,77.14,1708,,,,,
980,ThunderBots,4.73,0.00,1.08,1.08,-0.12,0.00,-7.50,-0.12,-1.00,-1.00,-2.50,-1.69,0.95,2.70,1.08,0.34,0.29,0.01,0.00,30.52,0.75,-1.00,-1.00,31.58,-0.26,-0.07,0.33,-0.02,0.00,-1.00,-1.00,0.02,0.00,0.30,0.03,0.41,0.24,11.74,6.12,23.02,0.64,0.62,-1.00,-1.00,2.16,36.01,36.46,-0.04,-40.08,1419,,,,,
1072,Harker Robotics,5.90,0.00,0.22,0.22,0.50,0.00,29.88,0.50,-1.00,-1.00,9.96,36.00,-0.71,2.73,0.85,0.34,0.33,0.32,0.00,19.57,1.44,-1.00,-1.00,80.77,0.35,0.38,0.48,60.35,0.69,-1.00,-1.00,-0.02,0.00,-0.17,-0.14,0.22,0.33,4.67,7.51,49.45,0.99,1.94,-1.00,-1.00,1.07,124.29,123.83,0.47,42.78,1481,,,,,
