ChampionshipHouston,cmptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
16,Bomb Squad,3,4.15,-0.72,4.55,4.34,0.25,0.00,14.97,0.25,-1.00,-1.00,4.99,23.45,1.00,10.60,3.54,0.33,0.33,0.49,0.06,38.72,2.74,-1.00,-1.00,88.87,0.45,0.32,0.17,46.62,0.88,-1.00,-1.00,0.01,0.06,0.02,0.38,-0.32,-0.02,-7.93,1.35,53.68,1.22,2.99,-1.00,-1.00,7.87,113.67,119.94,0.21,26.80,1646,,,,,
60,Bionic Bulldogs,3,5.75,-0.00,-0.35,-0.35,0.30,0.00,18.10,0.30,-1.00,-1.00,6.03,23.50,0.99,-1.23,-0.30,0.33,0.38,0.06,0.00,19.10,0.72,-1.00,-1.00,51.02,0.35,0.33,-0.03,32.22,0.84,-1.00,-1.00,0.00,0.00,-0.06,0.06,0.03,0.63,0.54,16.02,37.20,0.78,1.02,-1.00,-1.00,-0.65,90.54,90.54,0.49,60.93,1603,,,,,
79,Team Krunch,3,4.16,0.51,2.29,2.44,-0.13,0.00,-8.06,-0.13,-1.00,-1.00,-2.69,-1.46,0.16,3.73,1.24,0.33,0.38,0.35,0.09,51.21,2.81,-1.00,-1.00,92.01,0.27,-0.03,0.55,39.56,0.76,-1.00,-1.00,0.02,0.09,0.02,-0.05,-0.10,-0.03,-2.35,-0.99,43.15,1.15,2.67,-1.00,-1.00,3.67,89.56,98.79,0.21,29.15,1526,,,,,
86,Team Resistance,3,5.19,-0.53,8.39,8.24,0.12,0.00,7.16,0.12,-1.00,-1.00,2.39,20.58,1.27,4.52,1.41,0.33,0.37,0.27,-0.03,32.90,1.53,-1.00,-1.00,84.18,0.35,0.32,0.34,49.87,1.00,-1.00,-1.00,0.00,-0.03,0.08,-0.10,0.32,0.46,8.32,11.10,40.06,0.94,1.65,-1.00,-1.00,9.65,115.86,113.03,0.45,47.26,1589,,,,,
108,SigmaC@T Robotic Team,3,5.00,0.07,-0.11,-0.09,0.26,-0.00,15.56,0.26,-1.00,-1.00,5.19,20.46,-0.14,0.86,0.22,0.34,0.23,0.18,-0.03,18.58,0.74,-1.00,-1.00,55.19,0.33,0.18,0.22,36.39,0.76,-1.00,-1.00,0.00,-0.03,0.03,-0.11,-0.09,0.57,-1.98,13.66,34.14,0.72,0.99,-1.00,-1.00,0.13,89.31,86.02,0.18,34.41,1538,,,,,
114,Eagle Strike,3,4.76,-0.53,-2.16,-2.33,0.43,0.00,25.90,0.43,-1.00,-1.00,8.63,28.33,-1.18,9.02,2.93,0.31,0.30,0.50,0.04,28.72,2.36,-1.00,-1.00,67.72,0.49,0.21,0.02,36.07,0.50,-1.00,-1.00,0.02,0.04,0.09,-0.21,0.32,0.12,8.38,1.94,54.62,1.15,2.79,-1.00,-1.00,0.60,97.99,101.94,0.44,33.72,1490,,,,,
115,MVRT,3,4.78,0.23,-0.47,-0.40,0.32,0.00,19.15,0.32,-1.00,-1.00,6.38,23.52,0.77,-0.56,-0.08,0.35,0.37,0.36,0.17,37.03,2.88,-1.00,-1.00,65.57,0.40,0.22,-0.05,28.62,0.86,-1.00,-1.00,0.00,0.17,-0.04,0.21,-0.03,0.77,-1.04,20.33,56.18,1.24,3.20,-1.00,-1.00,-0.48,109.41,126.10,0.13,1.68,1484,,,,,
118,Robonauts,3,3.73,0.00,22.68,22.68,0.10,0.00,6.14,0.10,-1.00,-1.00,2.05,32.56,0.54,90.05,29.73,0.33,0.41,0.49,-0.00,45.36,2.68,-1.00,-1.00,112.97,0.44,0.19,0.13,37.89,0.94,-1.00,-1.00,0.90,-0.00,-0.15,0.22,-0.24,0.02,-6.71,1.51,51.50,1.24,2.78,-1.00,-1.00,52.41,147.05,164.94,0.45,102.91,1787,,,,,
120,Cleveland's Team,3,4.69,-0.16,-1.22,-1.26,0.20,0.00,11.95,0.20,-1.00,-1.00,3.98,15.39,1.17,3.40,1.07,0.33,0.34,0.07,0.07,24.77,1.20,-1.00,-1.00,60.72,0.21,0.26,0.23,34.88,0.44,-1.00,-1.00,-0.01,0.07,-0.09,-0.13,-0.25,0.15,-6.74,3.20,36.72,0.82,1.40,-1.00,-1.00,-0.19,79.31,86.10,0.17,16.75,1468,,,,,
175,Buzz Robotics,3,4.24,0.01,1.51,1.51,0.16,0.00,9.58,0.16,-1.00,-1.00,3.19,15.34,-0.44,1.94,0.52,0.33,0.33,0.43,0.05,39.32,2.51,-1.00,-1.00,72.04,0.22,0.41,0.02,32.20,0.87,-1.00,-1.00,0.00,0.05,-0.07,0.54,-0.06,0.11,-1.83,5.36,48.91,1.14,2.67,-1.00,-1.00,2.03,92.74,97.56,0.33,38.63,1572,,,,,
179,Children of the Swamp,3,5.63,0.13,3.51,3.54,0.12,0.00,7.01,0.12,-1.00,-1.00,2.34,16.18,-1.47,13.83,4.36,0.33,0.40,0.30,0.07,39.73,2.33,-1.00,-1.00,86.02,0.42,0.06,0.36,41.94,0.82,-1.00,-1.00,0.01,0.07,-0.06,-0.08,-0.06,0.13,-1.78,2.95,46.74,1.11,2.44,-1.00,-1.00,7.90,105.15,112.30,0.30,41.58,1616,,,,,
180,S.P.A.M.,3,5.45,0.20,-0.06,-0.07,0.69,0.00,41.50,0.69,-1.00,-1.00,13.83,46.88,9.51,0.30,1.13,0.33,0.39,0.72,0.07,32.69,3.37,-1.00,-1.00,74.45,0.23,0.49,0.09,40.62,0.88,-1.00,-1.00,-0.01,0.07,0.26,0.00,0.21,0.26,6.56,6.40,74.20,1.51,4.06,-1.00,-1.00,1.06,127.72,134.34,0.52,77.68,1669,,,,,
192,GRT,3,4.27,-0.32,2.14,2.06,0.32,0.00,19.45,0.32,-1.00,-1.00,6.48,25.78,-0.87,-0.14,-0.13,0.31,0.31,0.22,0.07,23.47,1.58,-1.00,-1.00,75.37,0.14,0.50,0.40,52.04,0.79,-1.00,-1.00,0.02,0.07,-0.11,-0.01,1.27,0.32,31.14,7.92,42.91,0.91,1.90,-1.00,-1.00,1.93,109.08,116.39,0.21,-14.88,1506,,,,,
199,Deep Blue,3,4.81,-0.76,0.42,0.18,0.22,0.00,13.47,0.22,-1.00,-1.00,4.49,18.47,-0.22,0.41,0.13,0.34,0.35,-0.07,-0.01,15.67,0.17,-1.00,-1.00,51.46,0.32,0.32,0.07,35.65,0.78,-1.00,-1.00,0.02,-0.01,-0.05,0.31,0.40,0.18,9.68,6.02,29.15,0.62,0.40,-1.00,-1.00,0.32,75.95,75.77,-0.17,-69.75,1361,,,,,
