ChampionshipStLouis,cmpmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
20,The Rocketeers,3,5.33,-0.04,-0.15,-0.16,0.77,0.00,46.44,0.77,-1.00,-1.00,15.48,51.60,-0.52,1.31,0.29,0.33,0.36,0.67,0.19,31.29,3.76,-1.00,-1.00,73.59,-0.04,0.65,0.23,42.01,0.80,-1.00,-1.00,0.00,0.19,-0.27,0.23,0.98,-0.17,23.06,-3.06,77.73,1.56,4.53,-1.00,-1.00,0.13,122.13,140.85,0.38,36.29,1546,,,,,
27,Team RUSH,3,5.49,0.06,4.71,4.73,0.25,0.00,15.06,0.25,-1.00,-1.00,5.02,25.28,-0.41,21.22,6.94,0.33,0.33,0.44,-0.01,33.97,2.14,-1.00,-1.00,82.99,0.08,0.28,0.48,42.08,0.94,-1.00,-1.00,0.00,-0.01,-0.04,0.12,0.16,-0.03,3.72,-0.15,49.04,1.10,2.39,-1.00,-1.00,11.66,108.12,107.43,0.17,8.68,1531,,,,,
45,TechnoKats Robotics Team,3,0.53,0.00,0.13,0.13,0.19,0.00,11.23,0.19,-1.00,-1.00,3.74,11.89,-0.03,0.54,0.08,0.33,0.34,0.07,-0.14,16.87,-0.05,-1.00,-1.00,25.48,0.23,-0.07,0.01,8.53,0.42,-1.00,-1.00,0.00,-0.14,0.06,0.14,0.08,-0.13,2.30,-2.64,28.11,0.61,0.13,-1.00,-1.00,0.21,34.74,20.85,-0.16,-60.71,1325,,,,,
48,Delphi E.L.I.T.E.,3,3.55,-0.57,1.31,1.15,0.46,0.01,28.26,0.47,-1.00,-1.00,9.42,32.96,-0.66,-0.30,-0.12,0.34,0.30,0.46,0.01,25.60,2.03,-1.00,-1.00,59.25,0.18,0.32,0.18,33.78,0.78,-1.00,-1.00,0.00,0.01,-0.02,0.03,-0.26,0.11,-6.68,2.82,53.86,1.11,2.50,-1.00,-1.00,1.02,95.03,95.61,0.26,-9.30,1560,,,,,
51,Wings of Fire,3,4.48,-0.06,0.87,0.83,0.58,0.00,34.81,0.58,-1.00,-1.00,11.60,40.12,0.40,-2.13,-0.74,0.33,0.35,0.51,0.00,24.77,2.18,-1.00,-1.00,72.77,0.36,0.33,0.28,48.75,0.94,-1.00,-1.00,0.00,0.00,0.10,-0.10,0.06,0.26,2.00,5.88,59.58,1.20,2.77,-1.00,-1.00,0.08,118.77,119.18,0.33,37.58,1572,,,,,
67,The HOT Team,3,3.85,0.00,0.44,0.44,0.24,-0.00,14.51,0.24,-1.00,-1.00,4.84,18.80,0.69,0.94,0.23,0.33,0.38,0.62,0.05,45.44,3.26,-1.00,-1.00,95.03,0.45,0.17,0.37,49.36,0.58,-1.00,-1.00,0.00,0.05,-0.14,0.09,-0.15,0.14,-4.46,3.94,59.95,1.38,3.51,-1.00,-1.00,0.67,117.77,122.85,0.59,83.91,1600,,,,,
93,NEW Apple Corps,3,3.32,0.45,0.17,0.31,0.38,0.00,22.87,0.38,-1.00,-1.00,7.62,26.50,0.13,1.39,0.45,0.33,0.35,0.32,0.05,26.97,1.91,-1.00,-1.00,97.65,0.42,0.57,0.41,70.23,0.85,-1.00,-1.00,0.00,0.05,0.12,0.04,0.33,-0.02,8.78,-0.34,49.84,1.06,2.29,-1.00,-1.00,0.76,123.81,128.74,0.45,57.59,1529,,,,,
103,Cybersonics,3,4.90,0.00,0.32,0.32,0.59,0.00,35.64,0.59,-1.00,-1.00,11.88,40.87,-0.13,-1.53,-0.50,0.33,0.36,0.43,-0.01,21.12,1.83,-1.00,-1.00,54.59,0.30,0.31,0.08,33.96,0.84,-1.00,-1.00,0.01,-0.01,-0.18,0.01,-0.03,0.25,-1.67,6.34,56.76,1.12,2.43,-1.00,-1.00,-0.18,101.79,101.43,0.40,48.33,1617,,,,,
111,WildStang,3,5.20,-0.98,-0.75,-1.05,0.51,0.00,30.44,0.51,-1.00,-1.00,10.15,34.58,-0.27,7.14,2.27,0.33,0.33,0.31,0.01,19.04,1.44,-1.00,-1.00,64.59,0.35,0.39,0.12,43.28,0.73,-1.00,-1.00,-0.01,0.01,-0.08,-0.05,0.07,-0.28,1.32,-7.28,49.47,0.98,1.94,-1.00,-1.00,1.22,91.89,92.22,0.40,18.79,1544,,,,,
