Colorado,code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
159,Alpine Robotics,4.70,0.53,1.35,1.53,0.06,0.00,3.34,0.06,-1.00,-1.00,1.11,9.57,3.47,-3.30,-0.74,0.33,0.33,0.15,-0.01,30.20,1.16,-1.00,-1.00,80.51,0.29,0.49,0.24,51.05,0.92,-1.00,-1.00,-0.07,-0.01,-0.14,0.33,0.06,0.13,0.84,4.95,33.54,0.81,1.22,-1.00,-1.00,0.79,95.02,92.90,0.34,15.21,1468,,,,,
399,Eagle Robotics,5.99,3.30,0.31,1.39,0.31,0.00,18.86,0.31,-1.00,-1.00,6.29,26.23,22.77,-0.05,2.30,0.33,0.33,0.23,-0.01,22.41,1.19,-1.00,-1.00,75.99,0.21,0.30,0.51,51.27,0.82,-1.00,-1.00,0.03,-0.01,-0.15,0.16,-0.11,-0.08,-3.53,-1.14,41.27,0.87,1.50,-1.00,-1.00,3.69,101.08,100.66,0.32,39.53,1600,,,,,
662,Rocky Mountain Robotics,4.66,-0.19,-0.32,-0.38,0.02,0.00,1.20,0.02,-1.00,-1.00,0.40,5.48,-0.76,-0.18,-0.14,0.33,0.37,-0.03,-0.00,25.96,0.58,-1.00,-1.00,77.55,0.26,0.37,0.41,51.72,0.69,-1.00,-1.00,-0.01,-0.00,-0.01,0.33,-0.06,0.09,-1.48,4.01,27.16,0.67,0.60,-1.00,-1.00,-0.51,87.04,86.90,0.35,42.84,1582,,,,,
1011,CRUSH,4.45,0.42,-1.55,-1.46,0.23,0.00,13.60,0.23,-1.00,-1.00,4.53,16.58,0.05,5.76,1.98,0.33,0.28,0.59,-0.00,39.16,2.77,-1.00,-1.00,80.29,0.21,0.36,0.22,39.15,0.41,-1.00,-1.00,0.03,-0.00,0.20,0.33,-0.11,0.00,-1.66,1.73,52.76,1.21,2.99,-1.00,-1.00,0.52,98.61,98.87,0.25,21.73,1588,,,,,
1157,Landsharks,4.42,-0.01,-0.17,-0.17,-0.03,0.00,-1.84,-0.03,-1.00,-1.00,-0.61,2.41,0.34,-0.06,0.03,0.33,0.20,-0.03,-0.00,21.33,0.27,-1.00,-1.00,24.76,0.16,-0.12,0.03,3.40,0.18,-1.00,-1.00,0.01,-0.00,-0.01,-0.16,-0.16,-0.09,-4.09,-3.00,19.49,0.50,0.24,-1.00,-1.00,-0.13,24.17,24.02,-0.27,-73.56,1397,,,,,
1245,MoHi Shazbots,3.48,-0.18,0.28,0.23,0.46,0.00,27.46,0.46,-1.00,-1.00,9.15,31.16,0.88,-0.35,0.02,0.33,0.17,0.01,0.01,2.71,0.08,-1.00,-1.00,-3.54,0.04,0.01,-0.17,-6.27,0.00,-1.00,-1.00,-0.01,0.01,-0.13,0.02,0.02,-0.01,-0.12,-0.04,30.17,0.53,0.53,-1.00,-1.00,0.25,27.59,28.19,0.10,-32.03,1337,,,,,
1303,WYOHAZARD,6.02,-0.37,0.40,0.28,0.09,0.00,5.27,0.09,-1.00,-1.00,1.76,11.57,2.74,-0.13,0.27,0.33,0.28,0.22,-0.01,29.21,1.27,-1.00,-1.00,21.08,-0.10,-0.18,0.11,-8.39,0.08,-1.00,-1.00,0.00,-0.01,0.08,-0.10,0.05,-0.18,1.64,-4.98,34.47,0.82,1.36,-1.00,-1.00,0.55,27.68,26.54,0.26,-2.10,1369,,,,,
1332,Swift,0.46,0.02,0.16,0.17,0.01,0.00,0.62,0.01,-1.00,-1.00,0.21,1.25,-0.31,-0.77,-0.26,0.33,0.34,-0.19,0.01,19.10,0.01,-1.00,-1.00,21.30,-0.17,0.00,0.22,2.47,0.27,-1.00,-1.00,-0.01,0.01,-0.03,0.16,0.29,0.07,7.22,2.48,19.72,0.49,0.02,-1.00,-1.00,-0.10,25.03,25.96,-0.09,-41.13,1351,,,,,
1339,AngelBotics,4.86,-0.07,0.19,0.18,0.41,0.00,24.69,0.41,-1.00,-1.00,8.23,29.73,0.06,-1.16,-0.41,0.33,0.36,0.39,0.00,27.09,1.90,-1.00,-1.00,76.73,0.13,0.58,0.29,50.05,0.88,-1.00,-1.00,-0.02,0.00,0.12,-0.06,0.29,0.05,7.75,0.87,51.78,1.09,2.31,-1.00,-1.00,-0.23,107.34,107.07,0.13,3.39,1488,,,,,
