Dallas,txda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
31,Prime Movers,3.88,0.00,-0.01,-0.01,0.26,0.00,15.50,0.26,-1.00,-1.00,5.17,19.38,0.35,-0.21,-0.06,0.33,0.24,0.09,0.00,16.22,0.59,-1.00,-1.00,44.90,0.05,0.44,0.08,28.75,0.50,-1.00,-1.00,0.00,0.00,0.22,-0.28,0.67,0.13,17.84,1.94,31.72,0.66,0.84,-1.00,-1.00,-0.07,66.22,66.22,0.04,-16.52,1363,,,,,
148,Robowranglers,3.50,0.00,-0.03,-0.03,0.78,0.00,46.50,0.78,-1.00,-1.00,15.50,49.96,1.22,-0.30,0.06,0.33,0.52,0.26,0.00,13.50,1.30,-1.00,-1.00,72.60,0.57,0.54,0.07,59.05,0.57,-1.00,-1.00,0.00,0.00,-0.20,-0.15,-0.04,0.25,-1.94,5.42,60.00,1.11,2.07,-1.00,-1.00,0.02,127.99,127.99,0.59,89.29,1691,,,,,
647,Cyberwolves ,2.91,0.00,-0.00,-0.00,0.07,0.00,4.49,0.07,-1.00,-1.00,1.50,7.40,0.13,0.80,0.20,0.33,0.05,0.01,0.00,12.87,0.08,-1.00,-1.00,12.64,-0.04,0.06,-0.02,-0.42,0.00,-1.00,-1.00,0.00,0.00,0.13,0.31,0.49,-0.05,12.77,0.24,17.36,0.40,0.15,-1.00,-1.00,0.19,20.29,20.29,0.10,-31.23,1372,,,,,
704,Warriors,7.27,0.00,0.01,0.01,0.21,0.00,12.81,0.21,-1.00,-1.00,4.27,20.08,-0.13,0.88,0.33,0.33,0.53,0.28,0.00,37.40,1.98,-1.00,-1.00,68.51,0.32,0.23,0.06,30.77,0.60,-1.00,-1.00,0.00,0.00,-0.25,0.04,0.01,0.74,-1.08,18.71,50.21,1.15,2.20,-1.00,-1.00,0.34,107.30,107.30,0.39,41.62,1496,,,,,
1296,Full Metal Jackets,3.67,0.00,-0.01,-0.01,-0.21,0.00,-12.63,-0.21,-1.00,-1.00,-4.21,-8.97,-0.50,0.14,0.02,0.33,0.35,0.29,0.00,47.52,2.08,-1.00,-1.00,119.46,0.41,0.31,0.72,71.92,1.00,-1.00,-1.00,0.00,0.00,-0.24,0.34,-0.30,0.06,-8.66,3.30,34.89,0.98,1.87,-1.00,-1.00,0.01,113.78,113.78,0.58,76.37,1604,,,,,
1745,P-51 Mustangs,3.16,0.00,0.01,0.01,0.08,0.00,4.79,0.08,-1.00,-1.00,1.60,7.96,-0.27,0.39,-0.01,0.33,0.34,-0.12,0.00,19.01,0.13,-1.00,-1.00,35.12,-0.13,0.34,0.12,16.12,0.64,-1.00,-1.00,0.00,0.00,-0.13,-0.14,0.81,0.53,19.57,12.60,23.80,0.56,0.21,-1.00,-1.00,0.00,55.68,55.68,0.16,13.97,1422,,,,,
1860,Cephatron,6.66,0.00,0.01,0.01,-0.16,0.00,-9.87,-0.16,-1.00,-1.00,-3.29,-3.19,-0.42,0.11,0.02,0.33,0.18,0.29,0.00,38.78,1.69,-1.00,-1.00,61.62,0.30,-0.15,0.30,22.82,0.58,-1.00,-1.00,0.00,0.00,0.14,0.69,-0.05,0.28,-0.43,10.48,28.92,0.81,1.53,-1.00,-1.00,0.03,68.91,68.91,0.00,-22.09,1439,,,,,
2359,RoboLobos,3.78,0.00,-0.02,-0.02,0.55,0.00,33.15,0.55,-1.00,-1.00,11.05,36.92,-0.11,-0.10,0.01,0.33,0.55,0.05,0.00,15.38,0.76,-1.00,-1.00,73.98,0.35,0.33,0.49,58.60,0.83,-1.00,-1.00,0.00,0.00,-0.03,0.91,-0.30,-0.39,-7.70,-5.11,48.53,0.94,1.32,-1.00,-1.00,-0.01,105.79,105.79,0.53,54.34,1519,,,,,
2468,Team Appreciate,4.30,0.00,-0.01,-0.01,0.34,0.00,20.61,0.34,-1.00,-1.00,6.87,24.90,1.12,0.18,0.06,0.33,0.50,0.13,0.00,24.88,1.18,-1.00,-1.00,90.05,0.44,0.58,0.29,65.11,0.93,-1.00,-1.00,0.00,0.00,-0.30,-0.28,0.23,0.12,4.28,1.68,45.49,0.97,1.53,-1.00,-1.00,0.05,116.63,116.63,0.28,74.45,1639,,,,,
