FingerLakes,nyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
174,Arctic Warriors,6.31,-0.01,0.13,0.13,-0.04,0.00,-2.63,-0.04,-1.00,-1.00,-0.88,3.81,0.30,-1.51,-0.58,0.33,0.36,0.21,-0.02,36.93,1.47,-1.00,-1.00,71.57,0.14,0.27,0.29,35.22,0.83,-1.00,-1.00,-0.00,-0.02,0.04,0.03,0.14,0.27,3.82,7.03,34.30,0.88,1.43,-1.00,-1.00,-0.45,82.41,80.59,0.29,3.78,1456,,,,,
191,X-CATS,4.28,-0.01,-2.00,-2.00,0.33,0.00,19.70,0.33,-1.00,-1.00,6.57,21.98,1.04,-0.70,-0.14,0.33,0.38,0.12,-0.01,20.12,0.87,-1.00,-1.00,59.59,-0.00,0.35,0.45,39.61,0.94,-1.00,-1.00,-0.01,-0.01,-0.04,0.21,0.17,0.25,4.13,7.28,39.82,0.83,1.20,-1.00,-1.00,-2.14,88.85,87.96,0.52,16.88,1544,,,,,
271,Mechanical Marauders,3.68,-0.01,-0.68,-0.68,-0.10,0.00,-5.91,-0.10,-1.00,-1.00,-1.97,-2.91,-0.54,-1.89,-0.60,0.33,0.39,0.02,0.01,34.24,1.04,-1.00,-1.00,56.84,0.21,0.24,0.01,23.20,0.56,-1.00,-1.00,0.00,0.01,-0.11,0.06,0.26,0.07,6.04,1.98,28.33,0.76,0.94,-1.00,-1.00,-1.28,55.91,57.16,0.06,6.31,1462,,,,,
287,Floyd,4.47,0.10,1.04,1.04,-0.10,0.00,-5.85,-0.10,-1.00,-1.00,-1.95,-0.35,0.47,2.69,0.97,0.33,0.26,0.29,0.00,39.09,1.76,-1.00,-1.00,83.68,0.52,0.23,0.13,43.62,0.80,-1.00,-1.00,-0.01,0.00,0.08,-0.00,-0.03,0.10,-0.38,2.46,33.24,0.88,1.67,-1.00,-1.00,2.01,85.79,85.70,0.19,-3.77,1507,,,,,
296,Northern Knights,5.20,-0.01,1.82,1.82,0.07,0.00,4.03,0.07,-1.00,-1.00,1.34,11.05,-0.59,2.42,0.69,0.33,0.35,0.00,-0.02,24.22,0.56,-1.00,-1.00,38.75,0.05,-0.02,0.25,13.84,0.20,-1.00,-1.00,0.09,-0.02,0.13,0.07,0.38,0.07,10.12,2.15,28.25,0.67,0.63,-1.00,-1.00,2.51,51.95,52.30,-0.08,-23.77,1376,,,,,
340,G.R.R. (Greater Rochester Robotics),5.73,-0.02,-1.06,-1.06,0.42,0.00,25.06,0.42,-1.00,-1.00,8.35,29.72,-0.03,2.27,0.76,0.33,0.36,0.83,0.09,48.15,4.20,-1.00,-1.00,80.39,0.26,0.21,0.16,31.48,0.81,-1.00,-1.00,-0.00,0.09,-0.02,0.07,-0.12,0.11,-3.16,3.16,73.21,1.62,4.61,-1.00,-1.00,-0.30,113.28,122.61,0.37,58.61,1572,,,,,
378,The Circuit Stompers,4.34,0.00,0.72,0.72,-0.12,0.00,-7.50,-0.12,-1.00,-1.00,-2.50,-2.44,2.05,-1.79,-0.46,0.33,0.21,0.01,0.00,26.91,0.58,-1.00,-1.00,47.65,0.02,0.29,0.11,21.21,0.67,-1.00,-1.00,-0.00,0.00,0.09,0.39,-0.21,-0.05,-4.88,0.82,19.41,0.55,0.45,-1.00,-1.00,0.26,46.03,46.34,-0.00,0.58,1455,,,,,
533,The PSIcotics,5.47,-0.01,0.84,0.84,0.48,0.00,28.76,0.48,-1.00,-1.00,9.59,35.06,2.58,-0.53,-0.19,0.33,0.23,0.19,0.00,11.06,0.85,-1.00,-1.00,38.09,0.30,-0.16,0.40,27.22,0.50,-1.00,-1.00,-0.01,0.00,-0.10,-0.06,-0.21,-0.17,-5.83,-4.59,39.81,0.76,1.33,-1.00,-1.00,0.65,68.56,68.45,0.38,11.72,1439,,,,,
578,R-cubed  - Red Raider Robotics,4.89,-0.00,0.71,0.71,0.49,0.00,29.69,0.49,-1.00,-1.00,9.90,35.29,-0.31,0.57,0.23,0.33,0.33,0.20,0.01,15.23,1.02,-1.00,-1.00,56.49,0.16,0.08,0.58,41.03,0.75,-1.00,-1.00,-0.00,0.01,-0.15,0.19,0.10,-0.04,1.73,-0.02,44.91,0.88,1.52,-1.00,-1.00,0.95,91.75,92.54,0.20,18.24,1506,,,,,
639,Code Red Robotics,4.22,0.01,0.26,0.26,0.18,0.00,10.75,0.18,-1.00,-1.00,3.58,15.23,1.14,-1.05,-0.35,0.33,0.37,0.13,-0.01,25.68,1.02,-1.00,-1.00,40.06,0.14,-0.02,0.17,14.73,0.45,-1.00,-1.00,-0.00,-0.01,-0.00,-0.08,0.02,-0.15,0.59,-4.04,36.43,0.82,1.20,-1.00,-1.00,-0.09,51.26,50.67,0.08,-8.53,1490,,,,,
695,FIRST Responders,5.48,0.10,-0.89,-0.89,0.18,0.00,10.50,0.18,-1.00,-1.00,3.50,15.09,0.07,-1.84,-0.60,0.33,0.26,0.09,-0.00,20.38,0.70,-1.00,-1.00,33.88,0.01,0.24,0.04,14.10,0.40,-1.00,-1.00,-0.01,-0.00,-0.06,0.06,0.25,0.17,6.04,4.63,30.88,0.68,0.88,-1.00,-1.00,-1.49,53.60,53.08,-0.05,-13.17,1460,,,,,
743,Technobots,3.23,0.00,-1.16,-1.16,0.15,0.00,8.90,0.15,-1.00,-1.00,2.97,10.98,-0.28,-0.98,-0.35,0.33,0.35,0.09,0.00,25.07,0.93,-1.00,-1.00,57.49,0.18,0.05,0.42,32.76,0.50,-1.00,-1.00,-0.01,0.00,-0.09,-0.11,0.23,0.14,5.35,3.05,33.97,0.78,1.07,-1.00,-1.00,-1.51,71.52,71.28,0.03,-8.45,1463,,,,,
870,TEAM  R. I. C. E.  ,4.45,0.00,-1.08,-1.08,0.71,0.00,42.82,0.71,-1.00,-1.00,14.27,46.19,2.27,-1.67,-0.29,0.33,0.43,0.54,0.00,23.44,2.28,-1.00,-1.00,54.70,0.16,0.38,0.10,31.55,0.71,-1.00,-1.00,-0.01,0.00,-0.17,0.21,-0.07,0.19,-2.54,5.83,66.26,1.30,2.99,-1.00,-1.00,-1.38,106.73,106.67,0.36,28.33,1569,,,,,
1126,SPARX,3.38,-0.00,2.86,2.86,-0.02,0.00,-1.45,-0.02,-1.00,-1.00,-0.48,4.78,-0.53,0.09,-0.28,0.33,0.32,-0.05,-0.00,24.98,0.45,-1.00,-1.00,67.68,0.69,0.33,-0.15,42.99,0.58,-1.00,-1.00,0.00,-0.00,0.06,-0.05,-0.02,-0.11,-0.25,-2.90,23.52,0.60,0.43,-1.00,-1.00,2.58,69.57,69.40,0.34,22.40,1498,,,,,
1405,Finney Falcons,3.67,-0.00,0.41,0.41,0.12,0.00,7.30,0.12,-1.00,-1.00,2.43,11.38,-0.29,0.67,0.24,0.33,0.36,0.49,-0.00,42.53,2.55,-1.00,-1.00,82.57,0.39,0.18,0.23,39.80,0.75,-1.00,-1.00,0.01,-0.00,-0.05,-0.18,0.09,0.32,2.05,7.08,49.83,1.18,2.67,-1.00,-1.00,0.65,101.02,101.06,0.37,33.84,1542,,,,,
1450,XQ RobotiX,3.16,-0.00,0.29,0.29,-0.04,0.00,-2.19,-0.04,-1.00,-1.00,-0.73,1.26,-0.47,-0.44,-0.12,0.33,0.33,0.15,0.01,34.35,1.36,-1.00,-1.00,35.32,0.20,0.15,-0.33,1.09,0.40,-1.00,-1.00,-0.00,0.01,-0.09,0.21,-0.13,-0.20,-3.64,-4.06,32.16,0.82,1.32,-1.00,-1.00,0.17,32.51,33.59,0.03,-26.34,1441,,,,,
1507,Warlocks,4.52,-0.00,1.79,1.79,0.33,0.00,19.72,0.33,-1.00,-1.00,6.57,26.03,-0.19,0.58,0.17,0.33,0.33,0.49,-0.02,32.18,2.20,-1.00,-1.00,105.28,0.36,0.57,0.52,72.94,0.81,-1.00,-1.00,-0.00,-0.02,0.13,-0.04,0.12,0.29,3.73,6.97,51.90,1.13,2.53,-1.00,-1.00,1.96,138.29,136.72,0.41,49.09,1585,,,,,
