GreaterKansasCity,mokc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
624,CRyptonite,5.47,0.00,0.55,0.55,0.49,0.00,29.51,0.49,-1.00,-1.00,9.84,35.52,-0.09,6.10,1.66,0.33,0.39,0.63,0.12,39.06,3.50,-1.00,-1.00,66.19,0.43,-0.05,0.13,25.48,0.87,-1.00,-1.00,-0.01,0.12,-0.11,-0.05,-0.06,-0.15,-2.05,-4.00,68.56,1.47,3.99,-1.00,-1.00,2.21,97.72,109.21,0.38,48.26,1604,,,,,
935,RaileRobotics,5.53,0.00,-0.02,-0.02,0.41,0.00,24.55,0.41,-1.00,-1.00,8.18,30.06,0.39,-2.17,-0.63,0.33,0.33,0.17,-0.06,14.45,0.56,-1.00,-1.00,71.08,0.47,0.29,0.38,57.25,0.88,-1.00,-1.00,-0.01,-0.06,0.04,0.03,0.32,-0.03,8.25,-0.55,39.00,0.77,0.97,-1.00,-1.00,-0.65,100.59,94.29,0.21,6.56,1520,,,,,
937,Robo Tribe,3.93,0.00,0.22,0.22,-0.06,0.00,-3.70,-0.06,-1.00,-1.00,-1.23,0.45,1.50,1.24,0.42,0.33,0.28,-0.17,0.02,20.96,0.07,-1.00,-1.00,20.23,0.07,0.01,-0.10,-1.15,0.11,-1.00,-1.00,-0.00,0.02,0.17,0.59,-0.24,-0.09,-5.26,0.77,17.25,0.46,0.01,-1.00,-1.00,0.64,21.45,23.73,-0.08,-51.45,1313,,,,,
938,Team Botman,5.30,0.00,-0.07,-0.07,0.17,0.00,9.91,0.17,-1.00,-1.00,3.30,15.14,-0.70,-0.29,-0.11,0.33,0.20,0.06,-0.02,16.20,0.34,-1.00,-1.00,17.29,0.01,0.14,-0.13,1.20,0.00,-1.00,-1.00,0.02,-0.02,0.21,-0.04,-0.15,-0.01,-2.66,-0.46,26.11,0.57,0.50,-1.00,-1.00,-0.17,31.97,30.25,0.00,-36.29,1335,,,,,
1108,Panther Robotics,2.66,0.00,0.26,0.26,0.16,0.00,9.84,0.16,-1.00,-1.00,3.28,12.76,0.84,0.70,0.27,0.33,0.22,0.01,-0.03,14.42,0.09,-1.00,-1.00,38.99,-0.02,0.43,0.07,24.30,0.67,-1.00,-1.00,0.02,-0.03,-0.07,-0.19,0.28,-0.30,6.57,-8.57,24.27,0.52,0.26,-1.00,-1.00,0.53,43.19,40.24,0.28,-26.46,1469,,,,,
1710,The Ravonics Revolution,3.68,0.00,0.66,0.66,0.05,0.00,2.92,0.05,-1.00,-1.00,0.97,7.26,-0.09,3.80,1.08,0.33,0.35,0.65,0.00,51.91,3.30,-1.00,-1.00,89.81,0.34,0.42,-0.02,36.82,0.94,-1.00,-1.00,0.03,0.00,0.05,-0.19,-0.24,0.20,-5.88,3.94,54.83,1.35,3.35,-1.00,-1.00,1.74,101.02,101.96,0.31,68.13,1511,,,,,
1723,The FBI - FIRST Bots of Independence,2.92,0.00,-0.64,-0.64,-0.00,0.00,-0.03,-0.00,-1.00,-1.00,-0.01,2.25,-0.10,6.08,2.03,0.33,0.42,0.27,-0.02,40.20,1.81,-1.00,-1.00,70.53,0.27,0.30,-0.00,28.30,0.77,-1.00,-1.00,0.04,-0.02,-0.20,-0.15,-0.09,-0.07,-3.14,-2.42,40.17,1.00,1.81,-1.00,-1.00,1.39,70.36,69.44,-0.04,-29.97,1424,,,,,
1730,Team Driven,6.21,0.00,-0.54,-0.54,0.73,0.00,43.72,0.73,-1.00,-1.00,14.57,49.39,-0.13,-2.60,-0.78,0.33,0.36,0.31,0.05,12.92,1.52,-1.00,-1.00,56.23,0.23,0.45,0.20,44.09,0.82,-1.00,-1.00,-0.03,0.05,-0.10,0.04,-0.14,0.10,-4.07,2.60,56.64,1.05,2.25,-1.00,-1.00,-1.32,108.21,112.35,0.54,64.61,1686,,,,,
1737,Project X,4.69,0.00,0.14,0.14,0.13,0.00,7.60,0.13,-1.00,-1.00,2.53,12.43,1.27,3.03,0.91,0.33,0.24,0.11,0.01,22.61,0.85,-1.00,-1.00,47.05,0.01,0.15,0.31,23.54,0.11,-1.00,-1.00,0.01,0.01,0.12,-0.04,0.10,-0.02,3.15,-0.66,30.21,0.69,0.97,-1.00,-1.00,1.05,58.83,59.93,0.34,26.08,1472,,,,,
