GreaterPittsburgh,paca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
117,The Steel Dragons,6.06,-0.22,-0.30,-0.36,-0.03,0.00,-1.76,-0.03,-1.00,-1.00,-0.59,3.94,0.23,0.39,0.07,0.33,0.17,-0.07,-0.01,18.18,0.04,-1.00,-1.00,27.67,0.35,-0.13,-0.03,9.42,0.09,-1.00,-1.00,0.00,-0.01,0.33,0.17,0.11,-0.06,4.31,-0.60,16.43,0.43,0.01,-1.00,-1.00,-0.29,31.02,30.42,0.14,-23.14,1413,,,,,
144,The R.O.C.K,4.94,0.13,1.22,1.27,0.43,0.00,26.04,0.43,-1.00,-1.00,8.68,32.25,-0.55,4.04,1.05,0.33,0.41,0.12,-0.02,16.33,0.72,-1.00,-1.00,56.24,0.09,0.32,0.37,38.87,0.86,-1.00,-1.00,0.00,-0.02,0.47,-0.25,0.34,0.10,10.86,1.33,42.37,0.84,1.16,-1.00,-1.00,2.32,89.83,87.39,0.23,21.44,1576,,,,,
156,RPM  - Robotics Plus Mayhem ,4.55,-0.18,-0.02,-0.07,-0.11,0.00,-6.48,-0.11,-1.00,-1.00,-2.16,-2.01,1.66,-1.19,-0.34,0.33,0.34,0.05,0.09,36.95,1.53,-1.00,-1.00,81.55,0.08,0.45,0.37,44.94,0.94,-1.00,-1.00,0.00,0.09,-0.01,0.35,0.27,0.13,6.84,5.02,30.47,0.82,1.42,-1.00,-1.00,-0.41,84.57,93.33,0.33,-2.47,1523,,,,,
217,ThunderChickens,5.25,-0.04,-0.09,-0.10,0.08,0.00,4.58,0.08,-1.00,-1.00,1.53,9.73,-0.16,-2.17,-0.61,0.33,0.38,0.52,0.01,46.58,2.80,-1.00,-1.00,88.34,0.52,0.28,0.04,42.37,0.50,-1.00,-1.00,0.00,0.01,0.03,0.13,-0.07,0.54,-1.59,14.05,51.16,1.24,2.88,-1.00,-1.00,-0.70,112.13,112.63,0.39,26.80,1597,,,,,
291,CIA - Creativity In Action,4.74,0.70,0.14,0.38,0.15,0.00,9.05,0.15,-1.00,-1.00,3.02,14.17,2.59,0.41,0.31,0.33,0.26,0.22,-0.01,26.19,1.20,-1.00,-1.00,37.58,0.33,-0.17,0.07,11.08,0.33,-1.00,-1.00,0.00,-0.01,-0.12,0.32,0.14,0.60,2.96,16.57,35.25,0.81,1.35,-1.00,-1.00,0.69,68.31,67.62,0.03,-6.16,1451,,,,,
302,The Dragons,3.77,-0.11,1.05,1.03,-0.00,0.00,-0.00,-0.00,-1.00,-1.00,-0.00,4.79,-0.82,1.83,0.49,0.33,0.40,0.42,0.07,48.52,2.86,-1.00,-1.00,83.39,0.38,0.16,0.15,34.38,0.75,-1.00,-1.00,0.00,0.07,0.02,0.19,0.01,0.03,0.43,1.69,48.52,1.21,2.86,-1.00,-1.00,1.52,89.88,96.52,0.17,12.92,1525,,,,,
359,Hawaiian Kids,5.38,0.06,5.23,5.25,-0.21,0.00,-12.46,-0.21,-1.00,-1.00,-4.15,-1.82,0.04,9.30,2.93,0.33,0.38,0.45,-0.02,54.09,2.64,-1.00,-1.00,91.69,0.30,0.16,0.23,34.67,1.00,-1.00,-1.00,0.00,-0.02,-0.05,0.24,-0.11,0.27,-2.93,8.02,41.64,1.14,2.44,-1.00,-1.00,8.18,97.89,95.86,0.35,56.35,1636,,,,,
1708,AMP'D Robotics,4.56,-0.02,0.11,0.04,0.09,0.00,5.60,0.09,-1.00,-1.00,1.87,10.21,0.06,-0.91,-0.39,0.33,0.14,0.23,0.00,24.72,1.13,-1.00,-1.00,46.80,-0.01,0.16,0.30,22.47,0.79,-1.00,-1.00,0.00,0.00,0.20,0.29,0.30,0.28,8.44,8.59,30.32,0.71,1.23,-1.00,-1.00,-0.35,65.60,65.83,0.33,16.58,1474,,,,,
1743,Short Circuits,0.63,-0.13,0.39,0.35,0.11,0.00,6.45,0.11,-1.00,-1.00,2.15,7.44,0.27,-1.48,-0.42,0.33,0.17,-0.15,-0.00,9.91,-0.37,-1.00,-1.00,4.56,-0.08,-0.14,0.12,-4.94,0.00,-1.00,-1.00,0.00,-0.00,0.14,-0.04,0.46,-0.23,12.25,-5.99,16.37,0.36,-0.26,-1.00,-1.00,-0.07,6.00,5.97,-0.08,-78.92,1311,,,,,
