Hawaii,hiho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
359,Hawaiian Kids,5.43,0.00,3.00,3.00,0.35,0.00,21.28,0.35,-1.00,-1.00,7.09,29.71,0.11,29.49,9.73,0.24,0.28,0.04,-0.01,8.11,0.23,-1.00,-1.00,50.94,0.17,0.31,0.18,33.09,0.63,-1.00,-1.00,0.19,-0.01,-0.10,0.20,-0.14,0.26,-4.00,7.50,29.39,0.56,0.58,-1.00,-1.00,12.73,88.15,90.77,0.20,48.06,1589,,,,,
368,Team Kika Mana,4.05,0.00,1.63,1.63,0.01,0.00,0.38,0.01,-1.00,-1.00,0.13,6.06,-0.05,5.25,1.68,0.33,0.31,0.23,0.00,34.55,1.54,-1.00,-1.00,70.86,0.21,0.06,0.42,34.63,0.50,-1.00,-1.00,0.03,0.00,-0.08,-0.02,0.27,0.09,6.50,2.26,34.93,0.87,1.55,-1.00,-1.00,3.31,79.18,80.19,0.28,4.64,1497,,,,,
1378,Hilo Viking Robotics,4.04,0.00,0.59,0.59,0.31,0.00,18.47,0.31,-1.00,-1.00,6.16,23.11,4.77,-1.27,-0.03,0.33,0.20,0.34,0.00,22.74,1.46,-1.00,-1.00,39.39,0.44,0.03,-0.14,16.68,0.43,-1.00,-1.00,-0.03,0.00,0.03,-0.15,0.00,0.33,0.19,7.43,41.21,0.88,1.77,-1.00,-1.00,0.56,69.93,69.64,0.03,13.68,1387,,,,,
1622,Team Spyder,3.92,0.00,0.67,0.67,0.06,0.00,3.70,0.06,-1.00,-1.00,1.23,8.28,-0.62,-2.81,-0.92,0.24,0.28,0.28,0.00,29.97,1.56,-1.00,-1.00,75.85,0.29,0.21,0.43,46.80,0.93,-1.00,-1.00,-0.02,0.00,0.28,0.54,0.03,0.03,2.09,3.31,33.66,0.81,1.62,-1.00,-1.00,-0.25,87.45,87.29,0.28,24.49,1465,,,,,
1661,Griffitrons,3.44,0.00,0.53,0.53,0.51,0.00,30.50,0.51,-1.00,-1.00,10.17,34.47,1.25,5.94,2.04,0.34,0.40,0.70,0.00,37.62,3.12,-1.00,-1.00,104.11,0.68,0.12,0.49,64.44,0.84,-1.00,-1.00,0.04,0.00,-0.07,0.25,0.02,0.32,0.24,9.27,68.13,1.45,3.63,-1.00,-1.00,2.57,147.84,149.00,0.41,93.69,1587,,,,,
2090,Buff 'n Blue,4.21,0.00,0.48,0.48,0.41,0.00,24.61,0.41,-1.00,-1.00,8.20,29.30,-1.13,-3.71,-1.43,0.34,0.40,0.27,0.00,23.95,1.48,-1.00,-1.00,59.21,0.37,0.31,0.06,36.69,0.62,-1.00,-1.00,-0.03,0.00,-0.03,-0.03,0.25,-0.26,5.98,-6.56,48.57,1.01,1.89,-1.00,-1.00,-0.95,81.95,81.58,0.29,42.07,1520,,,,,
2437,Lancer Robotics,4.73,0.00,-0.26,-0.26,-0.02,0.00,-1.33,-0.02,-1.00,-1.00,-0.44,3.14,-0.66,1.58,0.44,0.35,0.43,0.13,-0.00,37.17,1.40,-1.00,-1.00,46.21,-0.10,0.20,0.06,8.60,0.08,-1.00,-1.00,-0.01,-0.00,0.42,-0.03,0.13,-0.02,5.30,-0.75,35.84,0.91,1.38,-1.00,-1.00,0.18,48.60,48.48,0.12,8.61,1389,,,,,
2438,Iobotics,4.83,0.00,0.75,0.75,0.44,0.00,26.33,0.44,-1.00,-1.00,8.78,31.92,-0.53,-4.80,-1.65,0.34,0.26,0.17,-0.01,12.87,0.73,-1.00,-1.00,52.06,0.25,0.28,0.29,40.84,0.54,-1.00,-1.00,-0.03,-0.01,-0.22,0.32,0.36,1.19,7.80,31.25,39.20,0.76,1.16,-1.00,-1.00,-0.90,115.23,113.85,0.51,64.11,1588,,,,,
2439,Bearbotics,5.80,0.00,0.04,0.04,0.03,0.00,1.95,0.03,-1.00,-1.00,0.65,7.79,-0.88,1.02,0.19,0.32,0.29,0.03,0.00,24.44,0.67,-1.00,-1.00,29.59,0.05,0.05,-0.00,4.96,0.38,-1.00,-1.00,0.02,0.00,0.66,-0.01,0.45,0.15,14.53,3.74,26.39,0.64,0.71,-1.00,-1.00,0.23,41.12,41.72,-0.14,-66.01,1374,,,,,
