team,home championship,,,
1,St. Louis,,,
4,Houston,,,
8,Houston,,,
11,St. Louis,,,
16,Houston,,,
20,St. Louis,,,
21,Houston,,,
25,St. Louis,,,
27,St. Louis,,,
28,St. Louis,,,
31,Houston,,,
33,St. Louis,,,
34,Houston,,,
41,St. Louis,,,
45,St. Louis,,,
48,St. Louis,,,
51,St. Louis,,,
56,St. Louis,,,
58,St. Louis,,,
59,Houston,,,
60,Houston,,,
63,St. Louis,,,
66,St. Louis,,,
67,St. Louis,,,
68,St. Louis,,,
69,St. Louis,,,
70,St. Louis,,,
71,St. Louis,,,
74,St. Louis,,,
75,St. Louis,,,
78,St. Louis,,,
79,Houston,,,
81,St. Louis,,,
85,St. Louis,,,
86,Houston,,,
87,St. Louis,,,
88,St. Louis,,,
93,St. Louis,,,
94,St. Louis,,,
95,St. Louis,,,
97,St. Louis,,,
100,Houston,,,
101,St. Louis,,,
102,St. Louis,,,
103,St. Louis,,,
107,St. Louis,,,
108,Houston,,,
111,St. Louis,,,
114,Houston,,,
115,Houston,,,
116,St. Louis,,,
117,St. Louis,,,
118,Houston,,,
120,St. Louis,,,
121,St. Louis,,,
123,St. Louis,,,
125,St. Louis,,,
126,St. Louis,,,
128,St. Louis,,,
131,St. Louis,,,
133,St. Louis,,,
135,St. Louis,,,
136,St. Louis,,,
138,St. Louis,,,
141,St. Louis,,,
144,St. Louis,,,
145,St. Louis,,,
148,Houston,,,
151,St. Louis,,,
155,St. Louis,,,
156,St. Louis,,,
157,St. Louis,,,
159,Houston,,,
166,St. Louis,,,
167,St. Louis,,,
171,St. Louis,,,
172,St. Louis,,,
173,St. Louis,,,
174,St. Louis,,,
175,St. Louis,,,
176,St. Louis,,,
177,St. Louis,,,
178,St. Louis,,,
179,Houston,,,
180,Houston,,,
181,St. Louis,,,
188,St. Louis,,,
190,St. Louis,,,
191,St. Louis,,,
192,Houston,,,
193,St. Louis,,,
195,St. Louis,,,
199,Houston,,,
201,St. Louis,,,
203,St. Louis,,,
204,St. Louis,,,
207,Houston,,,
213,St. Louis,,,
216,St. Louis,,,
217,St. Louis,,,
219,St. Louis,,,
222,St. Louis,,,
223,St. Louis,,,
224,St. Louis,,,
225,St. Louis,,,
226,St. Louis,,,
228,St. Louis,,,
229,St. Louis,,,
230,St. Louis,,,
231,Houston,,,
233,Houston,,,
234,St. Louis,,,
236,St. Louis,,,
237,St. Louis,,,
238,St. Louis,,,
240,St. Louis,,,
244,St. Louis,,,
245,St. Louis,,,
246,St. Louis,,,
247,St. Louis,,,
250,St. Louis,,,
253,Houston,,,
254,Houston,,,
256,Houston,,,
263,St. Louis,,,
265,St. Louis,,,
269,St. Louis,,,
271,St. Louis,,,
272,St. Louis,,,
279,St. Louis,,,
280,St. Louis,,,
281,Houston,,,
283,Houston,,,
287,St. Louis,,,
288,St. Louis,,,
291,St. Louis,,,
292,St. Louis,,,
293,St. Louis,,,
294,Houston,,,
295,Houston,,,
296,St. Louis,,,
299,Houston,,,
302,St. Louis,,,
303,St. Louis,,,
304,St. Louis,,,
308,St. Louis,,,
313,St. Louis,,,
314,St. Louis,,,
316,St. Louis,,,
319,St. Louis,,,
321,St. Louis,,,
322,St. Louis,,,
329,St. Louis,,,
330,Houston,,,
333,St. Louis,,,
334,St. Louis,,,
335,St. Louis,,,
337,St. Louis,,,
339,St. Louis,,,
340,St. Louis,,,
341,St. Louis,,,
342,Houston,,,
343,Houston,,,
346,St. Louis,,,
348,St. Louis,,,
352,St. Louis,,,
353,St. Louis,,,
354,St. Louis,,,
358,St. Louis,,,
359,Houston,,,
360,Houston,,,
364,Houston,,,
365,St. Louis,,,
368,Houston,,,
369,St. Louis,,,
371,St. Louis,,,
378,St. Louis,,,
379,St. Louis,,,
383,Houston,,,
384,St. Louis,,,
386,Houston,,,
395,St. Louis,,,
399,Houston,,,
401,St. Louis,,,
418,Houston,,,
422,St. Louis,,,
423,St. Louis,,,
433,St. Louis,,,
435,Houston,,,
441,Houston,,,
442,Houston,,,
447,St. Louis,,,
449,St. Louis,,,
451,St. Louis,,,
453,St. Louis,,,
456,Houston,,,
457,Houston,,,
461,St. Louis,,,
467,St. Louis,,,
468,St. Louis,,,
469,St. Louis,,,
470,St. Louis,,,
484,St. Louis,,,
486,St. Louis,,,
488,Houston,,,
492,Houston,,,
494,St. Louis,,,
496,St. Louis,,,
498,Houston,,,
501,St. Louis,,,
503,St. Louis,,,
509,St. Louis,,,
514,St. Louis,,,
525,St. Louis,,,
527,St. Louis,,,
533,St. Louis,,,
537,St. Louis,,,
538,Houston,,,
539,St. Louis,,,
540,St. Louis,,,
545,St. Louis,,,
547,Houston,,,
548,St. Louis,,,
554,St. Louis,,,
555,St. Louis,,,
558,St. Louis,,,
564,St. Louis,,,
568,Houston,,,
569,St. Louis,,,
571,St. Louis,,,
573,St. Louis,,,
578,St. Louis,,,
580,Houston,,,
581,Houston,,,
585,Houston,,,
587,Houston,,,
589,Houston,,,
590,Houston,,,
597,Houston,,,
599,Houston,,,
601,St. Louis,,,
604,Houston,,,
606,Houston,,,
610,St. Louis,,,
611,St. Louis,,,
612,St. Louis,,,
614,St. Louis,,,
615,St. Louis,,,
617,St. Louis,,,
619,St. Louis,,,
620,St. Louis,,,
623,St. Louis,,,
624,Houston,,,
639,St. Louis,,,
640,St. Louis,,,
647,Houston,,,
648,St. Louis,,,
649,Houston,,,
