HubCity,txlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
118,Robonauts,5.71,0.00,13.99,13.99,-0.06,0.00,-3.87,-0.06,-1.00,-1.00,-1.29,15.82,-0.15,17.92,5.79,0.34,0.36,0.41,0.00,46.97,2.42,-1.00,-1.00,90.12,0.17,0.33,0.25,37.35,0.53,-1.00,-1.00,0.09,0.00,0.01,0.44,0.45,0.05,11.33,3.50,43.10,1.11,2.35,-1.00,-1.00,19.79,109.44,111.26,0.50,59.50,1713,,,,,
159,Alpine Robotics,4.75,0.00,-0.57,-0.57,-0.12,0.00,-7.07,-0.12,-1.00,-1.00,-2.36,-2.89,-0.10,-1.16,-0.35,0.33,0.31,0.11,0.00,34.67,1.18,-1.00,-1.00,43.56,-0.00,0.13,0.06,9.24,0.58,-1.00,-1.00,-0.00,0.00,0.20,-0.06,-0.43,0.44,-9.79,10.69,27.60,0.75,1.06,-1.00,-1.00,-0.92,51.35,51.31,0.18,7.05,1458,,,,,
192,GRT,2.55,0.00,1.37,1.37,-0.02,0.00,-0.91,-0.02,-1.00,-1.00,-0.30,3.01,0.02,1.39,0.54,0.34,0.35,0.13,0.00,33.11,1.21,-1.00,-1.00,72.32,0.00,0.53,0.23,38.67,0.64,-1.00,-1.00,0.01,0.00,0.08,0.19,0.38,0.46,9.77,12.33,32.21,0.81,1.19,-1.00,-1.00,1.91,87.67,87.88,0.15,23.91,1579,,,,,
418,Purple Haze,4.97,0.00,-0.04,-0.04,0.11,0.00,6.76,0.11,-1.00,-1.00,2.25,11.68,-0.24,0.24,0.01,0.32,0.37,-0.12,0.00,18.49,0.15,-1.00,-1.00,45.49,0.28,-0.05,0.31,26.99,0.50,-1.00,-1.00,0.01,0.00,-0.09,0.54,0.72,-0.03,17.67,1.81,25.25,0.57,0.26,-1.00,-1.00,-0.04,58.98,59.24,0.47,18.86,1530,,,,,
624,CRyptonite,5.93,0.00,0.23,0.23,0.34,0.00,20.16,0.34,-1.00,-1.00,6.72,26.32,0.71,0.78,0.32,0.23,0.37,0.33,0.00,24.07,1.62,-1.00,-1.00,49.27,0.23,0.08,0.19,24.87,0.59,-1.00,-1.00,0.01,0.00,0.14,0.13,-0.09,0.45,-1.62,11.88,44.23,0.94,1.96,-1.00,-1.00,0.55,87.46,87.68,0.22,52.66,1611,,,,,
935,RaileRobotics,3.84,0.00,0.85,0.85,-0.11,0.00,-6.32,-0.11,-1.00,-1.00,-2.11,-1.63,-0.02,-0.79,-0.25,0.35,0.13,0.08,0.00,26.97,0.71,-1.00,-1.00,52.72,0.20,0.03,0.30,26.01,0.68,-1.00,-1.00,-0.00,0.00,0.24,0.25,-0.09,0.62,-1.07,16.70,20.64,0.57,0.60,-1.00,-1.00,0.60,67.79,67.76,0.27,6.01,1523,,,,,
1164,Project NEO,3.88,0.00,0.70,0.70,0.24,0.00,14.43,0.24,-1.00,-1.00,4.81,19.01,-0.12,-0.40,-0.20,0.32,0.28,-0.06,0.00,12.39,0.09,-1.00,-1.00,22.43,0.14,-0.07,0.14,10.23,0.18,-1.00,-1.00,0.00,0.00,0.44,0.20,-0.10,-0.02,-0.29,0.41,26.82,0.55,0.33,-1.00,-1.00,0.50,41.84,41.88,0.11,-1.30,1499,,,,,
1477,Texas Torque,3.49,0.00,-0.56,-0.56,0.15,0.00,8.75,0.15,-1.00,-1.00,2.92,11.67,0.01,-1.99,-0.60,0.34,0.45,0.23,0.00,34.99,1.67,-1.00,-1.00,85.45,0.43,-0.08,0.67,51.06,0.68,-1.00,-1.00,-0.00,0.00,0.24,0.27,-0.20,0.79,-3.89,21.11,43.74,1.02,1.82,-1.00,-1.00,-1.16,118.23,118.18,0.61,105.99,1698,,,,,
1817,Llano Estacado RoboRaiders,5.80,0.00,-0.09,-0.09,0.17,0.00,9.98,0.17,-1.00,-1.00,3.33,15.69,0.60,-0.99,-0.40,0.33,0.38,0.18,0.00,28.75,1.29,-1.00,-1.00,52.68,0.17,0.29,0.03,24.33,0.42,-1.00,-1.00,0.01,0.00,0.18,0.31,-0.26,0.35,-5.64,10.32,38.73,0.89,1.46,-1.00,-1.00,-0.50,78.69,78.82,0.34,76.71,1587,,,,,
