HudsonValley,nysu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
20,The Rocketeers,5.33,-0.04,-0.15,-0.16,0.77,0.00,46.44,0.77,-1.00,-1.00,15.48,51.60,-0.52,1.31,0.29,0.33,0.36,0.67,0.19,31.29,3.76,-1.00,-1.00,73.59,-0.04,0.65,0.23,42.01,0.80,-1.00,-1.00,0.00,0.19,-0.27,0.23,0.98,-0.17,23.06,-3.06,77.73,1.56,4.53,-1.00,-1.00,0.13,122.13,140.85,0.38,36.29,1546,,,,,
250,Dynamos,5.24,-0.34,-0.00,-0.12,0.34,0.00,20.62,0.34,-1.00,-1.00,6.87,25.75,0.96,0.75,0.31,0.33,0.37,0.41,0.06,33.03,2.40,-1.00,-1.00,99.54,0.44,0.64,0.25,66.20,0.85,-1.00,-1.00,0.00,0.06,-0.19,0.24,0.11,-0.31,1.81,-6.63,53.65,1.17,2.74,-1.00,-1.00,0.19,118.66,124.67,0.56,74.87,1581,,,,,
303,The T.E.S.T. Team,5.83,-0.07,0.90,0.88,0.57,0.00,34.22,0.57,-1.00,-1.00,11.41,40.93,-0.56,3.42,1.01,0.33,0.40,0.73,0.16,41.96,4.09,-1.00,-1.00,86.95,0.28,0.50,0.10,43.97,0.88,-1.00,-1.00,0.00,0.16,0.08,0.10,-0.19,0.24,-4.39,6.39,76.19,1.62,4.66,-1.00,-1.00,1.88,134.27,150.41,0.38,97.07,1621,,,,,
353,POBots,5.77,0.00,0.05,0.04,0.11,0.00,6.55,0.11,-1.00,-1.00,2.18,12.36,11.64,1.27,1.33,0.35,0.37,0.07,-0.05,25.25,0.63,-1.00,-1.00,92.11,0.32,0.62,0.37,65.53,0.87,-1.00,-1.00,0.00,-0.05,0.27,0.00,-0.01,0.42,1.22,10.43,31.80,0.74,0.74,-1.00,-1.00,1.37,114.90,110.00,0.53,66.92,1504,,,,,
369,High Voltage Robotics,5.70,-0.08,0.16,0.14,0.26,0.00,15.31,0.26,-1.00,-1.00,5.10,21.14,-0.33,-0.40,-0.12,0.33,0.42,0.49,-0.08,36.05,2.03,-1.00,-1.00,78.60,0.25,0.21,0.40,42.67,0.65,-1.00,-1.00,0.00,-0.08,-0.01,-0.13,0.63,0.04,15.77,0.39,51.36,1.16,2.28,-1.00,-1.00,0.02,100.14,91.78,0.02,-3.56,1525,,,,,
395,2 TrainRobotics,4.99,0.06,-0.15,-0.15,0.17,0.00,10.19,0.17,-1.00,-1.00,3.40,15.03,0.61,0.07,0.08,0.35,0.07,-0.13,-0.01,4.36,-0.50,-1.00,-1.00,22.89,0.17,-0.01,0.21,18.46,0.30,-1.00,-1.00,0.00,-0.01,0.25,-0.09,1.34,-0.09,34.86,-2.59,14.55,0.28,-0.33,-1.00,-1.00,-0.07,35.34,34.09,-0.07,-63.50,1363,,,,,
527,Red Dragons,5.52,-0.14,0.06,-0.01,-0.21,0.00,-12.70,-0.21,-1.00,-1.00,-4.23,-7.19,1.76,0.04,0.18,0.36,0.36,0.33,-0.04,48.66,2.01,-1.00,-1.00,93.35,0.34,0.15,0.40,44.51,0.77,-1.00,-1.00,0.00,-0.04,0.28,-0.08,0.21,-0.29,6.56,-7.55,35.96,1.00,1.80,-1.00,-1.00,0.16,78.60,74.38,0.16,-12.70,1490,,,,,
639,Code Red Robotics,5.34,0.02,0.10,0.10,0.14,0.00,8.33,0.14,-1.00,-1.00,2.78,13.78,0.78,1.18,0.26,0.32,0.34,0.36,-0.04,33.87,1.77,-1.00,-1.00,63.01,0.44,0.10,0.04,28.88,0.76,-1.00,-1.00,0.00,-0.04,0.08,0.16,0.07,0.88,2.15,22.81,42.20,0.99,1.90,-1.00,-1.00,0.36,99.60,96.03,0.21,36.56,1585,,,,,
810,The Mechanical Bulls,3.87,-0.33,0.10,-0.01,0.14,0.00,8.10,0.14,-1.00,-1.00,2.70,11.97,8.87,-0.87,0.58,0.35,0.18,0.05,0.01,17.94,0.48,-1.00,-1.00,27.91,0.33,-0.11,-0.03,9.40,0.50,-1.00,-1.00,0.00,0.01,0.04,-0.24,0.14,0.24,3.80,4.85,26.04,0.58,0.61,-1.00,-1.00,0.57,44.74,45.48,0.09,-56.40,1395,,,,,
1155,SciBorgs,5.29,0.06,-0.37,-0.38,0.41,0.00,24.47,0.41,-1.00,-1.00,8.16,29.38,0.13,-0.15,-0.02,0.34,0.39,0.47,-0.02,31.18,2.13,-1.00,-1.00,86.03,0.41,0.20,0.49,54.87,0.94,-1.00,-1.00,0.00,-0.02,0.04,0.44,0.14,-0.08,3.70,0.25,55.65,1.19,2.54,-1.00,-1.00,-0.40,115.66,113.75,0.56,68.35,1529,,,,,
1156,Under Control,6.23,-0.08,1.19,1.18,0.16,0.00,9.50,0.16,-1.00,-1.00,3.17,16.91,-2.75,2.33,0.35,0.34,0.43,0.18,-0.05,29.41,1.10,-1.00,-1.00,78.43,0.22,0.31,0.45,48.67,0.73,-1.00,-1.00,0.00,-0.05,0.02,0.10,0.48,0.04,12.00,1.48,38.91,0.89,1.25,-1.00,-1.00,1.52,96.82,91.56,0.19,-4.95,1462,,,,,
1382,ETEP Team,5.34,0.03,0.14,0.15,0.18,0.00,10.98,0.18,-1.00,-1.00,3.66,16.48,-0.96,0.07,-0.05,0.32,0.38,0.03,-0.07,18.91,0.28,-1.00,-1.00,47.35,0.16,0.07,0.34,28.49,0.69,-1.00,-1.00,0.00,-0.07,0.04,0.59,0.36,0.01,9.30,3.31,29.89,0.66,0.46,-1.00,-1.00,0.10,67.14,60.50,0.32,-19.88,1442,,,,,
1600,ROBO KINGS AND QUEENS,4.48,-0.01,0.03,0.04,-0.01,0.00,-0.34,-0.01,-1.00,-1.00,-0.11,4.18,0.70,0.32,0.20,0.35,0.35,0.22,-0.07,34.08,1.18,-1.00,-1.00,67.81,0.44,0.17,0.07,33.53,0.36,-1.00,-1.00,0.00,-0.07,0.62,0.29,-0.03,0.09,2.40,3.66,33.75,0.85,1.18,-1.00,-1.00,0.24,75.65,68.45,0.22,31.98,1495,,,,,
