INSt.Joseph,inmis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
71,Team Hammond,5.04,0.00,0.13,0.13,0.45,0.00,26.90,0.45,-1.00,-1.00,8.97,32.08,-0.07,8.72,2.60,0.33,0.34,0.51,0.00,29.15,2.26,-1.00,-1.00,81.33,0.08,0.41,0.50,49.59,0.71,-1.00,-1.00,0.00,0.00,0.06,0.13,0.09,0.21,2.64,5.85,56.05,1.18,2.70,-1.00,-1.00,2.72,119.25,119.25,0.43,53.92,1602,,,,,
74,Team C.H.A.O.S.,4.68,0.00,1.27,1.27,0.03,0.00,1.75,0.03,-1.00,-1.00,0.58,7.70,-0.07,-0.45,-0.23,0.33,0.36,0.29,0.00,38.18,1.84,-1.00,-1.00,58.46,0.14,0.29,-0.01,20.52,0.50,-1.00,-1.00,0.00,0.00,-0.12,-0.04,-0.06,0.27,-2.18,6.51,39.93,0.98,1.87,-1.00,-1.00,1.03,72.67,72.67,0.10,-15.78,1503,,,,,
135,Penn Robotics,5.66,0.00,1.41,1.41,0.34,0.00,20.45,0.34,-1.00,-1.00,6.82,27.52,-0.12,5.83,1.80,0.33,0.35,0.34,0.00,27.41,1.73,-1.00,-1.00,67.67,0.20,0.24,0.33,38.45,0.81,-1.00,-1.00,0.00,0.00,0.07,0.10,0.20,-0.01,5.46,0.13,47.86,1.03,2.07,-1.00,-1.00,3.21,95.32,95.32,0.08,-3.83,1570,,,,,
226,Hammerheads,2.84,0.00,0.45,0.45,-0.15,0.00,-8.78,-0.15,-1.00,-1.00,-2.93,-5.48,-0.14,-0.52,-0.30,0.33,0.27,0.08,0.00,33.10,1.00,-1.00,-1.00,63.39,0.31,0.23,0.07,30.59,0.50,-1.00,-1.00,0.00,0.00,0.17,0.11,0.13,0.17,4.13,4.67,24.32,0.68,0.85,-1.00,-1.00,0.15,62.58,62.58,0.04,-29.72,1435,,,,,
461,Westside Boiler Invasion,4.91,0.00,0.18,0.18,0.10,0.00,6.02,0.10,-1.00,-1.00,2.01,11.11,0.10,0.58,0.15,0.33,0.36,0.21,0.00,32.17,1.47,-1.00,-1.00,62.88,0.35,0.07,0.19,30.56,0.69,-1.00,-1.00,0.00,0.00,-0.15,-0.08,-0.11,0.05,-3.39,0.93,38.18,0.90,1.57,-1.00,-1.00,0.33,74.92,74.92,0.24,1.27,1564,,,,,
503,Frog Force,4.40,0.00,0.62,0.62,0.15,0.00,9.09,0.15,-1.00,-1.00,3.03,14.10,-0.19,2.10,0.62,0.33,0.34,0.26,0.00,31.59,1.59,-1.00,-1.00,67.25,-0.06,0.42,0.35,35.03,0.80,-1.00,-1.00,0.00,0.00,-0.06,0.13,-0.14,-0.02,-3.75,0.13,40.68,0.94,1.74,-1.00,-1.00,1.24,81.48,81.48,0.34,23.40,1509,,,,,
1501,Team THRUST,5.11,0.00,6.66,6.66,0.21,0.00,12.80,0.21,-1.00,-1.00,4.27,24.58,-0.30,-0.16,-0.13,0.33,0.33,0.46,0.00,36.40,2.28,-1.00,-1.00,91.09,0.10,0.52,0.48,54.82,1.00,-1.00,-1.00,0.00,0.00,-0.01,-0.07,0.54,0.15,13.40,3.39,49.21,1.12,2.50,-1.00,-1.00,6.53,119.06,119.06,0.19,20.10,1573,,,,,
1646,Precision Guessworks,6.08,0.00,0.01,0.01,0.07,0.00,4.25,0.07,-1.00,-1.00,1.42,10.33,-0.08,0.87,0.34,0.33,0.36,0.16,0.00,31.17,1.28,-1.00,-1.00,36.47,0.11,0.10,-0.11,4.96,0.42,-1.00,-1.00,0.00,0.00,0.07,0.07,-0.14,0.16,-3.11,4.44,35.42,0.85,1.35,-1.00,-1.00,0.34,51.25,51.25,0.05,-13.02,1503,,,,,
1720,PhyXTGears,5.16,0.00,4.42,4.42,0.30,0.00,17.83,0.30,-1.00,-1.00,5.94,27.41,0.32,0.78,0.13,0.33,0.36,0.50,0.00,35.79,2.42,-1.00,-1.00,86.45,0.21,0.32,0.48,50.53,0.86,-1.00,-1.00,0.00,0.00,0.17,-0.03,-0.11,0.14,-1.87,3.39,53.62,1.19,2.72,-1.00,-1.00,4.55,117.25,117.25,0.36,52.79,1576,,,,,
