INTippecanoe,inwla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
45,TechnoKats Robotics Team,2.36,-0.02,0.06,0.06,0.08,0.00,4.82,0.08,-1.00,-1.00,1.61,7.24,0.06,-0.36,-0.21,0.33,0.48,-0.14,-0.01,23.29,0.26,-1.00,-1.00,12.31,0.09,-0.16,-0.15,-10.77,0.25,-1.00,-1.00,0.00,-0.01,0.06,0.25,-0.02,-0.17,-0.14,-2.91,28.11,0.66,0.34,-1.00,-1.00,-0.16,16.63,15.85,-0.09,-40.88,1437,,,,,
141,WOBOT,5.14,-0.01,3.46,3.46,0.02,0.00,1.20,0.02,-1.00,-1.00,0.40,9.79,-0.13,1.79,0.51,0.33,0.38,-0.02,0.07,29.26,1.02,-1.00,-1.00,60.90,0.18,0.23,0.22,31.13,0.57,-1.00,-1.00,0.00,0.07,-0.01,-0.10,0.19,-0.11,4.79,-3.35,30.46,0.75,1.04,-1.00,-1.00,3.97,67.35,74.03,0.13,-2.98,1473,,,,,
234,Cyber Blue,5.23,-0.01,0.34,0.34,0.29,0.00,17.16,0.29,-1.00,-1.00,5.72,22.73,0.14,1.62,0.47,0.33,0.32,0.20,-0.01,21.91,1.06,-1.00,-1.00,47.07,0.25,0.08,0.16,24.69,0.63,-1.00,-1.00,0.00,-0.01,-0.02,0.17,-0.05,0.24,-1.24,6.94,39.07,0.83,1.34,-1.00,-1.00,0.81,76.74,75.32,0.48,64.18,1652,,,,,
292,PantherTech,4.03,-0.01,0.86,0.86,-0.17,0.00,-10.00,-0.17,-1.00,-1.00,-3.33,-5.11,0.10,1.10,0.37,0.33,0.36,0.27,-0.01,44.68,1.89,-1.00,-1.00,71.66,0.36,0.18,-0.01,26.62,0.59,-1.00,-1.00,0.00,-0.01,-0.02,0.32,-0.08,-0.04,-2.16,0.61,34.68,0.95,1.72,-1.00,-1.00,1.22,67.16,65.75,0.47,6.92,1478,,,,,
447,Team Roboto,2.64,-0.01,-0.24,-0.24,0.07,0.00,3.94,0.07,-1.00,-1.00,1.31,6.35,-0.15,-0.75,-0.26,0.33,0.30,-0.01,-0.00,21.95,0.46,-1.00,-1.00,37.79,-0.05,0.03,0.34,16.10,0.55,-1.00,-1.00,0.00,-0.00,-0.02,0.05,0.21,-0.16,5.03,-3.66,25.89,0.61,0.52,-1.00,-1.00,-0.50,40.48,40.04,-0.06,-13.39,1481,,,,,
461,Westside Boiler Invasion,4.93,-0.01,-0.45,-0.45,-0.14,0.00,-8.35,-0.14,-1.00,-1.00,-2.78,-3.86,0.20,4.80,1.50,0.33,0.36,-0.09,-0.01,29.05,0.40,-1.00,-1.00,84.18,0.42,0.35,0.31,53.63,0.79,-1.00,-1.00,0.00,-0.01,0.02,0.09,0.25,0.16,6.44,4.46,20.70,0.59,0.26,-1.00,-1.00,1.06,84.78,83.80,0.46,45.59,1594,,,,,
829,Digital Goats,3.87,0.00,1.66,1.66,0.25,0.00,14.97,0.25,-1.00,-1.00,4.99,20.50,-0.02,-1.57,-0.46,0.33,0.40,0.31,-0.02,31.49,1.72,-1.00,-1.00,49.74,0.06,0.01,0.30,18.71,0.50,-1.00,-1.00,0.00,-0.02,0.09,0.14,-0.06,-0.02,-1.00,0.12,46.46,1.04,1.97,-1.00,-1.00,1.20,70.37,68.73,0.20,7.33,1471,,,,,
868,TechHOUNDS,4.89,-0.01,0.54,0.54,-0.13,0.00,-7.58,-0.13,-1.00,-1.00,-2.53,-2.15,-0.04,0.14,0.01,0.33,0.35,0.03,-0.01,33.71,0.96,-1.00,-1.00,75.99,0.00,0.34,0.50,42.27,0.75,-1.00,-1.00,0.00,-0.01,0.14,-0.03,0.26,0.15,7.18,3.62,26.13,0.72,0.83,-1.00,-1.00,0.56,77.47,76.96,0.09,19.32,1577,,,,,
1018,Pike RoboDevils,4.14,0.00,0.49,0.49,0.59,0.00,35.28,0.59,-1.00,-1.00,11.76,39.91,0.30,-2.80,-0.91,0.33,0.36,0.43,0.01,21.55,1.87,-1.00,-1.00,40.25,0.19,-0.01,0.21,19.62,0.58,-1.00,-1.00,0.00,0.01,0.07,-0.11,0.10,0.07,2.77,1.15,56.82,1.13,2.46,-1.00,-1.00,-0.42,81.31,82.07,-0.07,-10.58,1456,,,,,
1024,Kil-A-Bytes,3.61,0.08,2.92,2.92,-0.03,0.00,-1.72,-0.03,-1.00,-1.00,-0.57,4.81,-0.06,4.34,1.30,0.33,0.38,0.20,-0.02,36.74,1.47,-1.00,-1.00,74.46,0.26,0.24,0.23,36.43,0.29,-1.00,-1.00,0.00,-0.02,0.09,-0.18,0.14,-0.20,3.96,-6.00,35.01,0.89,1.44,-1.00,-1.00,4.22,73.28,71.25,0.24,3.76,1620,,,,,
1501,Team THRUST,5.63,-0.01,-0.31,-0.31,0.02,0.00,1.17,0.02,-1.00,-1.00,0.39,6.49,0.16,-0.48,-0.21,0.33,0.42,0.45,-0.00,47.13,2.60,-1.00,-1.00,93.65,0.62,0.14,0.18,46.72,0.70,-1.00,-1.00,0.00,-0.00,0.10,0.17,-0.10,0.13,-2.01,4.06,48.31,1.20,2.62,-1.00,-1.00,-0.51,104.20,103.87,0.60,73.17,1673,,,,,
1529,CyberCards,4.32,0.00,-0.14,-0.14,0.17,0.00,9.93,0.17,-1.00,-1.00,3.31,14.12,-0.11,-0.03,-0.05,0.33,0.12,0.14,-0.01,16.91,0.57,-1.00,-1.00,58.51,0.25,0.48,0.10,41.65,0.57,-1.00,-1.00,0.00,-0.01,0.03,0.08,0.17,-0.13,4.38,-2.72,26.84,0.59,0.74,-1.00,-1.00,-0.19,69.91,68.85,0.26,14.97,1542,,,,,
1646,Precision Guessworks,4.77,0.00,-1.01,-1.01,0.13,0.00,7.57,0.13,-1.00,-1.00,2.52,11.33,-0.07,1.07,0.34,0.33,0.28,-0.03,0.07,20.79,0.70,-1.00,-1.00,42.18,0.04,0.25,0.13,21.05,0.42,-1.00,-1.00,0.00,0.07,0.04,0.27,-0.15,0.25,-3.64,7.66,28.36,0.65,0.82,-1.00,-1.00,-0.67,61.17,67.83,0.28,37.73,1556,,,,,
1741,Red Alert,4.12,-0.01,1.85,1.85,-0.15,0.00,-8.81,-0.15,-1.00,-1.00,-2.94,-2.85,-0.21,4.12,1.05,0.33,0.19,0.08,-0.00,29.87,0.80,-1.00,-1.00,80.00,0.52,0.25,0.21,49.08,0.69,-1.00,-1.00,0.00,-0.00,0.06,0.09,0.03,0.07,1.12,2.30,21.06,0.60,0.65,-1.00,-1.00,2.90,79.45,78.96,0.16,-5.92,1453,,,,,
1747,Harrison Boiler Robotics,3.86,-0.00,0.84,0.84,0.10,0.00,6.21,0.10,-1.00,-1.00,2.07,10.91,0.02,-0.11,-0.04,0.33,0.33,0.00,0.01,22.74,0.60,-1.00,-1.00,37.13,0.01,0.17,0.11,14.43,0.21,-1.00,-1.00,0.00,0.01,0.31,-0.16,-0.01,0.19,1.25,4.00,28.95,0.67,0.70,-1.00,-1.00,0.80,52.03,52.92,0.14,-13.95,1478,,,,,
2171,RoboDogs,-0.81,0.00,-0.76,-0.76,0.31,0.00,18.45,0.31,-1.00,-1.00,6.15,16.88,-0.24,-0.63,-0.20,0.33,0.24,-0.04,-0.02,8.39,-0.03,-1.00,-1.00,24.95,0.07,0.10,0.17,16.76,0.33,-1.00,-1.00,0.00,-0.02,-0.01,0.21,0.32,0.16,7.99,5.08,26.84,0.52,0.28,-1.00,-1.00,-0.95,46.91,44.51,-0.01,-27.37,1418,,,,,
2909,Zebra Bots,3.45,0.00,-0.41,-0.41,0.00,0.00,0.09,0.00,-1.00,-1.00,0.03,3.14,0.83,1.03,0.37,0.33,0.41,0.04,0.01,31.48,1.01,-1.00,-1.00,43.68,0.04,0.15,0.05,11.83,0.42,-1.00,-1.00,0.00,0.01,-0.06,-0.05,0.04,-0.13,0.64,-3.51,31.57,0.79,1.02,-1.00,-1.00,-0.04,43.31,43.98,0.03,-38.15,1382,,,,,
3147,Munster HorsePower,4.41,0.00,-0.71,-0.71,0.14,0.00,8.23,0.14,-1.00,-1.00,2.74,11.93,-0.15,1.17,0.37,0.33,0.26,-0.04,-0.02,15.64,0.09,-1.00,-1.00,46.10,0.18,0.06,0.37,30.09,0.57,-1.00,-1.00,0.00,-0.02,0.26,-0.04,-0.10,0.09,-1.24,2.11,23.88,0.53,0.22,-1.00,-1.00,-0.35,60.15,58.02,0.23,10.99,1516,,,,,
3176,Purple Precision,4.47,0.00,0.64,0.64,0.07,0.00,4.19,0.07,-1.00,-1.00,1.40,9.31,0.06,-0.21,0.05,0.33,0.28,0.08,0.08,28.01,1.28,-1.00,-1.00,32.31,0.04,0.02,0.03,4.25,0.25,-1.00,-1.00,0.00,0.08,0.30,-0.09,-0.06,0.06,-0.07,1.12,32.20,0.77,1.35,-1.00,-1.00,0.70,42.74,50.67,-0.01,-24.11,1475,,,,,
3180,Blaise of Glory,4.16,-0.01,0.23,0.23,0.17,0.00,10.11,0.17,-1.00,-1.00,3.37,14.49,0.92,0.61,0.22,0.33,0.19,0.25,-0.01,24.03,1.18,-1.00,-1.00,36.40,-0.08,0.07,0.26,12.16,0.33,-1.00,-1.00,0.00,-0.01,-0.04,-0.09,-0.20,0.23,-5.17,5.36,34.14,0.77,1.35,-1.00,-1.00,0.45,56.26,55.52,0.12,-11.63,1469,,,,,
3487,Red Pride Robotics,4.03,-0.00,1.23,1.23,0.01,0.00,0.61,0.01,-1.00,-1.00,0.20,5.86,0.28,-1.59,-0.54,0.33,0.02,0.18,-0.01,20.68,0.71,-1.00,-1.00,54.76,0.14,0.22,0.34,34.62,0.58,-1.00,-1.00,0.00,-0.01,0.11,0.18,-0.02,0.21,0.00,6.07,21.28,0.53,0.72,-1.00,-1.00,0.69,66.69,66.08,-0.13,-18.87,1434,,,,,
