ISR4,isde4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1576,Eroni Chet,6.07,0.10,-0.11,-0.11,0.04,0.00,2.44,0.04,-1.00,-1.00,0.81,8.40,0.10,1.09,0.41,0.33,0.37,-0.03,0.00,25.27,0.56,-1.00,-1.00,29.98,-0.05,0.15,-0.02,4.31,0.10,-1.00,-1.00,-0.01,0.00,-0.13,-0.09,0.07,-0.01,1.04,-0.75,27.70,0.67,0.60,-1.00,-1.00,0.30,37.63,37.41,-0.06,-49.00,1312,,,,,
1690,Orbit,5.70,-0.02,21.05,21.05,-0.09,0.00,-5.11,-0.09,-1.00,-1.00,-1.70,21.64,-0.01,55.13,18.11,0.33,0.36,0.15,0.00,37.26,1.40,-1.00,-1.00,87.39,-0.05,0.42,0.27,32.03,0.73,-1.00,-1.00,0.80,0.00,0.39,0.08,0.26,-0.03,8.45,-0.41,32.15,0.85,1.31,-1.00,-1.00,39.16,108.62,124.63,0.27,30.89,1606,,,,,
1937,Elysium ,5.11,-0.02,-0.51,-0.51,0.21,0.00,12.62,0.21,-1.00,-1.00,4.21,17.22,-0.02,0.00,-0.13,0.33,0.36,0.43,0.00,36.30,2.21,-1.00,-1.00,75.53,0.07,0.33,0.39,39.35,0.87,-1.00,-1.00,-0.00,0.00,0.50,-0.25,-0.05,0.25,1.22,5.11,48.92,1.12,2.42,-1.00,-1.00,-0.63,97.85,97.85,0.37,32.81,1508,,,,,
1943,Neat Team,4.94,-0.02,0.12,0.12,0.06,0.00,3.57,0.06,-1.00,-1.00,1.19,8.62,-0.01,4.89,1.56,0.33,0.37,0.25,0.00,35.86,1.67,-1.00,-1.00,80.49,-0.10,0.42,0.55,43.07,0.65,-1.00,-1.00,0.02,0.00,0.20,0.33,-0.09,0.64,-1.32,17.52,39.43,0.96,1.73,-1.00,-1.00,1.68,106.63,107.00,0.41,60.34,1495,,,,,
2212,The Spikes,5.26,-0.01,-0.42,-0.42,0.10,0.00,5.70,0.10,-1.00,-1.00,1.90,10.53,-0.00,6.11,1.98,0.33,0.33,0.08,0.00,26.11,0.89,-1.00,-1.00,85.17,0.61,0.37,0.16,57.08,0.77,-1.00,-1.00,0.03,0.00,-0.27,0.84,0.28,0.11,5.72,7.05,31.81,0.75,0.99,-1.00,-1.00,1.56,102.75,103.34,0.47,47.72,1510,,,,,
2231,OnyxTronix,3.62,-0.01,-0.33,-0.33,0.24,0.00,14.56,0.24,-1.00,-1.00,4.85,17.85,-0.02,0.02,0.08,0.33,0.25,0.13,0.00,18.98,0.77,-1.00,-1.00,37.18,0.09,0.31,-0.03,18.13,0.61,-1.00,-1.00,0.02,0.00,0.17,0.31,-0.08,0.13,-1.09,4.89,33.54,0.72,1.01,-1.00,-1.00,-0.25,59.92,60.39,-0.17,-79.61,1352,,,,,
2630,Thunderbolts,4.63,-0.02,-0.47,-0.47,0.13,0.00,7.61,0.13,-1.00,-1.00,2.54,11.76,-0.02,0.64,0.16,0.33,0.36,0.34,0.00,36.23,1.93,-1.00,-1.00,73.72,0.38,0.06,0.31,37.33,0.50,-1.00,-1.00,0.00,0.00,0.15,-0.16,0.11,0.33,3.49,7.50,43.83,1.03,2.05,-1.00,-1.00,-0.31,92.98,92.98,0.07,-4.65,1442,,,,,
2679,Tiger Team,4.33,0.00,-1.25,-1.25,0.25,0.00,15.26,0.25,-1.00,-1.00,5.09,18.34,0.02,1.45,0.52,0.33,0.35,0.22,0.00,25.82,1.31,-1.00,-1.00,69.57,0.34,0.40,0.12,43.24,0.85,-1.00,-1.00,-0.08,0.00,-0.35,0.02,0.05,-0.02,-0.53,-0.29,41.08,0.90,1.56,-1.00,-1.00,-0.73,87.62,85.98,0.20,40.32,1520,,,,,
3339,BumbleB,3.42,0.08,0.57,0.57,0.37,0.00,22.47,0.37,-1.00,-1.00,7.49,26.46,-0.02,4.76,1.46,0.33,0.36,0.32,0.00,25.52,1.61,-1.00,-1.00,59.57,0.16,0.18,0.32,32.60,0.82,-1.00,-1.00,0.04,0.00,-0.39,0.60,-0.04,-0.09,-3.03,0.88,47.98,1.01,1.99,-1.00,-1.00,2.03,86.91,87.65,0.12,17.50,1541,,,,,
3388,Flash,2.55,0.10,4.31,4.31,0.16,0.00,9.65,0.16,-1.00,-1.00,3.22,16.51,0.10,10.12,3.26,0.33,0.33,-0.06,0.00,17.57,0.25,-1.00,-1.00,23.05,-0.04,-0.04,0.13,2.22,0.33,-1.00,-1.00,0.00,0.00,0.03,0.94,0.13,0.11,3.49,7.54,27.22,0.60,0.42,-1.00,-1.00,7.58,47.10,47.10,0.19,-7.01,1397,,,,,
4338,Falcons,4.72,-0.01,1.35,1.35,0.53,0.00,31.74,0.53,-1.00,-1.00,10.58,37.80,0.01,-4.32,-1.53,0.33,0.33,0.10,0.00,9.53,0.54,-1.00,-1.00,56.70,0.30,0.27,0.40,48.70,0.94,-1.00,-1.00,-0.08,0.00,0.53,0.42,0.01,0.08,2.99,4.05,41.27,0.77,1.07,-1.00,-1.00,-0.18,98.55,96.89,0.23,19.17,1502,,,,,
4590,Greenblitz,4.33,0.02,3.10,3.10,0.15,0.00,8.86,0.15,-1.00,-1.00,2.95,16.29,0.01,1.72,0.41,0.33,0.36,0.13,0.00,26.81,1.07,-1.00,-1.00,64.00,-0.00,0.49,0.24,36.77,0.89,-1.00,-1.00,-0.08,0.00,1.08,0.44,0.07,0.21,7.09,7.36,35.67,0.82,1.22,-1.00,-1.00,3.52,87.65,85.99,0.35,24.05,1524,,,,,
4649,HeavyMech,3.60,0.09,0.46,0.46,-0.00,0.00,-0.03,-0.00,-1.00,-1.00,-0.01,4.04,0.10,1.38,0.46,0.33,0.34,0.17,0.00,33.84,1.36,-1.00,-1.00,40.25,0.01,0.10,0.01,5.95,0.38,-1.00,-1.00,0.01,0.00,-0.08,0.34,-0.05,-0.09,-1.60,-0.64,33.81,0.85,1.36,-1.00,-1.00,0.92,43.64,43.83,0.05,-54.19,1285,,,,,
4661,The Red Pirates,3.30,-0.02,-0.08,-0.08,0.16,0.00,9.37,0.16,-1.00,-1.00,3.12,12.58,-0.00,-2.27,-0.77,0.33,0.36,0.06,0.00,23.60,0.77,-1.00,-1.00,37.68,0.02,-0.05,0.33,14.85,0.29,-1.00,-1.00,-0.00,0.00,0.63,-0.00,0.17,-0.05,7.48,-1.24,32.97,0.75,0.92,-1.00,-1.00,-0.86,49.02,48.95,0.00,-39.80,1338,,,,,
4757,Talos,5.66,-0.02,-0.01,-0.01,0.41,0.00,24.66,0.41,-1.00,-1.00,8.22,30.31,-0.00,-1.93,-0.63,0.33,0.24,-0.16,0.00,0.18,-0.46,-1.00,-1.00,1.00,-0.07,0.15,-0.05,1.44,0.17,-1.00,-1.00,0.02,0.00,0.17,0.48,-0.05,-0.17,-0.29,-1.87,24.84,0.42,-0.05,-1.00,-1.00,-0.64,29.43,29.85,-0.08,-67.52,1311,,,,,
5273,desert robot,3.98,-0.02,-0.15,-0.15,-0.09,0.00,-5.33,-0.09,-1.00,-1.00,-1.78,-1.50,-0.02,-1.42,-0.42,0.33,0.35,-0.03,0.00,29.65,0.66,-1.00,-1.00,51.39,0.34,0.26,-0.15,22.16,0.58,-1.00,-1.00,0.03,0.00,-0.13,-0.18,0.30,0.01,6.81,-0.52,24.32,0.65,0.57,-1.00,-1.00,-0.57,49.37,49.90,0.02,-9.52,1327,,,,,
5614,Team Sycamore,5.48,-0.04,-0.49,-0.49,0.10,0.00,6.08,0.10,-1.00,-1.00,2.03,11.08,-0.02,4.86,1.44,0.33,0.34,0.64,0.00,48.45,3.12,-1.00,-1.00,119.72,0.61,0.21,0.58,69.83,0.75,-1.00,-1.00,-0.08,0.00,0.32,-0.16,0.12,0.14,4.65,2.61,54.53,1.31,3.23,-1.00,-1.00,0.95,133.41,131.79,0.46,78.16,1542,,,,,
5635,Demacia,5.09,0.11,0.45,0.45,0.29,0.00,17.65,0.29,-1.00,-1.00,5.88,23.19,0.01,0.09,-0.01,0.33,0.36,0.09,0.00,19.53,0.77,-1.00,-1.00,76.09,0.18,0.44,0.51,56.57,0.73,-1.00,-1.00,0.02,0.00,-0.00,-0.29,0.04,-0.02,0.92,-1.97,37.19,0.78,1.07,-1.00,-1.00,0.44,97.31,97.65,0.27,36.71,1503,,,,,
5636,MooNa,2.57,-0.02,-0.17,-0.17,0.09,0.00,5.68,0.09,-1.00,-1.00,1.89,8.08,-0.02,0.21,0.05,0.33,0.34,0.27,0.00,34.11,1.67,-1.00,-1.00,19.07,-0.07,-0.18,-0.05,-15.09,0.20,-1.00,-1.00,0.03,0.00,0.32,0.48,0.14,-0.10,5.03,-0.07,39.79,0.95,1.77,-1.00,-1.00,-0.12,27.08,27.61,0.10,-43.44,1315,,,,,
5747,Athena,3.81,-0.02,-0.82,-0.82,0.21,0.00,12.65,0.21,-1.00,-1.00,4.22,15.63,-0.00,1.67,0.50,0.33,0.13,0.25,0.00,20.27,1.16,-1.00,-1.00,34.01,0.25,0.08,-0.07,13.24,0.40,-1.00,-1.00,0.01,0.00,0.01,0.55,0.09,-0.05,2.24,1.55,32.91,0.72,1.37,-1.00,-1.00,-0.32,51.20,51.42,0.25,-15.85,1373,,,,,
5951,M.A Robotics,4.24,-0.04,0.99,0.99,0.42,0.00,25.22,0.42,-1.00,-1.00,8.41,30.45,-0.02,-4.09,-1.35,0.33,0.37,0.29,0.00,22.88,1.46,-1.00,-1.00,62.99,0.43,0.11,0.29,41.46,0.67,-1.00,-1.00,0.01,0.00,0.68,-0.00,-0.08,0.27,1.39,6.62,48.10,0.99,1.88,-1.00,-1.00,-0.36,100.06,100.17,0.23,22.89,1497,,,,,
5987,Galaxia,6.57,-0.02,1.06,1.06,0.23,0.00,13.66,0.23,-1.00,-1.00,4.55,21.29,-0.00,-2.09,-0.66,0.33,0.24,-0.11,0.00,9.49,-0.19,-1.00,-1.00,49.21,0.56,0.23,0.02,40.38,0.58,-1.00,-1.00,0.01,0.00,0.12,0.50,0.07,0.09,2.26,4.85,23.15,0.46,0.04,-1.00,-1.00,0.40,75.35,75.51,0.17,-22.53,1401,,,,,
6104,Desert Eagles,5.60,-0.02,0.56,0.56,-0.13,0.00,-7.68,-0.13,-1.00,-1.00,-2.56,-1.53,-0.02,2.37,0.84,0.33,0.35,-0.10,0.00,28.43,0.43,-1.00,-1.00,61.33,-0.04,0.25,0.43,32.07,0.67,-1.00,-1.00,0.01,0.00,0.40,-0.06,-0.02,0.08,1.55,1.80,20.74,0.58,0.30,-1.00,-1.00,1.40,61.60,61.85,0.36,29.15,1435,,,,,
6149,hand by hand,2.13,-0.02,0.27,0.27,0.17,0.00,9.91,0.17,-1.00,-1.00,3.30,12.32,-0.02,1.38,0.49,0.33,0.32,0.26,0.00,29.87,1.52,-1.00,-1.00,63.41,0.24,0.22,0.21,33.05,0.42,-1.00,-1.00,0.01,0.00,0.14,-0.10,0.04,0.00,1.79,-0.40,39.78,0.91,1.68,-1.00,-1.00,0.76,75.33,75.60,0.16,13.17,1443,,,,,
6736,Knights of the Sea,4.38,0.09,0.52,0.52,-0.02,0.00,-1.02,-0.02,-1.00,-1.00,-0.34,3.88,-0.01,-4.18,-1.32,0.33,0.25,0.03,0.00,25.22,0.74,-1.00,-1.00,71.99,0.34,0.33,0.29,48.10,0.83,-1.00,-1.00,0.02,0.00,0.04,0.12,0.07,-0.07,1.84,-1.27,24.20,0.61,0.72,-1.00,-1.00,-0.80,74.61,75.08,0.13,25.98,1383,,,,,
6739,Tel Shevaa,4.79,-0.01,-1.56,-1.56,0.15,0.00,9.08,0.15,-1.00,-1.00,3.03,12.32,-0.02,0.56,0.21,0.33,0.34,0.03,0.00,22.37,0.68,-1.00,-1.00,5.43,-0.07,-0.19,-0.09,-17.14,0.20,-1.00,-1.00,0.04,0.00,0.16,-0.16,0.24,0.11,6.90,2.01,31.44,0.71,0.83,-1.00,-1.00,-1.35,19.76,20.48,-0.29,-75.85,1206,,,,,
6741,Space monkeys,4.14,-0.01,0.56,0.56,0.25,0.00,14.75,0.25,-1.00,-1.00,4.92,19.44,-0.00,2.45,0.78,0.33,0.34,0.44,0.00,34.87,2.21,-1.00,-1.00,23.97,-0.04,-0.08,-0.11,-11.68,0.13,-1.00,-1.00,0.02,0.00,0.52,0.21,0.20,0.12,7.53,4.12,49.62,1.12,2.45,-1.00,-1.00,1.34,47.53,48.00,0.22,-9.89,1350,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
