ISRChampionship,iscmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1573,Kfar Galim,4.44,-0.00,1.04,1.04,0.22,0.00,12.93,0.22,-1.00,-1.00,4.31,18.41,0.01,-2.51,-0.83,0.33,0.33,0.23,0.08,30.51,1.87,-1.00,-1.00,41.43,0.19,-0.04,0.09,11.74,0.55,-1.00,-1.00,-0.06,0.08,0.51,-0.26,0.48,0.05,14.46,-0.15,43.45,0.98,2.08,-1.00,-1.00,0.21,59.69,66.89,-0.10,-52.20,1409,,,,,
1574,MisCar,5.15,0.18,18.60,18.60,0.51,0.00,30.74,0.51,-1.00,-1.00,10.25,54.48,-0.02,58.02,19.18,0.33,0.33,0.33,-0.04,18.00,1.26,-1.00,-1.00,98.90,0.34,0.36,0.53,61.72,0.94,-1.00,-1.00,0.84,-0.04,0.05,0.24,0.08,-0.03,2.19,0.49,48.73,0.96,1.78,-1.00,-1.00,37.77,153.86,167.10,0.38,57.27,1717,,,,,
1577,SteamPunk,4.50,-0.04,0.60,0.60,0.11,0.00,6.32,0.11,-1.00,-1.00,2.11,11.42,0.00,4.87,1.67,0.33,0.33,0.41,0.03,40.08,2.39,-1.00,-1.00,69.13,0.29,-0.11,0.37,27.38,0.76,-1.00,-1.00,0.02,0.03,-0.08,-0.08,0.05,0.32,0.90,7.52,46.40,1.11,2.49,-1.00,-1.00,2.27,88.07,91.61,-0.09,-30.22,1486,,,,,
1657,Hamosad,5.39,0.00,0.61,0.61,0.11,0.00,6.88,0.11,-1.00,-1.00,2.29,12.88,-0.01,-1.12,-0.41,0.33,0.33,0.27,0.02,33.38,1.71,-1.00,-1.00,88.14,0.40,0.25,0.45,55.16,0.71,-1.00,-1.00,0.00,0.02,0.32,-0.11,0.05,-0.06,2.82,-2.16,40.27,0.95,1.83,-1.00,-1.00,0.20,98.85,100.40,0.14,8.01,1509,,,,,
1690,Orbit,4.96,-0.02,22.53,22.53,0.09,0.00,5.36,0.09,-1.00,-1.00,1.79,32.86,0.00,45.24,14.75,0.33,0.33,0.41,0.07,42.07,2.61,-1.00,-1.00,83.81,0.22,0.23,0.09,26.99,0.71,-1.00,-1.00,0.72,0.07,-0.03,0.24,0.38,0.37,9.45,10.37,47.44,1.14,2.70,-1.00,-1.00,37.28,127.04,148.37,0.58,49.07,1621,,,,,
1937,Elysium ,5.30,0.00,-0.01,-0.01,0.46,0.00,27.58,0.46,-1.00,-1.00,9.19,32.87,-0.00,2.06,0.67,0.33,0.33,0.40,0.51,44.82,4.89,-1.00,-1.00,77.97,-0.08,0.33,0.40,32.48,0.79,-1.00,-1.00,0.02,0.51,0.97,-0.18,-0.12,0.41,1.76,9.25,72.40,1.58,5.35,-1.00,-1.00,0.66,120.09,171.71,0.21,6.52,1482,,,,,
1942,Tel-Nof,5.43,-0.02,1.56,1.56,0.30,0.00,18.11,0.30,-1.00,-1.00,6.04,25.11,-0.01,-0.31,-0.15,0.33,0.33,0.14,0.12,24.86,1.63,-1.00,-1.00,70.54,0.29,0.28,0.35,45.84,0.82,-1.00,-1.00,0.05,0.12,0.11,-0.12,0.18,0.17,5.06,3.68,42.97,0.92,1.93,-1.00,-1.00,1.41,99.33,112.27,0.07,-11.62,1456,,,,,
1943,Neat Team,4.84,-0.02,-2.80,-2.80,0.15,0.00,8.91,0.15,-1.00,-1.00,2.97,10.95,-0.02,5.75,2.01,0.33,0.33,0.14,0.05,28.15,1.35,-1.00,-1.00,73.44,0.48,0.10,0.29,43.28,0.82,-1.00,-1.00,0.00,0.05,0.36,0.27,0.15,0.20,5.56,6.25,37.05,0.85,1.50,-1.00,-1.00,-0.79,90.64,95.28,0.29,30.11,1523,,,,,
2096,RoboActive,5.56,-0.00,1.19,1.19,0.41,0.00,24.39,0.41,-1.00,-1.00,8.13,31.14,-0.01,-4.73,-1.60,0.33,0.33,0.37,0.17,32.01,2.77,-1.00,-1.00,63.29,0.27,0.11,0.28,32.87,0.71,-1.00,-1.00,-0.00,0.17,0.37,-0.15,-0.01,0.10,1.65,1.70,56.41,1.21,3.17,-1.00,-1.00,-0.41,96.13,113.31,0.12,1.75,1466,,,,,
