Idaho,idbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
399,Eagle Robotics,4.20,3.52,-0.62,0.46,0.08,0.09,10.63,0.18,-1.00,-1.00,3.54,15.30,14.02,1.83,2.04,0.33,0.33,0.37,0.03,35.39,2.12,-1.00,-1.00,73.05,0.30,0.04,0.37,35.63,0.84,-1.00,-1.00,0.01,0.03,-0.12,0.12,-0.04,0.64,-1.73,16.57,46.02,1.06,2.30,-1.00,-1.00,2.50,104.93,107.89,0.36,42.58,1645,,,,,
701,RoboVikes,4.80,-0.22,1.00,0.93,0.44,0.08,30.82,0.51,-1.00,-1.00,10.27,36.55,-0.24,-0.90,-0.35,0.33,0.33,0.44,0.14,29.33,2.76,-1.00,-1.00,81.44,0.28,0.40,0.38,52.46,0.69,-1.00,-1.00,0.02,0.14,-0.02,0.20,0.15,0.23,3.67,6.82,60.16,1.25,3.27,-1.00,-1.00,0.58,124.81,139.28,0.40,42.70,1543,,,,,
968,RAWC (Robotics Alliance Of West Covina),4.83,0.02,0.04,0.04,0.22,0.01,13.84,0.23,-1.00,-1.00,4.61,18.72,-1.37,-1.61,-0.69,0.33,0.33,0.39,-0.02,32.29,1.89,-1.00,-1.00,39.03,-0.12,0.21,0.05,7.43,0.38,-1.00,-1.00,-0.06,-0.02,-0.10,-0.07,-0.02,0.48,-1.07,11.56,46.14,1.04,2.12,-1.00,-1.00,-0.65,69.31,66.43,0.44,23.72,1522,,,,,
996,Mecha Knights,4.52,-0.41,0.08,-0.04,0.16,-0.00,9.73,0.16,-1.00,-1.00,3.24,14.21,3.08,2.26,1.11,0.33,0.33,0.03,-0.01,20.96,0.56,-1.00,-1.00,42.90,0.16,0.12,0.13,20.82,0.62,-1.00,-1.00,0.03,-0.01,0.03,-0.04,0.31,0.04,7.82,0.67,30.70,0.69,0.73,-1.00,-1.00,1.07,57.77,57.45,0.06,-21.82,1395,,,,,
1566,AMMOKNIGHTS,1.99,-0.04,-0.37,-0.39,0.17,-0.03,8.83,0.15,-1.00,-1.00,2.94,10.43,4.13,-1.19,0.09,0.33,0.33,0.06,0.06,25.52,1.12,-1.00,-1.00,46.38,0.10,0.13,0.19,20.77,0.36,-1.00,-1.00,-0.02,0.06,0.09,0.09,-0.06,0.03,-0.91,1.13,34.35,0.79,1.27,-1.00,-1.00,-0.30,57.94,63.77,0.10,-20.12,1356,,,,,
1569,Haywire Robotics,5.02,-0.24,-0.06,-0.13,0.25,-0.01,14.28,0.24,-1.00,-1.00,4.76,19.17,1.02,-0.19,0.02,0.33,0.33,0.17,-0.03,22.68,0.92,-1.00,-1.00,41.02,0.25,-0.01,0.13,18.31,0.45,-1.00,-1.00,-0.00,-0.03,-0.01,0.02,-0.13,0.05,-3.35,1.34,36.97,0.81,1.16,-1.00,-1.00,-0.11,61.52,58.21,-0.04,-42.51,1434,,,,,
1836,The MilkenKnights,2.67,0.73,-0.36,-0.14,-0.04,-0.01,-3.01,-0.05,-1.00,-1.00,-1.00,-0.48,-1.36,2.66,0.64,0.33,0.33,0.36,-0.02,42.46,2.06,-1.00,-1.00,77.78,0.15,0.32,0.23,34.68,0.64,-1.00,-1.00,0.02,-0.02,0.11,0.06,0.10,0.16,3.13,4.38,39.45,1.01,2.01,-1.00,-1.00,0.49,81.69,80.20,0.12,15.46,1499,,,,,
1891,Bullbots,3.78,-0.06,0.14,0.12,0.40,-0.01,23.71,0.40,-1.00,-1.00,7.90,27.61,-0.13,-0.39,-0.11,0.33,0.33,0.34,0.01,24.92,1.69,-1.00,-1.00,38.27,-0.30,0.36,0.21,13.46,0.45,-1.00,-1.00,-0.00,0.01,0.03,0.01,-0.20,-0.04,-4.97,-1.02,48.62,1.02,2.09,-1.00,-1.00,0.01,64.86,65.73,0.07,-18.90,1458,,,,,
1983,Skunk Works Robotics,5.46,0.04,0.86,0.88,0.64,0.10,44.00,0.73,-1.00,-1.00,14.67,50.34,4.46,1.67,1.02,0.33,0.33,0.40,0.04,14.98,1.77,-1.00,-1.00,42.77,0.27,0.14,0.13,26.77,0.56,-1.00,-1.00,0.02,0.04,-0.07,-0.01,-0.12,0.08,-3.48,1.91,58.97,1.11,2.50,-1.00,-1.00,1.90,95.02,99.12,0.37,38.36,1553,,,,,
