Iowa,iacf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
167,Children of the Corn,3.20,-0.01,1.70,1.70,0.02,0.00,1.04,0.02,-1.00,-1.00,0.35,5.94,0.39,-0.37,-0.05,0.33,0.35,0.36,0.05,42.97,2.38,-1.00,-1.00,54.97,0.19,0.14,-0.09,12.05,0.18,-1.00,-1.00,0.00,0.05,-0.01,0.18,-0.19,0.51,-4.78,13.70,44.01,1.09,2.40,-1.00,-1.00,1.65,74.60,79.54,0.16,-4.74,1461,,,,,
525,Swartdogs,3.05,0.00,0.03,0.03,0.41,0.00,24.72,0.41,-1.00,-1.00,8.24,27.81,-0.46,0.21,0.00,0.33,0.39,0.50,0.03,33.57,2.54,-1.00,-1.00,46.30,0.39,-0.27,0.14,12.72,0.64,-1.00,-1.00,0.00,0.03,0.00,0.08,-0.11,0.11,-2.82,3.08,58.29,1.25,2.95,-1.00,-1.00,0.04,77.19,80.42,0.22,3.24,1592,,,,,
648,QC ELITE - Flaming Squirrels,5.54,-0.03,-0.06,-0.06,0.05,0.00,2.91,0.05,-1.00,-1.00,0.97,8.39,-0.52,0.05,-0.05,0.33,0.39,0.07,-0.04,28.05,0.74,-1.00,-1.00,78.85,0.63,0.04,0.35,50.85,0.78,-1.00,-1.00,0.00,-0.04,-0.01,-0.03,-0.22,0.12,-5.50,2.86,30.97,0.75,0.79,-1.00,-1.00,-0.11,90.10,86.48,0.15,23.88,1520,,,,,
876,Thunder Robotics,4.17,0.08,0.80,0.80,0.47,0.00,28.48,0.47,-1.00,-1.00,9.49,33.45,-0.28,-0.08,-0.02,0.33,0.34,0.41,0.29,35.87,3.55,-1.00,-1.00,85.95,0.13,0.48,0.40,50.10,0.88,-1.00,-1.00,0.00,0.29,0.12,0.46,0.26,1.08,7.00,29.40,64.36,1.37,4.02,-1.00,-1.00,0.78,148.81,177.97,0.60,99.46,1660,,,,,
967,Iron Lions,4.91,0.02,-0.08,-0.08,0.52,0.00,31.32,0.52,-1.00,-1.00,10.44,36.15,-0.13,0.48,0.16,0.33,0.37,0.45,0.11,29.55,2.68,-1.00,-1.00,45.44,0.07,0.29,-0.04,15.73,0.64,-1.00,-1.00,0.00,0.11,-0.11,0.03,0.42,0.34,10.00,8.64,60.87,1.26,3.20,-1.00,-1.00,0.08,90.23,101.35,0.25,3.21,1464,,,,,
1094,Channel Cats,5.63,0.01,-0.13,-0.13,0.01,0.00,0.30,0.01,-1.00,-1.00,0.10,5.80,-0.17,0.46,0.07,0.33,0.41,0.36,0.02,44.80,2.36,-1.00,-1.00,98.55,0.27,0.27,0.53,53.68,0.92,-1.00,-1.00,0.00,0.02,0.02,0.09,-0.00,0.30,0.01,8.00,45.11,1.13,2.36,-1.00,-1.00,-0.07,112.35,114.32,0.22,27.00,1442,,,,,
1208,Metool Brigade,4.82,0.02,0.18,0.18,0.07,0.00,4.43,0.07,-1.00,-1.00,1.48,9.43,0.96,0.16,0.06,0.33,0.31,0.29,-0.04,33.21,1.49,-1.00,-1.00,67.50,0.21,0.33,0.14,34.23,0.44,-1.00,-1.00,0.00,-0.04,0.10,0.06,-0.32,0.03,-7.36,0.99,37.64,0.90,1.57,-1.00,-1.00,0.24,77.91,74.06,0.29,26.52,1435,,,,,
1785,Blue Springs Robocats,2.69,-0.03,0.11,0.11,-0.12,0.00,-7.17,-0.12,-1.00,-1.00,-2.39,-4.37,-1.12,0.59,-0.05,0.33,0.30,0.23,-0.05,37.17,1.32,-1.00,-1.00,41.96,0.09,-0.16,0.16,4.85,0.56,-1.00,-1.00,0.00,-0.05,0.01,-0.17,0.11,0.21,2.78,4.34,30.00,0.81,1.20,-1.00,-1.00,0.06,41.94,37.24,0.02,-30.06,1384,,,,,
1987,Broncobots,3.76,-0.01,0.54,0.54,0.40,0.00,23.70,0.40,-1.00,-1.00,7.90,28.01,0.26,2.16,0.58,0.33,0.36,0.29,0.21,32.11,2.76,-1.00,-1.00,83.39,0.24,0.34,0.43,50.69,0.88,-1.00,-1.00,0.00,0.21,0.08,-0.15,0.03,-0.22,1.25,-6.21,55.82,1.20,3.15,-1.00,-1.00,1.13,105.19,126.34,0.44,49.76,1565,,,,,
