Laguna,mxto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
2283,Panteras,4.11,0.56,-0.08,0.04,0.04,0.00,2.45,0.04,-1.00,-1.00,0.82,6.61,-0.36,-0.76,-0.28,0.33,0.39,0.28,0.00,38.36,1.83,-1.00,-1.00,72.33,0.28,0.08,0.32,34.25,0.73,-1.00,-1.00,-0.03,0.00,0.49,-0.10,0.07,0.07,4.20,1.28,40.81,1.00,1.88,-1.00,-1.00,-0.23,80.21,79.61,0.09,13.20,1455,,,,,
3158,TECBOT,5.27,0.22,0.27,0.34,0.35,0.00,20.83,0.35,-1.00,-1.00,6.94,26.44,-0.07,0.58,0.16,0.33,0.35,0.36,0.00,28.02,1.82,-1.00,-1.00,83.62,0.66,-0.01,0.46,55.43,0.88,-1.00,-1.00,0.02,0.00,-0.13,0.52,-0.22,-0.02,-6.18,2.18,48.85,1.05,2.16,-1.00,-1.00,0.50,112.23,112.57,0.49,63.64,1555,,,,,
3472,Buluk,3.75,4.29,0.92,2.20,0.26,0.00,15.72,0.26,-1.00,-1.00,5.24,21.67,2.70,1.40,0.72,0.33,0.27,0.16,0.00,19.96,1.00,-1.00,-1.00,48.03,0.30,0.12,0.13,27.36,0.67,-1.00,-1.00,0.05,0.00,0.03,0.77,0.10,-0.03,2.53,3.23,35.68,0.76,1.27,-1.00,-1.00,2.92,72.93,73.88,0.40,36.54,1479,,,,,
3478,LamBot,3.64,-0.44,15.20,15.07,0.24,0.00,14.49,0.24,-1.00,-1.00,4.83,33.19,-0.38,74.41,24.40,0.33,0.32,0.00,0.00,16.60,0.40,-1.00,-1.00,77.16,0.31,-0.04,0.45,36.16,0.88,-1.00,-1.00,0.72,0.00,0.64,0.69,0.04,0.37,4.07,12.69,31.09,0.66,0.64,-1.00,-1.00,39.46,123.04,137.46,0.40,70.70,1610,,,,,
3480,ABTOMAT,1.77,-0.54,0.04,-0.13,-0.12,0.00,-7.32,-0.12,-1.00,-1.00,-2.44,-5.68,0.60,1.42,0.57,0.33,0.29,0.18,0.00,36.74,1.39,-1.00,-1.00,72.25,0.11,0.34,0.25,34.93,0.54,-1.00,-1.00,0.03,0.00,-0.05,0.12,0.72,-0.15,17.71,-3.18,29.42,0.80,1.27,-1.00,-1.00,0.45,63.39,64.07,0.10,8.09,1380,,,,,
3794,WinT,3.31,0.59,-0.35,-0.14,0.43,0.00,26.05,0.43,-1.00,-1.00,8.68,29.22,-0.31,-0.03,-0.02,0.33,0.37,0.28,0.00,21.97,1.42,-1.00,-1.00,27.08,0.07,-0.02,0.05,5.12,0.27,-1.00,-1.00,-0.07,0.00,0.83,-0.08,-0.16,0.21,0.19,4.93,48.02,0.98,1.86,-1.00,-1.00,-0.15,61.23,59.80,0.17,22.54,1437,,,,,
4355,CP-BOTS,4.29,0.68,0.18,0.39,0.60,0.00,36.04,0.60,-1.00,-1.00,12.01,40.72,-0.25,0.06,-0.00,0.33,0.30,0.16,0.00,7.79,0.64,-1.00,-1.00,42.01,0.39,0.18,0.12,34.22,0.59,-1.00,-1.00,-0.00,0.00,0.05,0.10,-0.14,-0.03,-3.37,-0.25,43.83,0.80,1.24,-1.00,-1.00,0.38,82.48,82.40,0.23,18.06,1454,,,,,
4400,CERBOTICS,3.91,-0.04,0.26,0.25,0.32,0.00,18.93,0.32,-1.00,-1.00,6.31,23.09,0.31,2.60,0.92,0.33,0.37,0.54,0.00,37.26,2.61,-1.00,-1.00,51.56,0.02,0.19,0.05,13.39,0.54,-1.00,-1.00,0.04,0.00,-0.26,-0.09,-0.22,-0.11,-6.74,-3.26,56.18,1.25,2.93,-1.00,-1.00,1.17,71.39,72.12,0.32,44.27,1445,,,,,
4401,CETMOV,5.49,-0.31,0.72,0.63,0.15,0.00,8.89,0.15,-1.00,-1.00,2.96,15.01,-0.30,0.32,0.04,0.33,0.36,0.22,0.00,30.79,1.45,-1.00,-1.00,71.64,0.18,0.48,0.16,40.82,0.69,-1.00,-1.00,0.02,0.00,-0.08,0.34,0.08,0.00,1.71,1.75,39.68,0.92,1.60,-1.00,-1.00,0.67,88.40,88.86,-0.04,2.25,1418,,,,,
