LakeSuperior,mndu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
93,NEW Apple Corps,4.34,0.29,0.30,0.40,-0.11,0.00,-6.51,-0.11,-1.00,-1.00,-2.17,-1.78,-0.99,-1.94,-0.73,0.33,0.53,0.24,0.02,48.86,2.12,-1.00,-1.00,90.75,0.14,0.29,0.43,42.62,0.69,-1.00,-1.00,0.00,0.02,0.52,-0.03,0.06,-0.03,4.15,-0.83,42.35,1.11,2.01,-1.00,-1.00,-0.34,88.14,89.72,0.07,-23.52,1463,,,,,
1714,MORE Robotics,5.19,0.11,0.41,0.46,0.22,0.00,13.23,0.22,-1.00,-1.00,4.41,18.89,1.45,3.24,1.23,0.33,0.44,-0.03,0.01,21.34,0.58,-1.00,-1.00,41.51,0.04,0.41,-0.07,18.94,0.38,-1.00,-1.00,0.00,0.01,-0.10,0.19,-0.00,-0.05,-0.58,-0.36,34.57,0.75,0.80,-1.00,-1.00,1.69,60.04,60.99,0.00,-42.20,1465,,,,,
1816,"""The Green Machine""",6.02,-0.06,0.25,0.24,-0.02,0.00,-1.29,-0.02,-1.00,-1.00,-0.43,4.97,0.06,6.31,1.93,0.33,0.42,-0.08,0.01,28.26,0.56,-1.00,-1.00,46.72,0.18,0.33,-0.17,16.53,0.50,-1.00,-1.00,0.00,0.01,-0.07,0.17,0.16,-0.22,3.54,-4.57,26.96,0.68,0.53,-1.00,-1.00,2.18,47.11,47.73,0.31,11.64,1522,,,,,
2052,KnightKrawler,3.92,-0.13,-0.01,-0.05,0.50,0.00,30.01,0.50,-1.00,-1.00,10.00,33.88,-0.93,3.51,0.77,0.33,0.40,0.19,0.02,17.55,1.15,-1.00,-1.00,64.39,0.20,0.29,0.43,46.07,0.88,-1.00,-1.00,0.00,0.02,0.05,0.07,-0.09,0.05,-2.04,1.65,47.56,0.94,1.65,-1.00,-1.00,0.72,99.92,101.72,0.43,64.81,1665,,,,,
2227,Tigers,5.41,-0.00,0.66,0.62,0.01,0.00,0.30,0.01,-1.00,-1.00,0.10,6.33,-0.73,-5.98,-2.08,0.33,0.29,0.04,0.02,27.14,0.86,-1.00,-1.00,46.90,-0.18,0.18,0.43,21.84,0.55,-1.00,-1.00,0.00,0.02,0.16,0.06,-0.12,0.18,-2.24,4.89,27.44,0.68,0.86,-1.00,-1.00,-1.46,58.12,59.64,0.37,14.73,1478,,,,,
2264,Wayzata Robotics,4.18,0.05,-0.14,-0.12,0.05,0.00,3.07,0.05,-1.00,-1.00,1.02,7.13,3.40,1.58,0.70,0.33,0.21,0.03,-0.01,20.53,0.56,-1.00,-1.00,73.99,0.39,0.37,0.29,52.76,0.64,-1.00,-1.00,0.00,-0.01,-0.11,0.08,0.13,0.13,2.75,3.56,23.59,0.56,0.61,-1.00,-1.00,0.59,84.68,83.90,0.37,43.10,1486,,,,,
2503,Warrior Robotics,5.07,0.22,0.13,0.19,-0.15,0.00,-9.02,-0.15,-1.00,-1.00,-3.01,-3.75,0.94,0.01,-0.08,0.33,0.42,0.34,0.01,49.88,2.36,-1.00,-1.00,70.20,0.12,0.27,0.02,20.40,0.50,-1.00,-1.00,0.00,0.01,0.14,-0.19,-0.13,0.03,-2.50,-0.27,40.86,1.10,2.21,-1.00,-1.00,0.11,66.17,66.82,0.32,19.96,1482,,,,,
2526,Crimson Robotics,1.08,0.18,0.15,0.21,0.10,0.00,5.81,0.10,-1.00,-1.00,1.94,7.10,0.45,-1.21,-0.50,0.33,0.42,0.12,0.01,31.64,1.28,-1.00,-1.00,64.92,0.58,-0.08,0.18,33.79,0.67,-1.00,-1.00,0.00,0.01,0.03,-0.09,-0.10,0.40,-2.36,9.49,37.45,0.89,1.38,-1.00,-1.00,-0.29,81.51,82.91,0.36,60.79,1517,,,,,
2531,RoboHawks,5.11,0.08,0.15,0.18,-0.15,0.00,-8.88,-0.15,-1.00,-1.00,-2.96,-3.59,-1.07,4.40,1.16,0.33,0.26,-0.24,0.03,21.33,-0.18,-1.00,-1.00,23.63,0.15,-0.22,0.10,1.14,0.25,-1.00,-1.00,0.00,0.03,0.26,0.16,-0.02,-0.13,0.70,-2.42,12.45,0.39,-0.33,-1.00,-1.00,1.34,17.62,20.41,-0.28,-57.88,1327,,,,,
