
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
60,Bionic Bulldogs,3,5.75,-0.00,-0.35,-0.35,0.30,0.00,18.10,0.30,-1.00,-1.00,6.03,23.50,0.99,-1.23,-0.30,0.33,0.38,0.06,0.00,19.10,0.72,-1.00,-1.00,51.02,0.35,0.33,-0.03,32.22,0.84,-1.00,-1.00,0.00,0.00,-0.06,0.06,0.03,0.63,0.54,16.02,37.20,0.78,1.02,-1.00,-1.00,-0.65,90.54,90.54,0.49,60.93,1603,,,,,
118,Robonauts,3,3.73,0.00,22.68,22.68,0.10,0.00,6.14,0.10,-1.00,-1.00,2.05,32.56,0.54,90.05,29.73,0.33,0.41,0.49,-0.00,45.36,2.68,-1.00,-1.00,112.97,0.44,0.19,0.13,37.89,0.94,-1.00,-1.00,0.90,-0.00,-0.15,0.22,-0.24,0.02,-6.71,1.51,51.50,1.24,2.78,-1.00,-1.00,52.41,147.05,164.94,0.45,102.91,1787,,,,,
148,Robowranglers,3,6.00,0.00,13.63,13.63,-0.04,0.00,-2.42,-0.04,-1.00,-1.00,-0.81,17.21,0.01,10.70,3.38,0.33,0.33,0.18,0.15,41.19,2.29,-1.00,-1.00,75.29,0.06,0.20,0.35,30.71,0.72,-1.00,-1.00,0.09,0.15,0.15,-0.02,-0.05,0.10,-0.59,2.49,38.78,0.99,2.25,-1.00,-1.00,17.01,94.99,111.44,0.17,31.01,1589,,,,,
295,Grizzly Robotics Team,3,3.87,-0.01,1.82,1.81,0.16,0.00,9.60,0.16,-1.00,-1.00,3.20,15.27,0.01,-4.76,-1.57,0.33,0.30,0.06,0.00,21.10,0.63,-1.00,-1.00,51.04,0.41,-0.00,0.23,31.51,0.78,-1.00,-1.00,0.02,0.00,-0.17,0.24,-0.09,0.54,-3.03,14.83,30.70,0.69,0.79,-1.00,-1.00,0.24,81.14,81.55,0.28,3.08,1402,,,,,
585,Cyber Penguins,3,4.75,0.20,-2.88,-2.83,-0.02,0.00,-1.31,-0.02,-1.00,-1.00,-0.44,0.62,0.17,7.68,2.60,0.33,0.18,-0.01,0.00,20.92,0.33,-1.00,-1.00,36.35,0.09,-0.08,0.25,12.83,0.56,-1.00,-1.00,-0.01,0.00,0.08,0.22,0.72,0.17,18.43,5.31,19.62,0.50,0.30,-1.00,-1.00,-0.23,42.27,42.16,0.12,-42.45,1316,,,,,
649,M-SET Fish,3,5.85,-0.10,-0.94,-0.97,0.54,0.00,32.45,0.54,-1.00,-1.00,10.82,37.34,0.14,-14.06,-4.66,0.33,0.43,0.40,0.00,24.65,1.90,-1.00,-1.00,66.45,0.20,0.44,0.29,46.46,0.82,-1.00,-1.00,-0.05,0.00,0.05,-0.02,0.09,0.12,2.50,2.94,57.11,1.16,2.44,-1.00,-1.00,-5.63,106.73,105.72,0.13,6.61,1531,,,,,
691,Project 691,3,3.13,-0.02,0.73,0.72,0.14,0.00,8.63,0.14,-1.00,-1.00,2.88,12.48,-0.23,7.13,2.32,0.33,0.40,0.22,-0.05,30.52,1.24,-1.00,-1.00,25.10,-0.34,0.26,-0.08,-7.74,0.11,-1.00,-1.00,0.04,-0.05,-0.14,-0.17,-0.06,0.13,-2.31,2.43,39.14,0.91,1.39,-1.00,-1.00,3.04,40.00,35.84,0.05,-26.60,1365,,,,,
842,Falcon Robotics,3,5.22,-0.01,1.42,1.42,0.42,0.00,25.29,0.42,-1.00,-1.00,8.43,31.93,0.11,6.49,2.08,0.33,0.31,0.22,0.00,17.62,1.08,-1.00,-1.00,49.06,0.24,0.03,0.32,29.36,0.47,-1.00,-1.00,0.00,0.00,0.07,0.14,0.25,-0.05,6.48,-0.49,42.91,0.86,1.50,-1.00,-1.00,3.50,80.50,80.50,0.41,18.36,1561,,,,,
981,Snobotics,3,4.67,-0.02,-0.25,-0.25,0.11,0.00,6.73,0.11,-1.00,-1.00,2.24,11.15,-0.13,1.22,0.39,0.33,0.22,-0.05,-0.00,15.57,0.12,-1.00,-1.00,41.24,0.25,0.02,0.23,25.28,0.15,-1.00,-1.00,0.00,-0.00,-0.06,0.22,-0.16,0.19,-4.18,5.88,22.30,0.50,0.23,-1.00,-1.00,0.14,58.27,58.23,0.17,-5.07,1473,,,,,
987,HIGHROLLERS,3,5.37,0.00,7.20,7.20,0.48,0.00,28.95,0.48,-1.00,-1.00,9.65,41.52,0.26,39.17,12.67,0.33,0.42,0.26,0.00,21.01,1.37,-1.00,-1.00,95.11,0.38,0.61,0.24,61.43,0.88,-1.00,-1.00,0.19,0.00,-0.06,0.17,-0.11,-0.10,-2.99,-1.54,49.96,1.01,1.85,-1.00,-1.00,19.87,135.09,138.95,0.37,60.76,1793,,,,,
