LoneStarCentral,txho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
118,Robonauts,3.73,0.00,22.68,22.68,0.10,0.00,6.14,0.10,-1.00,-1.00,2.05,32.56,0.54,90.05,29.73,0.33,0.41,0.49,-0.00,45.36,2.68,-1.00,-1.00,112.97,0.44,0.19,0.13,37.89,0.94,-1.00,-1.00,0.90,-0.00,-0.15,0.22,-0.24,0.02,-6.71,1.51,51.50,1.24,2.78,-1.00,-1.00,52.41,147.05,164.94,0.45,102.91,1787,,,,,
231,High Voltage,4.51,0.00,-0.21,-0.21,0.13,0.00,7.60,0.13,-1.00,-1.00,2.53,11.90,18.09,-0.81,1.68,0.33,0.28,0.35,0.00,33.14,1.81,-1.00,-1.00,74.23,0.11,0.19,0.49,39.40,0.75,-1.00,-1.00,-0.00,0.00,-0.16,0.15,0.42,0.11,9.62,3.58,40.74,0.96,1.94,-1.00,-1.00,1.47,89.72,89.73,0.45,30.84,1535,,,,,
457,Grease Monkeys,4.70,0.00,1.33,1.33,0.18,0.00,10.74,0.18,-1.00,-1.00,3.58,16.77,-1.80,-5.82,-2.10,0.33,0.12,0.06,0.00,13.81,0.35,-1.00,-1.00,11.39,-0.03,0.02,0.01,-0.32,0.50,-1.00,-1.00,0.01,0.00,-0.13,-0.12,-0.06,-0.05,-2.12,-1.83,24.55,0.52,0.52,-1.00,-1.00,-0.78,26.33,26.80,-0.21,-67.36,1345,,,,,
1255,Blarglefish,2.25,0.00,-2.03,-2.03,0.02,0.00,1.21,0.02,-1.00,-1.00,0.40,1.43,2.97,6.81,2.41,0.33,0.39,0.31,-0.02,40.11,1.92,-1.00,-1.00,80.31,0.11,0.54,0.11,37.79,0.40,-1.00,-1.00,0.03,-0.02,-0.01,0.13,-0.17,0.23,-4.20,6.49,41.32,1.02,1.94,-1.00,-1.00,0.38,88.22,87.23,0.51,85.56,1557,,,,,
1477,Texas Torque,4.58,0.00,1.34,1.34,0.43,0.00,25.69,0.43,-1.00,-1.00,8.56,31.60,0.62,-3.00,-0.99,0.33,0.34,0.35,0.10,28.02,2.27,-1.00,-1.00,67.70,0.16,0.41,0.25,40.67,0.63,-1.00,-1.00,0.02,0.10,-0.05,-0.10,0.05,0.14,1.05,3.13,53.71,1.13,2.70,-1.00,-1.00,0.35,102.44,112.78,0.61,53.68,1686,,,,,
1642,Techno-Cats,3.73,0.00,1.34,1.34,0.03,0.00,1.90,0.03,-1.00,-1.00,0.63,6.98,0.50,-3.86,-1.16,0.33,0.09,0.12,-0.01,20.11,0.58,-1.00,-1.00,43.85,0.02,0.24,0.24,24.90,0.30,-1.00,-1.00,0.02,-0.01,0.08,0.23,0.15,-0.09,4.04,-1.05,22.01,0.53,0.62,-1.00,-1.00,0.18,49.78,49.70,0.24,-26.27,1342,,,,,
2183,Tigerbots,4.26,0.00,-0.99,-0.99,0.09,0.00,5.67,0.09,-1.00,-1.00,1.89,8.94,3.71,-0.85,0.20,0.33,0.40,-0.10,-0.02,21.00,0.22,-1.00,-1.00,67.53,0.31,0.01,0.61,46.33,0.50,-1.00,-1.00,-0.01,-0.02,0.20,0.05,-0.19,0.08,-3.64,2.25,26.67,0.62,0.31,-1.00,-1.00,-0.79,78.73,77.03,0.22,9.32,1464,,,,,
2582,PantherBots,5.10,0.00,-2.23,-2.23,0.64,0.00,38.13,0.64,-1.00,-1.00,12.71,41.00,0.12,-10.63,-3.56,0.33,0.36,0.07,0.00,5.32,0.38,-1.00,-1.00,48.19,0.49,0.24,0.20,46.43,0.86,-1.00,-1.00,-0.11,0.00,0.12,0.07,-0.04,0.27,-0.29,7.03,43.44,0.77,1.02,-1.00,-1.00,-5.80,96.21,94.14,0.27,47.94,1501,,,,,
2583,RoboWarriors,2.61,0.00,0.30,0.30,0.17,0.00,10.35,0.17,-1.00,-1.00,3.45,13.26,2.10,-0.95,-0.14,0.33,0.27,-0.08,0.01,14.81,0.15,-1.00,-1.00,20.62,0.08,0.18,-0.14,5.95,0.30,-1.00,-1.00,0.01,0.01,-0.04,0.15,-0.02,-0.09,-0.60,-1.46,25.16,0.54,0.32,-1.00,-1.00,0.16,32.42,34.03,0.19,-42.38,1358,,,,,
