LoneStarNorth,txwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
148,Robowranglers,6.00,0.00,13.63,13.63,-0.04,0.00,-2.42,-0.04,-1.00,-1.00,-0.81,17.21,0.01,10.70,3.38,0.33,0.33,0.18,0.15,41.19,2.29,-1.00,-1.00,75.29,0.06,0.20,0.35,30.71,0.72,-1.00,-1.00,0.09,0.15,0.15,-0.02,-0.05,0.10,-0.59,2.49,38.78,0.99,2.25,-1.00,-1.00,17.01,94.99,111.44,0.17,31.01,1589,,,,,
231,High Voltage,4.12,0.00,-1.23,-1.23,0.37,0.00,21.97,0.37,-1.00,-1.00,7.32,24.87,0.01,-0.44,-0.10,0.33,0.33,0.43,0.10,33.35,2.64,-1.00,-1.00,49.72,0.00,-0.00,0.33,16.47,0.38,-1.00,-1.00,-0.01,0.10,-0.05,-0.05,0.11,0.07,2.51,1.45,55.33,1.20,3.00,-1.00,-1.00,-1.33,76.04,85.88,0.06,-13.69,1456,,,,,
441,DEVIL DOGS,3.96,0.00,-0.00,-0.00,0.02,0.00,1.04,0.02,-1.00,-1.00,0.35,5.00,0.00,-2.29,-0.74,0.33,0.33,0.17,0.05,35.01,1.66,-1.00,-1.00,80.29,0.45,0.10,0.37,46.02,0.79,-1.00,-1.00,-0.01,0.05,0.42,0.04,-0.01,0.08,1.91,2.19,36.05,0.89,1.68,-1.00,-1.00,-0.75,87.47,92.76,0.33,53.19,1495,,,,,
624,CRyptonite,4.52,0.00,1.41,1.41,0.49,0.00,29.21,0.49,-1.00,-1.00,9.74,35.14,-0.01,8.39,2.61,0.33,0.33,0.45,0.04,26.87,2.23,-1.00,-1.00,69.74,0.34,0.14,0.32,40.27,0.75,-1.00,-1.00,-0.01,0.04,0.14,0.40,0.37,-0.12,9.92,-1.00,56.08,1.16,2.72,-1.00,-1.00,4.02,103.88,107.88,0.22,20.91,1573,,,,,
1255,Blarglefish,5.81,0.00,0.43,0.43,0.47,0.00,27.98,0.47,-1.00,-1.00,9.33,34.22,0.01,-1.46,-0.45,0.33,0.33,0.46,0.06,28.66,2.38,-1.00,-1.00,87.51,0.26,0.56,0.37,59.30,0.78,-1.00,-1.00,0.00,0.06,-0.15,0.72,0.17,-0.09,3.62,1.30,56.64,1.18,2.85,-1.00,-1.00,-0.02,123.03,128.85,0.65,89.78,1650,,,,,
1477,Texas Torque,2.98,0.00,0.72,0.72,0.32,0.00,19.06,0.32,-1.00,-1.00,6.35,22.77,-0.01,0.00,0.06,0.33,0.33,0.27,0.20,33.07,2.67,-1.00,-1.00,78.48,0.42,0.23,0.26,45.35,0.88,-1.00,-1.00,-0.00,0.20,-0.12,0.03,-0.11,0.10,-3.38,2.74,52.13,1.14,2.99,-1.00,-1.00,0.78,103.99,124.36,0.52,31.36,1623,,,,,
2585,Impact,2.70,0.00,-0.44,-0.44,0.25,0.00,14.80,0.25,-1.00,-1.00,4.93,17.06,-0.01,3.55,1.23,0.33,0.33,-0.00,-0.08,13.48,-0.07,-1.00,-1.00,23.04,-0.04,0.28,-0.07,8.33,0.45,-1.00,-1.00,-0.01,-0.08,-0.29,0.47,0.17,-0.04,2.70,1.39,28.27,0.58,0.17,-1.00,-1.00,0.79,41.49,33.29,0.02,-27.97,1366,,,,,
2587,DiscoBots,5.15,0.00,1.41,1.41,0.07,0.00,3.97,0.07,-1.00,-1.00,1.32,10.52,-0.01,4.43,1.53,0.33,0.33,0.25,0.07,36.80,2.03,-1.00,-1.00,79.94,0.19,0.44,0.20,41.61,0.64,-1.00,-1.00,-0.01,0.07,-0.08,0.36,-0.06,-0.01,-1.98,1.53,40.77,0.99,2.09,-1.00,-1.00,2.94,91.99,99.22,0.36,16.46,1513,,,,,
2881,Lady Cans,5.21,0.00,0.36,0.36,0.02,0.00,1.44,0.02,-1.00,-1.00,0.48,7.01,-0.02,2.95,0.87,0.33,0.33,0.23,0.00,35.11,1.59,-1.00,-1.00,60.99,0.30,0.13,0.08,25.01,0.54,-1.00,-1.00,0.00,0.00,0.12,-0.07,-0.15,-0.07,-3.22,-1.98,36.55,0.90,1.61,-1.00,-1.00,1.23,66.01,66.42,0.23,0.40,1457,,,,,
