MARBridgewater-Raritan,njbri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
41,RoboWarriors,2.40,0.03,0.78,0.75,-0.17,0.00,-10.06,-0.17,-1.00,-1.00,-3.35,-6.91,0.17,0.95,0.28,0.33,0.31,0.23,0.07,44.11,2.08,-1.00,-1.00,62.27,0.21,-0.15,0.29,17.88,0.65,-1.00,-1.00,0.00,0.07,-0.07,0.05,-0.14,0.14,-3.72,3.79,34.04,0.93,1.91,-1.00,-1.00,1.03,59.15,65.75,-0.03,-23.61,1466,,,,,
56,R.O.B.B.E.,4.77,0.41,-0.17,-0.01,0.20,0.00,11.70,0.20,-1.00,-1.00,3.90,16.46,0.43,-0.49,-0.09,0.33,0.37,0.46,-0.01,38.33,2.32,-1.00,-1.00,77.47,0.37,0.37,0.04,39.22,0.80,-1.00,-1.00,0.00,-0.01,0.33,0.05,-0.16,0.10,-2.32,2.83,50.04,1.15,2.51,-1.00,-1.00,-0.10,96.75,95.73,0.47,53.83,1601,,,,,
102,The Gearheads,3.06,4.91,-0.18,1.32,-0.04,0.00,-2.64,-0.04,-1.00,-1.00,-0.88,1.73,1.77,-1.38,-0.21,0.33,0.42,0.19,-0.02,38.68,1.51,-1.00,-1.00,87.06,0.37,0.34,0.26,48.58,0.71,-1.00,-1.00,0.00,-0.02,0.15,0.06,0.07,0.30,2.49,7.86,36.04,0.92,1.47,-1.00,-1.00,1.11,96.64,94.67,0.35,49.04,1505,,,,,
136,Killer Kardinals,3.37,-0.04,0.47,0.43,0.05,0.00,2.72,0.05,-1.00,-1.00,0.91,6.51,-0.45,-1.31,-0.40,0.33,0.12,-0.11,-0.00,12.11,-0.22,-1.00,-1.00,4.38,-0.15,-0.05,0.06,-7.33,0.00,-1.00,-1.00,0.00,-0.00,0.10,-0.01,0.19,-0.07,5.18,-1.72,14.84,0.35,-0.18,-1.00,-1.00,0.02,9.17,8.98,0.05,-52.54,1304,,,,,
193,MORT Beta,4.55,0.03,-0.12,-0.08,-0.01,0.00,-0.36,-0.01,-1.00,-1.00,-0.12,4.12,-0.21,-1.70,-0.69,0.33,0.19,0.29,-0.00,32.96,1.54,-1.00,-1.00,70.57,0.22,0.23,0.32,38.30,0.76,-1.00,-1.00,0.00,-0.00,-0.04,-0.03,-0.19,0.07,-5.04,1.69,32.60,0.82,1.54,-1.00,-1.00,-0.77,76.37,76.11,0.31,19.33,1468,,,,,
219,Team Impact,4.78,-0.43,0.02,-0.13,0.67,0.00,40.43,0.67,-1.00,-1.00,13.48,45.08,-0.45,4.86,1.50,0.33,0.30,0.42,0.00,15.03,1.68,-1.00,-1.00,44.23,0.38,-0.05,0.23,27.69,0.72,-1.00,-1.00,0.00,0.00,-0.06,-0.08,0.08,0.27,1.74,6.26,55.46,1.05,2.36,-1.00,-1.00,1.37,95.57,95.60,0.31,17.16,1564,,,,,
223,Xtreme Heat,5.47,-0.00,0.04,0.03,0.31,0.00,18.49,0.31,-1.00,-1.00,6.16,23.99,0.61,3.08,1.00,0.33,0.29,0.31,-0.00,25.14,1.50,-1.00,-1.00,90.03,0.44,0.32,0.51,63.89,0.80,-1.00,-1.00,0.00,-0.00,0.17,0.05,0.04,0.06,1.97,1.75,43.63,0.94,1.81,-1.00,-1.00,1.02,115.76,115.49,0.46,39.42,1530,,,,,
224,The Tribe,3.65,0.34,-0.16,-0.04,-0.03,0.00,-2.07,-0.03,-1.00,-1.00,-0.69,1.54,-0.15,0.99,0.18,0.33,0.14,0.01,-0.01,20.57,0.33,-1.00,-1.00,35.84,0.30,-0.02,0.02,15.09,0.08,-1.00,-1.00,0.00,-0.01,-0.03,0.04,0.13,-0.01,3.22,-0.09,18.50,0.48,0.29,-1.00,-1.00,0.14,37.30,36.74,-0.08,-71.64,1335,,,,,
265,Moderate Heat,5.44,-0.53,-0.09,-0.24,-0.05,0.00,-3.22,-0.05,-1.00,-1.00,-1.07,1.98,1.70,-0.07,0.06,0.33,0.21,-0.06,0.00,21.73,0.26,-1.00,-1.00,38.67,0.03,0.10,0.21,16.89,0.50,-1.00,-1.00,0.00,0.00,0.22,-0.10,0.13,0.02,4.35,-0.02,18.51,0.49,0.20,-1.00,-1.00,-0.18,40.63,40.97,0.07,-19.56,1348,,,,,
