MARChampionship,mrcmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
11,MORT,3,3.92,-0.09,0.26,0.25,0.28,0.00,17.05,0.28,-1.00,-1.00,5.68,21.21,-0.04,1.51,0.42,0.33,0.34,0.47,0.21,42.72,3.53,-1.00,-1.00,91.76,0.30,0.37,0.31,48.62,0.95,-1.00,-1.00,-0.01,0.21,0.18,-0.04,-0.15,0.28,-2.95,6.70,59.77,1.35,3.82,-1.00,-1.00,0.66,119.67,140.36,0.40,46.46,1625,,,,,
25,Raider Robotix,3,5.59,-0.14,-0.59,-0.63,0.34,0.00,20.24,0.34,-1.00,-1.00,6.75,25.19,-0.02,0.90,0.29,0.33,0.34,0.43,-0.03,29.66,1.91,-1.00,-1.00,69.51,0.23,0.13,0.44,39.55,0.75,-1.00,-1.00,0.00,-0.03,-0.05,0.19,0.03,0.22,0.39,6.49,49.91,1.08,2.25,-1.00,-1.00,-0.34,101.20,98.58,0.23,24.63,1639,,,,,
56,R.O.B.B.E.,3,4.72,0.62,-0.61,-0.46,0.51,0.00,30.35,0.51,-1.00,-1.00,10.12,34.61,-0.04,-2.20,-0.73,0.33,0.33,0.33,0.10,23.82,2.11,-1.00,-1.00,59.92,0.28,0.39,0.07,36.84,0.80,-1.00,-1.00,-0.02,0.10,0.00,0.05,-0.01,0.22,-0.34,5.86,54.17,1.10,2.62,-1.00,-1.00,-1.19,100.39,110.34,0.11,14.47,1554,,,,,
75,RoboRaiders,3,5.61,-0.13,0.48,0.45,0.24,0.00,14.64,0.24,-1.00,-1.00,4.88,20.71,-0.03,-1.27,-0.42,0.33,0.33,0.43,0.02,34.72,2.26,-1.00,-1.00,95.63,0.51,0.35,0.37,61.32,0.85,-1.00,-1.00,0.01,0.02,0.01,0.16,-0.04,-0.07,-0.96,-0.92,49.36,1.11,2.50,-1.00,-1.00,0.04,115.41,117.91,0.39,21.87,1550,,,,,
102,The Gearheads,3,4.49,2.94,0.33,1.08,0.19,0.00,11.56,0.19,-1.00,-1.00,3.85,17.13,-0.01,0.05,0.06,0.33,0.35,0.38,0.11,38.98,2.67,-1.00,-1.00,70.69,0.25,0.42,-0.03,31.66,0.79,-1.00,-1.00,-0.02,0.11,0.01,-0.05,-0.09,0.02,-2.22,0.35,50.54,1.17,2.86,-1.00,-1.00,1.14,88.17,98.80,0.26,2.41,1500,,,,,
103,Cybersonics,3,4.90,0.00,0.32,0.32,0.59,0.00,35.64,0.59,-1.00,-1.00,11.88,40.87,-0.13,-1.53,-0.50,0.33,0.36,0.43,-0.01,21.12,1.83,-1.00,-1.00,54.59,0.30,0.31,0.08,33.96,0.84,-1.00,-1.00,0.01,-0.01,-0.18,0.01,-0.03,0.25,-1.67,6.34,56.76,1.12,2.43,-1.00,-1.00,-0.18,101.79,101.43,0.40,48.33,1617,,,,,
193,MORT Beta,3,4.55,0.03,-0.12,-0.08,-0.01,0.00,-0.36,-0.01,-1.00,-1.00,-0.12,4.12,-0.21,-1.70,-0.69,0.33,0.19,0.29,-0.00,32.96,1.54,-1.00,-1.00,70.57,0.22,0.23,0.32,38.30,0.76,-1.00,-1.00,0.00,-0.00,-0.04,-0.03,-0.19,0.07,-5.04,1.69,32.60,0.82,1.54,-1.00,-1.00,-0.77,76.37,76.11,0.31,19.33,1468,,,,,
203,One TUFF Team (Team United for FIRST),3,4.64,-0.03,-0.80,-0.81,0.44,0.00,26.47,0.44,-1.00,-1.00,8.82,30.30,-1.44,0.60,0.07,0.33,0.35,0.43,-0.02,25.93,1.85,-1.00,-1.00,74.00,0.19,0.31,0.46,48.00,0.64,-1.00,-1.00,0.00,-0.02,-0.11,0.40,-0.03,-0.11,-1.20,-0.87,52.39,1.09,2.29,-1.00,-1.00,-0.74,103.43,101.21,0.41,24.97,1492,,,,,
219,Team Impact,3,4.71,-0.06,1.19,1.17,0.46,0.00,27.64,0.46,-1.00,-1.00,9.21,33.53,1.76,6.26,2.21,0.33,0.32,0.05,0.06,11.88,0.71,-1.00,-1.00,71.86,0.55,0.32,0.28,57.77,0.90,-1.00,-1.00,0.00,0.06,0.05,0.01,-0.04,0.05,-0.76,1.17,39.52,0.76,1.17,-1.00,-1.00,3.39,106.56,112.32,0.41,39.35,1596,,,,,
