MARHatboroHorsham,pahat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
87,Red Devils,1.18,0.00,-0.26,-0.26,-0.27,0.00,-16.36,-0.27,-1.00,-1.00,-5.45,-15.43,0.15,0.20,0.06,0.33,0.17,-0.15,0.00,25.24,0.02,-1.00,-1.00,16.93,0.00,-0.08,-0.09,-8.37,-1.00,-1.00,-1.00,0.00,0.00,0.17,0.24,-0.04,0.26,-0.22,7.69,8.88,0.36,-0.26,-1.00,-1.00,-0.20,9.19,9.19,0.11,-37.94,1388,,,,,
103,Cybersonics,4.62,0.00,0.47,0.47,0.45,0.00,27.29,0.45,-1.00,-1.00,9.10,32.38,0.04,-1.65,-0.56,0.33,0.45,0.43,0.00,30.56,2.16,-1.00,-1.00,31.86,-0.20,0.17,0.07,1.86,-1.00,-1.00,-1.00,0.00,0.00,-0.06,-0.07,-0.11,0.01,-3.13,0.05,57.85,1.22,2.61,-1.00,-1.00,-0.10,64.28,64.28,0.43,3.65,1527,,,,,
304,GWHS Robo Griffins,3.96,0.00,0.08,0.08,0.09,0.00,5.11,0.09,-1.00,-1.00,1.70,9.15,0.44,0.95,0.23,0.33,0.41,0.18,0.00,33.50,1.44,-1.00,-1.00,12.05,-0.24,-0.03,-0.16,-21.68,-1.00,-1.00,-1.00,0.00,0.00,0.28,-0.17,0.19,-0.12,6.08,-3.75,38.61,0.92,1.52,-1.00,-1.00,0.31,17.45,17.45,0.11,-19.36,1427,,,,,
341,Miss Daisy,3.90,0.00,-0.06,-0.06,-0.02,0.00,-1.47,-0.02,-1.00,-1.00,-0.49,2.37,0.59,-1.36,-0.38,0.33,0.35,-0.00,0.00,28.31,0.71,-1.00,-1.00,65.57,0.07,0.47,0.22,37.64,-1.00,-1.00,-1.00,0.00,0.00,0.00,0.15,-0.14,0.13,-3.48,4.00,26.84,0.68,0.69,-1.00,-1.00,-0.44,71.94,71.94,0.51,26.65,1606,,,,,
423,Simple Machines,4.18,0.00,-0.10,-0.10,-0.10,0.00,-6.16,-0.10,-1.00,-1.00,-2.05,-2.08,-0.11,-0.66,-0.29,0.33,0.07,0.18,0.00,27.42,0.97,-1.00,-1.00,49.20,0.30,0.06,0.07,22.07,-1.00,-1.00,-1.00,0.00,0.00,0.11,-0.12,-0.20,0.86,-4.50,20.82,21.26,0.58,0.87,-1.00,-1.00,-0.39,67.94,67.94,0.01,2.09,1498,,,,,
708,Hatters Robotics,4.79,0.00,-0.06,-0.06,0.22,0.00,13.00,0.22,-1.00,-1.00,4.33,17.72,0.24,11.59,3.70,0.33,0.36,0.59,0.00,42.77,2.87,-1.00,-1.00,114.51,0.49,0.63,0.24,68.04,-1.00,-1.00,-1.00,0.00,0.00,0.18,-0.02,-0.35,0.06,-7.73,1.38,55.77,1.29,3.09,-1.00,-1.00,3.63,133.61,133.61,0.61,86.97,1606,,,,,
709,Femme Tech Fatale,4.18,0.00,0.46,0.46,0.40,0.00,24.09,0.40,-1.00,-1.00,8.03,28.73,0.34,-1.06,-0.34,0.33,0.45,0.19,0.00,22.91,1.24,-1.00,-1.00,58.16,0.29,0.09,0.34,35.60,-1.00,-1.00,-1.00,0.00,0.00,-0.02,0.19,0.99,-0.22,24.75,-4.49,46.99,0.97,1.64,-1.00,-1.00,0.11,82.40,82.40,0.20,12.56,1446,,,,,
1143,Cruzin' Comets,5.38,0.00,0.03,0.03,0.07,0.00,3.92,0.07,-1.00,-1.00,1.31,9.33,0.53,0.50,0.26,0.33,0.41,0.24,0.00,36.78,1.71,-1.00,-1.00,48.12,0.18,0.07,-0.03,11.09,-1.00,-1.00,-1.00,0.00,0.00,-0.05,0.18,-0.14,0.34,-3.81,9.31,40.69,0.98,1.78,-1.00,-1.00,0.28,66.76,66.76,0.10,17.60,1556,,,,,
1218,Vulcan Robotics,4.87,0.00,-0.18,-0.18,0.17,0.00,9.94,0.17,-1.00,-1.00,3.31,14.63,-0.10,3.62,1.12,0.33,0.30,0.03,0.00,19.89,0.57,-1.00,-1.00,55.45,0.25,0.25,0.19,34.44,-1.00,-1.00,-1.00,0.00,0.00,-0.03,-0.01,0.26,0.28,6.27,7.06,29.83,0.66,0.74,-1.00,-1.00,0.94,77.14,77.14,0.02,11.83,1530,,,,,
