MARMontgomery,njski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
2016,Mighty Monkey Wrenches,4.54,-0.06,-0.65,-0.66,0.32,0.00,19.26,0.32,-1.00,-1.00,6.42,23.14,-0.02,-1.40,-0.50,0.33,0.33,0.27,-0.08,21.21,0.93,-1.00,-1.00,66.87,0.35,0.29,0.29,46.17,0.95,-1.00,-1.00,-0.02,-0.08,0.03,-0.01,-0.01,0.00,-0.11,-0.02,40.46,0.85,1.25,-1.00,-1.00,-1.16,89.99,81.51,0.06,-5.28,1511,,,,,
11,MORT,3.92,-0.09,0.26,0.25,0.28,0.00,17.05,0.28,-1.00,-1.00,5.68,21.21,-0.04,1.51,0.42,0.33,0.34,0.47,0.21,42.72,3.53,-1.00,-1.00,91.76,0.30,0.37,0.31,48.62,0.95,-1.00,-1.00,-0.01,0.21,0.18,-0.04,-0.15,0.28,-2.95,6.70,59.77,1.35,3.82,-1.00,-1.00,0.66,119.67,140.36,0.40,46.46,1625,,,,,
303,The T.E.S.T. Team,4.09,-0.07,3.33,3.30,0.35,0.00,21.17,0.35,-1.00,-1.00,7.06,28.56,0.15,17.59,5.62,0.33,0.33,0.35,0.11,30.73,2.35,-1.00,-1.00,103.27,0.39,0.56,0.39,66.91,0.93,-1.00,-1.00,0.08,0.11,0.10,-0.08,0.08,0.20,2.58,4.51,51.90,1.12,2.71,-1.00,-1.00,8.92,136.34,148.90,0.43,50.25,1611,,,,,
3637,The Daleks,3.16,-0.37,-0.49,-0.59,-0.02,0.00,-1.46,-0.02,-1.00,-1.00,-0.49,1.11,-0.01,-0.02,-0.02,0.33,0.34,0.38,0.12,47.63,2.90,-1.00,-1.00,103.13,0.47,0.48,0.17,55.52,0.93,-1.00,-1.00,-0.01,0.12,-0.08,0.04,0.04,-0.11,0.50,-2.59,46.17,1.17,2.88,-1.00,-1.00,-0.61,101.66,113.00,0.09,16.58,1522,,,,,
222,Tigertrons,5.36,0.13,0.87,0.90,0.26,0.00,15.63,0.26,-1.00,-1.00,5.21,21.90,-0.03,-1.21,-0.37,0.33,0.35,0.43,0.19,41.77,3.32,-1.00,-1.00,84.42,0.34,0.31,0.21,43.02,0.90,-1.00,-1.00,-0.02,0.19,-0.05,-0.01,-0.06,0.25,-1.85,6.10,57.40,1.30,3.58,-1.00,-1.00,0.53,112.42,131.12,0.18,20.03,1557,,,,,
1279,Cold Fusion,4.94,0.99,-0.36,-0.09,0.20,0.00,12.00,0.20,-1.00,-1.00,4.00,16.85,0.07,-2.04,-0.67,0.33,0.34,0.53,0.07,43.03,3.04,-1.00,-1.00,81.59,0.36,0.06,0.36,39.22,0.88,-1.00,-1.00,-0.00,0.07,0.17,-0.09,0.14,0.56,4.35,13.44,55.03,1.28,3.24,-1.00,-1.00,-0.75,111.88,119.33,0.45,46.38,1592,,,,,
75,RoboRaiders,5.61,-0.13,0.48,0.45,0.24,0.00,14.64,0.24,-1.00,-1.00,4.88,20.71,-0.03,-1.27,-0.42,0.33,0.33,0.43,0.02,34.72,2.26,-1.00,-1.00,95.63,0.51,0.35,0.37,61.32,0.85,-1.00,-1.00,0.01,0.02,0.01,0.16,-0.04,-0.07,-0.96,-0.92,49.36,1.11,2.50,-1.00,-1.00,0.04,115.41,117.91,0.39,21.87,1550,,,,,
4637,BambieBotz,4.77,-0.39,0.57,0.47,0.35,0.00,20.81,0.35,-1.00,-1.00,6.94,26.06,-0.00,-0.02,-0.01,0.33,0.33,0.33,0.03,27.05,1.81,-1.00,-1.00,61.39,0.26,0.24,0.18,34.36,0.83,-1.00,-1.00,-0.01,0.03,0.08,0.04,0.15,-0.24,4.14,-5.88,47.86,1.02,2.15,-1.00,-1.00,0.46,81.57,84.14,0.30,-14.11,1468,,,,,
5624,TIGER TECH Robotics,3.57,-0.01,0.32,0.32,0.14,0.00,8.21,0.14,-1.00,-1.00,2.74,12.10,0.05,-3.36,-1.13,0.33,0.33,0.17,-0.06,25.74,0.87,-1.00,-1.00,69.56,0.30,0.29,0.31,44.96,0.83,-1.00,-1.00,-0.02,-0.06,0.00,-0.05,0.41,0.20,10.20,4.80,33.94,0.78,1.01,-1.00,-1.00,-0.81,86.46,80.15,0.13,3.41,1459,,,,,
1676,The Pascack PI-oneers,5.13,0.31,-0.20,-0.14,0.46,0.00,27.50,0.46,-1.00,-1.00,9.17,32.50,-0.05,0.13,0.07,0.33,0.33,0.30,0.22,28.99,2.71,-1.00,-1.00,56.77,0.20,0.28,0.08,27.72,0.82,-1.00,-1.00,-0.00,0.22,0.19,0.05,-0.10,-0.06,-1.66,-1.17,56.49,1.18,3.16,-1.00,-1.00,-0.07,88.09,109.72,0.15,12.39,1533,,,,,
1923,The MidKnight Inventors,5.25,-0.06,0.09,0.03,0.57,0.00,34.13,0.57,-1.00,-1.00,11.38,39.41,-0.02,-0.93,-0.36,0.33,0.33,0.29,0.01,15.77,1.32,-1.00,-1.00,54.41,0.15,0.30,0.33,39.01,0.80,-1.00,-1.00,-0.01,0.01,0.19,-0.06,0.21,0.16,6.25,3.75,49.90,0.96,1.88,-1.00,-1.00,-0.33,97.57,98.66,-0.09,-0.56,1579,,,,,
56,R.O.B.B.E.,4.72,0.62,-0.61,-0.46,0.51,0.00,30.35,0.51,-1.00,-1.00,10.12,34.61,-0.04,-2.20,-0.73,0.33,0.33,0.33,0.10,23.82,2.11,-1.00,-1.00,59.92,0.28,0.39,0.07,36.84,0.80,-1.00,-1.00,-0.02,0.10,0.00,0.05,-0.01,0.22,-0.34,5.86,54.17,1.10,2.62,-1.00,-1.00,-1.19,100.39,110.34,0.11,14.47,1554,,,,,
4954,Palindrome Robotics,5.89,0.14,0.15,0.16,0.32,0.00,19.20,0.32,-1.00,-1.00,6.40,25.25,-0.02,22.09,7.17,0.33,0.33,0.17,-0.13,15.58,0.27,-1.00,-1.00,74.11,0.34,0.26,0.43,51.35,0.80,-1.00,-1.00,0.07,-0.13,-0.03,0.01,0.04,0.13,0.88,3.21,34.78,0.71,0.59,-1.00,-1.00,7.33,102.57,91.19,0.32,33.24,1514,,,,,
4575,The Tin Mints,5.15,0.48,-0.22,-0.11,0.41,0.00,24.77,0.41,-1.00,-1.00,8.26,29.81,0.06,-1.13,-0.38,0.33,0.35,0.24,0.01,20.58,1.28,-1.00,-1.00,50.10,0.04,0.12,0.43,29.91,0.79,-1.00,-1.00,-0.01,0.01,-0.05,0.02,0.34,0.02,8.17,0.57,45.34,0.93,1.69,-1.00,-1.00,-0.49,80.49,80.74,0.30,21.61,1506,,,,,
102,The Gearheads,4.49,2.94,0.33,1.08,0.19,0.00,11.56,0.19,-1.00,-1.00,3.85,17.13,-0.01,0.05,0.06,0.33,0.35,0.38,0.11,38.98,2.67,-1.00,-1.00,70.69,0.25,0.42,-0.03,31.66,0.79,-1.00,-1.00,-0.02,0.11,0.01,-0.05,-0.09,0.02,-2.22,0.35,50.54,1.17,2.86,-1.00,-1.00,1.14,88.17,98.80,0.26,2.41,1500,,,,,
555,Montclair Robotics,5.11,-0.34,0.87,0.78,0.12,0.00,7.24,0.12,-1.00,-1.00,2.41,13.14,-0.01,3.54,1.21,0.33,0.35,0.24,0.05,33.84,1.82,-1.00,-1.00,82.20,0.20,0.29,0.45,47.15,0.79,-1.00,-1.00,0.08,0.05,-0.05,-0.09,0.14,0.12,3.28,2.58,41.08,0.97,1.94,-1.00,-1.00,1.99,97.91,104.54,0.33,26.96,1496,,,,,
225,TechFire,4.87,-0.23,9.24,9.19,0.08,0.00,4.74,0.08,-1.00,-1.00,1.58,18.80,-0.03,36.44,11.89,0.33,0.25,0.38,0.07,38.59,2.41,-1.00,-1.00,82.02,0.38,0.12,0.13,31.54,0.79,-1.00,-1.00,0.17,0.07,-0.00,0.13,0.18,0.22,4.45,6.20,43.33,1.04,2.49,-1.00,-1.00,21.08,107.02,117.84,0.37,25.40,1551,,,,,
