MARMountOlive,njfla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
11,MORT,3.99,0.00,0.19,0.19,0.07,0.00,3.92,0.07,-1.00,-1.00,1.31,8.10,-0.07,1.03,0.35,0.33,0.25,-0.17,0.00,13.68,-0.26,-1.00,-1.00,58.44,0.49,0.23,0.17,44.40,0.75,-1.00,-1.00,0.00,0.00,0.08,0.19,0.04,0.59,1.42,15.70,17.60,0.41,-0.19,-1.00,-1.00,0.54,82.23,82.23,0.35,49.81,1551,,,,,
25,Raider Robotix,5.12,0.00,0.17,0.17,0.31,0.00,18.72,0.31,-1.00,-1.00,6.24,24.01,0.24,-1.01,-0.29,0.33,0.38,0.24,0.00,25.78,1.42,-1.00,-1.00,73.61,0.20,0.27,0.49,48.12,0.72,-1.00,-1.00,0.00,0.00,-0.14,0.06,0.02,0.40,-0.09,10.31,44.50,0.96,1.74,-1.00,-1.00,-0.12,107.92,107.92,0.39,44.78,1666,,,,,
41,RoboWarriors,1.90,0.00,-0.30,-0.30,0.12,0.00,6.92,0.12,-1.00,-1.00,2.31,8.52,-0.10,-0.49,-0.14,0.33,0.29,-0.00,0.00,20.15,0.45,-1.00,-1.00,21.49,0.00,-0.01,0.04,1.49,0.25,-1.00,-1.00,0.00,0.00,-0.11,0.14,-0.25,0.00,-6.72,0.75,27.07,0.62,0.56,-1.00,-1.00,-0.44,30.76,30.76,0.16,-4.13,1513,,,,,
75,RoboRaiders,3.79,0.00,-0.21,-0.21,0.15,0.00,9.25,0.15,-1.00,-1.00,3.08,12.83,-1.22,-1.29,-0.49,0.33,0.34,0.28,0.00,32.02,1.66,-1.00,-1.00,55.62,0.20,0.13,0.15,24.09,0.70,-1.00,-1.00,0.00,0.00,0.19,0.09,0.60,0.09,15.83,2.72,41.26,0.95,1.81,-1.00,-1.00,-0.70,71.17,71.17,0.18,4.94,1551,,,,,
193,MORT Beta,3.07,0.00,-0.32,-0.32,0.04,0.00,2.54,0.04,-1.00,-1.00,0.85,5.29,-1.43,0.45,0.00,0.33,0.39,0.12,0.00,32.16,1.23,-1.00,-1.00,52.86,0.16,0.12,0.13,20.70,0.36,-1.00,-1.00,0.00,0.00,0.15,0.00,0.07,0.21,2.44,5.36,34.70,0.85,1.28,-1.00,-1.00,-0.32,63.51,63.51,0.30,14.00,1453,,,,,
219,Team Impact,4.68,0.00,-0.37,-0.37,0.27,0.00,16.37,0.27,-1.00,-1.00,5.46,20.68,-0.64,0.58,0.06,0.33,0.38,0.23,0.00,26.98,1.42,-1.00,-1.00,44.80,0.27,0.21,-0.12,17.76,0.44,-1.00,-1.00,0.00,0.00,0.34,-0.14,0.04,0.38,2.69,8.73,43.35,0.95,1.69,-1.00,-1.00,-0.31,74.22,74.22,0.26,24.70,1557,,,,,
222,Tigertrons,5.60,0.00,-0.13,-0.13,0.68,0.00,41.02,0.68,-1.00,-1.00,13.67,46.48,2.51,1.04,0.60,0.33,0.36,0.55,0.00,22.56,2.25,-1.00,-1.00,55.86,0.25,0.09,0.32,32.70,0.71,-1.00,-1.00,0.00,0.00,-0.18,-0.06,0.11,0.22,1.76,5.17,63.58,1.25,2.93,-1.00,-1.00,0.47,107.51,107.51,0.36,39.47,1549,,,,,
293,Team S.P.I.K.E.,4.51,0.00,0.35,0.35,0.57,0.00,34.23,0.57,-1.00,-1.00,11.41,39.09,8.76,0.04,0.73,0.33,0.39,0.35,0.00,20.08,1.61,-1.00,-1.00,50.35,0.34,0.08,0.17,29.55,0.35,-1.00,-1.00,0.00,0.00,0.25,-0.02,-0.16,0.06,-2.82,1.54,54.31,1.07,2.18,-1.00,-1.00,1.08,90.99,90.99,0.62,71.33,1560,,,,,
303,The T.E.S.T. Team,4.36,0.00,1.10,1.10,0.20,0.00,12.26,0.20,-1.00,-1.00,4.09,17.73,-0.86,-0.32,-0.20,0.33,0.37,0.30,0.00,31.86,1.73,-1.00,-1.00,58.06,0.10,0.10,0.32,26.40,0.67,-1.00,-1.00,0.00,0.00,0.12,0.05,0.37,-0.18,9.91,-4.18,44.12,1.00,1.94,-1.00,-1.00,0.90,71.60,71.60,0.10,-2.41,1509,,,,,
