MARSeneca,njtab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
87,Red Devils,4.53,-0.12,0.45,0.41,0.26,0.00,15.61,0.26,-1.00,-1.00,5.20,20.55,1.71,-2.59,-0.69,0.33,0.33,-0.09,-0.04,11.23,-0.16,-1.00,-1.00,30.51,-0.02,0.12,0.29,19.97,0.58,-1.00,-1.00,0.00,-0.04,0.40,-0.12,0.35,0.02,10.74,-0.08,26.84,0.54,0.10,-1.00,-1.00,-0.28,50.98,47.46,0.02,-25.66,1370,,,,,
203,One TUFF Team (Team United for FIRST),4.64,-0.03,-0.80,-0.81,0.44,0.00,26.47,0.44,-1.00,-1.00,8.82,30.30,-1.44,0.60,0.07,0.33,0.35,0.43,-0.02,25.93,1.85,-1.00,-1.00,74.00,0.19,0.31,0.46,48.00,0.64,-1.00,-1.00,0.00,-0.02,-0.11,0.40,-0.03,-0.11,-1.20,-0.87,52.39,1.09,2.29,-1.00,-1.00,-0.74,103.43,101.21,0.41,24.97,1492,,,,,
204,Eastern Robotic Vikings,3.92,0.02,0.91,0.92,0.26,0.00,15.77,0.26,-1.00,-1.00,5.26,20.62,-2.49,1.09,-0.12,0.33,0.34,0.03,-0.03,16.08,0.33,-1.00,-1.00,38.42,-0.10,0.35,0.20,22.46,0.42,-1.00,-1.00,0.00,-0.03,-0.07,0.15,0.16,-0.01,3.57,0.52,31.85,0.66,0.59,-1.00,-1.00,0.80,59.56,56.51,0.05,-29.75,1425,,,,,
219,Team Impact,4.71,-0.06,1.19,1.17,0.46,0.00,27.64,0.46,-1.00,-1.00,9.21,33.53,1.76,6.26,2.21,0.33,0.32,0.05,0.06,11.88,0.71,-1.00,-1.00,71.86,0.55,0.32,0.28,57.77,0.90,-1.00,-1.00,0.00,0.06,0.05,0.01,-0.04,0.05,-0.76,1.17,39.52,0.76,1.17,-1.00,-1.00,3.39,106.56,112.32,0.41,39.35,1596,,,,,
224,The Tribe,5.16,-0.03,-0.39,-0.40,0.14,0.00,8.60,0.14,-1.00,-1.00,2.87,13.36,0.13,0.28,0.14,0.33,0.34,0.10,0.06,27.57,1.30,-1.00,-1.00,41.60,0.10,0.07,0.11,13.89,0.33,-1.00,-1.00,0.00,0.06,0.06,0.11,0.00,-0.01,0.33,0.18,36.17,0.83,1.44,-1.00,-1.00,-0.26,55.14,61.28,0.08,-27.34,1345,,,,,
272,Cyber-Crusaders,4.30,-0.11,0.40,0.36,0.19,0.00,11.24,0.19,-1.00,-1.00,3.75,15.90,-1.54,0.96,0.24,0.33,0.35,0.54,0.06,43.66,3.02,-1.00,-1.00,93.51,0.46,0.50,0.04,49.61,0.88,-1.00,-1.00,0.00,0.06,0.09,0.00,0.04,0.09,1.34,2.26,54.91,1.28,3.21,-1.00,-1.00,0.60,111.67,117.77,0.35,12.33,1512,,,,,
293,Team S.P.I.K.E.,4.88,0.76,-0.19,0.06,0.51,0.00,30.70,0.51,-1.00,-1.00,10.23,35.64,20.13,-0.19,2.00,0.33,0.35,0.28,0.10,21.82,1.88,-1.00,-1.00,55.90,0.27,0.08,0.29,32.08,0.86,-1.00,-1.00,0.00,0.10,0.23,0.09,-0.22,0.21,-4.34,5.69,52.52,1.06,2.39,-1.00,-1.00,2.06,97.23,106.75,0.38,56.16,1602,,,,,
316,LuNaTeCs,5.60,-0.10,0.35,0.32,0.07,0.00,4.32,0.07,-1.00,-1.00,1.44,10.24,0.94,2.78,0.93,0.33,0.35,0.45,-0.02,41.40,2.28,-1.00,-1.00,86.56,0.16,0.25,0.48,44.23,0.79,-1.00,-1.00,0.00,-0.02,-0.05,0.17,0.15,-0.03,3.52,0.08,45.72,1.11,2.35,-1.00,-1.00,1.25,96.87,94.49,0.26,5.99,1526,,,,,
365,Miracle Workerz,5.14,-0.16,1.87,1.82,0.43,0.00,25.69,0.43,-1.00,-1.00,8.56,32.65,-1.44,4.30,1.04,0.33,0.34,0.48,-0.04,27.23,1.91,-1.00,-1.00,85.03,0.56,0.32,0.25,56.76,0.95,-1.00,-1.00,0.00,-0.04,0.44,-0.02,0.14,-0.06,5.57,-1.58,52.92,1.11,2.34,-1.00,-1.00,2.87,116.09,111.80,0.46,17.83,1580,,,,,
