MARSpringsideChestnutHill,paphi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
103,Cybersonics,4.90,0.00,0.32,0.32,0.59,0.00,35.64,0.59,-1.00,-1.00,11.88,40.87,-0.13,-1.53,-0.50,0.33,0.36,0.43,-0.01,21.12,1.83,-1.00,-1.00,54.59,0.30,0.31,0.08,33.96,0.84,-1.00,-1.00,0.01,-0.01,-0.18,0.01,-0.03,0.25,-1.67,6.34,56.76,1.12,2.43,-1.00,-1.00,-0.18,101.79,101.43,0.40,48.33,1617,,,,,
203,One TUFF Team (Team United for FIRST),6.11,0.00,-0.06,-0.06,0.32,0.00,19.00,0.32,-1.00,-1.00,6.33,25.04,-0.04,-2.28,-0.76,0.33,0.36,0.22,-0.01,23.29,1.20,-1.00,-1.00,46.74,0.24,0.29,-0.04,24.21,0.57,-1.00,-1.00,-0.03,-0.01,0.05,0.02,-0.18,0.14,-4.23,3.56,42.29,0.90,1.51,-1.00,-1.00,-0.83,75.34,73.56,0.02,1.41,1500,,,,,
204,Eastern Robotic Vikings,4.37,0.00,-0.63,-0.63,0.12,0.00,7.26,0.12,-1.00,-1.00,2.42,11.00,-0.16,-2.43,-0.92,0.33,0.37,-0.06,-0.00,20.67,0.36,-1.00,-1.00,57.47,0.09,0.23,0.43,37.72,0.70,-1.00,-1.00,-0.02,-0.00,-0.03,-0.14,0.01,0.02,0.01,-0.15,27.93,0.64,0.48,-1.00,-1.00,-1.55,68.32,67.60,0.38,13.02,1440,,,,,
225,TechFire,4.08,0.00,7.53,7.53,0.23,0.00,13.85,0.23,-1.00,-1.00,4.62,25.46,-0.00,34.00,11.16,0.33,0.37,0.30,-0.01,30.16,1.61,-1.00,-1.00,64.54,0.23,0.11,0.13,23.22,0.57,-1.00,-1.00,0.32,-0.01,0.04,0.50,0.13,-0.09,3.44,0.14,44.01,0.98,1.84,-1.00,-1.00,18.69,90.14,95.23,0.43,27.01,1621,,,,,
304,GWHS Robo Griffins,3.87,0.00,-0.11,-0.11,0.15,0.00,8.83,0.15,-1.00,-1.00,2.94,12.59,0.48,0.14,-0.05,0.33,0.38,0.08,-0.00,25.57,0.89,-1.00,-1.00,26.41,-0.10,0.09,0.03,0.89,0.21,-1.00,-1.00,-0.01,-0.00,0.12,0.03,0.05,-0.06,1.75,-1.21,34.41,0.79,1.04,-1.00,-1.00,-0.16,37.79,37.18,-0.28,-65.56,1347,,,,,
321,RoboLancers,4.91,0.00,-0.25,-0.25,0.21,0.00,12.89,0.21,-1.00,-1.00,4.30,17.55,-0.08,-1.51,-0.57,0.33,0.30,0.27,-0.01,27.11,1.39,-1.00,-1.00,36.05,0.08,-0.02,0.13,9.51,0.33,-1.00,-1.00,-0.01,-0.01,-0.11,-0.01,-0.10,0.20,-3.01,4.98,40.00,0.89,1.60,-1.00,-1.00,-0.81,58.58,57.23,0.11,-9.70,1445,,,,,
341,Miss Daisy,4.70,0.00,0.14,0.14,0.52,0.00,30.91,0.52,-1.00,-1.00,10.30,35.75,-0.03,4.52,1.38,0.33,0.38,0.37,0.08,25.93,2.20,-1.00,-1.00,58.07,0.06,0.23,0.32,30.75,0.79,-1.00,-1.00,-0.03,0.08,0.66,0.02,-0.03,-0.00,2.57,0.09,56.84,1.16,2.71,-1.00,-1.00,1.52,93.91,101.59,0.12,16.62,1554,,,,,
423,Simple Machines,4.39,0.00,-0.04,-0.04,0.05,0.00,3.25,0.05,-1.00,-1.00,1.08,7.59,-0.08,-1.79,-0.63,0.33,0.35,-0.06,0.01,23.29,0.46,-1.00,-1.00,58.21,0.14,0.14,0.43,35.55,0.71,-1.00,-1.00,-0.01,0.01,0.09,0.03,0.23,-0.11,6.11,-2.59,26.54,0.64,0.51,-1.00,-1.00,-0.68,63.22,63.68,0.10,-13.05,1429,,,,,
433,Firebirds,5.63,0.00,1.57,1.57,-0.09,0.00,-5.61,-0.09,-1.00,-1.00,-1.87,1.59,0.15,4.72,1.47,0.33,0.36,0.25,-0.01,40.91,1.73,-1.00,-1.00,90.55,0.39,0.10,0.47,48.16,0.88,-1.00,-1.00,0.07,-0.01,-0.13,0.44,-0.10,0.09,-3.06,4.54,35.30,0.93,1.64,-1.00,-1.00,3.04,96.68,96.85,0.13,27.68,1554,,,,,
