MIAnnArborPioneer,miann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
68,Truck Town Thunder,2.79,0.00,0.00,0.00,-0.27,0.00,-16.04,-0.27,-1.00,-1.00,-5.35,-13.25,-0.30,-0.25,-0.09,0.34,0.29,0.33,0.00,48.82,2.15,-1.00,-1.00,86.79,0.21,0.21,0.34,38.07,0.64,-1.00,-1.00,0.00,0.00,0.28,0.23,-0.08,0.07,-0.56,2.93,32.78,0.95,1.88,-1.00,-1.00,-0.09,76.47,76.47,0.15,-3.91,1429,,,,,
240,Tempest,4.57,0.00,0.00,0.00,0.04,0.00,2.50,0.04,-1.00,-1.00,0.83,7.07,-0.23,0.14,0.04,0.33,0.34,0.06,0.00,27.14,0.84,-1.00,-1.00,39.58,0.20,0.24,-0.19,12.40,0.33,-1.00,-1.00,0.00,0.00,-0.12,0.02,0.24,0.33,5.43,8.32,29.64,0.72,0.88,-1.00,-1.00,0.04,54.97,54.97,0.11,-17.63,1390,,,,,
313,The Bionic Zebras,1.99,0.00,0.00,0.00,0.11,0.00,6.64,0.11,-1.00,-1.00,2.21,8.62,-0.00,-0.33,-0.08,0.34,0.20,-0.01,0.00,16.87,0.26,-1.00,-1.00,15.65,-0.16,0.02,0.12,-1.13,0.08,-1.00,-1.00,0.00,0.00,0.31,0.15,0.50,0.01,13.95,1.09,23.50,0.53,0.37,-1.00,-1.00,-0.08,25.36,25.36,-0.10,-52.57,1363,,,,,
862,Lightning Robotics,3.64,0.00,0.00,0.00,0.18,0.00,10.74,0.18,-1.00,-1.00,3.58,14.38,0.07,-0.03,-0.05,0.32,0.36,0.59,0.00,43.97,2.90,-1.00,-1.00,85.56,0.35,0.28,0.20,41.64,0.94,-1.00,-1.00,0.00,0.00,0.01,0.01,0.04,-0.07,1.01,-1.82,54.70,1.28,3.08,-1.00,-1.00,-0.05,98.12,98.12,0.34,45.86,1538,,,,,
1023,Bedford Express,5.64,0.00,0.00,0.00,0.67,0.00,40.03,0.67,-1.00,-1.00,13.34,45.67,-0.13,0.13,0.01,0.33,0.27,0.44,0.00,14.84,1.61,-1.00,-1.00,74.67,0.38,0.43,0.38,59.83,0.93,-1.00,-1.00,0.00,0.00,0.29,0.02,0.10,0.09,4.05,2.35,54.87,1.04,2.28,-1.00,-1.00,0.01,122.69,122.69,0.35,82.65,1652,,,,,
1076,Pi Hi Samurai,6.32,0.00,0.00,0.00,0.10,0.00,6.06,0.10,-1.00,-1.00,2.02,12.38,-0.04,0.03,-0.01,0.34,0.29,0.07,0.00,23.63,0.73,-1.00,-1.00,45.85,0.11,0.43,-0.09,22.22,0.57,-1.00,-1.00,0.00,0.00,-0.20,-0.03,-0.06,0.17,-2.41,4.00,29.69,0.69,0.83,-1.00,-1.00,-0.01,62.23,62.23,0.10,-11.56,1454,,,,,
1502,Technical Difficulties,5.00,0.00,0.00,0.00,0.67,0.00,40.03,0.67,-1.00,-1.00,13.34,45.03,-0.14,0.31,0.07,0.33,0.35,0.14,0.00,6.04,0.60,-1.00,-1.00,28.12,0.27,0.18,-0.01,22.01,0.43,-1.00,-1.00,0.00,0.00,0.09,0.42,0.17,-0.08,4.69,0.06,46.07,0.82,1.26,-1.00,-1.00,0.07,73.20,73.20,0.23,0.70,1457,,,,,
1528,MTR (Monroe Trojan Robotics),3.23,0.00,0.00,0.00,0.09,0.00,5.57,0.09,-1.00,-1.00,1.86,8.80,-0.13,-0.01,-0.01,0.34,0.20,-0.01,0.00,17.35,0.36,-1.00,-1.00,21.84,0.08,0.02,-0.00,4.51,0.00,-1.00,-1.00,0.00,0.00,-0.15,0.04,0.06,0.05,0.73,1.35,22.92,0.53,0.45,-1.00,-1.00,-0.01,31.99,31.99,0.14,-25.46,1325,,,,,
2611,Jacktown Vectors,5.07,0.00,0.00,0.00,0.20,0.00,12.15,0.20,-1.00,-1.00,4.05,17.22,0.19,0.44,0.16,0.32,0.36,0.61,0.00,43.79,2.95,-1.00,-1.00,100.13,0.43,0.18,0.51,56.19,0.88,-1.00,-1.00,0.00,0.00,-0.02,0.04,0.02,0.21,0.51,5.53,55.94,1.30,3.15,-1.00,-1.00,0.16,122.88,122.88,0.39,85.62,1559,,,,,
