MICenterLine,micen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
123,Team - Cosmos,5.08,0.00,0.00,0.00,-0.04,0.00,-2.20,-0.04,-1.00,-1.00,-0.73,2.88,2.21,-0.02,0.21,0.34,0.41,0.12,0.00,36.06,1.32,-1.00,-1.00,53.35,0.26,-0.03,0.11,17.08,0.47,-1.00,-1.00,0.00,0.00,0.12,0.63,0.22,-0.05,6.18,1.79,33.86,0.86,1.29,-1.00,-1.00,0.21,58.02,58.02,0.38,13.64,1426,,,,,
201,The FEDS,4.42,0.00,0.00,0.00,-0.03,0.00,-1.81,-0.03,-1.00,-1.00,-0.60,2.61,-0.24,-0.06,-0.00,0.26,0.25,0.01,0.00,22.30,0.50,-1.00,-1.00,70.19,0.21,0.49,0.26,47.89,0.71,-1.00,-1.00,0.00,0.00,-0.12,0.03,-0.06,0.11,-2.14,2.87,20.49,0.53,0.47,-1.00,-1.00,-0.00,75.67,75.67,0.19,22.91,1508,,,,,
453,Rockem Sockem Robotics,6.28,0.00,0.00,0.00,0.32,0.00,19.18,0.32,-1.00,-1.00,6.39,25.45,0.14,0.04,-0.02,0.36,0.14,-0.02,0.00,6.12,-0.02,-1.00,-1.00,9.14,0.00,-0.09,0.14,3.04,0.36,-1.00,-1.00,0.00,0.00,-0.06,-0.13,-0.17,0.81,-4.48,19.52,25.29,0.47,0.30,-1.00,-1.00,-0.02,54.11,54.11,0.21,3.58,1431,,,,,
469,Las Guerrillas,4.52,0.00,0.00,0.00,0.30,0.00,17.87,0.30,-1.00,-1.00,5.96,22.39,-1.10,-0.02,-0.06,0.35,0.47,0.51,0.00,41.61,2.71,-1.00,-1.00,95.01,0.40,0.48,0.19,53.46,0.50,-1.00,-1.00,0.00,0.00,-0.10,0.04,-0.08,0.22,-2.49,5.70,59.47,1.34,3.01,-1.00,-1.00,-0.06,123.10,123.10,0.63,74.17,1556,,,,,
818,Steel Armadillos,3.44,0.00,0.00,0.00,-0.08,0.00,-4.76,-0.08,-1.00,-1.00,-1.59,-1.32,3.28,-0.03,0.39,0.34,0.33,-0.07,0.00,26.93,0.45,-1.00,-1.00,48.51,0.31,0.22,-0.11,21.19,0.50,-1.00,-1.00,0.00,0.00,-0.20,-0.05,0.16,0.52,2.92,12.73,22.17,0.59,0.37,-1.00,-1.00,0.39,59.92,59.92,0.34,10.54,1451,,,,,
1188,RoboRavens1,3.12,0.00,0.00,0.00,0.52,0.00,31.38,0.52,-1.00,-1.00,10.46,34.49,-0.75,-0.02,-0.06,0.34,0.41,0.36,0.00,23.46,1.75,-1.00,-1.00,57.28,0.21,0.34,0.12,33.89,0.44,-1.00,-1.00,0.00,0.00,-0.01,0.14,-0.08,0.56,-1.95,14.59,54.83,1.11,2.27,-1.00,-1.00,-0.06,106.37,106.37,0.42,73.09,1559,,,,,
1189,The Gearheads,4.66,0.00,0.00,0.00,0.10,0.00,5.76,0.10,-1.00,-1.00,1.92,10.43,-0.46,-0.05,-0.02,0.35,0.30,0.13,0.00,27.15,1.01,-1.00,-1.00,31.95,-0.14,0.28,-0.04,4.83,0.21,-1.00,-1.00,0.00,0.00,-0.10,0.41,0.17,0.07,3.85,3.75,32.91,0.77,1.11,-1.00,-1.00,-0.02,46.12,46.12,0.02,-13.43,1431,,,,,
2048,The Pink Panthers,4.67,0.00,0.00,0.00,0.03,0.00,1.61,0.03,-1.00,-1.00,0.54,6.28,0.95,0.07,0.05,0.35,0.26,0.33,0.00,36.86,1.85,-1.00,-1.00,63.74,0.15,0.19,0.20,26.83,0.50,-1.00,-1.00,0.00,0.00,-0.06,-0.06,0.15,0.14,3.43,3.07,38.47,0.95,1.87,-1.00,-1.00,0.05,73.09,73.09,0.32,11.01,1425,,,,,
2673,Tenacious Technicians,3.81,0.00,0.00,0.00,-0.08,0.00,-4.88,-0.08,-1.00,-1.00,-1.63,-1.07,0.12,0.04,-0.06,0.35,0.26,-0.15,0.00,21.84,0.04,-1.00,-1.00,22.35,0.00,-0.06,0.07,0.57,0.00,-1.00,-1.00,0.00,0.00,0.40,0.11,-0.18,-0.11,-2.59,-2.33,16.96,0.46,-0.04,-1.00,-1.00,-0.06,18.95,18.95,-0.02,-29.39,1365,,,,,
2832,The Livonia  Warriors,3.93,0.00,0.00,0.00,0.02,0.00,1.18,0.02,-1.00,-1.00,0.39,5.11,0.57,0.00,0.11,0.35,0.48,0.44,0.00,49.83,2.69,-1.00,-1.00,95.85,0.38,0.27,0.27,45.91,0.80,-1.00,-1.00,0.00,0.00,-0.15,0.47,0.03,0.29,0.09,9.66,51.01,1.27,2.71,-1.00,-1.00,0.11,110.63,110.63,0.46,68.42,1548,,,,,
3096,The Village Bulldogs,3.09,0.00,0.00,0.00,-0.05,0.00,-2.91,-0.05,-1.00,-1.00,-0.97,0.18,-0.26,-0.04,-0.03,0.25,0.35,0.31,0.00,38.42,1.90,-1.00,-1.00,35.68,-0.04,0.02,-0.04,-2.71,0.07,-1.00,-1.00,0.00,0.00,-0.22,0.25,0.03,-0.07,-0.30,-0.54,35.51,0.91,1.86,-1.00,-1.00,-0.03,35.32,35.32,0.21,14.66,1393,,,,,
3175,Knight Vision,3.92,0.00,0.00,0.00,0.16,0.00,9.38,0.16,-1.00,-1.00,3.13,13.29,-0.16,0.25,-0.07,0.35,0.37,0.16,0.00,29.11,1.26,-1.00,-1.00,34.89,0.12,-0.15,0.15,5.85,0.14,-1.00,-1.00,0.00,0.00,0.17,0.15,0.04,-0.11,1.88,-1.97,38.49,0.88,1.42,-1.00,-1.00,-0.07,46.22,46.22,0.13,-35.41,1367,,,,,
3398,Crushing Crusaders,2.42,0.00,0.00,0.00,-0.08,0.00,-4.78,-0.08,-1.00,-1.00,-1.59,-2.35,-0.57,-0.06,0.01,0.25,0.15,-0.19,0.00,11.18,-0.50,-1.00,-1.00,17.28,0.02,0.07,0.04,6.09,0.17,-1.00,-1.00,0.00,0.00,0.24,-0.05,0.29,0.25,8.34,6.02,6.40,0.20,-0.58,-1.00,-1.00,0.01,20.94,20.94,-0.17,-33.65,1312,,,,,
3632,D-Techs,4.58,0.00,0.00,0.00,-0.11,0.00,-6.87,-0.11,-1.00,-1.00,-2.29,-2.29,-0.27,-0.01,-0.01,0.27,0.27,-0.02,0.00,25.15,0.51,-1.00,-1.00,36.08,0.09,0.08,0.06,10.94,0.08,-1.00,-1.00,0.00,0.00,0.26,0.37,-0.01,-0.16,1.04,-2.13,18.28,0.51,0.39,-1.00,-1.00,-0.01,31.66,31.66,0.01,-10.58,1376,,,,,
4507,TARminators,-0.02,0.00,0.00,0.00,0.05,0.00,3.22,0.05,-1.00,-1.00,1.07,3.20,-0.04,0.01,-0.07,0.35,0.23,-0.10,0.00,16.98,0.03,-1.00,-1.00,17.50,0.29,-0.18,-0.10,0.59,0.08,-1.00,-1.00,0.00,0.00,0.82,-0.28,-0.02,0.08,3.61,0.47,20.20,0.48,0.08,-1.00,-1.00,-0.07,21.16,21.16,-0.00,-54.35,1299,,,,,
4758,RoboBlazers,4.69,0.00,0.00,0.00,-0.06,0.00,-3.59,-0.06,-1.00,-1.00,-1.20,1.10,2.77,-0.04,0.23,0.34,0.29,-0.00,0.00,27.48,0.63,-1.00,-1.00,29.71,0.05,0.01,-0.01,2.00,0.08,-1.00,-1.00,0.00,0.00,-0.05,-0.11,0.17,-0.04,3.94,-1.43,23.89,0.63,0.57,-1.00,-1.00,0.23,29.39,29.39,0.02,-0.93,1317,,,,,
4811,Majestic Eagles,1.26,0.00,0.00,0.00,0.16,0.00,9.80,0.16,-1.00,-1.00,3.27,11.06,-0.88,-0.04,-0.08,0.25,0.23,-0.14,0.00,7.16,-0.34,-1.00,-1.00,13.29,-0.09,0.20,0.02,6.21,0.45,-1.00,-1.00,0.00,0.00,-0.02,0.02,-0.01,0.07,-0.28,1.88,16.96,0.34,-0.18,-1.00,-1.00,-0.08,26.23,26.23,0.08,-20.69,1365,,,,,
4815,ELECTROPANTHERS,2.86,0.00,0.00,0.00,-0.01,0.00,-0.59,-0.01,-1.00,-1.00,-0.20,2.27,-0.71,-0.06,-0.06,0.32,0.24,0.10,0.00,27.26,0.89,-1.00,-1.00,31.46,-0.05,0.09,0.04,4.26,0.13,-1.00,-1.00,0.00,0.00,0.09,-0.13,0.20,0.06,5.35,0.72,26.66,0.67,0.88,-1.00,-1.00,-0.06,34.45,34.45,0.07,-15.94,1379,,,,,
4851,JungleBots,5.08,0.00,0.00,0.00,0.32,0.00,19.46,0.32,-1.00,-1.00,6.49,24.54,0.93,-0.02,0.10,0.34,0.36,-0.17,0.00,8.17,-0.29,-1.00,-1.00,39.69,0.02,0.37,0.24,31.42,0.53,-1.00,-1.00,0.00,0.00,0.13,0.00,0.35,-0.03,9.39,-0.84,27.63,0.53,0.03,-1.00,-1.00,0.10,63.39,63.39,0.15,13.66,1386,,,,,
5065,Knights,0.03,0.00,0.00,0.00,0.09,0.00,5.65,0.09,-1.00,-1.00,1.88,5.68,-0.50,0.01,-0.04,0.37,0.31,-0.06,0.00,20.99,0.41,-1.00,-1.00,24.39,-0.00,0.08,-0.01,3.45,0.08,-1.00,-1.00,0.00,0.00,0.26,0.05,0.51,-0.01,14.06,0.08,26.63,0.62,0.50,-1.00,-1.00,-0.04,30.16,30.16,-0.06,-48.42,1281,,,,,
