MIEastKentwood,miken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
141,WOBOT,5.61,-0.13,1.59,1.58,0.42,0.00,25.04,0.42,-1.00,-1.00,8.35,32.23,-1.16,1.64,0.39,0.33,0.35,0.18,0.08,21.26,1.52,-1.00,-1.00,73.63,0.23,0.43,0.38,51.97,0.94,-1.00,-1.00,0.02,0.08,-0.00,0.06,0.20,-0.09,4.98,-1.95,46.30,0.95,1.94,-1.00,-1.00,1.97,103.90,112.70,0.30,26.06,1552,,,,,
216,More RoboDawgs,4.85,0.01,-0.08,-0.07,0.14,0.00,8.61,0.14,-1.00,-1.00,2.87,13.39,-0.78,-2.75,-1.00,0.33,0.33,0.40,0.00,36.90,2.12,-1.00,-1.00,80.98,0.50,0.31,0.09,45.09,0.85,-1.00,-1.00,-0.06,0.00,0.17,0.06,-0.12,-0.07,-2.03,-1.57,45.51,1.07,2.27,-1.00,-1.00,-1.08,92.80,91.69,0.29,41.77,1492,,,,,
244,RoboDawgs 3D,5.29,-0.15,0.41,0.37,0.21,0.00,12.67,0.21,-1.00,-1.00,4.22,18.34,0.23,-4.11,-1.24,0.33,0.34,0.29,-0.01,29.72,1.56,-1.00,-1.00,74.35,0.31,0.31,0.30,45.87,0.71,-1.00,-1.00,-0.04,-0.01,-0.03,0.02,-0.00,0.37,-0.19,9.29,42.39,0.95,1.77,-1.00,-1.00,-0.87,101.98,99.86,0.24,24.04,1505,,,,,
288,The RoboDawgs,5.60,0.02,-0.06,-0.10,0.37,0.00,22.45,0.37,-1.00,-1.00,7.48,27.96,-1.45,-2.98,-1.09,0.33,0.33,0.16,-0.01,17.89,0.91,-1.00,-1.00,52.03,0.11,0.26,0.34,35.24,0.79,-1.00,-1.00,0.01,-0.01,0.06,0.10,0.09,0.14,2.58,4.09,40.34,0.82,1.28,-1.00,-1.00,-1.19,84.08,83.76,0.32,7.60,1381,,,,,
858,Demons,4.09,0.08,0.33,0.35,0.49,0.00,29.12,0.49,-1.00,-1.00,9.71,33.57,3.81,5.29,1.97,0.33,0.32,0.29,-0.01,18.15,1.28,-1.00,-1.00,72.18,0.29,0.32,0.44,52.05,0.94,-1.00,-1.00,0.05,-0.01,-0.11,0.04,0.31,-0.11,7.32,-2.55,47.27,0.94,1.77,-1.00,-1.00,2.32,103.20,103.72,0.32,3.07,1402,,,,,
904,D cubed,5.77,0.04,0.19,0.20,0.34,0.00,20.30,0.34,-1.00,-1.00,6.77,26.27,-0.33,6.78,2.07,0.33,0.34,0.43,-0.01,30.25,2.01,-1.00,-1.00,53.69,0.07,0.06,0.29,21.37,0.43,-1.00,-1.00,0.07,-0.01,-0.01,0.11,-0.17,0.18,-4.40,5.15,50.55,1.09,2.35,-1.00,-1.00,2.27,85.10,85.85,0.25,9.90,1431,,,,,
1243,Dragons,5.25,0.01,0.11,0.10,-0.01,0.00,-0.36,-0.01,-1.00,-1.00,-0.12,4.99,-0.31,0.27,0.05,0.33,0.32,0.40,-0.01,41.95,2.18,-1.00,-1.00,79.95,0.37,-0.01,0.40,37.94,0.85,-1.00,-1.00,0.02,-0.01,0.09,0.06,0.01,0.51,0.65,13.10,41.59,1.04,2.17,-1.00,-1.00,0.15,98.04,97.36,0.07,-1.97,1466,,,,,
1677,Quantum Ninjas ,5.46,-0.14,-0.71,-0.75,0.06,0.00,3.62,0.06,-1.00,-1.00,1.21,8.33,1.26,-6.02,-1.82,0.33,0.35,0.13,-0.02,29.16,1.04,-1.00,-1.00,53.12,0.18,0.32,0.01,25.78,0.46,-1.00,-1.00,-0.13,-0.02,0.12,0.05,0.61,0.19,15.84,5.08,32.78,0.79,1.10,-1.00,-1.00,-2.57,66.53,62.34,0.26,14.12,1342,,,,,
2054,Tech Vikes,5.33,0.42,0.62,0.79,0.66,0.00,39.35,0.66,-1.00,-1.00,13.12,45.47,6.16,2.58,1.32,0.33,0.34,0.55,-0.00,22.62,2.22,-1.00,-1.00,80.62,0.43,0.47,0.23,56.68,0.93,-1.00,-1.00,0.03,-0.00,0.04,0.15,0.09,0.16,2.50,4.74,61.97,1.22,2.87,-1.00,-1.00,2.11,130.82,131.38,0.38,50.10,1572,,,,,
2767,Stryke Force,3.93,0.05,13.14,13.14,0.12,0.00,7.07,0.12,-1.00,-1.00,2.36,24.14,0.93,66.24,21.93,0.33,0.25,0.17,-0.01,25.29,1.03,-1.00,-1.00,77.65,0.10,0.12,0.39,30.42,0.63,-1.00,-1.00,0.71,-0.01,0.02,0.32,-0.13,0.21,-3.21,6.74,32.36,0.75,1.15,-1.00,-1.00,35.07,108.52,121.95,0.06,15.53,1565,,,,,
2771,Code Red Robotics the Stray Dogs,5.80,-0.01,0.44,0.45,0.47,0.00,28.32,0.47,-1.00,-1.00,9.44,34.57,-0.37,-3.92,-1.42,0.33,0.34,0.45,0.01,26.75,2.10,-1.00,-1.00,44.18,-0.00,0.10,0.28,18.84,0.53,-1.00,-1.00,-0.06,0.01,0.04,-0.01,-0.08,-0.18,-1.67,-4.64,55.07,1.14,2.57,-1.00,-1.00,-0.96,74.10,74.15,0.06,-17.45,1454,,,,,
