MIEscanaba,miesc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
245,Adambots,4.44,-0.02,0.12,0.11,0.31,0.00,18.45,0.31,-1.00,-1.00,6.15,23.00,9.71,-0.21,0.95,0.33,0.44,0.42,0.00,35.61,2.25,-1.00,-1.00,72.17,0.00,0.51,0.20,35.61,0.42,-1.00,-1.00,0.00,0.00,0.14,0.09,0.31,0.26,8.57,6.97,54.07,1.20,2.56,-1.00,-1.00,1.06,102.14,102.14,0.49,36.70,1538,,,,,
857,Superior Roboworks,4.22,0.04,-0.04,-0.04,0.49,0.00,29.66,0.49,-1.00,-1.00,9.89,33.85,-1.88,-0.12,-0.25,0.33,0.35,0.26,0.00,17.79,1.32,-1.00,-1.00,19.99,0.11,-0.17,0.10,2.45,0.39,-1.00,-1.00,0.00,0.00,-0.11,0.45,0.00,0.60,-0.51,17.12,47.46,0.94,1.82,-1.00,-1.00,-0.29,70.95,70.95,0.42,23.62,1474,,,,,
894,THE POWER CHARGERS,4.46,0.25,0.39,0.49,0.27,0.00,16.04,0.27,-1.00,-1.00,5.35,20.99,-1.56,0.13,-0.18,0.33,0.31,0.23,0.00,24.23,1.35,-1.00,-1.00,67.23,0.26,0.31,0.29,43.17,0.74,-1.00,-1.00,0.00,0.00,-0.01,-0.14,0.09,0.17,2.30,3.47,40.27,0.87,1.62,-1.00,-1.00,0.32,91.69,91.69,0.40,35.71,1570,,,,,
904,D cubed,5.19,-0.02,-0.03,-0.04,0.26,0.00,15.86,0.26,-1.00,-1.00,5.29,21.01,-0.55,1.68,0.39,0.33,-0.03,-0.03,0.00,0.28,-0.28,-1.00,-1.00,20.20,-0.14,0.28,0.25,19.53,0.47,-1.00,-1.00,0.00,0.00,0.21,0.01,-0.05,-0.06,-0.16,-1.49,16.13,0.27,-0.01,-1.00,-1.00,0.36,39.71,39.71,0.08,-16.03,1457,,,,,
1322,Genesee Robotics Area Youth Team (GRAYT),2.61,-0.02,0.38,0.37,0.05,0.00,2.80,0.05,-1.00,-1.00,0.93,5.77,3.19,0.34,0.44,0.33,0.41,0.26,0.00,38.27,1.79,-1.00,-1.00,75.26,0.39,0.03,0.31,36.55,0.89,-1.00,-1.00,0.00,0.00,-0.04,-0.04,0.11,-0.09,2.52,-2.37,41.06,1.00,1.84,-1.00,-1.00,0.81,78.66,78.66,0.53,45.09,1525,,,,,
1596,The Instigators,4.77,0.07,-0.08,-0.08,0.25,0.00,15.18,0.25,-1.00,-1.00,5.06,19.88,-1.45,-0.33,-0.30,0.33,0.26,0.31,0.00,25.87,1.50,-1.00,-1.00,56.10,0.35,-0.01,0.26,30.53,0.87,-1.00,-1.00,0.00,0.00,0.14,0.09,0.01,0.07,1.05,2.21,41.05,0.90,1.75,-1.00,-1.00,-0.37,78.19,78.19,0.25,41.12,1514,,,,,
2586,Copper Bots,5.40,0.21,0.13,0.22,0.03,0.00,1.62,0.03,-1.00,-1.00,0.54,7.23,2.96,-0.04,0.27,0.33,0.40,-0.02,0.00,27.56,0.69,-1.00,-1.00,54.80,0.27,0.18,0.09,26.98,0.50,-1.00,-1.00,0.00,0.00,-0.04,-0.02,-0.00,-0.20,-0.23,-5.11,29.17,0.72,0.72,-1.00,-1.00,0.49,56.92,56.92,0.26,22.22,1489,,,,,
3602,RoboMos,3.04,-0.02,-0.02,-0.00,0.01,0.00,0.37,0.01,-1.00,-1.00,0.12,3.41,-0.19,-0.26,-0.14,0.33,0.34,0.16,0.00,33.09,1.29,-1.00,-1.00,76.81,0.39,-0.01,0.49,43.86,0.47,-1.00,-1.00,0.00,0.00,0.12,-0.06,-0.06,0.18,-0.79,4.16,33.46,0.83,1.30,-1.00,-1.00,-0.14,84.38,84.38,0.32,35.54,1509,,,,,
3617,Cold Logic,4.55,0.08,-0.00,0.02,-0.07,0.00,-4.00,-0.07,-1.00,-1.00,-1.33,0.58,-1.36,-0.12,-0.16,0.33,0.19,-0.22,0.00,14.64,-0.44,-1.00,-1.00,9.43,-0.23,0.08,0.05,-5.05,0.00,-1.00,-1.00,0.00,0.00,0.10,-0.11,-0.02,-0.11,-0.04,-3.30,10.65,0.30,-0.51,-1.00,-1.00,-0.14,6.70,6.70,-0.15,-53.64,1359,,,,,
3767,FRC Team 3767 - TITAN Robotics,3.84,-0.03,-0.07,-0.05,0.23,0.00,13.68,0.23,-1.00,-1.00,4.56,17.47,0.42,-0.38,-0.07,0.33,0.43,0.27,0.00,32.05,1.69,-1.00,-1.00,65.51,0.29,0.29,0.09,33.54,0.61,-1.00,-1.00,0.00,0.00,0.01,0.09,0.24,0.07,6.02,2.05,45.73,1.03,1.91,-1.00,-1.00,-0.12,85.04,85.04,0.08,10.51,1471,,,,,
4375,Westend Gearbusters,5.55,0.06,0.03,0.04,0.11,0.00,6.41,0.11,-1.00,-1.00,2.14,12.00,-1.40,-0.41,-0.30,0.33,0.42,0.17,0.00,32.61,1.39,-1.00,-1.00,38.52,0.10,-0.03,0.05,6.21,0.08,-1.00,-1.00,0.00,0.00,-0.19,-0.06,0.01,-0.08,-0.59,-2.36,39.03,0.92,1.50,-1.00,-1.00,-0.26,48.17,48.17,0.14,2.94,1420,,,,,
4391,BraveBots,4.73,-0.04,0.08,0.08,0.45,0.00,27.28,0.45,-1.00,-1.00,9.09,32.09,-0.11,0.83,0.14,0.33,0.36,0.46,0.00,28.04,2.13,-1.00,-1.00,56.74,0.18,0.20,0.19,28.56,0.89,-1.00,-1.00,0.00,0.00,-0.08,0.22,0.21,0.12,4.74,4.01,55.32,1.16,2.59,-1.00,-1.00,0.22,92.84,92.84,0.45,42.50,1530,,,,,
