MIGullLake,migul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
858,Demons,4.13,0.00,-0.02,-0.02,0.09,0.00,5.27,0.09,-1.00,-1.00,1.76,9.38,1.58,-0.31,0.06,0.33,0.33,-0.23,-0.01,13.83,-0.36,-1.00,-1.00,37.30,0.29,0.17,0.01,23.41,0.58,-1.00,-1.00,0.00,-0.01,-0.07,-0.09,-0.04,-0.04,-1.32,-1.33,19.10,0.43,-0.27,-1.00,-1.00,0.04,45.35,44.80,-0.14,-54.18,1368,,,,,
910,The Foley Freeze,5.27,0.00,0.08,0.08,0.12,0.00,7.06,0.12,-1.00,-1.00,2.35,12.41,-0.33,3.12,0.95,0.33,0.34,-0.12,-0.03,15.78,-0.15,-1.00,-1.00,41.22,0.01,0.22,0.26,24.49,0.75,-1.00,-1.00,0.00,-0.03,0.18,0.06,0.03,-0.02,1.55,-0.19,22.84,0.51,-0.03,-1.00,-1.00,1.04,53.44,49.98,-0.01,-31.29,1459,,,,,
1254,Tech Force,3.31,0.00,-0.01,-0.01,0.51,0.00,30.47,0.51,-1.00,-1.00,10.16,33.77,-0.23,-0.42,-0.10,0.33,0.34,0.20,-0.00,14.59,0.97,-1.00,-1.00,43.39,0.08,0.16,0.34,28.90,0.50,-1.00,-1.00,0.00,-0.00,0.15,-0.01,-0.05,0.17,-0.47,4.07,45.06,0.87,1.48,-1.00,-1.00,-0.11,81.23,81.02,0.24,20.05,1412,,,,,
1504,Desperate Penguins,4.16,0.00,-0.02,-0.02,0.43,0.00,25.73,0.43,-1.00,-1.00,8.58,29.87,-0.47,-0.09,-0.06,0.33,0.34,0.36,-0.01,23.60,1.62,-1.00,-1.00,73.44,0.17,0.48,0.35,49.90,0.79,-1.00,-1.00,0.00,-0.01,0.02,-0.09,-0.13,0.12,-3.20,2.65,49.33,1.02,2.05,-1.00,-1.00,-0.08,105.96,104.92,0.23,41.14,1478,,,,,
1677,Quantum Ninjas ,4.87,0.00,0.00,0.00,-0.17,0.00,-10.03,-0.17,-1.00,-1.00,-3.34,-5.17,0.12,0.47,0.17,0.33,0.25,-0.00,0.00,30.13,0.68,-1.00,-1.00,33.02,0.06,0.09,-0.09,2.72,0.17,-1.00,-1.00,0.00,0.00,0.15,0.16,0.42,0.16,11.17,4.70,20.09,0.59,0.52,-1.00,-1.00,0.17,32.56,32.91,-0.01,-43.02,1325,,,,,
1940,The Tech Tigers,5.09,0.00,-0.01,-0.01,0.20,0.00,11.90,0.20,-1.00,-1.00,3.97,16.99,-0.03,-0.57,-0.22,0.33,0.35,0.34,-0.01,32.67,1.81,-1.00,-1.00,87.68,0.28,0.48,0.35,55.23,0.94,-1.00,-1.00,0.00,-0.01,-0.15,0.14,0.08,0.05,1.16,1.95,44.57,1.02,2.01,-1.00,-1.00,-0.23,106.61,105.69,0.32,40.87,1486,,,,,
2834,Bionic Black Hawks,5.04,0.00,0.00,0.00,0.22,0.00,13.48,0.22,-1.00,-1.00,4.49,18.53,-0.45,0.95,0.15,0.33,0.34,0.21,-0.02,25.53,1.18,-1.00,-1.00,69.91,0.23,0.19,0.47,44.23,0.79,-1.00,-1.00,0.00,-0.02,-0.16,-0.14,0.25,-0.04,5.33,-1.67,39.01,0.86,1.40,-1.00,-1.00,0.16,86.76,85.10,0.34,24.08,1542,,,,,
2959,Robotarians,5.16,0.00,-0.01,-0.01,0.39,0.00,23.27,0.39,-1.00,-1.00,7.76,28.42,-0.21,0.82,0.13,0.33,0.34,-0.07,0.08,11.72,0.49,-1.00,-1.00,55.88,0.51,0.10,0.28,44.03,0.82,-1.00,-1.00,0.00,0.08,0.11,0.04,0.12,-0.11,3.49,-2.68,34.99,0.68,0.87,-1.00,-1.00,0.12,81.61,89.62,0.35,21.67,1451,,,,,
3656,Dreadbots,5.25,0.00,0.00,0.00,0.39,0.00,23.68,0.39,-1.00,-1.00,7.89,28.93,2.31,0.61,0.23,0.33,0.35,0.41,0.09,31.39,2.46,-1.00,-1.00,88.92,0.44,0.38,0.32,57.31,1.00,-1.00,-1.00,0.00,0.09,0.02,-0.12,0.24,0.04,6.23,0.46,55.07,1.18,2.86,-1.00,-1.00,0.23,118.31,126.86,0.49,38.26,1539,,,,,
