MIHowell,mihow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1,The Juggernauts,5.11,-0.16,1.45,1.38,0.41,0.00,24.62,0.41,-1.00,-1.00,8.21,31.11,0.02,1.83,0.53,0.33,0.36,0.37,-0.01,25.39,1.70,-1.00,-1.00,39.39,0.32,0.00,-0.06,13.46,0.43,-1.00,-1.00,0.00,-0.01,0.01,0.15,0.34,0.05,8.58,2.01,50.01,1.05,2.11,-1.00,-1.00,1.91,72.51,71.23,-0.00,-35.16,1405,,,,,
27,Team RUSH,5.49,0.06,4.71,4.73,0.25,0.00,15.06,0.25,-1.00,-1.00,5.02,25.28,-0.41,21.22,6.94,0.33,0.33,0.44,-0.01,33.97,2.14,-1.00,-1.00,82.99,0.08,0.28,0.48,42.08,0.94,-1.00,-1.00,0.00,-0.01,-0.04,0.12,0.16,-0.03,3.72,-0.15,49.04,1.10,2.39,-1.00,-1.00,11.66,108.12,107.43,0.17,8.68,1531,,,,,
51,Wings of Fire,4.48,-0.06,0.87,0.83,0.58,0.00,34.81,0.58,-1.00,-1.00,11.60,40.12,0.40,-2.13,-0.74,0.33,0.35,0.51,0.00,24.77,2.18,-1.00,-1.00,72.77,0.36,0.33,0.28,48.75,0.94,-1.00,-1.00,0.00,0.00,0.10,-0.10,0.06,0.26,2.00,5.88,59.58,1.20,2.77,-1.00,-1.00,0.08,118.77,119.18,0.33,37.58,1572,,,,,
66,Grizzly Robotics,5.11,-0.22,-0.18,-0.24,0.44,0.00,26.41,0.44,-1.00,-1.00,8.80,31.28,-0.00,-2.25,-0.74,0.33,0.35,0.58,0.01,33.26,2.64,-1.00,-1.00,72.98,0.27,0.23,0.31,40.46,0.88,-1.00,-1.00,0.00,0.01,-0.08,-0.09,0.48,-0.06,11.73,-1.95,59.67,1.27,3.08,-1.00,-1.00,-0.98,102.31,103.49,0.18,10.03,1457,,,,,
201,The FEDS,3.76,0.46,-0.12,0.02,0.22,0.00,13.24,0.22,-1.00,-1.00,4.41,17.02,0.56,0.48,0.17,0.33,0.34,0.30,-0.00,30.06,1.64,-1.00,-1.00,57.98,0.37,0.09,0.09,27.75,0.88,-1.00,-1.00,0.00,-0.00,0.01,0.19,0.12,0.02,3.00,1.37,43.30,0.97,1.86,-1.00,-1.00,0.19,76.38,75.99,0.19,2.64,1494,,,,,
302,The Dragons,5.23,-0.28,0.66,0.58,0.37,0.00,22.19,0.37,-1.00,-1.00,7.40,28.00,0.68,5.89,1.83,0.33,0.36,0.43,0.08,33.55,2.58,-1.00,-1.00,72.84,0.38,-0.11,0.48,37.46,0.83,-1.00,-1.00,0.00,0.08,-0.14,-0.13,0.06,0.06,0.91,0.93,55.74,1.21,2.94,-1.00,-1.00,2.41,101.76,109.92,0.36,27.99,1541,,,,,
470,Grizzly Robotics,4.81,0.03,0.11,0.12,0.37,0.00,22.44,0.37,-1.00,-1.00,7.48,27.37,0.26,1.69,0.60,0.33,0.36,0.47,0.00,31.88,2.25,-1.00,-1.00,86.21,0.38,0.39,0.30,53.72,0.93,-1.00,-1.00,0.00,0.00,-0.01,-0.04,0.05,0.25,1.27,6.08,54.32,1.17,2.63,-1.00,-1.00,0.73,119.66,119.67,0.26,33.10,1530,,,,,
830,The RatPack,5.03,0.09,0.03,0.05,0.39,0.00,23.39,0.39,-1.00,-1.00,7.80,28.47,0.69,-0.53,-0.11,0.33,0.35,0.58,-0.01,34.41,2.57,-1.00,-1.00,63.66,0.15,0.13,0.30,29.36,0.86,-1.00,-1.00,0.00,-0.01,0.10,0.09,0.03,0.06,1.30,1.92,57.80,1.25,2.96,-1.00,-1.00,-0.07,94.05,93.35,0.19,-0.19,1516,,,,,
1189,The Gearheads,5.11,0.01,4.52,4.52,0.15,0.00,8.93,0.15,-1.00,-1.00,2.98,18.56,-0.31,-1.41,-0.46,0.33,0.25,0.38,-0.01,32.46,1.84,-1.00,-1.00,75.33,0.26,0.20,0.41,43.34,0.88,-1.00,-1.00,0.00,-0.01,0.05,-0.04,-0.14,-0.01,-3.25,-0.44,41.38,0.96,1.99,-1.00,-1.00,4.06,93.45,92.90,0.09,14.73,1440,,,,,
