MIKetteringUniversity1,miket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
70,More Martians,4.79,-0.02,0.48,0.48,0.16,0.00,9.40,0.16,-1.00,-1.00,3.13,14.68,1.21,0.01,0.08,0.34,0.35,0.42,0.00,38.11,2.23,-1.00,-1.00,68.30,0.30,-0.14,0.45,30.11,0.47,-1.00,-1.00,0.00,0.00,-0.07,0.03,-0.11,-0.04,-3.02,-0.97,47.52,1.11,2.39,-1.00,-1.00,0.56,82.01,82.01,0.19,21.73,1526,,,,,
245,Adambots,3.30,0.00,0.44,0.44,0.05,0.00,3.16,0.05,-1.00,-1.00,1.05,6.90,8.96,-0.17,0.76,0.33,0.17,0.15,0.00,24.09,0.88,-1.00,-1.00,69.85,0.39,0.08,0.43,45.00,0.53,-1.00,-1.00,0.00,0.00,0.15,-0.02,0.14,0.13,4.36,3.12,27.25,0.66,0.93,-1.00,-1.00,1.20,79.87,79.87,0.34,36.69,1602,,,,,
322,Team F.I.R.E.,1.37,0.02,0.70,0.70,0.05,0.00,2.73,0.05,-1.00,-1.00,0.91,4.80,-0.60,0.19,0.05,0.35,0.29,0.01,0.00,23.71,0.65,-1.00,-1.00,47.01,-0.05,0.15,0.36,23.25,0.31,-1.00,-1.00,0.00,0.00,0.05,-0.00,0.26,0.12,6.66,3.04,26.44,0.64,0.69,-1.00,-1.00,0.75,54.85,54.85,0.08,11.80,1392,,,,,
894,THE POWER CHARGERS,5.04,-0.00,-0.04,-0.04,0.16,0.00,9.62,0.16,-1.00,-1.00,3.21,14.61,-1.13,-0.69,-0.25,0.33,0.33,0.41,0.00,36.48,2.13,-1.00,-1.00,68.32,0.33,0.25,0.06,32.09,0.56,-1.00,-1.00,0.00,0.00,0.06,0.04,-0.02,0.32,-0.21,8.09,46.10,1.07,2.29,-1.00,-1.00,-0.30,91.02,91.02,0.28,51.14,1558,,,,,
1322,Genesee Robotics Area Youth Team (GRAYT),2.67,0.17,0.52,0.52,0.30,0.00,18.28,0.30,-1.00,-1.00,6.09,21.47,-0.94,0.16,-0.03,0.33,0.26,0.05,0.00,13.48,0.41,-1.00,-1.00,50.86,0.04,0.25,0.45,37.42,0.57,-1.00,-1.00,0.00,0.00,0.04,0.02,-0.03,0.24,-0.58,6.20,31.76,0.64,0.72,-1.00,-1.00,0.49,78.53,78.53,0.19,14.61,1455,,,,,
2619,The Charge,3.70,0.00,-0.03,-0.03,0.49,0.00,29.17,0.49,-1.00,-1.00,9.72,32.83,-0.99,-0.42,-0.31,0.34,0.29,0.19,0.00,13.28,0.85,-1.00,-1.00,45.96,0.12,0.20,0.34,32.98,0.72,-1.00,-1.00,0.00,0.00,0.20,0.03,-0.18,0.64,-3.38,16.06,42.45,0.82,1.33,-1.00,-1.00,-0.34,94.86,94.86,0.49,55.92,1542,,,,,
3535,Galaktech Invaders,3.73,-0.03,2.78,2.78,0.16,0.00,9.83,0.16,-1.00,-1.00,3.28,16.34,0.49,3.41,1.03,0.35,0.30,0.11,0.00,23.80,0.90,-1.00,-1.00,50.87,0.20,0.15,0.18,26.05,0.56,-1.00,-1.00,0.00,0.00,-0.17,0.46,-0.08,-0.09,-2.74,-0.03,33.63,0.76,1.06,-1.00,-1.00,3.81,67.18,67.18,0.23,25.05,1505,,,,,
4994,Kingston Robo-Cards,2.78,0.16,0.03,0.03,-0.03,0.00,-2.09,-0.03,-1.00,-1.00,-0.70,0.71,2.64,-0.79,0.05,0.34,0.38,0.28,0.00,41.31,1.92,-1.00,-1.00,66.34,0.26,0.12,0.12,24.98,0.43,-1.00,-1.00,0.00,0.00,-0.11,0.22,0.08,0.12,1.39,3.97,39.22,1.00,1.88,-1.00,-1.00,0.08,71.02,71.02,0.29,11.52,1441,,,,,
4998,TESLA,5.02,-0.01,0.01,0.01,0.12,0.00,7.36,0.12,-1.00,-1.00,2.45,12.39,-2.25,-1.07,-0.47,0.34,0.35,0.07,0.00,25.24,0.85,-1.00,-1.00,13.41,-0.19,-0.09,0.06,-11.37,0.08,-1.00,-1.00,0.00,0.00,-0.21,0.23,0.37,1.08,8.23,28.17,32.61,0.75,0.97,-1.00,-1.00,-0.46,53.96,53.96,0.23,-14.62,1343,,,,,
5067,Steiner Steel Storm,4.79,-0.03,-0.32,-0.32,0.22,0.00,13.02,0.22,-1.00,-1.00,4.34,17.49,-1.08,-0.20,-0.17,0.32,0.27,0.09,0.00,18.80,0.68,-1.00,-1.00,35.07,0.13,0.15,0.05,16.44,0.72,-1.00,-1.00,0.00,0.00,-0.17,0.31,0.09,0.22,1.50,6.94,31.82,0.69,0.89,-1.00,-1.00,-0.50,59.50,59.50,0.07,-8.54,1446,,,,,
5084,Corunna Robotics Team FridgeBot,3.33,-0.01,-0.21,-0.21,-0.01,0.00,-0.85,-0.01,-1.00,-1.00,-0.28,2.27,5.28,-1.34,-0.01,0.25,0.17,-0.11,0.00,13.02,-0.18,-1.00,-1.00,28.80,0.04,0.19,0.09,15.79,0.33,-1.00,-1.00,0.00,0.00,0.05,0.06,0.00,0.33,0.24,8.62,12.17,0.31,-0.19,-1.00,-1.00,-0.22,39.70,39.70,0.14,-15.26,1420,,,,,
5086,Cadillac Connectors,6.21,-0.03,1.39,1.39,-0.06,0.00,-3.47,-0.06,-1.00,-1.00,-1.16,4.14,-0.53,2.05,0.42,0.34,0.29,0.39,0.00,43.08,2.21,-1.00,-1.00,90.42,0.31,0.33,0.29,46.91,0.89,-1.00,-1.00,0.00,0.00,0.35,-0.03,-0.02,0.15,1.35,3.51,39.61,1.02,2.15,-1.00,-1.00,1.81,98.07,98.07,0.35,39.65,1526,,,,,
