MIKetteringUniversity2,mike2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
314,The Megatron Oracles,5.41,0.07,0.35,0.32,0.28,0.00,16.73,0.28,-1.00,-1.00,5.58,22.46,-3.60,0.59,-0.28,0.33,0.35,0.31,0.00,28.74,1.67,-1.00,-1.00,58.88,0.42,0.17,0.02,30.42,0.64,-1.00,-1.00,-0.00,0.00,0.27,0.17,0.01,0.12,1.70,3.82,45.46,1.00,1.95,-1.00,-1.00,0.04,85.15,85.15,0.39,60.20,1574,,,,,
468,Aftershock,2.06,-0.05,0.36,0.35,-0.11,0.00,-6.71,-0.11,-1.00,-1.00,-2.24,-4.30,1.19,0.32,0.18,0.33,0.27,0.10,0.00,32.51,1.04,-1.00,-1.00,37.19,0.01,0.09,-0.01,4.49,0.08,-1.00,-1.00,0.01,0.00,-0.09,-0.07,0.21,-0.02,4.73,-0.90,25.81,0.70,0.93,-1.00,-1.00,0.53,31.98,32.19,-0.01,-56.54,1337,,,,,
494,Martians,5.53,-0.04,1.97,1.97,0.33,0.00,19.71,0.33,-1.00,-1.00,6.57,27.21,-1.70,6.79,1.84,0.33,0.35,0.60,0.00,38.12,2.77,-1.00,-1.00,95.72,0.44,0.16,0.52,55.76,0.87,-1.00,-1.00,-0.01,0.00,-0.09,-0.11,0.44,0.41,10.68,9.60,57.83,1.28,3.10,-1.00,-1.00,3.81,132.53,132.41,0.50,91.77,1648,,,,,
1243,Dragons,4.83,-0.04,0.58,0.57,0.38,0.00,22.67,0.38,-1.00,-1.00,7.56,28.07,-1.28,1.39,0.36,0.33,0.37,0.36,0.00,27.55,1.80,-1.00,-1.00,48.01,0.08,0.08,0.25,20.11,0.63,-1.00,-1.00,-0.00,0.00,-0.01,0.17,0.17,0.32,4.20,8.92,50.22,1.07,2.18,-1.00,-1.00,0.93,85.01,84.91,0.28,-6.13,1476,,,,,
1506,Metal Muscle,5.86,-0.04,-1.22,-1.23,0.37,0.00,22.30,0.37,-1.00,-1.00,7.43,26.92,-0.13,-1.57,-0.50,0.33,0.38,0.36,0.00,28.05,1.81,-1.00,-1.00,91.81,0.54,0.44,0.31,64.26,0.88,-1.00,-1.00,-0.03,0.00,-0.23,-0.04,0.17,-0.20,3.03,-5.32,50.35,1.07,2.18,-1.00,-1.00,-1.73,113.41,112.91,0.22,27.51,1515,,,,,
1684,Chimeras ,2.88,0.03,0.55,0.56,-0.09,0.00,-5.37,-0.09,-1.00,-1.00,-1.79,-1.92,-0.48,-2.03,-0.77,0.33,0.38,0.50,0.00,52.17,2.85,-1.00,-1.00,80.76,0.25,0.26,0.08,29.36,0.71,-1.00,-1.00,-0.01,0.00,-0.17,0.08,0.02,0.10,-0.28,2.84,46.81,1.21,2.76,-1.00,-1.00,-0.21,81.68,81.50,0.32,8.55,1540,,,,,
2145,HAZMATs,3.95,0.65,0.43,0.59,-0.06,0.00,-3.43,-0.06,-1.00,-1.00,-1.14,1.11,-2.14,0.93,0.17,0.33,0.30,0.22,0.00,36.61,1.55,-1.00,-1.00,81.70,0.13,0.52,0.25,44.91,0.89,-1.00,-1.00,-0.01,0.00,-0.04,0.18,-0.05,0.43,-1.43,11.57,33.18,0.86,1.49,-1.00,-1.00,0.76,94.38,94.12,0.34,35.56,1476,,,,,
2337,EngiNERDs,5.55,-0.05,9.62,9.61,0.01,0.00,0.70,0.01,-1.00,-1.00,0.23,15.87,0.84,18.80,6.02,0.33,0.23,0.52,0.00,42.84,2.52,-1.00,-1.00,77.33,0.14,0.32,0.11,28.47,0.81,-1.00,-1.00,0.17,0.00,-0.17,-0.02,0.20,0.01,4.20,0.05,43.54,1.08,2.53,-1.00,-1.00,15.64,93.25,96.56,0.38,50.25,1571,,,,,
2604,Metal and Soul,1.72,-0.08,0.08,0.07,0.11,0.00,6.66,0.11,-1.00,-1.00,2.22,8.45,3.89,-1.01,-0.00,0.33,0.26,-0.05,0.00,17.37,0.29,-1.00,-1.00,15.75,-0.02,-0.09,0.08,-1.62,0.00,-1.00,-1.00,-0.01,0.00,0.22,0.44,-0.10,0.16,-1.31,6.29,24.02,0.55,0.40,-1.00,-1.00,0.07,30.49,30.23,-0.14,-44.86,1321,,,,,
