MILakeSuperiorStateUniversity,milsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
247,Da Bears,4.87,0.00,-0.16,-0.16,0.07,0.00,4.23,0.07,-1.00,-1.00,1.41,8.94,-0.04,0.52,0.12,0.33,0.33,0.45,-0.07,38.90,1.96,-1.00,-1.00,74.69,0.28,0.36,0.08,35.66,0.71,-1.00,-1.00,0.00,-0.07,0.08,-0.15,-0.04,-0.03,-0.61,-1.44,43.13,1.04,2.03,-1.00,-1.00,-0.05,82.19,75.17,0.17,21.07,1431,,,,,
857,Superior Roboworks,4.71,0.00,-0.03,-0.03,0.40,0.00,23.74,0.40,-1.00,-1.00,7.91,28.43,0.38,0.01,0.07,0.33,0.33,0.47,0.12,34.18,2.84,-1.00,-1.00,74.80,0.40,0.18,0.23,40.54,0.57,-1.00,-1.00,0.00,0.12,0.05,-0.04,0.05,-0.17,1.57,-4.35,57.92,1.25,3.24,-1.00,-1.00,0.05,98.88,110.71,0.31,39.48,1527,,,,,
862,Lightning Robotics,4.80,0.00,0.09,0.09,0.37,0.00,22.09,0.37,-1.00,-1.00,7.36,26.97,-0.54,0.41,0.07,0.33,0.33,0.44,0.16,35.79,3.00,-1.00,-1.00,69.77,0.26,0.20,0.22,33.90,0.82,-1.00,-1.00,0.00,0.16,-0.08,0.04,-0.20,0.33,-5.49,8.35,57.88,1.26,3.37,-1.00,-1.00,0.16,105.09,120.98,0.30,41.00,1528,,,,,
1596,The Instigators,5.24,0.00,-0.10,-0.10,0.17,0.00,10.16,0.17,-1.00,-1.00,3.39,15.30,0.29,-1.21,-0.36,0.33,0.33,0.42,0.09,40.33,2.71,-1.00,-1.00,82.70,0.13,0.37,0.35,42.73,0.80,-1.00,-1.00,0.00,0.09,0.01,0.14,-0.03,0.27,-0.78,7.53,50.49,1.18,2.88,-1.00,-1.00,-0.46,105.53,114.17,0.46,38.71,1520,,,,,
2586,Copper Bots,5.01,0.00,-0.09,-0.09,0.16,0.00,9.71,0.16,-1.00,-1.00,3.24,14.64,0.53,-0.68,-0.12,0.33,0.33,-0.05,-0.02,17.51,0.21,-1.00,-1.00,53.13,0.29,0.14,0.28,35.74,0.73,-1.00,-1.00,0.00,-0.02,-0.11,-0.06,0.14,-0.07,2.83,-2.12,27.22,0.60,0.37,-1.00,-1.00,-0.21,65.64,64.09,0.24,-14.72,1386,,,,,
3452,GreengineerZ,4.27,0.00,2.26,2.26,0.25,0.00,14.76,0.25,-1.00,-1.00,4.92,21.29,-0.43,14.34,4.55,0.33,0.33,0.35,-0.03,29.94,1.68,-1.00,-1.00,88.66,0.48,0.23,0.37,54.16,0.95,-1.00,-1.00,0.00,-0.03,-0.06,0.11,0.09,0.46,1.82,11.98,44.70,0.99,1.93,-1.00,-1.00,6.81,121.93,119.38,0.32,45.22,1549,,,,,
3617,Cold Logic,5.05,0.00,-0.00,-0.00,-0.03,0.00,-1.82,-0.03,-1.00,-1.00,-0.61,3.22,-0.07,0.07,0.03,0.33,0.33,0.14,-0.01,33.17,1.21,-1.00,-1.00,51.27,0.27,0.04,0.05,18.06,0.41,-1.00,-1.00,0.00,-0.01,-0.09,0.07,-0.23,0.01,-6.22,0.57,31.35,0.80,1.18,-1.00,-1.00,0.03,55.05,54.35,0.25,7.43,1365,,,,,
4375,Westend Gearbusters,4.33,0.00,-0.04,-0.04,0.39,0.00,23.14,0.39,-1.00,-1.00,7.71,27.43,-0.28,-0.61,-0.24,0.33,0.33,0.22,-0.03,19.04,1.01,-1.00,-1.00,49.12,-0.00,0.41,0.20,30.32,0.71,-1.00,-1.00,0.00,-0.03,-0.15,0.16,-0.05,0.02,-2.13,1.39,42.18,0.86,1.39,-1.00,-1.00,-0.29,77.94,75.32,0.28,6.98,1455,,,,,
4377,Boyne City Blaze,5.34,0.00,-0.29,-0.29,0.32,0.00,19.18,0.32,-1.00,-1.00,6.39,24.24,0.01,2.11,0.60,0.33,0.33,0.25,-0.07,21.21,0.95,-1.00,-1.00,66.27,0.31,0.32,0.26,44.46,0.87,-1.00,-1.00,0.00,-0.07,0.09,0.21,0.20,-0.06,5.39,-0.52,40.39,0.85,1.27,-1.00,-1.00,0.31,89.99,83.38,0.18,5.61,1443,,,,,
