MILakeview,milak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
830,The RatPack,4.86,-0.24,0.07,0.02,0.45,0.00,26.94,0.45,-1.00,-1.00,8.98,31.81,0.93,-0.04,-0.01,0.33,0.43,0.22,0.00,21.27,1.30,-1.00,-1.00,60.06,0.02,0.65,0.10,38.80,0.40,-1.00,-1.00,0.00,0.00,0.04,-0.04,-0.03,0.04,-0.64,0.87,48.21,0.98,1.75,-1.00,-1.00,0.01,92.75,92.75,0.29,38.49,1506,,,,,
1254,Tech Force,4.84,-0.31,0.05,-0.03,-0.18,0.00,-10.97,-0.18,-1.00,-1.00,-3.66,-6.15,0.56,-0.35,-0.12,0.26,-0.04,0.02,0.00,16.50,0.08,-1.00,-1.00,18.33,-0.05,0.15,-0.06,1.95,0.08,-1.00,-1.00,0.00,0.00,0.29,0.19,0.11,-0.14,4.13,-2.56,5.53,0.23,-0.10,-1.00,-1.00,-0.14,9.62,9.62,0.08,-20.96,1373,,,,,
3602,RoboMos,4.72,-0.01,-0.07,-0.06,-0.11,0.00,-6.56,-0.11,-1.00,-1.00,-2.19,-1.90,-1.70,0.13,-0.18,0.34,0.20,0.09,0.00,29.79,0.89,-1.00,-1.00,30.59,0.18,-0.13,-0.03,0.98,0.42,-1.00,-1.00,0.00,0.00,-0.17,-0.08,0.29,0.02,6.34,-0.04,23.23,0.64,0.78,-1.00,-1.00,-0.23,28.66,28.66,0.07,-20.04,1449,,,,,
3603,Cyber Coyotes,5.18,-0.12,-0.26,-0.29,0.00,0.00,0.20,0.00,-1.00,-1.00,0.07,5.09,-1.18,-1.02,-0.38,0.35,0.54,0.14,0.00,40.87,1.64,-1.00,-1.00,57.00,-0.06,0.14,0.25,16.51,0.14,-1.00,-1.00,0.00,0.00,-0.17,0.02,0.01,0.05,-0.51,1.43,41.07,1.03,1.64,-1.00,-1.00,-0.67,63.53,63.53,0.13,7.46,1409,,,,,
3655,Tractor Technicians,5.27,0.06,0.02,0.05,0.17,0.00,10.40,0.17,-1.00,-1.00,3.47,15.72,3.77,0.02,0.40,0.35,0.40,0.15,0.00,28.91,1.23,-1.00,-1.00,53.93,0.23,0.10,0.17,24.63,0.38,-1.00,-1.00,0.00,0.00,0.00,0.03,0.15,0.54,3.66,13.65,39.31,0.90,1.40,-1.00,-1.00,0.44,83.30,83.30,0.26,21.44,1490,,,,,
3658,Robo - Beavers,5.15,0.38,0.07,0.18,0.14,0.00,8.47,0.14,-1.00,-1.00,2.82,13.80,-0.44,-0.13,-0.11,0.34,0.19,-0.12,0.00,10.84,-0.23,-1.00,-1.00,0.13,-0.18,-0.09,0.06,-10.59,0.00,-1.00,-1.00,0.00,0.00,0.02,-0.19,-0.11,-0.02,-2.60,-1.45,19.31,0.41,-0.09,-1.00,-1.00,0.07,12.48,12.48,0.05,-31.62,1401,,,,,
3875,Red Storm Robotics,4.93,-0.28,-0.09,-0.16,0.44,0.00,26.50,0.44,-1.00,-1.00,8.83,31.27,-0.25,-0.20,-0.11,0.34,0.43,0.24,0.00,22.84,1.39,-1.00,-1.00,39.14,0.26,-0.01,0.08,16.41,0.47,-1.00,-1.00,0.00,0.00,-0.02,0.03,0.09,0.19,2.09,4.78,49.34,1.01,1.83,-1.00,-1.00,-0.27,75.19,75.19,0.58,51.65,1527,,,,,
4003,TriSonics,4.79,2.49,0.05,0.72,0.29,0.00,17.19,0.29,-1.00,-1.00,5.73,22.70,1.43,-0.01,0.08,0.34,0.42,0.14,0.00,24.53,1.12,-1.00,-1.00,72.16,0.41,0.26,0.28,47.55,0.74,-1.00,-1.00,0.00,0.00,-0.09,0.27,-0.04,-0.07,-1.35,-0.34,41.72,0.90,1.41,-1.00,-1.00,0.80,94.52,94.52,0.23,38.25,1588,,,,,
4216,Blue Ops Robotics,5.53,-0.01,-0.03,-0.08,0.09,0.00,5.63,0.09,-1.00,-1.00,1.88,11.07,0.87,-0.32,-0.04,0.34,0.35,0.33,0.00,37.15,1.95,-1.00,-1.00,80.56,0.28,0.25,0.34,43.45,0.74,-1.00,-1.00,0.00,0.00,0.20,0.03,0.23,-0.00,6.85,0.08,42.78,1.02,2.04,-1.00,-1.00,-0.12,91.71,91.71,0.53,58.77,1564,,,,,
