MILansing,milan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
68,Truck Town Thunder,3.96,0.00,-0.23,-0.23,0.20,0.00,11.78,0.20,-1.00,-1.00,3.93,15.50,-0.12,7.17,2.28,0.33,0.33,0.41,0.11,39.40,2.75,-1.00,-1.00,99.41,0.25,0.36,0.55,57.73,0.76,-1.00,-1.00,0.00,0.11,-0.00,0.13,0.34,0.03,8.42,1.42,51.18,1.18,2.95,-1.00,-1.00,2.05,116.33,127.32,0.33,37.54,1502,,,,,
70,More Martians,4.72,0.00,-0.47,-0.47,0.32,0.00,19.45,0.32,-1.00,-1.00,6.48,23.71,-0.21,0.16,-0.10,0.33,0.33,0.42,0.18,37.67,3.10,-1.00,-1.00,75.09,0.43,0.02,0.30,37.53,0.71,-1.00,-1.00,0.00,0.18,-0.10,0.06,-0.09,-0.14,-2.70,-3.10,57.12,1.27,3.43,-1.00,-1.00,-0.57,95.70,113.62,0.35,35.60,1523,,,,,
216,More RoboDawgs,5.05,0.00,0.53,0.53,0.07,0.00,3.95,0.07,-1.00,-1.00,1.32,9.53,-0.11,4.19,1.37,0.33,0.34,-0.00,-0.06,21.74,0.24,-1.00,-1.00,61.02,0.12,0.28,0.36,37.91,0.67,-1.00,-1.00,0.00,-0.06,0.21,0.49,-0.16,0.08,-3.05,4.44,25.69,0.61,0.30,-1.00,-1.00,1.90,75.00,68.88,0.03,-6.23,1439,,,,,
244,RoboDawgs 3D,4.92,0.00,0.04,0.04,0.46,0.00,27.35,0.46,-1.00,-1.00,9.12,32.31,-0.47,-1.30,-0.40,0.33,0.34,0.44,0.04,28.09,2.25,-1.00,-1.00,72.18,0.37,0.17,0.36,44.49,0.64,-1.00,-1.00,0.00,0.04,0.10,0.14,-0.08,-0.08,-1.43,-1.24,55.43,1.16,2.71,-1.00,-1.00,-0.36,103.24,107.61,0.29,17.32,1476,,,,,
288,The RoboDawgs,4.22,0.00,-0.25,-0.25,0.10,0.00,6.25,0.10,-1.00,-1.00,2.08,10.22,1.18,0.03,0.15,0.33,0.25,-0.14,-0.02,12.99,-0.26,-1.00,-1.00,16.13,0.08,-0.10,0.08,2.99,0.25,-1.00,-1.00,0.00,-0.02,0.10,0.28,0.60,-0.05,15.60,0.09,19.24,0.43,-0.15,-1.00,-1.00,-0.10,26.44,24.86,-0.17,-78.80,1264,,,,,
302,The Dragons,4.89,0.00,-0.23,-0.23,0.22,0.00,13.28,0.22,-1.00,-1.00,4.43,17.94,-0.23,3.06,0.87,0.33,0.33,0.23,0.06,29.41,1.73,-1.00,-1.00,91.59,0.56,0.27,0.40,61.31,0.95,-1.00,-1.00,0.00,0.06,0.02,0.38,0.55,-0.06,13.77,0.27,42.69,0.96,1.96,-1.00,-1.00,0.64,109.80,115.87,0.29,30.44,1549,,,,,
308,The Monsters,4.52,0.00,-0.14,-0.14,0.39,0.00,23.45,0.39,-1.00,-1.00,7.82,27.83,-0.04,-0.52,-0.14,0.33,0.34,-0.11,0.06,9.52,0.24,-1.00,-1.00,58.55,0.53,0.36,0.09,49.17,0.62,-1.00,-1.00,0.00,0.06,0.24,0.13,0.27,0.30,7.93,8.14,32.97,0.63,0.63,-1.00,-1.00,-0.28,94.52,100.89,0.30,20.47,1496,,,,,
468,Aftershock,5.17,0.00,0.89,0.89,-0.06,0.00,-3.53,-0.06,-1.00,-1.00,-1.18,2.53,-0.67,1.87,0.55,0.33,0.33,-0.08,-0.08,22.21,-0.12,-1.00,-1.00,24.47,0.00,-0.14,0.18,1.71,0.50,-1.00,-1.00,0.00,-0.08,0.32,0.26,0.00,-0.23,1.66,-4.40,18.68,0.50,-0.18,-1.00,-1.00,1.44,22.60,14.13,-0.20,-59.97,1314,,,,,
494,Martians,4.53,0.00,0.01,0.01,0.33,0.00,20.03,0.33,-1.00,-1.00,6.68,24.56,-1.09,3.18,0.85,0.33,0.34,0.48,0.13,38.11,3.06,-1.00,-1.00,82.91,0.03,0.51,0.34,43.95,0.76,-1.00,-1.00,0.00,0.13,0.32,0.12,0.68,0.08,18.64,2.66,58.14,1.29,3.39,-1.00,-1.00,0.86,110.14,123.04,0.20,16.87,1581,,,,,
