MILivonia,miliv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
314,The Megatron Oracles,3,5.41,0.07,0.35,0.32,0.28,0.00,16.73,0.28,-1.00,-1.00,5.58,22.46,-3.60,0.59,-0.28,0.33,0.35,0.31,0.00,28.74,1.67,-1.00,-1.00,58.88,0.42,0.17,0.02,30.42,0.64,-1.00,-1.00,-0.00,0.00,0.27,0.17,0.01,0.12,1.70,3.82,45.46,1.00,1.95,-1.00,-1.00,0.04,85.15,85.15,0.39,60.20,1574,,,,,
503,Frog Force,3,5.58,0.04,-0.18,-0.16,0.16,0.00,9.76,0.16,-1.00,-1.00,3.25,15.17,-0.82,0.09,-0.16,0.33,0.34,0.47,0.00,39.32,2.40,-1.00,-1.00,95.57,0.50,0.29,0.33,56.42,0.89,-1.00,-1.00,0.00,0.00,-0.03,0.02,0.06,-0.10,1.40,-2.33,49.07,1.15,2.56,-1.00,-1.00,-0.33,108.41,108.41,0.39,41.75,1556,,,,,
548,Robostangs,3,3.87,0.00,0.59,0.59,0.31,0.08,23.44,0.39,-1.00,-1.00,7.81,27.90,0.76,0.74,0.28,0.33,0.35,0.48,-0.01,30.43,2.16,-1.00,-1.00,55.77,0.32,0.01,0.17,25.06,0.47,-1.00,-1.00,0.00,-0.01,0.34,0.15,0.09,0.04,3.86,1.79,53.87,1.15,2.55,-1.00,-1.00,0.87,85.47,84.45,0.28,39.52,1530,,,,,
2048,The Pink Panthers,3,4.67,0.00,0.00,0.00,0.03,0.00,1.61,0.03,-1.00,-1.00,0.54,6.28,0.95,0.07,0.05,0.35,0.26,0.33,0.00,36.86,1.85,-1.00,-1.00,63.74,0.15,0.19,0.20,26.83,0.50,-1.00,-1.00,0.00,0.00,-0.06,-0.06,0.15,0.14,3.43,3.07,38.47,0.95,1.87,-1.00,-1.00,0.05,73.09,73.09,0.32,11.01,1425,,,,,
2224,RoboPhoenix,3,4.22,0.00,1.88,1.88,-0.01,0.00,-0.67,-0.01,-1.00,-1.00,-0.22,5.44,-0.05,-0.05,0.01,0.33,0.41,-0.11,0.00,25.46,0.38,-1.00,-1.00,19.17,0.02,0.00,-0.15,-6.30,0.00,-1.00,-1.00,0.00,0.00,0.31,0.02,0.14,0.03,4.99,0.94,24.79,0.63,0.37,-1.00,-1.00,1.89,25.54,25.54,0.17,-15.42,1360,,,,,
2676,Ecorse Robo Raiders,3,5.41,-0.04,0.44,0.43,0.20,0.00,12.08,0.20,-1.00,-1.00,4.03,17.93,-1.79,0.40,-0.03,0.33,0.25,-0.02,0.00,14.42,0.29,-1.00,-1.00,27.39,0.23,0.05,-0.02,13.00,0.25,-1.00,-1.00,0.00,0.00,0.18,0.06,0.09,0.23,3.16,5.96,26.50,0.56,0.49,-1.00,-1.00,0.40,51.28,51.28,0.02,11.24,1401,,,,,
2832,The Livonia  Warriors,3,3.93,0.00,0.00,0.00,0.02,0.00,1.18,0.02,-1.00,-1.00,0.39,5.11,0.57,0.00,0.11,0.35,0.48,0.44,0.00,49.83,2.69,-1.00,-1.00,95.85,0.38,0.27,0.27,45.91,0.80,-1.00,-1.00,0.00,0.00,-0.15,0.47,0.03,0.29,0.09,9.66,51.01,1.27,2.71,-1.00,-1.00,0.11,110.63,110.63,0.46,68.42,1548,,,,,
3175,Knight Vision,3,3.92,0.00,0.00,0.00,0.16,0.00,9.38,0.16,-1.00,-1.00,3.13,13.29,-0.16,0.25,-0.07,0.35,0.37,0.16,0.00,29.11,1.26,-1.00,-1.00,34.89,0.12,-0.15,0.15,5.85,0.14,-1.00,-1.00,0.00,0.00,0.17,0.15,0.04,-0.11,1.88,-1.97,38.49,0.88,1.42,-1.00,-1.00,-0.07,46.22,46.22,0.13,-35.41,1367,,,,,
3398,Crushing Crusaders,3,2.42,0.00,0.00,0.00,-0.08,0.00,-4.78,-0.08,-1.00,-1.00,-1.59,-2.35,-0.57,-0.06,0.01,0.25,0.15,-0.19,0.00,11.18,-0.50,-1.00,-1.00,17.28,0.02,0.07,0.04,6.09,0.17,-1.00,-1.00,0.00,0.00,0.24,-0.05,0.29,0.25,8.34,6.02,6.40,0.20,-0.58,-1.00,-1.00,0.01,20.94,20.94,-0.17,-33.65,1312,,,,,
3414,Hackbots,3,4.00,-0.16,-0.11,-0.17,-0.04,0.00,-2.50,-0.04,-1.00,-1.00,-0.83,1.33,-0.15,-2.03,-0.59,0.33,0.35,-0.02,-0.01,27.93,0.63,-1.00,-1.00,62.86,0.26,0.23,0.22,35.52,0.58,-1.00,-1.00,0.00,-0.01,0.01,0.07,0.06,0.07,1.45,2.09,25.43,0.66,0.59,-1.00,-1.00,-0.76,66.28,65.70,0.02,8.17,1436,,,,,
3542,S.P.E.E.D,3,4.60,-0.04,6.04,6.03,0.09,0.00,5.51,0.09,-1.00,-1.00,1.84,16.14,-0.08,4.60,1.28,0.33,0.35,0.38,0.00,38.85,2.14,-1.00,-1.00,73.69,0.19,0.27,0.21,33.56,0.64,-1.00,-1.00,0.00,0.00,-0.04,0.30,0.03,0.03,0.66,2.33,44.36,1.06,2.23,-1.00,-1.00,7.32,92.17,92.17,0.42,57.78,1513,,,,,
3547,VIRUS,3,4.83,0.57,-0.25,-0.08,0.33,0.00,19.69,0.33,-1.00,-1.00,6.56,24.44,2.29,-0.26,0.08,0.33,0.28,0.14,0.00,17.01,0.77,-1.00,-1.00,56.05,0.22,0.21,0.35,38.96,0.64,-1.00,-1.00,0.00,0.00,0.17,0.06,-0.17,0.06,-3.44,1.80,36.70,0.75,1.10,-1.00,-1.00,-0.00,82.29,82.29,0.23,13.07,1464,,,,,
4380,Dynomite,3,3.96,-0.04,0.34,0.32,-0.03,0.00,-2.00,-0.03,-1.00,-1.00,-0.67,2.28,-3.09,-2.38,-1.12,0.33,0.18,-0.05,0.00,19.92,0.28,-1.00,-1.00,31.61,0.11,0.14,0.01,12.81,0.08,-1.00,-1.00,-0.01,0.00,0.24,0.44,0.48,-0.11,13.30,-0.47,17.93,0.46,0.24,-1.00,-1.00,-0.79,33.42,33.20,-0.08,-26.13,1339,,,,,
4405,The Atoms Family,3,3.92,0.00,0.00,0.00,-0.10,0.00,-5.76,-0.10,-1.00,-1.00,-1.92,-1.83,0.53,0.06,0.03,0.33,0.29,-0.07,0.00,25.73,0.38,-1.00,-1.00,73.02,0.37,0.21,0.37,47.26,0.76,-1.00,-1.00,0.00,0.00,0.02,-0.18,0.13,0.13,3.37,2.25,19.97,0.55,0.28,-1.00,-1.00,0.03,73.43,73.43,0.50,6.78,1483,,,,,
4768,Comets,3,3.73,0.00,-0.50,-0.50,0.14,0.00,8.40,0.14,-1.00,-1.00,2.80,11.63,0.19,-1.31,-0.41,0.34,0.22,0.08,-0.02,18.96,0.49,-1.00,-1.00,17.91,0.14,-0.20,0.05,-0.64,0.25,-1.00,-1.00,-0.01,-0.02,0.26,0.07,0.51,-0.21,14.11,-4.90,27.36,0.61,0.63,-1.00,-1.00,-0.91,24.64,22.57,-0.09,-65.19,1290,,,,,
4776,S.C.O.T.S. Bots,3,4.43,0.34,-0.38,-0.28,-0.05,0.00,-2.99,-0.05,-1.00,-1.00,-1.00,1.17,-0.03,-1.55,-0.48,0.33,0.34,0.18,0.08,39.36,1.94,-1.00,-1.00,96.88,0.36,0.35,0.45,58.00,0.71,-1.00,-1.00,0.00,0.08,-0.03,0.01,-0.00,-0.15,-0.19,-3.72,36.37,0.93,1.89,-1.00,-1.00,-0.76,94.33,102.64,0.16,-1.12,1461,,,,,
5050,Cow Town Robotics,3,4.46,0.04,-0.64,-0.62,-0.08,0.00,-5.02,-0.08,-1.00,-1.00,-1.67,-1.18,0.32,2.15,0.68,0.33,0.39,-0.04,0.00,30.44,0.66,-1.00,-1.00,75.70,0.20,0.38,0.31,44.59,0.42,-1.00,-1.00,0.00,0.00,0.04,-0.12,-0.04,-0.22,-0.77,-5.97,25.42,0.68,0.58,-1.00,-1.00,0.06,68.55,68.55,0.18,-15.54,1468,,,,,
