MIMarysville,mimar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
68,Truck Town Thunder,3,3.96,0.00,-0.23,-0.23,0.20,0.00,11.78,0.20,-1.00,-1.00,3.93,15.50,-0.12,7.17,2.28,0.33,0.33,0.41,0.11,39.40,2.75,-1.00,-1.00,99.41,0.25,0.36,0.55,57.73,0.76,-1.00,-1.00,0.00,0.11,-0.00,0.13,0.34,0.03,8.42,1.42,51.18,1.18,2.95,-1.00,-1.00,2.05,116.33,127.32,0.33,37.54,1502,,,,,
217,ThunderChickens,3,5.40,-0.04,-1.27,-1.28,0.08,0.00,4.60,0.08,-1.00,-1.00,1.53,8.72,-1.12,1.64,0.48,0.34,0.40,0.68,-0.01,53.10,3.38,-1.00,-1.00,90.42,0.27,0.17,0.30,36.84,0.71,-1.00,-1.00,-0.02,-0.01,-0.10,0.08,0.34,0.41,8.00,10.53,57.70,1.40,3.46,-1.00,-1.00,-0.81,109.67,108.42,0.13,4.33,1556,,,,,
904,D cubed,3,5.77,0.04,0.19,0.20,0.34,0.00,20.30,0.34,-1.00,-1.00,6.77,26.27,-0.33,6.78,2.07,0.33,0.34,0.43,-0.01,30.25,2.01,-1.00,-1.00,53.69,0.07,0.06,0.29,21.37,0.43,-1.00,-1.00,0.07,-0.01,-0.01,0.11,-0.17,0.18,-4.40,5.15,50.55,1.09,2.35,-1.00,-1.00,2.27,85.10,85.85,0.25,9.90,1431,,,,,
1189,The Gearheads,3,5.11,0.01,4.52,4.52,0.15,0.00,8.93,0.15,-1.00,-1.00,2.98,18.56,-0.31,-1.41,-0.46,0.33,0.25,0.38,-0.01,32.46,1.84,-1.00,-1.00,75.33,0.26,0.20,0.41,43.34,0.88,-1.00,-1.00,0.00,-0.01,0.05,-0.04,-0.14,-0.01,-3.25,-0.44,41.38,0.96,1.99,-1.00,-1.00,4.06,93.45,92.90,0.09,14.73,1440,,,,,
1684,Chimeras ,3,2.88,0.03,0.55,0.56,-0.09,0.00,-5.37,-0.09,-1.00,-1.00,-1.79,-1.92,-0.48,-2.03,-0.77,0.33,0.38,0.50,0.00,52.17,2.85,-1.00,-1.00,80.76,0.25,0.26,0.08,29.36,0.71,-1.00,-1.00,-0.01,0.00,-0.17,0.08,0.02,0.10,-0.28,2.84,46.81,1.21,2.76,-1.00,-1.00,-0.21,81.68,81.50,0.32,8.55,1540,,,,,
1701,RoboCubs,3,4.16,0.00,0.09,0.09,0.11,0.00,6.46,0.11,-1.00,-1.00,2.15,10.71,-0.44,-2.30,-0.95,0.33,0.38,0.20,0.09,36.14,2.01,-1.00,-1.00,68.85,0.13,0.55,-0.00,33.65,0.65,-1.00,-1.00,0.00,0.09,0.13,-0.05,-0.07,0.68,-1.04,16.86,42.60,1.01,2.12,-1.00,-1.00,-0.86,96.42,105.69,0.15,17.25,1523,,,,,
2075,Enigma Robotics,3,3.37,0.00,0.91,0.91,-0.03,0.00,-1.82,-0.03,-1.00,-1.00,-0.61,2.47,-0.01,23.34,7.44,0.33,0.23,-0.14,-0.02,17.03,-0.22,-1.00,-1.00,76.83,0.38,0.41,0.26,52.35,0.94,-1.00,-1.00,0.00,-0.02,-0.02,0.12,-0.10,0.60,-2.54,15.58,15.22,0.40,-0.25,-1.00,-1.00,8.35,94.87,92.68,0.50,70.21,1540,,,,,
2604,Metal and Soul,3,1.72,-0.08,0.08,0.07,0.11,0.00,6.66,0.11,-1.00,-1.00,2.22,8.45,3.89,-1.01,-0.00,0.33,0.26,-0.05,0.00,17.37,0.29,-1.00,-1.00,15.75,-0.02,-0.09,0.08,-1.62,0.00,-1.00,-1.00,-0.01,0.00,0.22,0.44,-0.10,0.16,-1.31,6.29,24.02,0.55,0.40,-1.00,-1.00,0.07,30.49,30.23,-0.14,-44.86,1321,,,,,
2851,Crevolution,3,4.79,-0.06,-0.39,-0.40,0.01,0.00,0.32,0.01,-1.00,-1.00,0.11,4.71,0.64,0.22,0.24,0.34,0.28,0.32,-0.02,36.61,1.72,-1.00,-1.00,58.77,-0.09,0.41,0.12,21.93,0.67,-1.00,-1.00,-0.01,-0.02,0.10,0.13,0.08,0.32,2.61,8.70,36.92,0.92,1.73,-1.00,-1.00,-0.16,72.18,70.23,-0.06,0.97,1478,,,,,
