MIMidland,mimid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
703,Team Phoenix,4.96,0.01,0.02,0.02,0.45,0.00,26.70,0.45,-1.00,-1.00,8.90,31.68,-0.31,0.48,0.14,0.33,0.29,0.02,-0.01,7.55,0.15,-1.00,-1.00,50.96,0.25,0.31,0.31,43.28,0.73,-1.00,-1.00,0.00,-0.01,0.71,-0.32,-0.06,-0.01,2.11,-1.75,34.25,0.63,0.60,-1.00,-1.00,0.16,80.90,79.93,0.15,2.76,1429,,,,,
1506,Metal Muscle,4.31,0.09,0.21,0.21,0.33,0.00,20.02,0.33,-1.00,-1.00,6.67,24.54,0.10,1.44,0.29,0.33,0.35,0.40,0.16,36.40,2.92,-1.00,-1.00,88.65,0.32,0.51,0.21,51.96,0.95,-1.00,-1.00,0.00,0.16,-0.17,0.24,-0.04,0.03,-1.83,1.95,56.41,1.24,3.25,-1.00,-1.00,0.50,115.14,130.95,0.54,53.63,1584,,,,,
2619,The Charge,3.91,-0.01,-0.09,-0.09,0.81,0.00,48.58,0.81,-1.00,-1.00,16.19,52.40,-0.27,0.69,0.11,0.33,0.35,0.44,-0.03,11.71,1.50,-1.00,-1.00,44.92,0.13,0.21,0.33,33.10,0.80,-1.00,-1.00,0.00,-0.03,0.24,0.32,0.08,0.43,3.29,12.23,60.28,1.10,2.31,-1.00,-1.00,0.02,109.54,106.86,0.21,45.63,1541,,,,,
3570,Pheonix,3.65,-0.01,-0.02,-0.02,0.28,0.00,16.65,0.28,-1.00,-1.00,5.55,20.28,1.21,-0.37,-0.04,0.33,0.28,-0.02,-0.01,12.01,0.19,-1.00,-1.00,68.57,0.35,0.36,0.42,56.61,0.57,-1.00,-1.00,0.00,-0.01,0.04,0.20,0.08,-0.10,2.25,-1.58,28.66,0.58,0.47,-1.00,-1.00,-0.07,87.27,86.01,0.32,27.26,1454,,,,,
3770,BlitzCreek,4.76,-0.02,-0.07,-0.07,0.50,0.00,29.88,0.50,-1.00,-1.00,9.96,34.57,0.50,-0.25,-0.08,0.33,0.37,0.45,0.08,29.00,2.48,-1.00,-1.00,64.83,0.25,0.09,0.38,35.91,0.84,-1.00,-1.00,0.00,0.08,0.27,0.63,0.22,0.66,6.84,19.66,58.89,1.22,2.98,-1.00,-1.00,-0.16,119.06,127.00,0.46,63.08,1637,,,,,
4819,Flat Mountain Mechanics,4.34,-0.00,0.03,0.03,-0.08,0.00,-5.04,-0.08,-1.00,-1.00,-1.68,-0.66,0.72,-0.18,0.03,0.33,0.34,0.31,-0.00,42.85,2.00,-1.00,-1.00,87.13,0.36,0.30,0.22,44.25,1.00,-1.00,-1.00,0.00,-0.00,-0.14,-0.13,0.47,0.08,11.15,1.29,37.82,0.99,1.91,-1.00,-1.00,0.06,87.76,87.45,0.19,-1.85,1453,,,,,
5156,Laker Robots,5.54,0.00,-0.02,-0.02,0.05,0.00,3.26,0.05,-1.00,-1.00,1.09,8.78,0.34,0.62,0.19,0.33,0.35,0.08,-0.01,28.34,0.94,-1.00,-1.00,26.36,0.06,0.08,-0.18,-2.17,0.00,-1.00,-1.00,0.00,-0.01,-0.20,0.34,0.26,-0.10,5.60,-0.87,31.60,0.76,0.99,-1.00,-1.00,0.17,34.26,33.70,-0.08,-54.24,1303,,,,,
5166,Fabricators,4.59,-0.00,-0.03,-0.03,0.02,0.00,0.95,0.02,-1.00,-1.00,0.32,5.52,-0.11,0.32,0.05,0.33,0.34,0.27,-0.03,36.12,1.58,-1.00,-1.00,90.62,0.47,0.19,0.43,54.44,0.85,-1.00,-1.00,0.00,-0.03,-0.28,0.38,-0.00,0.31,-1.49,9.58,37.07,0.92,1.60,-1.00,-1.00,0.03,105.71,102.71,0.40,61.10,1530,,,,,
5193,Pantheon,4.90,-0.00,0.39,0.39,0.10,0.00,5.85,0.10,-1.00,-1.00,1.95,11.13,0.42,0.42,0.16,0.33,0.34,0.10,0.06,29.55,1.36,-1.00,-1.00,52.83,0.19,0.27,0.00,23.11,0.25,-1.00,-1.00,0.00,0.06,-0.17,-0.21,0.28,-0.13,6.04,-4.38,35.40,0.84,1.46,-1.00,-1.00,0.55,59.58,65.81,0.11,-21.59,1364,,,,,
